,group,variable,month,TOTAL 18.8 ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTAL 18.8 ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
POTOSI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,5,0,5,0,5
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,2,0,2,0,2
PUNATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,1,3,1,3,4
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,1,2,1,2,3
SAIPINA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,0,1,0,1,1
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,0,3,0,3,3
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,3,3,3,3,6
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,4,0,4,0,4
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,4,0,4,0,4
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,24,4,24,4,28
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,2,0,2,0,2
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,1,1,1,1,2
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,1,0,1,0,1
SENA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,1,0,1,0,1
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,0,1,0,1,1
TIPUANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,7,7,7,7,14
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,7,0,7,0,7
TUPIZA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,7,1,7,1,8
VIACHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,1,1,1,1,2
VILLAZON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,4,0,4,0,4
VINTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,4,0,4,0,4
WARNES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,3,1,3,1,4
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,0,1,0,1,1
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,1,3,1,3,4
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,1,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,1,0,1,0,1
ARQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,0,1,0,1,1
BETANZOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,1,3,1,3,4
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,1,0,1,0,1
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,1,0,1,0,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,1,1,1,1,2
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,11,2,11,2,13
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,2,0,2,0,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,12,17,12,17,29
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,1,1,1,1,2
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,2,0,2,0,2
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,2,1,2,1,3
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,0,2,0,2,2
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,7,0,7,0,7
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,15,0,15,0,15
LURIBAY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,0,3,0,3,3
MAPIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,4,0,4,0,4
ORURO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,8,2,8,2,10
PAILON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,0,2,0,2,2
PALCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,3,1,3,1,4
PRESTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,2,1,2,1,3
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,1,4,1,4,5
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,1,0,1,0,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,4,0,4,0,4
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,3,4,3,4,7
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,0,1,0,1,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,44,0,44,0,44
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,1,0,1,0,1
SENA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,1,0,1,0,1
SORATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,0,2,0,2,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,0,1,0,1,1
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,0,1,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,5,0,5,0,5
TUPIZA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,2,0,2,0,2
WARNES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,4,0,4,0,4
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,1,0,1,0,1
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-09-01,1,1,1,1,2
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,0,1,0,1,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,1,6,1,6,7
BAURES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,3,0,3,0,3
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,1,0,1,0,1
CALACOTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,0,1,0,1,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,2,0,2,0,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,2,0,2,0,2
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,1,1,1,1,2
COCAPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,0,3,0,3,3
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,10,3,10,3,13
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,0,2,0,2,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,2,0,2,0,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,28,8,28,8,36
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,2,0,2,0,2
GUAQUI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,2,0,2,0,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,0,1,0,1,1
ICLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,1,0,1,0,1
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,2,0,2,0,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,2,0,2,0,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,47,0,47,0,47
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,0,2,0,2,2
OCURI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,0,5,0,5,5
ORURO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,6,7,6,7,13
PADCAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,1,0,1,0,1
PADILLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,1,0,1,0,1
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,1,0,1,0,1
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,3,4,3,4,7
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,1,0,1,0,1
PUNATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,2,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,0,4,0,4,4
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,0,4,0,4,4
ROBORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,2,0,2,0,2
SACABA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,3,1,3,1,4
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,3,0,3,0,3
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,2,0,2,0,2
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,9,0,9,0,9
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,30,5,30,5,35
SENA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,0,3,0,3,3
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,0,2,0,2,2
SORATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,0,1,0,1,1
TARATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,0,1,0,1,1
TOLEDO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,6,0,6,0,6
VIACHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,2,1,2,1,3
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,0,1,0,1,1
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,1,0,1,0,1
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,1,0,1,0,1
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-10-01,1,1,1,1,2
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,1,2,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,0,1,0,1,1
BETANZOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,0,2,0,2,2
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,0,1,0,1,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,0,1,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,2,1,2,1,3
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,0,2,0,2,2
CLIZA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,1,1,1,1,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,3,0,3,0,3
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,7,0,7,0,7
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,2,1,2,1,3
COLOMI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,0,1,0,1,1
COMBAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,1,0,1,0,1
CORIPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,1,0,1,0,1
COROICO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,2,1,2,1,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,12,9,12,9,21
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,2,1,2,1,3
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,1,0,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,1,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,0,1,0,1,1
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,1,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,3,1,3,1,4
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,11,0,11,0,11
MALLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,0,1,0,1,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,1,0,1,0,1
OCURI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,0,1,0,1,1
OKINAWA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,3,4,3,4,7
PAILON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,1,0,1,0,1
POOPO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,0,1,0,1,1
POROMA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,0,2,0,2,2
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,1,0,1,0,1
PORVENIR,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,2,0,2,0,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,3,0,3,0,3
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,1,0,1,0,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,0,1,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,16,0,16,0,16
PUNATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,1,2,1,2,3
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,0,3,0,3,3
REYES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,2,0,2,0,2
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,1,0,1,0,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,0,1,0,1,1
SACACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,7,1,7,1,8
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,3,5,3,5,8
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,1,0,1,0,1
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,1,0,1,0,1
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,27,8,27,8,35
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,1,0,1,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,2,0,2,0,2
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,3,0,3,0,3
SORATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,0,1,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,2,2,2,2,4
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,0,5,0,5,5
TORO TORO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,0,1,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,1,2,1,2,3
UNCIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,1,1,1,1,2
UYUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,1,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,3,0,3,0,3
VILLAZON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,2,0,2,0,2
VINTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,1,1,1,1,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,0,3,0,3,3
YANACACHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,0,1,0,1,1
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-11-01,0,2,0,2,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,1,2,1,2,3
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,0,1,0,1,1
