,group,variable,month,TOTAL 1810 ANTIPOLIOMIELÍTICA 4TA DOSIS CANTIDAD,TOTAL 1810 ANTIPOLIOMIELÍTICA 4TA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
PUNA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,3,7,3,7,10
PUNATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,29,2,29,2,31
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,104,106,104,106,210
QUIME,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,1,0,1,0,1
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,5,0,5,0,5
RAVELO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,7,4,7,4,11
REYES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,16,0,16,0,16
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,64,2,64,2,66
ROBORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,16,3,16,3,19
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,17,4,17,4,21
SACABA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,145,6,145,6,151
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,3,0,3,0,3
SACACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,11,13,11,13,24
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,2,7,2,7,9
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,4,0,4,0,4
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,4,6,4,6,10
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,4,2,4,2,6
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,3,2,3,2,5
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,5,1,5,1,6
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,43,9,43,9,52
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,4,0,4,0,4
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,9,4,9,4,13
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,19,0,19,0,19
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,62,3,62,3,65
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,2,7,2,7,9
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,11,8,11,8,19
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,19,0,19,0,19
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,18,1,18,1,19
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,0,4,0,4,4
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,33,7,33,7,40
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,29,17,29,17,46
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,11,4,11,4,15
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,23,5,23,5,28
SAN PEDRO DE QUEMES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,3,4,3,4,7
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,0,4,0,4,4
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,12,0,12,0,12
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,6,1,6,1,7
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,7,0,7,0,7
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,12,13,12,13,25
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,1505,47,1505,47,1552
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,1,0,1,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,17,0,17,0,17
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,1,2,1,2,3
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,2,0,2,0,2
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,3,6,3,6,9
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,1,1,1,1,2
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,12,4,12,4,16
SENA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,6,7,6,7,13
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,4,1,4,1,5
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,3,0,3,0,3
SICAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,3,0,3,0,3
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,30,3,30,3,33
SORACACHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,3,1,3,1,4
SORATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,2,9,2,9,11
SUCRE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,313,23,313,23,336
TACACHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,1,0,1,0,1
TACACOMA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,1,1,1,1,2
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,2,1,2,1,3
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,0,4,0,4,4
TAPACARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,7,3,7,3,10
TARABUCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,9,8,9,8,17
TARACO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,10,0,10,0,10
TARATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,10,2,10,2,12
TARIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,238,32,238,32,270
TARVITA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,7,6,7,6,13
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,3,1,3,1,4
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,2,0,2,0,2
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,52,23,52,23,75
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,20,8,20,8,28
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,1,1,1,1,2
TOCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,7,0,7,0,7
TOLATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,6,1,6,1,7
TOLEDO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,2,0,2,0,2
TOMAVE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,0,1,0,1,1
TOMINA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,2,4,2,4,6
TORO TORO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,2,3,2,3,5
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,21,4,21,4,25
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,5,0,5,0,5
TRIGAL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,87,1,87,1,88
TUPIZA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,54,10,54,10,64
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,17,2,17,2,19
URUBICHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,8,0,8,0,8
UYUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,6,2,6,2,8
VACAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,2,2,2,2,4
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,12,0,12,0,12
VIACHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,37,30,37,30,67
VILA VILA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,1,1,1,1,2
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,8,4,8,4,12
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,64,18,64,18,82
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,16,3,16,3,19
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,5,4,5,4,9
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,43,6,43,6,49
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,10,4,10,4,14
VILLAZON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,57,4,57,4,61
VINTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,51,2,51,2,53
VITICHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,9,0,9,0,9
WARNES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,127,2,127,2,129
YACO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,5,3,5,3,8
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,128,19,128,19,147
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,0,4,0,4,4
YANACACHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,2,3,2,3,5
YOTALA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,11,5,11,5,16
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,1,7,1,7,8
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-07-01,2,7,2,7,9
ACACIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,1,2,1,2,3
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,11,2,11,2,13
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,11,9,11,9,20
AIQUILE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,24,20,24,20,44
ALCALA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,4,0,4,0,4
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,10,1,10,1,11
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,7,1,7,1,8
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,1,3,1,3,4
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,2,2,2,2,4
ANZALDO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,0,9,0,9,9
ARANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,12,1,12,1,13
ARBIETO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,11,10,11,10,21
ARQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,7,0,7,0,7
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,26,6,26,6,32
ATOCHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,1,4,1,4,5
AYATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,3,0,3,0,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,7,2,7,2,9
AZURDUY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,2,2,2,2,4
BATALLAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,20,16,20,16,36
BAURES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,8,0,8,0,8
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,1,1,1,1,2
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,4,3,4,3,7
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,31,11,31,11,42
BETANZOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,20,4,20,4,24
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,6,1,6,1,7
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,0,3,0,3,3
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,4,0,4,0,4
CABEZAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,1,3,1,3,4
CAIROMA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,11,4,11,4,15
CAJUATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,1,0,1,0,1
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,8,1,8,1,9
CAMARGO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,12,0,12,0,12
CAMIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,7,0,7,0,7
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,20,8,20,8,28
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,2,1,2,1,3
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,18,0,18,0,18
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,7,7,7,7,14
CARAPARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,19,6,19,6,25
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,1,6,1,6,7
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,2,1,2,1,3
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,17,1,17,1,18
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,6,14,6,14,20
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,0,2,0,2,2
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,3,0,3,0,3
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,1,0,1,0,1
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,2,1,2,1,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,1,0,1,0,1
CHUMA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,0,1,0,1,1
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,15,0,15,0,15
CLIZA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,22,12,22,12,34
COBIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,83,6,83,6,89
COCAPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,5,19,5,19,24
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,558,59,558,59,617
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,39,11,39,11,50
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,12,1,12,1,13
COLOMI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,32,3,32,3,35
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,3,0,3,0,3
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,12,8,12,8,20
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,1,9,1,9,10
COMARAPA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,20,1,20,1,21
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,9,15,9,15,24
COPACABANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,11,4,11,4,15
CORIPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,11,0,11,0,11
CORO CORO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,2,2,2,2,4
COROICO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,4,0,4,0,4
CORQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,0,1,0,1,1
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,10,13,10,13,23
COTOCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,43,9,43,9,52
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,41,19,41,19,60
CULPINA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,1,0,1,0,1
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,1,0,1,0,1
CURVA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,536,101,536,101,637
EL CHORO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,2,0,2,0,2
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,4,1,4,1,5
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,10,4,10,4,14
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,59,2,59,2,61
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,5,1,5,1,6
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,15,15,15,15,30
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,10,3,10,3,13
ESCOMA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,0,1,0,1,1
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,0,1,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,14,0,14,0,14
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,4,12,4,12,16
GUANAY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,5,15,5,15,20
GUAQUI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,43,5,43,5,48
HUACARETA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,3,1,3,1,4
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,8,12,8,12,20
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,20,1,20,1,21
HUARINA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,5,2,5,2,7
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,1,0,1,0,1
ICHOCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,4,3,4,3,7
ICLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,6,1,6,1,7
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,5,3,5,3,8
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,2,6,2,6,8
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,3,6,3,6,9
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,5,1,5,1,6
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,45,3,45,3,48
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,94,1,94,1,95
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,417,12,417,12,429
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,6,2,6,2,8
LAJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,2,5,2,5,7
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,5,0,5,0,5
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,4,0,4,0,4
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,1,3,1,3,4
LORETO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,2,0,2,0,2
LURIBAY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,2,0,2,0,2
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-08-01,4,0,4,0,4
