,group,variable,month,TOTAL Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTAL Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
GUTIERREZ,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,23,23
HUACARETA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,18,18
HUACAYA (VILLA DE HUACAYA),vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,3,3
HUACHACALLA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,1,1
HUANUNI,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,87,87
HUARINA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,13,13
HUAYLLAMARCA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,2,2
ICLA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,11,11
INCAHUASI,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,22,22
IRUPANA (VILLA DE LANZA),vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,29,29
JESUS DE MACHACA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,1,1
LA ASUNTA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,27,27
LA GUARDIA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,122,122
LA PAZ,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,1315,1315
LAJA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,16,16
LLALLAGUA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,213,213
MACHACAMARCA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,6,6
MACHARETI,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,9,9
MAIRANA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,28,28
MAPIRI,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,20,20
MIZQUE,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,45,45
MOJOCOYA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,4,4
MONTEAGUDO,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,71,71
MONTERO,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,577,577
MOROCHATA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,12,12
NACEBE (SANTA ROSA DEL ABUNA),vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,6,6
NUEVO MANOA (NUEVA ESPERANZA),vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,9,9
OCURI,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,25,25
ORURO,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,761,761
PADCAYA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,28,28
PADILLA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,20,20
PAILON,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,87,87
PALOS BLANCOS,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,4,4
PAMPA GRANDE,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,29,29
PASORAPA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,2,2
POCONA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,6,6
POJO (CBBA),vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,33,33
POOPO,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,12,12
PORCO,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,8,8
POROMA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,13,13
PORONGO,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,11,11
PORTACHUELO,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,59,59
PORVENIR,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,13,13
POTOSI,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,63,63
PRESTO,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,11,11
PUCARANI,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,25,25
PUERTO GONZALO MORENO,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,10,10
PUERTO QUIJARRO,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,46,46
PUERTO RICO,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,28,28
PUERTO VILLARROEL,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,204,204
PUNA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,20,20
QUILLACOLLO,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,310,310
QUIME,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,5,5
RAVELO,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,12,12
RIBERALTA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,575,575
ROBORE,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,42,42
RURRENABAQUE,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,65,65
SABAYA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,19,19
SACABA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,531,531
SACABAMBA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,1,1
SAIPINA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,11,11
SALINAS DE GARCI MENDOZA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,1,1
SAMAIPATA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,5,5
SAN ANTONIO DE LOMERIO,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,7,7
SAN BENITO,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,20,20
SAN BORJA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,51,51
SAN BUENA VENTURA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,4,4
SAN CARLOS,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,101,101
SAN IGNACIO,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,45,45
SAN IGNACIO DE VELASCO,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,155,155
SAN JAVIER(STC),vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,27,27
SAN JOSE DE CHIQUITOS,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,49,49
SAN JUAN DE YAPACANI,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,11,11
SAN JULIAN,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,110,110
SAN LORENZO(PND),vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,9,9
SAN LORENZO(TJA),vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,31,31
SAN LUCAS,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,54,54
SAN MATIAS,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,46,46
SAN MIGUEL DE VELASCO,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,4,4
SAN PEDRO,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,9,9
SAN PEDRO(PND),vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,3,3
SAN RAFAEL,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,6,6
SAN RAMON BENI,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,21,21
SAN RAMON SCZ,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,24,24
SANTA ANA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,31,31
SANTA CRUZ DE LA SIERRA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,3413,3413
SANTA ROSA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,14,14
SANTA ROSA DEL SARA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,14,14
SANTIAGO DE HUARI,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,10,10
SANTIAGO DE MACHACA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,2,2
SANTIVAÑES,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,13,13
SENA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,23,23
SHINAOTA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,69,69
SICAYA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,3,3
SIPE SIPE,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,124,124
SOPACHUY,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,10,10
SORACACHI,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,2,2
SORATA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,10,10
SUCRE,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,1597,1597
TAPACARI,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,25,25
TARABUCO,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,23,23
TARATA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,47,47
TARIJA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,305,305
TARVITA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,19,19
TEOPONTE,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,24,24
TIAWANACU,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,12,12
TINGUIPAYA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,2,2
TIQUIPAYA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,239,239
TIRAQUE (CBBA),vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,51,51
TOLATA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,11,11
TOMINA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,12,12
TORO TORO,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,24,24
TOTORA(CBBA),vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,66,66
TOTORA(ORR),vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,2,2
TRINIDAD,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,93,93
TUPIZA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,45,45
TURCO,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,5,5
UNCIA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,21,21
URIONDO (A. CONCEPCION),vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,2,2
URUBICHA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,18,18
UYUNI,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,127,127
VALLEGRANDE,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,57,57
VIACHA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,236,236
VILLA CHARCAS,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,34,34
VILLA MONTES,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,175,175
VILLA NUEVA (LOMA ALTA),vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,2,2
VILLA RIVERO,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,9,9
VILLA SERRANO,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,13,13
VILLA TUNARI,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,362,362
VILLA VACA GUZMAN (MUYUPAMPA),vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,12,12
VILLAZON,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,60,60
VINTO,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,173,173
VITICHI,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,9,9
WARNES,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,303,303
YACO,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,2,2
YACUIBA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,158,158
YAMPARAEZ,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,13,13
YAPACANI,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,211,211
YOTALA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,11,11
YUNCHARA,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,7,7
ZUDAÑEZ,vih,total no de mujeres embarazadas con prueba rapida,2015-07-01,0,16,16
ACACIO,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,15,15
ACHACACHI,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,96,96
AIQUILE,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,79,79
ALCALA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,6,6
ANDAMARCA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,4,4
ANTEQUERA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,2,2
APOLO,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,17,17
ARBIETO,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,18,18
ARQUE,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,11,11
ASCENCION DE GUARAYOS,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,125,125
AYOPAYA (V. DE INDEPENDENCIA),vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,33,33
AZURDUY,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,14,14
BELEN DE ANDAMARCA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,1,1
BELLA FLOR,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,1,1
BERMEJO,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,121,121
BETANZOS,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,28,28
BOLIVAR,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,5,5
BOLPEBRA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,1,1
BOYUIBE,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,5,5
BUENA VISTA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,1,1
CABEZAS,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,40,40
"CAIZA ""D""",vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,10,10
CAMARGO,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,28,28
CAMATAQUI (C. VILLA ABECIA),vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,2,2
CAMIRI,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,211,211
CAPINOTA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,47,47
CARACOLLO,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,26,26
CARANAVI,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,117,117
CARAPARI,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,26,26
CARIPUYO,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,4,4
CARMEN RIVERO TORREZ,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,6,6
CHALLAPATA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,146,146
CHAQUI,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,17,17
CHARAGUA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,67,67
CHAYANTA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,8,8
CHIMORE,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,95,95
CHIPAYA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,3,3
CHOQUE COTA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,52,52
CHUQUIHUTA AYLLU JUCUMANI,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,14,14
CKOCHAS,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,1,1
CLIZA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,87,87
COBIJA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,163,163
COCHABAMBA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,1059,1059
COLCAPIRHUA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,114,114
"COLCHA ""K""",vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,5,5
COLOMI,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,12,12
COMARAPA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,57,57
COROICO,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,65,65
CORQUE,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,8,8
COTAGAITA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,1,1
COTOCA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,172,172
CUATRO CAÑADAS,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,8,8
CUEVO,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,1,1
CULPINA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,35,35
EL ALTO,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,1829,1829
EL PUENTE(STC),vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,31,31
EL PUENTE(TJA),vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,20,20
EL TORNO,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,216,216
EL VILLAR,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,3,3
ENTRE RIOS TRJ,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,21,21
ENTRE RIOS CBBA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,84,84
EUCALIPTUS,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,5,5
EUREKA (SANTOS MERCADO),vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,1,1
FERNANDEZ ALONSO,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,2,2
FILADELFIA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,11,11
GENERAL SAAVEDRA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,38,38
GRAL. J.J. PEREZ (CHARAZANI),vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,2,2
GUANAY,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,7,7
GUAQUI,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,13,13
GUAYARAMERIN,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,238,238
GUTIERREZ,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,5,5
HUACARETA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,21,21
HUACAYA (VILLA DE HUACAYA),vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,4,4
HUACHACALLA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,1,1
HUANUNI,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,56,56
HUAYLLAMARCA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,5,5
ICLA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,10,10
INCAHUASI,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,13,13
INGAVI (HUMAITA),vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,17,17
IRUPANA (VILLA DE LANZA),vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,26,26
JESUS DE MACHACA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,3,3
LA ASUNTA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,78,78
LA GUARDIA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,184,184
LA PAZ,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,1793,1793
LAJA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,10,10
LAS CARRERAS,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,3,3
LLALLAGUA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,229,229
LLICA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,6,6
MACHACAMARCA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,9,9
MACHARETI,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,19,19
MAIRANA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,29,29
MAPIRI,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,34,34
MIZQUE,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,63,63
MOJINETE,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,1,1
MOJOCOYA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,14,14
MONTEAGUDO,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,58,58
MONTERO,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,434,434
MOROCHATA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,6,6
NACEBE (SANTA ROSA DEL ABUNA),vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,11,11
NUEVO MANOA (NUEVA ESPERANZA),vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,4,4
OCURI,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,9,9
ORURO,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,1082,1082
PADCAYA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,46,46
PADILLA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,12,12
PAILON,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,110,110
PASORAPA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,2,2
POJO (CBBA),vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,26,26
POOPO,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,7,7
PORCO,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,25,25
POROMA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,30,30
PORONGO,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,15,15
PORTACHUELO,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,45,45
PORVENIR,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,21,21
POSTRER VALLE,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,1,1
POTOSI,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,439,439
PRESTO,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,13,13
PUCARANI,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,21,21
PUERTO GONZALO MORENO,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,10,10
PUERTO QUIJARRO,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,8,8
PUERTO RICO,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,28,28
PUERTO SUAREZ,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,41,41
PUERTO VILLARROEL,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,239,239
PUNA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,11,11
PUNATA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,132,132
QUILLACOLLO,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,403,403
QUIME,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,44,44
RAVELO,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,7,7
RIBERALTA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,597,597
ROBORE,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,49,49
RURRENABAQUE,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,55,55
SABAYA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,8,8
SACABA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,531,531
SACABAMBA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,2,2
SACACA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,3,3
SAIPINA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,15,15
SALINAS DE GARCI MENDOZA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,6,6
SAMAIPATA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,12,12
SAN ANTONIO DE LOMERIO,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,4,4
SAN BENITO,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,24,24
SAN BORJA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,23,23
SAN BUENA VENTURA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,19,19
SAN CARLOS,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,86,86
SAN IGNACIO,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,36,36
SAN IGNACIO DE VELASCO,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,116,116
SAN JAVIER(STC),vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,25,25
SAN JOSE DE CHIQUITOS,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,90,90
SAN JUAN DE YAPACANI,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,16,16
SAN JULIAN,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,101,101
SAN LORENZO(PND),vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,17,17
SAN LORENZO(TJA),vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,41,41
SAN LUCAS,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,61,61
SAN MATIAS,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,44,44
SAN MIGUEL DE VELASCO,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,14,14
SAN PEDRO,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,6,6
SAN PEDRO DE CURAHUARA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,1,1
SAN PEDRO(PND),vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,2,2
SAN RAFAEL,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,14,14
SAN RAMON BENI,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,24,24
SAN RAMON SCZ,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,26,26
SANTA ANA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,46,46
SANTA CRUZ DE LA SIERRA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,3941,3941
SANTA ROSA DEL SARA,vih,total no de mujeres embarazadas con prueba rapida,2015-08-01,0,12,12
