,group,variable,month,TOTAL Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTAL Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
ENTRE RIOS TRJ,vih,total no de personas con prueba rapida,2015-05-01,4,10,14
ENTRE RIOS CBBA,vih,total no de personas con prueba rapida,2015-05-01,9,14,23
EUREKA (SANTOS MERCADO),vih,total no de personas con prueba rapida,2015-05-01,0,3,3
FILADELFIA,vih,total no de personas con prueba rapida,2015-05-01,10,1,11
GENERAL SAAVEDRA,vih,total no de personas con prueba rapida,2015-05-01,3,1,4
GRAL. J.J. PEREZ (CHARAZANI),vih,total no de personas con prueba rapida,2015-05-01,0,1,1
GUANAY,vih,total no de personas con prueba rapida,2015-05-01,2,0,2
GUAQUI,vih,total no de personas con prueba rapida,2015-05-01,0,4,4
GUAYARAMERIN,vih,total no de personas con prueba rapida,2015-05-01,33,48,81
GUTIERREZ,vih,total no de personas con prueba rapida,2015-05-01,2,5,7
HUACARETA,vih,total no de personas con prueba rapida,2015-05-01,1,1,2
HUACAYA (VILLA DE HUACAYA),vih,total no de personas con prueba rapida,2015-05-01,0,2,2
HUANUNI,vih,total no de personas con prueba rapida,2015-05-01,6,39,45
HUATAJATA,vih,total no de personas con prueba rapida,2015-05-01,1,0,1
INCAHUASI,vih,total no de personas con prueba rapida,2015-05-01,0,2,2
IRUPANA (VILLA DE LANZA),vih,total no de personas con prueba rapida,2015-05-01,3,0,3
LA ASUNTA,vih,total no de personas con prueba rapida,2015-05-01,21,31,52
LA GUARDIA,vih,total no de personas con prueba rapida,2015-05-01,3,4,7
LA PAZ,vih,total no de personas con prueba rapida,2015-05-01,182,636,818
LAS CARRERAS,vih,total no de personas con prueba rapida,2015-05-01,0,2,2
LLALLAGUA,vih,total no de personas con prueba rapida,2015-05-01,8,13,21
MACHARETI,vih,total no de personas con prueba rapida,2015-05-01,0,2,2
MAIRANA,vih,total no de personas con prueba rapida,2015-05-01,1,3,4
MAPIRI,vih,total no de personas con prueba rapida,2015-05-01,2,0,2
MIZQUE,vih,total no de personas con prueba rapida,2015-05-01,1,5,6
MOJOCOYA,vih,total no de personas con prueba rapida,2015-05-01,15,17,32
MONTEAGUDO,vih,total no de personas con prueba rapida,2015-05-01,11,18,29
MONTERO,vih,total no de personas con prueba rapida,2015-05-01,364,630,994
MOROCHATA,vih,total no de personas con prueba rapida,2015-05-01,3,9,12
NACEBE (SANTA ROSA DEL ABUNA),vih,total no de personas con prueba rapida,2015-05-01,0,3,3
NUEVO MANOA (NUEVA ESPERANZA),vih,total no de personas con prueba rapida,2015-05-01,15,4,19
OCURI,vih,total no de personas con prueba rapida,2015-05-01,0,19,19
ORURO,vih,total no de personas con prueba rapida,2015-05-01,382,260,642
PADCAYA,vih,total no de personas con prueba rapida,2015-05-01,1,3,4
PADILLA,vih,total no de personas con prueba rapida,2015-05-01,15,34,49
PAILON,vih,total no de personas con prueba rapida,2015-05-01,3,18,21
PAMPA GRANDE,vih,total no de personas con prueba rapida,2015-05-01,0,25,25
POCONA,vih,total no de personas con prueba rapida,2015-05-01,0,1,1
POJO (CBBA),vih,total no de personas con prueba rapida,2015-05-01,0,1,1
PORCO,vih,total no de personas con prueba rapida,2015-05-01,3,3,6
POROMA,vih,total no de personas con prueba rapida,2015-05-01,0,1,1
PORONGO,vih,total no de personas con prueba rapida,2015-05-01,5,2,7
PORTACHUELO,vih,total no de personas con prueba rapida,2015-05-01,4,12,16
PORVENIR,vih,total no de personas con prueba rapida,2015-05-01,1,3,4
POTOSI,vih,total no de personas con prueba rapida,2015-05-01,39,62,101
PRESTO,vih,total no de personas con prueba rapida,2015-05-01,1,0,1
PUERTO GONZALO MORENO,vih,total no de personas con prueba rapida,2015-05-01,5,28,33
PUERTO QUIJARRO,vih,total no de personas con prueba rapida,2015-05-01,37,15,52
PUERTO RICO,vih,total no de personas con prueba rapida,2015-05-01,0,13,13
PUERTO SUAREZ,vih,total no de personas con prueba rapida,2015-05-01,2,2,4
PUERTO VILLARROEL,vih,total no de personas con prueba rapida,2015-05-01,111,98,209
PUNA,vih,total no de personas con prueba rapida,2015-05-01,20,6,26
PUNATA,vih,total no de personas con prueba rapida,2015-05-01,26,219,245
QUILLACOLLO,vih,total no de personas con prueba rapida,2015-05-01,44,19,63
QUIME,vih,total no de personas con prueba rapida,2015-05-01,4,6,10
RAVELO,vih,total no de personas con prueba rapida,2015-05-01,0,1,1
RIBERALTA,vih,total no de personas con prueba rapida,2015-05-01,18,45,63
ROBORE,vih,total no de personas con prueba rapida,2015-05-01,0,1,1
RURRENABAQUE,vih,total no de personas con prueba rapida,2015-05-01,6,56,62
SACABA,vih,total no de personas con prueba rapida,2015-05-01,25,58,83
SACABAMBA,vih,total no de personas con prueba rapida,2015-05-01,5,3,8
SACACA,vih,total no de personas con prueba rapida,2015-05-01,0,3,3
SAN BENITO,vih,total no de personas con prueba rapida,2015-05-01,4,6,10
SAN BORJA,vih,total no de personas con prueba rapida,2015-05-01,4,5,9
SAN BUENA VENTURA,vih,total no de personas con prueba rapida,2015-05-01,3,3,6
SAN CARLOS,vih,total no de personas con prueba rapida,2015-05-01,22,24,46
SAN IGNACIO,vih,total no de personas con prueba rapida,2015-05-01,8,32,40
SAN IGNACIO DE VELASCO,vih,total no de personas con prueba rapida,2015-05-01,21,15,36
SAN JAVIER(STC),vih,total no de personas con prueba rapida,2015-05-01,2,30,32
SAN JOSE DE CHIQUITOS,vih,total no de personas con prueba rapida,2015-05-01,12,22,34
SAN JUAN DE YAPACANI,vih,total no de personas con prueba rapida,2015-05-01,13,11,24
SAN JULIAN,vih,total no de personas con prueba rapida,2015-05-01,12,34,46
SAN LORENZO(TJA),vih,total no de personas con prueba rapida,2015-05-01,21,20,41
SAN LUCAS,vih,total no de personas con prueba rapida,2015-05-01,8,52,60
SAN MATIAS,vih,total no de personas con prueba rapida,2015-05-01,3,65,68
SAN MIGUEL DE VELASCO,vih,total no de personas con prueba rapida,2015-05-01,1,0,1
SAN PEDRO,vih,total no de personas con prueba rapida,2015-05-01,5,0,5
SAN RAFAEL,vih,total no de personas con prueba rapida,2015-05-01,1,0,1
SANTA ANA,vih,total no de personas con prueba rapida,2015-05-01,5,6,11
SANTA CRUZ DE LA SIERRA,vih,total no de personas con prueba rapida,2015-05-01,295,908,1203
SHINAOTA,vih,total no de personas con prueba rapida,2015-05-01,6,15,21
SICAYA,vih,total no de personas con prueba rapida,2015-05-01,3,9,12
SIPE SIPE,vih,total no de personas con prueba rapida,2015-05-01,2,16,18
SOPACHUY,vih,total no de personas con prueba rapida,2015-05-01,2,27,29
SORATA,vih,total no de personas con prueba rapida,2015-05-01,3,4,7
SUCRE,vih,total no de personas con prueba rapida,2015-05-01,240,254,494
TACOPAYA,vih,total no de personas con prueba rapida,2015-05-01,0,12,12
TAPACARI,vih,total no de personas con prueba rapida,2015-05-01,2,5,7
TARABUCO,vih,total no de personas con prueba rapida,2015-05-01,6,7,13
TARIJA,vih,total no de personas con prueba rapida,2015-05-01,87,188,275
TARVITA,vih,total no de personas con prueba rapida,2015-05-01,1,10,11
TEOPONTE,vih,total no de personas con prueba rapida,2015-05-01,0,2,2
TIPUANI,vih,total no de personas con prueba rapida,2015-05-01,3,1,4
TIQUIPAYA,vih,total no de personas con prueba rapida,2015-05-01,21,59,80
TITO YUPANQUI (PARQUIPUJIO),vih,total no de personas con prueba rapida,2015-05-01,33,15,48
TOLATA,vih,total no de personas con prueba rapida,2015-05-01,0,2,2
TOMINA,vih,total no de personas con prueba rapida,2015-05-01,1,8,9
TOTORA(CBBA),vih,total no de personas con prueba rapida,2015-05-01,7,6,13
TRINIDAD,vih,total no de personas con prueba rapida,2015-05-01,22,93,115
TUPIZA,vih,total no de personas con prueba rapida,2015-05-01,2,11,13
UNCIA,vih,total no de personas con prueba rapida,2015-05-01,21,48,69
URUBICHA,vih,total no de personas con prueba rapida,2015-05-01,7,16,23
UYUNI,vih,total no de personas con prueba rapida,2015-05-01,0,25,25
VACAS,vih,total no de personas con prueba rapida,2015-05-01,0,11,11
VALLEGRANDE,vih,total no de personas con prueba rapida,2015-05-01,2,2,4
VIACHA,vih,total no de personas con prueba rapida,2015-05-01,154,170,324
VILLA CHARCAS,vih,total no de personas con prueba rapida,2015-05-01,3,13,16
VILLA MONTES,vih,total no de personas con prueba rapida,2015-05-01,28,33,61
VILLA RIVERO,vih,total no de personas con prueba rapida,2015-05-01,0,7,7
VILLA SERRANO,vih,total no de personas con prueba rapida,2015-05-01,4,16,20
VILLA TUNARI,vih,total no de personas con prueba rapida,2015-05-01,59,122,181
VILLA VACA GUZMAN (MUYUPAMPA),vih,total no de personas con prueba rapida,2015-05-01,67,13,80
VILLAZON,vih,total no de personas con prueba rapida,2015-05-01,25,21,46
VINTO,vih,total no de personas con prueba rapida,2015-05-01,20,37,57
VITICHI,vih,total no de personas con prueba rapida,2015-05-01,0,11,11
WARNES,vih,total no de personas con prueba rapida,2015-05-01,12,19,31
YACO,vih,total no de personas con prueba rapida,2015-05-01,0,4,4
YACUIBA,vih,total no de personas con prueba rapida,2015-05-01,13,29,42
YAPACANI,vih,total no de personas con prueba rapida,2015-05-01,24,31,55
YOTALA,vih,total no de personas con prueba rapida,2015-05-01,0,6,6
YUNCHARA,vih,total no de personas con prueba rapida,2015-05-01,3,7,10
ZUDAÑEZ,vih,total no de personas con prueba rapida,2015-05-01,2,34,36
ACHACACHI,vih,total no de personas con prueba rapida,2015-06-01,29,26,55
AIQUILE,vih,total no de personas con prueba rapida,2015-06-01,14,28,42
ALCALA,vih,total no de personas con prueba rapida,2015-06-01,14,6,20
ANDAMARCA,vih,total no de personas con prueba rapida,2015-06-01,3,30,33
ANZALDO,vih,total no de personas con prueba rapida,2015-06-01,0,1,1
ARANI,vih,total no de personas con prueba rapida,2015-06-01,0,2,2
ARBIETO,vih,total no de personas con prueba rapida,2015-06-01,1,2,3
ASCENCION DE GUARAYOS,vih,total no de personas con prueba rapida,2015-06-01,72,207,279
ATOCHA,vih,total no de personas con prueba rapida,2015-06-01,0,14,14
AYOPAYA (V. DE INDEPENDENCIA),vih,total no de personas con prueba rapida,2015-06-01,1,4,5
AZURDUY,vih,total no de personas con prueba rapida,2015-06-01,1,22,23
BELEN DE URMIRI,vih,total no de personas con prueba rapida,2015-06-01,0,1,1
BELLA FLOR,vih,total no de personas con prueba rapida,2015-06-01,3,8,11
BERMEJO,vih,total no de personas con prueba rapida,2015-06-01,54,60,114
BETANZOS,vih,total no de personas con prueba rapida,2015-06-01,1,0,1
BOLPEBRA,vih,total no de personas con prueba rapida,2015-06-01,0,3,3
CABEZAS,vih,total no de personas con prueba rapida,2015-06-01,2,8,10
"CAIZA ""D""",vih,total no de personas con prueba rapida,2015-06-01,0,1,1
CAMARGO,vih,total no de personas con prueba rapida,2015-06-01,4,38,42
CAMATAQUI (C. VILLA ABECIA),vih,total no de personas con prueba rapida,2015-06-01,0,5,5
CAMIRI,vih,total no de personas con prueba rapida,2015-06-01,18,25,43
CAPINOTA,vih,total no de personas con prueba rapida,2015-06-01,11,5,16
CARACOLLO,vih,total no de personas con prueba rapida,2015-06-01,65,52,117
CARANAVI,vih,total no de personas con prueba rapida,2015-06-01,38,26,64
CARAPARI,vih,total no de personas con prueba rapida,2015-06-01,0,1,1
CARMEN RIVERO TORREZ,vih,total no de personas con prueba rapida,2015-06-01,3,1,4
CHALLAPATA,vih,total no de personas con prueba rapida,2015-06-01,6,122,128
CHAQUI,vih,total no de personas con prueba rapida,2015-06-01,0,1,1
CHARAGUA,vih,total no de personas con prueba rapida,2015-06-01,3,4,7
CHIMORE,vih,total no de personas con prueba rapida,2015-06-01,6,9,15
CHULUMANI (V. DE LA LIBERTAD),vih,total no de personas con prueba rapida,2015-06-01,6,10,16
CHUMA,vih,total no de personas con prueba rapida,2015-06-01,3,6,9
CLIZA,vih,total no de personas con prueba rapida,2015-06-01,2,2,4
COBIJA,vih,total no de personas con prueba rapida,2015-06-01,19,66,85
COCHABAMBA,vih,total no de personas con prueba rapida,2015-06-01,179,247,426
COLCAPIRHUA,vih,total no de personas con prueba rapida,2015-06-01,14,12,26
COLOMI,vih,total no de personas con prueba rapida,2015-06-01,1,0,1
COLQUIRI,vih,total no de personas con prueba rapida,2015-06-01,1,0,1
COMARAPA,vih,total no de personas con prueba rapida,2015-06-01,7,6,13
COROICO,vih,total no de personas con prueba rapida,2015-06-01,2,2,4
CORQUE,vih,total no de personas con prueba rapida,2015-06-01,0,1,1
COTAGAITA,vih,total no de personas con prueba rapida,2015-06-01,1,0,1
COTOCA,vih,total no de personas con prueba rapida,2015-06-01,6,0,6
CUATRO CAÑADAS,vih,total no de personas con prueba rapida,2015-06-01,1,0,1
CULPINA,vih,total no de personas con prueba rapida,2015-06-01,0,35,35
DESAGUADERO,vih,total no de personas con prueba rapida,2015-06-01,1,9,10
EL ALTO,vih,total no de personas con prueba rapida,2015-06-01,216,1370,1586
EL PUENTE(STC),vih,total no de personas con prueba rapida,2015-06-01,10,11,21
EL TORNO,vih,total no de personas con prueba rapida,2015-06-01,46,199,245
EL VILLAR,vih,total no de personas con prueba rapida,2015-06-01,1,1,2
ENTRE RIOS TRJ,vih,total no de personas con prueba rapida,2015-06-01,8,9,17
ENTRE RIOS CBBA,vih,total no de personas con prueba rapida,2015-06-01,3,20,23
FILADELFIA,vih,total no de personas con prueba rapida,2015-06-01,9,12,21
GENERAL SAAVEDRA,vih,total no de personas con prueba rapida,2015-06-01,2,1,3
GUAYARAMERIN,vih,total no de personas con prueba rapida,2015-06-01,62,124,186
GUTIERREZ,vih,total no de personas con prueba rapida,2015-06-01,2,4,6
HUACARETA,vih,total no de personas con prueba rapida,2015-06-01,0,17,17
HUACAYA (VILLA DE HUACAYA),vih,total no de personas con prueba rapida,2015-06-01,0,2,2
HUANUNI,vih,total no de personas con prueba rapida,2015-06-01,11,54,65
HUAYLLAMARCA,vih,total no de personas con prueba rapida,2015-06-01,0,2,2
ICLA,vih,total no de personas con prueba rapida,2015-06-01,0,1,1
INCAHUASI,vih,total no de personas con prueba rapida,2015-06-01,17,29,46
IRUPANA (VILLA DE LANZA),vih,total no de personas con prueba rapida,2015-06-01,5,3,8
LA ASUNTA,vih,total no de personas con prueba rapida,2015-06-01,3,2,5
LA GUARDIA,vih,total no de personas con prueba rapida,2015-06-01,9,10,19
LA PAZ,vih,total no de personas con prueba rapida,2015-06-01,173,644,817
LAS CARRERAS,vih,total no de personas con prueba rapida,2015-06-01,0,1,1
LLALLAGUA,vih,total no de personas con prueba rapida,2015-06-01,28,35,63
MACHARETI,vih,total no de personas con prueba rapida,2015-06-01,4,3,7
MAIRANA,vih,total no de personas con prueba rapida,2015-06-01,1,6,7
MAPIRI,vih,total no de personas con prueba rapida,2015-06-01,2,1,3
MIZQUE,vih,total no de personas con prueba rapida,2015-06-01,5,4,9
MOJOCOYA,vih,total no de personas con prueba rapida,2015-06-01,0,1,1
MONTEAGUDO,vih,total no de personas con prueba rapida,2015-06-01,12,39,51
MONTERO,vih,total no de personas con prueba rapida,2015-06-01,451,627,1078
MOROCHATA,vih,total no de personas con prueba rapida,2015-06-01,1,6,7
NACEBE (SANTA ROSA DEL ABUNA),vih,total no de personas con prueba rapida,2015-06-01,0,4,4
NUEVO MANOA (NUEVA ESPERANZA),vih,total no de personas con prueba rapida,2015-06-01,1,4,5
OCURI,vih,total no de personas con prueba rapida,2015-06-01,0,16,16
ORURO,vih,total no de personas con prueba rapida,2015-06-01,135,318,453
PADCAYA,vih,total no de personas con prueba rapida,2015-06-01,0,23,23
PADILLA,vih,total no de personas con prueba rapida,2015-06-01,5,33,38
PAILON,vih,total no de personas con prueba rapida,2015-06-01,14,33,47
PAMPA GRANDE,vih,total no de personas con prueba rapida,2015-06-01,6,0,6
PASORAPA,vih,total no de personas con prueba rapida,2015-06-01,1,1,2
POJO (CBBA),vih,total no de personas con prueba rapida,2015-06-01,5,10,15
PORCO,vih,total no de personas con prueba rapida,2015-06-01,1,5,6
POROMA,vih,total no de personas con prueba rapida,2015-06-01,0,1,1
PORONGO,vih,total no de personas con prueba rapida,2015-06-01,1,8,9
PORTACHUELO,vih,total no de personas con prueba rapida,2015-06-01,12,29,41
PORVENIR,vih,total no de personas con prueba rapida,2015-06-01,1,3,4
POTOSI,vih,total no de personas con prueba rapida,2015-06-01,489,17,506
PRESTO,vih,total no de personas con prueba rapida,2015-06-01,35,24,59
PUCARANI,vih,total no de personas con prueba rapida,2015-06-01,1,0,1
PUERTO GONZALO MORENO,vih,total no de personas con prueba rapida,2015-06-01,11,11,22
PUERTO PEREZ,vih,total no de personas con prueba rapida,2015-06-01,2,2,4
PUERTO QUIJARRO,vih,total no de personas con prueba rapida,2015-06-01,28,102,130
PUERTO RICO,vih,total no de personas con prueba rapida,2015-06-01,0,14,14
PUERTO SUAREZ,vih,total no de personas con prueba rapida,2015-06-01,24,75,99
PUERTO VILLARROEL,vih,total no de personas con prueba rapida,2015-06-01,84,139,223
PUNA,vih,total no de personas con prueba rapida,2015-06-01,11,18,29
PUNATA,vih,total no de personas con prueba rapida,2015-06-01,13,177,190
QUILLACOLLO,vih,total no de personas con prueba rapida,2015-06-01,10,50,60
QUIME,vih,total no de personas con prueba rapida,2015-06-01,7,6,13
RAVELO,vih,total no de personas con prueba rapida,2015-06-01,0,49,49
RIBERALTA,vih,total no de personas con prueba rapida,2015-06-01,10,84,94
ROBORE,vih,total no de personas con prueba rapida,2015-06-01,3,3,6
RURRENABAQUE,vih,total no de personas con prueba rapida,2015-06-01,1,23,24
SACABA,vih,total no de personas con prueba rapida,2015-06-01,22,51,73
SACABAMBA,vih,total no de personas con prueba rapida,2015-06-01,6,3,9
SACACA,vih,total no de personas con prueba rapida,2015-06-01,0,1,1
SAMAIPATA,vih,total no de personas con prueba rapida,2015-06-01,4,0,4
SAN ANTONIO DE LOMERIO,vih,total no de personas con prueba rapida,2015-06-01,1,0,1
SAN BENITO,vih,total no de personas con prueba rapida,2015-06-01,3,2,5
SAN BORJA,vih,total no de personas con prueba rapida,2015-06-01,7,14,21
SAN BUENA VENTURA,vih,total no de personas con prueba rapida,2015-06-01,3,1,4
SAN CARLOS,vih,total no de personas con prueba rapida,2015-06-01,26,22,48
SAN IGNACIO,vih,total no de personas con prueba rapida,2015-06-01,1,19,20
SAN IGNACIO DE VELASCO,vih,total no de personas con prueba rapida,2015-06-01,37,41,78
SAN JAVIER(STC),vih,total no de personas con prueba rapida,2015-06-01,0,30,30
SAN JOSE DE CHIQUITOS,vih,total no de personas con prueba rapida,2015-06-01,0,171,171
SAN JULIAN,vih,total no de personas con prueba rapida,2015-06-01,3,27,30
SAN LORENZO(TJA),vih,total no de personas con prueba rapida,2015-06-01,1,2,3
SAN LUCAS,vih,total no de personas con prueba rapida,2015-06-01,3,56,59
SAN MATIAS,vih,total no de personas con prueba rapida,2015-06-01,0,41,41
SAN PEDRO,vih,total no de personas con prueba rapida,2015-06-01,28,28,56
SAN RAMON BENI,vih,total no de personas con prueba rapida,2015-06-01,3,0,3
SAN RAMON SCZ,vih,total no de personas con prueba rapida,2015-06-01,2,0,2
SANTA ANA,vih,total no de personas con prueba rapida,2015-06-01,2,3,5
SANTA CRUZ DE LA SIERRA,vih,total no de personas con prueba rapida,2015-06-01,520,1471,1991
SANTA ROSA DEL SARA,vih,total no de personas con prueba rapida,2015-06-01,2,0,2
SANTUARIO DE QUILLACAS,vih,total no de personas con prueba rapida,2015-06-01,0,30,30
SENA,vih,total no de personas con prueba rapida,2015-06-01,1,1,2
SHINAOTA,vih,total no de personas con prueba rapida,2015-06-01,5,31,36
SICAYA,vih,total no de personas con prueba rapida,2015-06-01,2,2,4
SIPE SIPE,vih,total no de personas con prueba rapida,2015-06-01,4,23,27
SOPACHUY,vih,total no de personas con prueba rapida,2015-06-01,8,11,19
SORATA,vih,total no de personas con prueba rapida,2015-06-01,5,7,12
SUCRE,vih,total no de personas con prueba rapida,2015-06-01,185,340,525
TACOPAYA,vih,total no de personas con prueba rapida,2015-06-01,1,2,3
TAPACARI,vih,total no de personas con prueba rapida,2015-06-01,3,2,5
TARABUCO,vih,total no de personas con prueba rapida,2015-06-01,39,184,223
TARATA,vih,total no de personas con prueba rapida,2015-06-01,0,1,1
TARIJA,vih,total no de personas con prueba rapida,2015-06-01,74,179,253
TARVITA,vih,total no de personas con prueba rapida,2015-06-01,4,20,24
TEOPONTE,vih,total no de personas con prueba rapida,2015-06-01,0,18,18
TIAWANACU,vih,total no de personas con prueba rapida,2015-06-01,1,8,9
TIPUANI,vih,total no de personas con prueba rapida,2015-06-01,2,1,3
TIQUIPAYA,vih,total no de personas con prueba rapida,2015-06-01,8,49,57
TOLATA,vih,total no de personas con prueba rapida,2015-06-01,1,0,1
TOMINA,vih,total no de personas con prueba rapida,2015-06-01,60,17,77
TORO TORO,vih,total no de personas con prueba rapida,2015-06-01,1,5,6
TOTORA(CBBA),vih,total no de personas con prueba rapida,2015-06-01,7,10,17
TRINIDAD,vih,total no de personas con prueba rapida,2015-06-01,308,139,447
TUPIZA,vih,total no de personas con prueba rapida,2015-06-01,3,6,9
UNCIA,vih,total no de personas con prueba rapida,2015-06-01,2,15,17
URUBICHA,vih,total no de personas con prueba rapida,2015-06-01,8,5,13
UYUNI,vih,total no de personas con prueba rapida,2015-06-01,5,35,40
VACAS,vih,total no de personas con prueba rapida,2015-06-01,0,17,17
VALLEGRANDE,vih,total no de personas con prueba rapida,2015-06-01,9,11,20
VIACHA,vih,total no de personas con prueba rapida,2015-06-01,18,189,207
VILLA CHARCAS,vih,total no de personas con prueba rapida,2015-06-01,3,14,17
VILLA MONTES,vih,total no de personas con prueba rapida,2015-06-01,19,33,52
VILLA SERRANO,vih,total no de personas con prueba rapida,2015-06-01,0,5,5
VILLA TUNARI,vih,total no de personas con prueba rapida,2015-06-01,7,46,53
VILLA VACA GUZMAN (MUYUPAMPA),vih,total no de personas con prueba rapida,2015-06-01,50,65,115
VILLAZON,vih,total no de personas con prueba rapida,2015-06-01,11,21,32
VINTO,vih,total no de personas con prueba rapida,2015-06-01,8,58,66
VITICHI,vih,total no de personas con prueba rapida,2015-06-01,0,7,7
WARNES,vih,total no de personas con prueba rapida,2015-06-01,26,28,54
YACO,vih,total no de personas con prueba rapida,2015-06-01,0,1,1
YACUIBA,vih,total no de personas con prueba rapida,2015-06-01,11,46,57
YAPACANI,vih,total no de personas con prueba rapida,2015-06-01,19,23,42
YOTALA,vih,total no de personas con prueba rapida,2015-06-01,1,2,3
YUNCHARA,vih,total no de personas con prueba rapida,2015-06-01,13,27,40
ZUDAÑEZ,vih,total no de personas con prueba rapida,2015-06-01,3,2,5
ACHACACHI,vih,total no de personas con prueba rapida,2015-07-01,22,29,51
AIQUILE,vih,total no de personas con prueba rapida,2015-07-01,9,22,31
ALCALA,vih,total no de personas con prueba rapida,2015-07-01,5,5,10
ANCORAIMES,vih,total no de personas con prueba rapida,2015-07-01,0,1,1
ANDAMARCA,vih,total no de personas con prueba rapida,2015-07-01,1,23,24
APOLO,vih,total no de personas con prueba rapida,2015-07-01,1,25,26
ARBIETO,vih,total no de personas con prueba rapida,2015-07-01,17,5,22
ARQUE,vih,total no de personas con prueba rapida,2015-07-01,0,6,6
ASCENCION DE GUARAYOS,vih,total no de personas con prueba rapida,2015-07-01,61,217,278
AYOPAYA (V. DE INDEPENDENCIA),vih,total no de personas con prueba rapida,2015-07-01,0,6,6
AZURDUY,vih,total no de personas con prueba rapida,2015-07-01,5,32,37
BELEN DE ANDAMARCA,vih,total no de personas con prueba rapida,2015-07-01,1,0,1
BERMEJO,vih,total no de personas con prueba rapida,2015-07-01,0,33,33
CABEZAS,vih,total no de personas con prueba rapida,2015-07-01,4,14,18
"CAIZA ""D""",vih,total no de personas con prueba rapida,2015-07-01,2,0,2
CAMARGO,vih,total no de personas con prueba rapida,2015-07-01,8,135,143
CAMATAQUI (C. VILLA ABECIA),vih,total no de personas con prueba rapida,2015-07-01,0,3,3
CAMIRI,vih,total no de personas con prueba rapida,2015-07-01,89,94,183
CAPINOTA,vih,total no de personas con prueba rapida,2015-07-01,7,16,23
CARACOLLO,vih,total no de personas con prueba rapida,2015-07-01,2,4,6
CARANAVI,vih,total no de personas con prueba rapida,2015-07-01,47,18,65
CARAPARI,vih,total no de personas con prueba rapida,2015-07-01,1,0,1
CARMEN RIVERO TORREZ,vih,total no de personas con prueba rapida,2015-07-01,8,13,21
CHALLAPATA,vih,total no de personas con prueba rapida,2015-07-01,22,206,228
CHAQUI,vih,total no de personas con prueba rapida,2015-07-01,0,2,2
CHARAGUA,vih,total no de personas con prueba rapida,2015-07-01,0,1,1
CHIMORE,vih,total no de personas con prueba rapida,2015-07-01,2,25,27
CHOQUE COTA,vih,total no de personas con prueba rapida,2015-07-01,2,10,12
CHULUMANI (V. DE LA LIBERTAD),vih,total no de personas con prueba rapida,2015-07-01,6,14,20
CHUMA,vih,total no de personas con prueba rapida,2015-07-01,2,2,4
CLIZA,vih,total no de personas con prueba rapida,2015-07-01,4,79,83
COBIJA,vih,total no de personas con prueba rapida,2015-07-01,26,83,109
COCAPATA,vih,total no de personas con prueba rapida,2015-07-01,0,2,2
COCHABAMBA,vih,total no de personas con prueba rapida,2015-07-01,189,372,561
COLCAPIRHUA,vih,total no de personas con prueba rapida,2015-07-01,2,23,25
COMARAPA,vih,total no de personas con prueba rapida,2015-07-01,81,134,215
CONCEPCION,vih,total no de personas con prueba rapida,2015-07-01,0,12,12
CORO CORO,vih,total no de personas con prueba rapida,2015-07-01,2,0,2
COTAGAITA,vih,total no de personas con prueba rapida,2015-07-01,1,1,2
CULPINA,vih,total no de personas con prueba rapida,2015-07-01,5,6,11
DESAGUADERO,vih,total no de personas con prueba rapida,2015-07-01,3,7,10
EL ALTO,vih,total no de personas con prueba rapida,2015-07-01,295,1286,1581
EL PUENTE(STC),vih,total no de personas con prueba rapida,2015-07-01,15,14,29
EL PUENTE(TJA),vih,total no de personas con prueba rapida,2015-07-01,0,1,1
EL TORNO,vih,total no de personas con prueba rapida,2015-07-01,48,100,148
EL VILLAR,vih,total no de personas con prueba rapida,2015-07-01,0,2,2
ENTRE RIOS TRJ,vih,total no de personas con prueba rapida,2015-07-01,8,2,10
ENTRE RIOS CBBA,vih,total no de personas con prueba rapida,2015-07-01,0,2,2
EUCALIPTUS,vih,total no de personas con prueba rapida,2015-07-01,0,4,4
FERNANDEZ ALONSO,vih,total no de personas con prueba rapida,2015-07-01,6,14,20
FILADELFIA,vih,total no de personas con prueba rapida,2015-07-01,1,2,3
GRAL. J.J. PEREZ (CHARAZANI),vih,total no de personas con prueba rapida,2015-07-01,1,0,1
GUAQUI,vih,total no de personas con prueba rapida,2015-07-01,4,3,7
GUAYARAMERIN,vih,total no de personas con prueba rapida,2015-07-01,45,76,121
GUTIERREZ,vih,total no de personas con prueba rapida,2015-07-01,3,6,9
HUACAYA (VILLA DE HUACAYA),vih,total no de personas con prueba rapida,2015-07-01,0,1,1
HUACHACALLA,vih,total no de personas con prueba rapida,2015-07-01,0,2,2
HUANUNI,vih,total no de personas con prueba rapida,2015-07-01,13,64,77
ICLA,vih,total no de personas con prueba rapida,2015-07-01,0,1,1
INCAHUASI,vih,total no de personas con prueba rapida,2015-07-01,1,0,1
IRUPANA (VILLA DE LANZA),vih,total no de personas con prueba rapida,2015-07-01,2,1,3
LA ASUNTA,vih,total no de personas con prueba rapida,2015-07-01,2,4,6
LA GUARDIA,vih,total no de personas con prueba rapida,2015-07-01,45,116,161
LA PAZ,vih,total no de personas con prueba rapida,2015-07-01,164,638,802
LAS CARRERAS,vih,total no de personas con prueba rapida,2015-07-01,0,3,3
