,group,variable,month,VACUNACIONES SRP,VACUNACIONES SRP,TOTALES,TOTALES,TOTALES
CARANAVI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,91,73,91,73,164
CARAPARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,5,12,5,12,17
CARIPUYO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,0,27,0,27,27
CARMEN RIVERO TORREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,4,5,4,5,9
CHACARILLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,4,0,4,0,4
CHALLAPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,28,32,28,32,60
CHAQUI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,8,17,8,17,25
CHARAGUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,15,56,15,56,71
CHAYANTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,7,20,7,20,27
CHIMORE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,27,31,27,31,58
CHIPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,5,0,5,0,5
CHULUMANI (V. DE LA LIBERTAD),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,15,9,15,9,24
CHUMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,8,15,8,15,23
CLIZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,10,21,10,21,31
COBIJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,67,19,67,19,86
COCHABAMBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,1137,101,1137,101,1238
COIPASA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,2,0,2,0,2
COLCAPIRHUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,73,39,73,39,112
"COLCHA ""K""",vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,12,6,12,6,18
COLLANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,2,1,2,1,3
COLOMI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,31,4,31,4,35
COLPA BELGICA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,10,8,10,8,18
COLQUECHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,17,85,17,85,102
COLQUENCHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,12,4,12,4,16
COLQUIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,2,19,2,19,21
COMANCHE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,3,1,3,1,4
COMARAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,23,10,23,10,33
COMBAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,0,3,0,3,3
CONCEPCION,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,23,0,23,0,23
COPACABANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,4,14,4,14,18
CORIPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,14,4,14,4,18
CORO CORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,0,9,0,9,9
COROICO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,18,8,18,8,26
CORQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,4,3,4,3,7
COTAGAITA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,10,41,10,41,51
COTOCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,85,25,85,25,110
CUATRO CAÑADAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,20,28,20,28,48
CUCHUMUELA (V. G. VILLARROEL),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,4,1,4,1,5
CUEVO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,4,1,4,1,5
CULPINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,17,15,17,15,32
CURAHUARA DE CARANGAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,4,7,4,7,11
CURVA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,2,10,2,10,12
DESAGUADERO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,1,0,1,0,1
EL ALTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,1310,179,1310,179,1489
EL CHORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,2,7,2,7,9
EL PUENTE(STC),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,14,18,14,18,32
EL PUENTE(TJA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,8,7,8,7,15
EL TORNO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,77,7,77,7,84
EL VILLAR,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,6,1,6,1,7
ENTRE RIOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,37,40,37,40,77
ENTRE RIOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,16,8,16,8,24
EUCALIPTUS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,9,5,9,5,14
EUREKA (SANTOS MERCADO),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,0,9,0,9,9
EXALTACION,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,11,0,11,0,11
FERNANDEZ ALONSO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,13,14,13,14,27
FILADELFIA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,3,22,3,22,25
GENERAL SAAVEDRA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,36,19,36,19,55
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,15,21,15,21,36
GUANAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,15,9,15,9,24
GUAQUI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,2,9,2,9,11
GUAYARAMERIN,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,84,43,84,43,127
GUTIERREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,5,11,5,11,16
HUACARETA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,9,7,9,7,16
HUACAYA (VILLA DE HUACAYA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,4,4,4,4,8
HUANUNI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,45,1,45,1,46
HUARACAJE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,11,0,11,0,11
HUAYLLAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,0,2,0,2,2
ICHOCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,1,7,1,7,8
ICLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,7,5,7,5,12
INCAHUASI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,44,36,44,36,80
INGAVI (HUMAITA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,3,0,3,0,3
INQUISIVI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,9,35,9,35,44
IRUPANA (VILLA DE LANZA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,7,9,7,9,16
IXIAMAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,10,31,10,31,41
JESUS DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,14,8,14,8,22
LA ASUNTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,31,11,31,11,42
LA GUARDIA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,94,12,94,12,106
LA PAZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,1144,83,1144,83,1227
LA RIVERA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,1,1,1,1,2
LAGUNILLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,7,0,7,0,7
LAJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,15,18,15,18,33
LAS CARRERAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,3,5,3,5,8
LICOMA PAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,1,0,1,0,1
LLALLAGUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,31,76,31,76,107
LLICA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,2,2,2,2,4
LORETO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,13,24,13,24,37
LURIBAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,6,2,6,2,8
MACHACAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,17,4,17,4,21
MACHARETI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,11,9,11,9,20
MAGDALENA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,20,24,20,24,44
MAIRANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,14,0,14,0,14
MALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,2,1,2,1,3
MAPIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,17,12,17,12,29
MECAPACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,19,17,19,17,36
MINEROS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,49,25,49,25,74
MIZQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,27,31,27,31,58
MOCOMOCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,9,15,9,15,24
MOJINETE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,3,2,3,2,5
MOJOCOYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,4,2,4,2,6
MONTEAGUDO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,24,10,24,10,34
MONTERO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,156,71,156,71,227
MORO MORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,0,2,0,2,2
MOROCHATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,23,80,23,80,103
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,0,2,0,2,2
NAZACARA DE PACAJES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,0,1,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,0,6,0,6,6
OCURI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,4,31,4,31,35
OKINAWA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,13,4,13,4,17
OMEREQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,1,9,1,9,10
ORURO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,439,14,439,14,453
PADCAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,13,12,13,12,25
PADILLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,7,7,7,7,14
PAILON,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,40,148,40,148,188
PALCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,11,21,11,21,32
PALOS BLANCOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,23,14,23,14,37
PAMPA AULLAGAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,5,1,5,1,6
PAMPA GRANDE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,7,0,7,0,7
PAPEL PAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,1,11,1,11,12
PASORAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,4,3,4,3,7
PATACAMAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,14,39,14,39,53
PAZÑA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,5,7,5,7,12
PELECHUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,3,7,3,7,10
POCOATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,14,60,14,60,74
POCONA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,6,14,6,14,20
POJO (CBBA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,27,13,27,13,40
POOPO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,6,9,6,9,15
PORCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,25,3,25,3,28
POROMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,10,32,10,32,42
PORONGO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,2,9,2,9,11
PORTACHUELO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,32,20,32,20,52
PORVENIR,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,4,0,4,0,4
POSTRER VALLE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,0,2,0,2,2
POTOSI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,307,18,307,18,325
PRESTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,0,11,0,11,11
PUCARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,0,3,0,3,3
PUCARANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,27,10,27,10,37
PUERTO ACOSTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,9,26,9,26,35
PUERTO CARABUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,7,9,7,9,16
PUERTO GONZALO MORENO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,3,6,3,6,9
PUERTO PEREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,0,7,0,7,7
PUERTO QUIJARRO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,25,19,25,19,44
PUERTO RICO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,15,20,15,20,35
PUERTO SUAREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,18,11,18,11,29
PUERTO VILLARROEL,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,81,38,81,38,119
PUNA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,22,45,22,45,67
PUNATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,53,2,53,2,55
QUIABAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,5,2,5,2,7
QUILLACOLLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,183,93,183,93,276
QUIME,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,2,15,2,15,17
QUIRUSILLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,3,0,3,0,3
RAVELO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,7,37,7,37,44
REYES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,22,10,22,10,32
RIBERALTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,227,83,227,83,310
ROBORE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,16,16,16,16,32
RURRENABAQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,34,15,34,15,49
SABAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,2,1,2,1,3
SACABA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,207,44,207,44,251
SACABAMBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,0,6,0,6,6
SACACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,17,30,17,30,47
SAIPINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,5,5,5,5,10
SALINAS DE GARCI MENDOZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,5,11,5,11,16
SAMAIPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,10,12,10,12,22
SAN ANDRES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,16,20,16,20,36
SAN ANDRES DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,1,4,1,4,5
SAN ANTONIO DE ESMORUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,6,0,6,0,6
SAN BENITO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,10,11,10,11,21
SAN BORJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,80,5,80,5,85
SAN BUENA VENTURA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,21,14,21,14,35
SAN CARLOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,30,22,30,22,52
SAN IGNACIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,45,5,45,5,50
SAN IGNACIO DE VELASCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,75,13,75,13,88
SAN JAVIER(BNI),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,3,8,3,8,11
SAN JAVIER(STC),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,23,4,23,4,27
SAN JOAQUIN,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,4,4,4,4,8
SAN JOSE DE CHIQUITOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,47,6,47,6,53
SAN JUAN DE YAPACANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,12,12,12,12,24
SAN JULIAN,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,29,90,29,90,119
SAN LORENZO(PND),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,4,24,4,24,28
SAN LORENZO(TJA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,15,5,15,5,20
SAN LUCAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,24,46,24,46,70
SAN MATIAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,23,10,23,10,33
SAN MIGUEL DE VELASCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,14,13,14,13,27
SAN PABLO DE LIPEZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,3,0,3,0,3
SAN PEDRO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,28,5,28,5,33
SAN PEDRO DE BUENA VISTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,18,69,18,69,87
SAN PEDRO DE CURAHUARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,5,11,5,11,16
SAN PEDRO DE QUEMES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,0,2,0,2,2
SAN PEDRO DE TIQUINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,4,3,4,3,7
SAN PEDRO(PND),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,4,11,4,11,15
SAN RAFAEL,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,3,3,3,3,6
SAN RAMON,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,10,0,10,0,10
SAN RAMON,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,1,17,1,17,18
SANTA ANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,21,0,21,0,21
SANTA CRUZ DE LA SIERRA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,2303,431,2303,431,2734
SANTA ROSA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,13,3,13,3,16
SANTA ROSA DEL SARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,20,6,20,6,26
SANTIAGO DE CALLAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,4,5,4,5,9
SANTIAGO DE HUARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,0,18,0,18,18
SANTIAGO DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,0,9,0,9,9
SANTIVAÑES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,7,7,7,7,14
SANTUARIO DE QUILLACAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,5,6,5,6,11
SAPAHAQUI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,4,8,4,8,12
SENA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,9,22,9,22,31
SICA SICA (VILLA AROMA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,13,26,13,26,39
SICAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,1,7,1,7,8
SIPE SIPE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,55,28,55,28,83
SOPACHUY,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,8,10,8,10,18
SORACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,8,22,8,22,30
SORATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,1,33,1,33,34
SUCRE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,378,60,378,60,438
TACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,1,0,1,0,1
TACACOMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,6,5,6,5,11
TACOBAMBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,9,17,9,17,26
TACOPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,10,18,10,18,28
TAPACARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,29,21,29,21,50
TARABUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,17,15,17,15,32
TARACO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,0,7,0,7,7
TARATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,11,2,11,2,13
TARIJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,322,58,322,58,380
TARVITA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,22,26,22,26,48
TEOPONTE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,5,13,5,13,18
TIAWANACU,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,4,14,4,14,18
TINGUIPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,14,36,14,36,50
TIPUANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,12,5,12,5,17
TIQUIPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,98,13,98,13,111
TIRAQUE (CBBA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,61,32,61,32,93
TOCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,3,7,3,7,10
TOLATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,4,6,4,6,10
TOLEDO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,6,2,6,2,8
TOMAVE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,4,20,4,20,24
TOMINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,9,4,9,4,13
TORO TORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,5,28,5,28,33
TOTORA(CBBA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,14,35,14,35,49
TOTORA(ORR),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,1,0,1,0,1
TRIGAL,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,0,3,0,3,3
TRINIDAD,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,224,5,224,5,229
TUPIZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,41,14,41,14,55
TURCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,3,1,3,1,4
UMALA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,0,13,0,13,13
UNCIA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,21,27,21,27,48
URIONDO (A. CONCEPCION),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,16,3,16,3,19
URUBICHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,14,10,14,10,24
UYUNI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,16,17,16,17,33
VACAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,1,20,1,20,21
VALLEGRANDE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,18,4,18,4,22
VIACHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-06-01,71,13,71,13,84
