,group,variable,month,VACUNACIONES FIEBRE AMARILLA,VACUNACIONES FIEBRE AMARILLA,TOTALES,TOTALES,TOTALES
PORONGO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,4,14,4,14,18
PORTACHUELO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,13,10,13,10,23
PORVENIR,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,2,9,2,9,11
POSTRER VALLE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,4,2,4,2,6
POTOSI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,297,33,297,33,330
PRESTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,2,22,2,22,24
PUCARANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,33,32,33,32,65
PUERTO ACOSTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,8,30,8,30,38
PUERTO CARABUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,1,18,1,18,19
PUERTO GONZALO MORENO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,2,11,2,11,13
PUERTO PEREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,2,9,2,9,11
PUERTO QUIJARRO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,13,16,13,16,29
PUERTO RICO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,0,5,0,5,5
PUERTO SUAREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,13,13,13,13,26
PUERTO VILLARROEL,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,72,56,72,56,128
PUNA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,28,49,28,49,77
PUNATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,24,6,24,6,30
QUIABAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,3,6,3,6,9
QUILLACOLLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,78,24,78,24,102
QUIME,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,0,8,0,8,8
QUIRUSILLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,3,0,3,0,3
RAVELO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,22,7,22,7,29
REYES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,26,12,26,12,38
RIBERALTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,264,136,264,136,400
ROBORE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,12,23,12,23,35
RURRENABAQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,29,37,29,37,66
SABAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,3,0,3,0,3
SACABA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,175,63,175,63,238
SACACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,24,21,24,21,45
SAIPINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,1,7,1,7,8
SALINAS DE GARCI MENDOZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,7,7,7,7,14
SAMAIPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,10,11,10,11,21
SAN ANDRES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,12,36,12,36,48
SAN ANDRES DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,6,4,6,4,10
SAN ANTONIO DE ESMORUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,7,0,7,0,7
SAN ANTONIO DE LOMERIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,6,4,6,4,10
SAN BENITO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,1,6,1,6,7
SAN BORJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,48,162,48,162,210
SAN BUENA VENTURA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,12,14,12,14,26
SAN CARLOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,18,23,18,23,41
SAN IGNACIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,38,12,38,12,50
SAN IGNACIO DE VELASCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,81,26,81,26,107
SAN JAVIER(BNI),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,0,1,0,1,1
SAN JAVIER(STC),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,19,0,19,0,19
SAN JOAQUIN,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,8,7,8,7,15
SAN JOSE DE CHIQUITOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,45,2,45,2,47
SAN JUAN DE YAPACANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,8,6,8,6,14
SAN JULIAN,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,35,57,35,57,92
SAN LORENZO(PND),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,9,24,9,24,33
SAN LORENZO(TJA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,16,24,16,24,40
SAN LUCAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,29,30,29,30,59
SAN MATIAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,18,3,18,3,21
SAN MIGUEL DE VELASCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,8,12,8,12,20
SAN PEDRO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,20,15,20,15,35
SAN PEDRO DE BUENA VISTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,22,28,22,28,50
SAN PEDRO DE TIQUINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,2,10,2,10,12
SAN RAFAEL,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,3,7,3,7,10
SAN RAMON,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,13,1,13,1,14
SAN RAMON,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,3,10,3,10,13
SANTA ANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,15,7,15,7,22
SANTA CRUZ DE LA SIERRA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,2002,116,2002,116,2118
SANTA ROSA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,13,27,13,27,40
SANTA ROSA DEL SARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,17,9,17,9,26
SANTIAGO DE CALLAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,0,9,0,9,9
SANTIAGO DE HUARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,9,13,9,13,22
SANTIAGO DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,0,9,0,9,9
SANTIVAÑES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,2,2,2,2,4
SANTUARIO DE QUILLACAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,2,3,2,3,5
SAPAHAQUI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,0,2,0,2,2
SENA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,0,4,0,4,4
SICA SICA (VILLA AROMA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,11,18,11,18,29
SICAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,0,11,0,11,11
SIPE SIPE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,43,39,43,39,82
SOPACHUY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,3,11,3,11,14
SORACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,8,4,8,4,12
SORATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,4,25,4,25,29
SUCRE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,483,88,483,88,571
TACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,0,4,0,4,4
TACACOMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,13,8,13,8,21
TACOBAMBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,0,10,0,10,10
TACOPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,6,10,6,10,16
TAHUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,2,0,2,0,2
TAPACARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,37,36,37,36,73
TARABUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,31,38,31,38,69
TARACO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,0,3,0,3,3
TARATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,4,0,4,0,4
TARIJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,213,21,213,21,234
TARVITA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,7,25,7,25,32
TEOPONTE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,2,9,2,9,11
TIAWANACU,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,8,13,8,13,21
TINGUIPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,7,26,7,26,33
TIPUANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,11,2,11,2,13
TIQUIPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,57,28,57,28,85
TIRAQUE (CBBA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,47,42,47,42,89
TITO YUPANQUI (PARQUIPUJIO),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,1,0,1,0,1
TOCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,3,8,3,8,11
TOLATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,6,1,6,1,7
TOLEDO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,2,6,2,6,8
TOMAVE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,0,23,0,23,23
TOMINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,8,6,8,6,14
TORO TORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,10,13,10,13,23
TOTORA(CBBA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,13,19,13,19,32
TOTORA(ORR),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,1,0,1,0,1
TRIGAL,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,2,0,2,0,2
TRINIDAD,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,148,10,148,10,158
TUPIZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,38,38,38,38,76
TURCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,6,3,6,3,9
UMALA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,0,26,0,26,26
UNCIA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,27,32,27,32,59
URIONDO (A. CONCEPCION),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,9,14,9,14,23
URUBICHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,0,19,0,19,19
UYUNI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,9,4,9,4,13
VACAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,0,18,0,18,18
VALLEGRANDE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,19,5,19,5,24
VIACHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,82,9,82,9,91
VILA VILA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,5,6,5,6,11
VILLA MONTES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,46,29,46,29,75
VILLA RIVERO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,4,1,4,1,5
VILLA SERRANO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,13,2,13,2,15
VILLA TUNARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,99,86,99,86,185
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,7,2,7,2,9
VILLAZON,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,63,32,63,32,95
VINTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,123,24,123,24,147
VITICHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,9,18,9,18,27
WALDO BALLIVIAN,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,0,5,0,5,5
WARNES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,122,88,122,88,210
YACO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,2,15,2,15,17
YACUIBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,139,32,139,32,171
YAMPARAEZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,8,3,8,3,11
YANACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,4,4,4,4,8
YAPACANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,56,39,56,39,95
YOCALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,0,12,0,12,12
YOTALA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,1,17,1,17,18
YUNCHARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,5,9,5,9,14
ZUDAÑEZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-07-01,3,6,3,6,9
ACACIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,2,9,2,9,11
ACHACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,37,91,37,91,128
ACHOCALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,0,14,0,14,14
AIQUILE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,33,12,33,12,45
ALALAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,4,5,4,5,9
ALCALA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,7,2,7,2,9
ANCORAIMES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,6,17,6,17,23
ANDAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,1,3,1,3,4
ANTEQUERA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,0,11,0,11,11
ANZALDO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,4,10,4,10,14
APOLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,18,35,18,35,53
ARAMPAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,8,6,8,6,14
ARANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,7,26,7,26,33
ARBIETO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,5,60,5,60,65
ARQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,13,14,13,14,27
ASCENCION DE GUARAYOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,75,14,75,14,89
ATOCHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,1,0,1,0,1
AUCAPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,2,4,2,4,6
AYATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,0,16,0,16,16
AYO AYO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,7,15,7,15,22
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,21,35,21,35,56
AZURDUY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,6,11,6,11,17
BATALLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,27,17,27,17,44
BAURES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,4,2,4,2,6
BELEN DE ANDAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,2,1,2,1,3
BELEN DE URMIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,2,8,2,8,10
BERMEJO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,40,21,40,21,61
BETANZOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,18,12,18,12,30
BOLIVAR,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,7,10,7,10,17
BOLPEBRA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,0,3,0,3,3
BOYUIBE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,0,8,0,8,8
BUENA VISTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,2,15,2,15,17
CABEZAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,8,45,8,45,53
CAIROMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,11,22,11,22,33
"CAIZA ""D""",vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,9,25,9,25,34
CAJUATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,13,4,13,4,17
CALACOTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,4,17,4,17,21
CALAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,0,17,0,17,17
CAMARGO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,14,16,14,16,30
CAMATAQUI (C. VILLA ABECIA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,3,0,3,0,3
CAMIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,34,10,34,10,44
CAPINOTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,17,12,17,12,29
CAQUIAVIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,0,19,0,19,19
CARACOLLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,14,24,14,24,38
CARANAVI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,26,65,26,65,91
CARAPARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,6,5,6,5,11
CARIPUYO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,1,12,1,12,13
CARMEN RIVERO TORREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,6,6,6,6,12
CHACARILLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,3,0,3,0,3
CHALLAPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,31,20,31,20,51
CHAQUI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,9,3,9,3,12
CHARAGUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,15,65,15,65,80
CHARAÑA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,4,2,4,2,6
CHAYANTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,0,1,0,1,1
CHIMORE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,25,12,25,12,37
CHIPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,2,0,2,0,2
CHOQUE COTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,12,14,12,14,26
CHUMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,1,15,1,15,16
CLIZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,19,31,19,31,50
COBIJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,52,15,52,15,67
COCHABAMBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,799,8,799,8,807
COLCAPIRHUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,14,0,14,0,14
"COLCHA ""K""",vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,11,0,11,0,11
COLLANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,0,2,0,2,2
COLOMI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,31,20,31,20,51
COLPA BELGICA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,4,6,4,6,10
COLQUECHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,16,63,16,63,79
COLQUENCHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,8,16,8,16,24
COLQUIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,11,29,11,29,40
COMANCHE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,4,5,4,5,9
COMARAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,24,24,24,24,48
COMBAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,3,0,3,0,3
CONCEPCION,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,45,31,45,31,76
COPACABANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,9,16,9,16,25
CORIPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,10,13,10,13,23
CORO CORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,2,20,2,20,22
COROICO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,9,23,9,23,32
CORQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,5,10,5,10,15
COTAGAITA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,12,20,12,20,32
COTOCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,76,28,76,28,104
CUATRO CAÑADAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,12,39,12,39,51
CUCHUMUELA (V. G. VILLARROEL),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,0,4,0,4,4
CUEVO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,2,4,2,4,6
CULPINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,22,14,22,14,36
CURAHUARA DE CARANGAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,1,14,1,14,15
CURVA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,2,0,2,0,2
DESAGUADERO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,8,10,8,10,18
EL ALTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-08-01,1345,31,1345,31,1376
