,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVOS,PERSONAS DE 60 AÑOS Y MÁS NUEVOS,PERSONAS DE 60 AÑOS Y MÁS REPETIDOS,PERSONAS DE 60 AÑOS Y MÁS REPETIDOS,TOTALES,TOTALES,TOTALES
SAN IGNACIO,consulta externa,personas de 60 anos y mas,2009-06-01,146,147,33,45,179,192,371
SAN IGNACIO DE VELASCO,consulta externa,personas de 60 anos y mas,2009-06-01,103,318,62,73,165,391,556
SAN JAVIER(BNI),consulta externa,personas de 60 anos y mas,2009-06-01,27,22,3,2,30,24,54
SAN JAVIER(STC),consulta externa,personas de 60 anos y mas,2009-06-01,28,32,10,11,38,43,81
SAN JOAQUIN,consulta externa,personas de 60 anos y mas,2009-06-01,161,210,212,403,373,613,986
SAN JOSE DE CHIQUITOS,consulta externa,personas de 60 anos y mas,2009-06-01,98,106,36,7,134,113,247
SAN JUAN DE YAPACANI,consulta externa,personas de 60 anos y mas,2009-06-01,45,61,13,20,58,81,139
SAN JULIAN,consulta externa,personas de 60 anos y mas,2009-06-01,138,134,2,2,140,136,276
SAN LORENZO(PND),consulta externa,personas de 60 anos y mas,2009-06-01,19,37,1,1,20,38,58
SAN LORENZO(TJA),consulta externa,personas de 60 anos y mas,2009-06-01,97,161,8,6,105,167,272
SAN LUCAS,consulta externa,personas de 60 anos y mas,2009-06-01,180,320,16,19,196,339,535
SAN MATIAS,consulta externa,personas de 60 anos y mas,2009-06-01,45,21,0,1,45,22,67
SAN MIGUEL DE VELASCO,consulta externa,personas de 60 anos y mas,2009-06-01,43,34,47,89,90,123,213
SAN PABLO DE LIPEZ,consulta externa,personas de 60 anos y mas,2009-06-01,37,26,9,6,46,32,78
SAN PEDRO,consulta externa,personas de 60 anos y mas,2009-06-01,117,86,12,9,129,95,224
SAN PEDRO DE BUENA VISTA,consulta externa,personas de 60 anos y mas,2009-06-01,26,52,0,0,26,52,78
SAN PEDRO DE CURAHUARA,consulta externa,personas de 60 anos y mas,2009-06-01,28,23,3,1,31,24,55
SAN PEDRO DE QUEMES,consulta externa,personas de 60 anos y mas,2009-06-01,7,1,0,0,7,1,8
SAN PEDRO DE TIQUINA,consulta externa,personas de 60 anos y mas,2009-06-01,75,76,8,9,83,85,168
SAN PEDRO(PND),consulta externa,personas de 60 anos y mas,2009-06-01,15,16,0,0,15,16,31
SAN RAFAEL,consulta externa,personas de 60 anos y mas,2009-06-01,24,36,0,3,24,39,63
SAN RAMON,consulta externa,personas de 60 anos y mas,2009-06-01,16,12,4,10,20,22,42
SAN RAMON,consulta externa,personas de 60 anos y mas,2009-06-01,13,6,0,0,13,6,19
SANTA ANA,consulta externa,personas de 60 anos y mas,2009-06-01,274,309,67,106,341,415,756
SANTA CRUZ DE LA SIERRA,consulta externa,personas de 60 anos y mas,2009-06-01,8814,10541,3349,5833,12163,16374,28537
SANTA ROSA,consulta externa,personas de 60 anos y mas,2009-06-01,146,115,7,2,153,117,270
SANTA ROSA DEL SARA,consulta externa,personas de 60 anos y mas,2009-06-01,52,46,2,1,54,47,101
SANTIAGO DE CALLAPA,consulta externa,personas de 60 anos y mas,2009-06-01,7,8,0,0,7,8,15
SANTIAGO DE HUARI,consulta externa,personas de 60 anos y mas,2009-06-01,82,82,43,37,125,119,244
SANTIAGO DE MACHACA,consulta externa,personas de 60 anos y mas,2009-06-01,47,53,10,8,57,61,118
SANTIVAÑES,consulta externa,personas de 60 anos y mas,2009-06-01,22,37,2,2,24,39,63
SANTUARIO DE QUILLACAS,consulta externa,personas de 60 anos y mas,2009-06-01,20,18,4,4,24,22,46
SAPAHAQUI,consulta externa,personas de 60 anos y mas,2009-06-01,62,68,5,11,67,79,146
SENA,consulta externa,personas de 60 anos y mas,2009-06-01,21,15,0,0,21,15,36
SICA SICA (VILLA AROMA),consulta externa,personas de 60 anos y mas,2009-06-01,57,48,0,0,57,48,105
SICAYA,consulta externa,personas de 60 anos y mas,2009-06-01,12,20,0,0,12,20,32
SIPE SIPE,consulta externa,personas de 60 anos y mas,2009-06-01,27,45,6,7,33,52,85
SOPACHUY,consulta externa,personas de 60 anos y mas,2009-06-01,50,95,7,6,57,101,158
SORACACHI,consulta externa,personas de 60 anos y mas,2009-06-01,17,15,0,0,17,15,32
SORATA,consulta externa,personas de 60 anos y mas,2009-06-01,125,111,15,10,140,121,261
SUCRE,consulta externa,personas de 60 anos y mas,2009-06-01,3187,4263,2522,2656,5709,6919,12628
TACACHI,consulta externa,personas de 60 anos y mas,2009-06-01,4,6,0,1,4,7,11
TACACOMA,consulta externa,personas de 60 anos y mas,2009-06-01,60,57,2,3,62,60,122
TACOBAMBA,consulta externa,personas de 60 anos y mas,2009-06-01,32,87,6,6,38,93,131
TACOPAYA,consulta externa,personas de 60 anos y mas,2009-06-01,23,36,1,0,24,36,60
TAHUA,consulta externa,personas de 60 anos y mas,2009-06-01,15,6,0,0,15,6,21
TAPACARI,consulta externa,personas de 60 anos y mas,2009-06-01,50,75,2,4,52,79,131
TARABUCO,consulta externa,personas de 60 anos y mas,2009-06-01,116,186,21,28,137,214,351
TARACO,consulta externa,personas de 60 anos y mas,2009-06-01,46,28,0,0,46,28,74
TARATA,consulta externa,personas de 60 anos y mas,2009-06-01,65,20,1,1,66,21,87
TARIJA,consulta externa,personas de 60 anos y mas,2009-06-01,3423,3797,2326,2203,5749,6000,11749
TARVITA,consulta externa,personas de 60 anos y mas,2009-06-01,92,163,0,0,92,163,255
TEOPONTE,consulta externa,personas de 60 anos y mas,2009-06-01,77,50,18,20,95,70,165
TIAWANACU,consulta externa,personas de 60 anos y mas,2009-06-01,58,47,5,7,63,54,117
TINGUIPAYA,consulta externa,personas de 60 anos y mas,2009-06-01,42,64,3,2,45,66,111
TIPUANI,consulta externa,personas de 60 anos y mas,2009-06-01,60,42,12,8,72,50,122
TIQUIPAYA,consulta externa,personas de 60 anos y mas,2009-06-01,84,854,41,48,125,902,1027
TIRAQUE (CBBA),consulta externa,personas de 60 anos y mas,2009-06-01,110,93,2,8,112,101,213
TITO YUPANQUI (PARQUIPUJIO),consulta externa,personas de 60 anos y mas,2009-06-01,7,21,0,1,7,22,29
TOCO,consulta externa,personas de 60 anos y mas,2009-06-01,59,95,2,0,61,95,156
TODOS SANTOS,consulta externa,personas de 60 anos y mas,2009-06-01,3,2,1,0,4,2,6
TOLATA,consulta externa,personas de 60 anos y mas,2009-06-01,24,63,1,0,25,63,88
TOLEDO,consulta externa,personas de 60 anos y mas,2009-06-01,34,44,1,4,35,48,83
TOMAVE,consulta externa,personas de 60 anos y mas,2009-06-01,80,111,26,2,106,113,219
TOMINA,consulta externa,personas de 60 anos y mas,2009-06-01,60,120,0,3,60,123,183
TORO TORO,consulta externa,personas de 60 anos y mas,2009-06-01,37,53,0,0,37,53,90
TOTORA(CBBA),consulta externa,personas de 60 anos y mas,2009-06-01,5,9,0,0,5,9,14
TOTORA(ORR),consulta externa,personas de 60 anos y mas,2009-06-01,30,22,1,0,31,22,53
TRIGAL,consulta externa,personas de 60 anos y mas,2009-06-01,30,42,1,1,31,43,74
TRINIDAD,consulta externa,personas de 60 anos y mas,2009-06-01,360,338,280,258,640,596,1236
TUPIZA,consulta externa,personas de 60 anos y mas,2009-06-01,454,660,32,42,486,702,1188
TURCO,consulta externa,personas de 60 anos y mas,2009-06-01,38,41,0,0,38,41,79
UMALA,consulta externa,personas de 60 anos y mas,2009-06-01,11,13,2,0,13,13,26
UNCIA,consulta externa,personas de 60 anos y mas,2009-06-01,24,44,0,0,24,44,68
URIONDO (A. CONCEPCION),consulta externa,personas de 60 anos y mas,2009-06-01,37,45,2,4,39,49,88
URUBICHA,consulta externa,personas de 60 anos y mas,2009-06-01,18,19,0,0,18,19,37
UYUNI,consulta externa,personas de 60 anos y mas,2009-06-01,254,263,45,35,299,298,597
VACAS,consulta externa,personas de 60 anos y mas,2009-06-01,50,102,10,22,60,124,184
VALLEGRANDE,consulta externa,personas de 60 anos y mas,2009-06-01,294,354,120,182,414,536,950
VIACHA,consulta externa,personas de 60 anos y mas,2009-06-01,307,222,196,207,503,429,932
VILA VILA,consulta externa,personas de 60 anos y mas,2009-06-01,8,12,0,0,8,12,20
VILLA MONTES,consulta externa,personas de 60 anos y mas,2009-06-01,228,254,65,65,293,319,612
VILLA NUEVA (LOMA ALTA),consulta externa,personas de 60 anos y mas,2009-06-01,5,12,1,6,6,18,24
VILLA RIVERO,consulta externa,personas de 60 anos y mas,2009-06-01,25,67,13,31,38,98,136
VILLA SERRANO,consulta externa,personas de 60 anos y mas,2009-06-01,121,154,10,8,131,162,293
VILLA TUNARI,consulta externa,personas de 60 anos y mas,2009-06-01,138,167,18,12,156,179,335
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,personas de 60 anos y mas,2009-06-01,80,125,5,1,85,126,211
VILLAZON,consulta externa,personas de 60 anos y mas,2009-06-01,184,223,135,108,319,331,650
VINTO,consulta externa,personas de 60 anos y mas,2009-06-01,60,93,29,75,89,168,257
VITICHI,consulta externa,personas de 60 anos y mas,2009-06-01,51,106,5,5,56,111,167
WALDO BALLIVIAN,consulta externa,personas de 60 anos y mas,2009-06-01,17,10,1,4,18,14,32
WARNES,consulta externa,personas de 60 anos y mas,2009-06-01,214,262,38,42,252,304,556
YACO,consulta externa,personas de 60 anos y mas,2009-06-01,72,45,10,11,82,56,138
YACUIBA,consulta externa,personas de 60 anos y mas,2009-06-01,599,635,186,294,785,929,1714
YAMPARAEZ,consulta externa,personas de 60 anos y mas,2009-06-01,77,88,9,12,86,100,186
YANACACHI,consulta externa,personas de 60 anos y mas,2009-06-01,29,24,0,1,29,25,54
YAPACANI,consulta externa,personas de 60 anos y mas,2009-06-01,91,89,20,31,111,120,231
YOCALLA,consulta externa,personas de 60 anos y mas,2009-06-01,91,128,4,1,95,129,224
YOTALA,consulta externa,personas de 60 anos y mas,2009-06-01,87,183,88,39,175,222,397
YUNCHARA,consulta externa,personas de 60 anos y mas,2009-06-01,10,17,0,0,10,17,27
ZUDAÑEZ,consulta externa,personas de 60 anos y mas,2009-06-01,43,52,11,1,54,53,107
ACACIO,consulta externa,personas de 60 anos y mas,2009-07-01,27,66,1,1,28,67,95
ACHACACHI,consulta externa,personas de 60 anos y mas,2009-07-01,492,460,127,128,619,588,1207
ACHOCALLA,consulta externa,personas de 60 anos y mas,2009-07-01,13,14,0,0,13,14,27
AIQUILE,consulta externa,personas de 60 anos y mas,2009-07-01,127,174,47,35,174,209,383
ALALAY,consulta externa,personas de 60 anos y mas,2009-07-01,4,2,0,0,4,2,6
ALCALA,consulta externa,personas de 60 anos y mas,2009-07-01,28,65,2,5,30,70,100
ANCORAIMES,consulta externa,personas de 60 anos y mas,2009-07-01,74,78,51,52,125,130,255
ANDAMARCA,consulta externa,personas de 60 anos y mas,2009-07-01,27,36,2,1,29,37,66
ANTEQUERA,consulta externa,personas de 60 anos y mas,2009-07-01,15,12,0,2,15,14,29
ANZALDO,consulta externa,personas de 60 anos y mas,2009-07-01,39,49,0,1,39,50,89
APOLO,consulta externa,personas de 60 anos y mas,2009-07-01,79,92,0,0,79,92,171
ARAMPAMPA,consulta externa,personas de 60 anos y mas,2009-07-01,19,25,3,1,22,26,48
ARANI,consulta externa,personas de 60 anos y mas,2009-07-01,20,32,1,1,21,33,54
ARBIETO,consulta externa,personas de 60 anos y mas,2009-07-01,49,87,11,21,60,108,168
ARQUE,consulta externa,personas de 60 anos y mas,2009-07-01,27,35,0,0,27,35,62
ASCENCION DE GUARAYOS,consulta externa,personas de 60 anos y mas,2009-07-01,87,93,18,20,105,113,218
ATOCHA,consulta externa,personas de 60 anos y mas,2009-07-01,14,20,0,1,14,21,35
AUCAPATA,consulta externa,personas de 60 anos y mas,2009-07-01,17,15,1,0,18,15,33
AYATA,consulta externa,personas de 60 anos y mas,2009-07-01,45,46,3,3,48,49,97
AYO AYO,consulta externa,personas de 60 anos y mas,2009-07-01,19,21,2,1,21,22,43
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 60 anos y mas,2009-07-01,61,100,2,1,63,101,164
AZURDUY,consulta externa,personas de 60 anos y mas,2009-07-01,65,112,5,2,70,114,184
BATALLAS,consulta externa,personas de 60 anos y mas,2009-07-01,84,57,5,2,89,59,148
BAURES,consulta externa,personas de 60 anos y mas,2009-07-01,18,38,4,10,22,48,70
BELEN DE ANDAMARCA,consulta externa,personas de 60 anos y mas,2009-07-01,15,15,0,0,15,15,30
BELEN DE URMIRI,consulta externa,personas de 60 anos y mas,2009-07-01,28,11,3,0,31,11,42
BELLA FLOR,consulta externa,personas de 60 anos y mas,2009-07-01,15,18,0,0,15,18,33
BERMEJO,consulta externa,personas de 60 anos y mas,2009-07-01,412,442,132,164,544,606,1150
BETANZOS,consulta externa,personas de 60 anos y mas,2009-07-01,288,413,64,76,352,489,841
BOLIVAR,consulta externa,personas de 60 anos y mas,2009-07-01,14,18,0,0,14,18,32
BOLPEBRA,consulta externa,personas de 60 anos y mas,2009-07-01,13,7,2,8,15,15,30
BOYUIBE,consulta externa,personas de 60 anos y mas,2009-07-01,24,42,0,10,24,52,76
BUENA VISTA,consulta externa,personas de 60 anos y mas,2009-07-01,69,44,42,15,111,59,170
CABEZAS,consulta externa,personas de 60 anos y mas,2009-07-01,73,54,1,1,74,55,129
CAIROMA,consulta externa,personas de 60 anos y mas,2009-07-01,84,69,9,5,93,74,167
"CAIZA ""D""",consulta externa,personas de 60 anos y mas,2009-07-01,90,141,2,13,92,154,246
CAJUATA,consulta externa,personas de 60 anos y mas,2009-07-01,100,99,5,7,105,106,211
CALACOTO,consulta externa,personas de 60 anos y mas,2009-07-01,48,58,5,9,53,67,120
CALAMARCA,consulta externa,personas de 60 anos y mas,2009-07-01,47,39,12,9,59,48,107
CAMARGO,consulta externa,personas de 60 anos y mas,2009-07-01,178,258,22,34,200,292,492
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 60 anos y mas,2009-07-01,46,56,8,10,54,66,120
CAMIRI,consulta externa,personas de 60 anos y mas,2009-07-01,836,1050,199,208,1035,1258,2293
CAPINOTA,consulta externa,personas de 60 anos y mas,2009-07-01,76,73,38,47,114,120,234
CAQUIAVIRI,consulta externa,personas de 60 anos y mas,2009-07-01,48,55,3,4,51,59,110
CARACOLLO,consulta externa,personas de 60 anos y mas,2009-07-01,71,73,12,10,83,83,166
CARANAVI,consulta externa,personas de 60 anos y mas,2009-07-01,337,189,32,11,369,200,569
CARANGAS,consulta externa,personas de 60 anos y mas,2009-07-01,1,5,0,1,1,6,7
CARAPARI,consulta externa,personas de 60 anos y mas,2009-07-01,33,47,0,3,33,50,83
CARIPUYO,consulta externa,personas de 60 anos y mas,2009-07-01,21,34,0,0,21,34,55
CARMEN RIVERO TORREZ,consulta externa,personas de 60 anos y mas,2009-07-01,11,13,1,5,12,18,30
CATACORA,consulta externa,personas de 60 anos y mas,2009-07-01,19,13,4,1,23,14,37
CHACARILLA,consulta externa,personas de 60 anos y mas,2009-07-01,7,3,3,0,10,3,13
CHALLAPATA,consulta externa,personas de 60 anos y mas,2009-07-01,148,135,31,51,179,186,365
CHAQUI,consulta externa,personas de 60 anos y mas,2009-07-01,55,84,2,2,57,86,143
CHARAGUA,consulta externa,personas de 60 anos y mas,2009-07-01,171,207,21,19,192,226,418
CHARAÑA,consulta externa,personas de 60 anos y mas,2009-07-01,12,11,1,0,13,11,24
CHAYANTA,consulta externa,personas de 60 anos y mas,2009-07-01,40,88,5,5,45,93,138
CHIMORE,consulta externa,personas de 60 anos y mas,2009-07-01,72,66,0,1,72,67,139
CHIPAYA,consulta externa,personas de 60 anos y mas,2009-07-01,8,6,0,0,8,6,14
CHOQUE COTA,consulta externa,personas de 60 anos y mas,2009-07-01,14,16,0,2,14,18,32
CHULUMANI (V. DE LA LIBERTAD),consulta externa,personas de 60 anos y mas,2009-07-01,117,77,37,33,154,110,264
CHUMA,consulta externa,personas de 60 anos y mas,2009-07-01,96,98,9,6,105,104,209
CLIZA,consulta externa,personas de 60 anos y mas,2009-07-01,82,117,16,33,98,150,248
COBIJA,consulta externa,personas de 60 anos y mas,2009-07-01,223,294,114,176,337,470,807
COCHABAMBA,consulta externa,personas de 60 anos y mas,2009-07-01,5420,7113,7071,9503,12491,16616,29107
COIPASA,consulta externa,personas de 60 anos y mas,2009-07-01,0,1,0,0,0,1,1
COLCAPIRHUA,consulta externa,personas de 60 anos y mas,2009-07-01,149,101,232,162,381,263,644
"COLCHA ""K""",consulta externa,personas de 60 anos y mas,2009-07-01,60,91,0,6,60,97,157
COLLANA,consulta externa,personas de 60 anos y mas,2009-07-01,23,31,5,6,28,37,65
COLOMI,consulta externa,personas de 60 anos y mas,2009-07-01,15,11,1,2,16,13,29
COLPA BELGICA,consulta externa,personas de 60 anos y mas,2009-07-01,8,14,2,12,10,26,36
COLQUECHACA,consulta externa,personas de 60 anos y mas,2009-07-01,67,90,0,0,67,90,157
COLQUENCHA,consulta externa,personas de 60 anos y mas,2009-07-01,67,105,12,15,79,120,199
COLQUIRI,consulta externa,personas de 60 anos y mas,2009-07-01,62,70,5,4,67,74,141
COMANCHE,consulta externa,personas de 60 anos y mas,2009-07-01,58,59,6,5,64,64,128
COMARAPA,consulta externa,personas de 60 anos y mas,2009-07-01,101,199,5,8,106,207,313
COMBAYA,consulta externa,personas de 60 anos y mas,2009-07-01,28,34,2,1,30,35,65
CONCEPCION,consulta externa,personas de 60 anos y mas,2009-07-01,47,52,4,15,51,67,118
COPACABANA,consulta externa,personas de 60 anos y mas,2009-07-01,105,103,3,0,108,103,211
CORIPATA,consulta externa,personas de 60 anos y mas,2009-07-01,84,68,18,10,102,78,180
CORO CORO,consulta externa,personas de 60 anos y mas,2009-07-01,38,28,1,2,39,30,69
COROICO,consulta externa,personas de 60 anos y mas,2009-07-01,127,94,83,96,210,190,400
CORQUE,consulta externa,personas de 60 anos y mas,2009-07-01,57,58,2,2,59,60,119
COTAGAITA,consulta externa,personas de 60 anos y mas,2009-07-01,174,301,3,16,177,317,494
COTOCA,consulta externa,personas de 60 anos y mas,2009-07-01,196,164,3,3,199,167,366
CUATRO CAÑADAS,consulta externa,personas de 60 anos y mas,2009-07-01,36,32,1,9,37,41,78
CUCHUMUELA (V. G. VILLARROEL),consulta externa,personas de 60 anos y mas,2009-07-01,21,19,1,10,22,29,51
CUEVO,consulta externa,personas de 60 anos y mas,2009-07-01,25,57,13,9,38,66,104
CULPINA,consulta externa,personas de 60 anos y mas,2009-07-01,147,224,1,4,148,228,376
CURAHUARA DE CARANGAS,consulta externa,personas de 60 anos y mas,2009-07-01,36,29,9,3,45,32,77
CURVA,consulta externa,personas de 60 anos y mas,2009-07-01,3,4,0,0,3,4,7
DESAGUADERO,consulta externa,personas de 60 anos y mas,2009-07-01,22,25,1,0,23,25,48
EL ALTO,consulta externa,personas de 60 anos y mas,2009-07-01,1816,1950,1824,1167,3640,3117,6757
EL CHORO,consulta externa,personas de 60 anos y mas,2009-07-01,41,42,6,3,47,45,92
EL PUENTE(STC),consulta externa,personas de 60 anos y mas,2009-07-01,36,39,1,2,37,41,78
EL PUENTE(TJA),consulta externa,personas de 60 anos y mas,2009-07-01,46,72,0,0,46,72,118
EL TORNO,consulta externa,personas de 60 anos y mas,2009-07-01,274,234,231,140,505,374,879
EL VILLAR,consulta externa,personas de 60 anos y mas,2009-07-01,60,94,2,8,62,102,164
ENTRE RIOS,consulta externa,personas de 60 anos y mas,2009-07-01,36,32,0,1,36,33,69
ENTRE RIOS,consulta externa,personas de 60 anos y mas,2009-07-01,111,118,4,6,115,124,239
ESCARA,consulta externa,personas de 60 anos y mas,2009-07-01,0,3,0,0,0,3,3
ESMERALDA,consulta externa,personas de 60 anos y mas,2009-07-01,2,5,0,0,2,5,7
EUCALIPTUS,consulta externa,personas de 60 anos y mas,2009-07-01,29,19,0,2,29,21,50
EXALTACION,consulta externa,personas de 60 anos y mas,2009-07-01,1,2,0,1,1,3,4
FERNANDEZ ALONSO,consulta externa,personas de 60 anos y mas,2009-07-01,45,48,4,3,49,51,100
FILADELFIA,consulta externa,personas de 60 anos y mas,2009-07-01,16,12,0,0,16,12,28
GENERAL SAAVEDRA,consulta externa,personas de 60 anos y mas,2009-07-01,26,33,1,0,27,33,60
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,personas de 60 anos y mas,2009-07-01,64,99,7,8,71,107,178
GUANAY,consulta externa,personas de 60 anos y mas,2009-07-01,80,76,25,14,105,90,195
GUAQUI,consulta externa,personas de 60 anos y mas,2009-07-01,49,61,9,13,58,74,132
GUAYARAMERIN,consulta externa,personas de 60 anos y mas,2009-07-01,632,822,285,227,917,1049,1966
GUTIERREZ,consulta externa,personas de 60 anos y mas,2009-07-01,72,86,5,8,77,94,171
HUACARETA,consulta externa,personas de 60 anos y mas,2009-07-01,53,85,36,8,89,93,182
HUACAYA (VILLA DE HUACAYA),consulta externa,personas de 60 anos y mas,2009-07-01,15,30,0,1,15,31,46
HUACHACALLA,consulta externa,personas de 60 anos y mas,2009-07-01,31,25,2,1,33,26,59
HUANUNI,consulta externa,personas de 60 anos y mas,2009-07-01,157,132,69,60,226,192,418
HUARACAJE,consulta externa,personas de 60 anos y mas,2009-07-01,20,19,5,3,25,22,47
HUAYLLAMARCA,consulta externa,personas de 60 anos y mas,2009-07-01,43,37,1,1,44,38,82
ICHOCA,consulta externa,personas de 60 anos y mas,2009-07-01,15,15,0,1,15,16,31
ICLA,consulta externa,personas de 60 anos y mas,2009-07-01,26,70,1,2,27,72,99
INCAHUASI,consulta externa,personas de 60 anos y mas,2009-07-01,124,234,0,5,124,239,363
INGAVI (HUMAITA),consulta externa,personas de 60 anos y mas,2009-07-01,9,8,4,6,13,14,27
INQUISIVI,consulta externa,personas de 60 anos y mas,2009-07-01,40,24,0,0,40,24,64
IRUPANA (VILLA DE LANZA),consulta externa,personas de 60 anos y mas,2009-07-01,54,98,18,19,72,117,189
IXIAMAS,consulta externa,personas de 60 anos y mas,2009-07-01,20,8,5,4,25,12,37
JESUS DE MACHACA,consulta externa,personas de 60 anos y mas,2009-07-01,220,188,87,61,307,249,556
LA ASUNTA,consulta externa,personas de 60 anos y mas,2009-07-01,46,46,5,7,51,53,104
LA GUARDIA,consulta externa,personas de 60 anos y mas,2009-07-01,177,243,10,16,187,259,446
LA PAZ,consulta externa,personas de 60 anos y mas,2009-07-01,8369,10963,9429,14470,17798,25433,43231
LA RIVERA,consulta externa,personas de 60 anos y mas,2009-07-01,2,7,0,1,2,8,10
LAGUNILLAS,consulta externa,personas de 60 anos y mas,2009-07-01,24,51,2,2,26,53,79
LAJA,consulta externa,personas de 60 anos y mas,2009-07-01,61,39,32,15,93,54,147
LAS CARRERAS,consulta externa,personas de 60 anos y mas,2009-07-01,39,62,7,7,46,69,115
LICOMA PAMPA,consulta externa,personas de 60 anos y mas,2009-07-01,19,24,2,3,21,27,48
LLALLAGUA,consulta externa,personas de 60 anos y mas,2009-07-01,80,51,5,7,85,58,143
LLICA,consulta externa,personas de 60 anos y mas,2009-07-01,74,52,9,4,83,56,139
LORETO,consulta externa,personas de 60 anos y mas,2009-07-01,16,23,2,3,18,26,44
LURIBAY,consulta externa,personas de 60 anos y mas,2009-07-01,73,100,2,6,75,106,181
MACHACAMARCA,consulta externa,personas de 60 anos y mas,2009-07-01,66,59,19,25,85,84,169
MACHARETI,consulta externa,personas de 60 anos y mas,2009-07-01,53,82,3,3,56,85,141
MAGDALENA,consulta externa,personas de 60 anos y mas,2009-07-01,13,14,73,79,86,93,179
MAIRANA,consulta externa,personas de 60 anos y mas,2009-07-01,41,67,1,7,42,74,116
MALLA,consulta externa,personas de 60 anos y mas,2009-07-01,12,14,0,1,12,15,27
MAPIRI,consulta externa,personas de 60 anos y mas,2009-07-01,39,24,0,3,39,27,66
MECAPACA,consulta externa,personas de 60 anos y mas,2009-07-01,43,24,5,3,48,27,75
MINEROS,consulta externa,personas de 60 anos y mas,2009-07-01,23,16,2,0,25,16,41
MIZQUE,consulta externa,personas de 60 anos y mas,2009-07-01,63,78,11,10,74,88,162
MOCOMOCO,consulta externa,personas de 60 anos y mas,2009-07-01,75,77,10,10,85,87,172
MOJINETE,consulta externa,personas de 60 anos y mas,2009-07-01,5,9,0,0,5,9,14
MOJOCOYA,consulta externa,personas de 60 anos y mas,2009-07-01,75,115,9,10,84,125,209
MONTEAGUDO,consulta externa,personas de 60 anos y mas,2009-07-01,421,495,61,70,482,565,1047
MONTERO,consulta externa,personas de 60 anos y mas,2009-07-01,282,352,320,406,602,758,1360
MORO MORO,consulta externa,personas de 60 anos y mas,2009-07-01,10,34,1,2,11,36,47
MOROCHATA,consulta externa,personas de 60 anos y mas,2009-07-01,28,35,5,5,33,40,73
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,personas de 60 anos y mas,2009-07-01,14,8,1,1,15,9,24
NAZACARA DE PACAJES,consulta externa,personas de 60 anos y mas,2009-07-01,2,1,0,0,2,1,3
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,personas de 60 anos y mas,2009-07-01,15,2,3,0,18,2,20
OCURI,consulta externa,personas de 60 anos y mas,2009-07-01,60,78,1,2,61,80,141
OKINAWA,consulta externa,personas de 60 anos y mas,2009-07-01,40,57,21,29,61,86,147
OMEREQUE,consulta externa,personas de 60 anos y mas,2009-07-01,36,35,6,9,42,44,86
ORURO,consulta externa,personas de 60 anos y mas,2009-07-01,4242,3852,1673,2227,5915,6079,11994
PADCAYA,consulta externa,personas de 60 anos y mas,2009-07-01,83,74,5,3,88,77,165
PADILLA,consulta externa,personas de 60 anos y mas,2009-07-01,240,373,2,5,242,378,620
PAILON,consulta externa,personas de 60 anos y mas,2009-07-01,27,25,2,3,29,28,57
PALCA,consulta externa,personas de 60 anos y mas,2009-07-01,46,48,8,2,54,50,104
PALOS BLANCOS,consulta externa,personas de 60 anos y mas,2009-07-01,131,54,90,57,221,111,332
PAMPA AULLAGAS,consulta externa,personas de 60 anos y mas,2009-07-01,5,7,0,0,5,7,12
PAMPA GRANDE,consulta externa,personas de 60 anos y mas,2009-07-01,23,43,1,3,24,46,70
PAPEL PAMPA,consulta externa,personas de 60 anos y mas,2009-07-01,51,66,1,1,52,67,119
PASORAPA,consulta externa,personas de 60 anos y mas,2009-07-01,24,67,0,1,24,68,92
PATACAMAYA,consulta externa,personas de 60 anos y mas,2009-07-01,113,92,0,0,113,92,205
PAZÑA,consulta externa,personas de 60 anos y mas,2009-07-01,60,62,27,30,87,92,179
PELECHUCO,consulta externa,personas de 60 anos y mas,2009-07-01,18,7,0,1,18,8,26
POCOATA,consulta externa,personas de 60 anos y mas,2009-07-01,68,81,0,3,68,84,152
POCONA,consulta externa,personas de 60 anos y mas,2009-07-01,33,60,2,5,35,65,100
POJO (CBBA),consulta externa,personas de 60 anos y mas,2009-07-01,19,19,0,1,19,20,39
POOPO,consulta externa,personas de 60 anos y mas,2009-07-01,50,55,27,26,77,81,158
PORCO,consulta externa,personas de 60 anos y mas,2009-07-01,30,39,1,1,31,40,71
POROMA,consulta externa,personas de 60 anos y mas,2009-07-01,68,88,1,0,69,88,157
PORONGO,consulta externa,personas de 60 anos y mas,2009-07-01,33,20,9,15,42,35,77
PORTACHUELO,consulta externa,personas de 60 anos y mas,2009-07-01,192,161,58,42,250,203,453
PORVENIR,consulta externa,personas de 60 anos y mas,2009-07-01,27,18,1,1,28,19,47
POSTRER VALLE,consulta externa,personas de 60 anos y mas,2009-07-01,28,26,0,0,28,26,54
POTOSI,consulta externa,personas de 60 anos y mas,2009-07-01,2201,2484,1480,11329,3681,13813,17494
PRESTO,consulta externa,personas de 60 anos y mas,2009-07-01,83,103,1,0,84,103,187
