,group,variable,month,MENORES DE 5 AÑOS NUEVOS,MENORES DE 5 AÑOS NUEVOS,MENORES DE 5 AÑOS REPETIDOS,MENORES DE 5 AÑOS REPETIDOS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
TODOS SANTOS,consulta externa,menores de 5 anos,2009-01-01,23,3,1,0,24,3,27
TOLATA,consulta externa,menores de 5 anos,2009-01-01,65,45,3,4,68,49,117
TOLEDO,consulta externa,menores de 5 anos,2009-01-01,62,70,12,12,74,82,156
TOMAVE,consulta externa,menores de 5 anos,2009-01-01,171,216,7,8,178,224,402
TOMINA,consulta externa,menores de 5 anos,2009-01-01,306,362,2,5,308,367,675
TORO TORO,consulta externa,menores de 5 anos,2009-01-01,162,160,7,3,169,163,332
TOTORA(CBBA),consulta externa,menores de 5 anos,2009-01-01,134,147,3,3,137,150,287
TOTORA(ORR),consulta externa,menores de 5 anos,2009-01-01,38,48,0,0,38,48,86
TRIGAL,consulta externa,menores de 5 anos,2009-01-01,36,28,2,0,38,28,66
TRINIDAD,consulta externa,menores de 5 anos,2009-01-01,2408,2230,437,353,2845,2583,5428
TUPIZA,consulta externa,menores de 5 anos,2009-01-01,948,806,34,31,982,837,1819
TURCO,consulta externa,menores de 5 anos,2009-01-01,78,78,2,0,80,78,158
UMALA,consulta externa,menores de 5 anos,2009-01-01,73,65,0,1,73,66,139
UNCIA,consulta externa,menores de 5 anos,2009-01-01,497,452,16,16,513,468,981
URIONDO (A. CONCEPCION),consulta externa,menores de 5 anos,2009-01-01,453,440,18,24,471,464,935
URUBICHA,consulta externa,menores de 5 anos,2009-01-01,149,151,7,4,156,155,311
UYUNI,consulta externa,menores de 5 anos,2009-01-01,341,311,12,6,353,317,670
VACAS,consulta externa,menores de 5 anos,2009-01-01,58,101,3,1,61,102,163
VALLEGRANDE,consulta externa,menores de 5 anos,2009-01-01,224,179,22,19,246,198,444
VIACHA,consulta externa,menores de 5 anos,2009-01-01,569,517,86,69,655,586,1241
VILA VILA,consulta externa,menores de 5 anos,2009-01-01,77,68,1,0,78,68,146
VILLA MONTES,consulta externa,menores de 5 anos,2009-01-01,711,612,14,34,725,646,1371
VILLA NUEVA (LOMA ALTA),consulta externa,menores de 5 anos,2009-01-01,44,61,0,4,44,65,109
VILLA RIVERO,consulta externa,menores de 5 anos,2009-01-01,51,39,3,1,54,40,94
VILLA SERRANO,consulta externa,menores de 5 anos,2009-01-01,300,301,1,0,301,301,602
VILLA TUNARI,consulta externa,menores de 5 anos,2009-01-01,1977,1671,85,57,2062,1728,3790
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,menores de 5 anos,2009-01-01,206,197,3,5,209,202,411
VILLAZON,consulta externa,menores de 5 anos,2009-01-01,851,729,62,60,913,789,1702
VINTO,consulta externa,menores de 5 anos,2009-01-01,394,326,286,263,680,589,1269
VITICHI,consulta externa,menores de 5 anos,2009-01-01,110,104,4,2,114,106,220
WALDO BALLIVIAN,consulta externa,menores de 5 anos,2009-01-01,19,21,1,0,20,21,41
WARNES,consulta externa,menores de 5 anos,2009-01-01,1560,1443,29,23,1589,1466,3055
YACO,consulta externa,menores de 5 anos,2009-01-01,55,55,0,1,55,56,111
YACUIBA,consulta externa,menores de 5 anos,2009-01-01,1948,1853,123,101,2071,1954,4025
YAMPARAEZ,consulta externa,menores de 5 anos,2009-01-01,87,90,4,6,91,96,187
YANACACHI,consulta externa,menores de 5 anos,2009-01-01,64,70,0,1,64,71,135
YAPACANI,consulta externa,menores de 5 anos,2009-01-01,763,705,54,35,817,740,1557
YOCALLA,consulta externa,menores de 5 anos,2009-01-01,101,94,1,2,102,96,198
YOTALA,consulta externa,menores de 5 anos,2009-01-01,164,179,32,28,196,207,403
YUNCHARA,consulta externa,menores de 5 anos,2009-01-01,176,153,0,1,176,154,330
ZUDAÑEZ,consulta externa,menores de 5 anos,2009-01-01,269,239,4,4,273,243,516
ACACIO,consulta externa,menores de 5 anos,2009-02-01,96,96,1,0,97,96,193
ACHACACHI,consulta externa,menores de 5 anos,2009-02-01,227,279,7,10,234,289,523
ACHOCALLA,consulta externa,menores de 5 anos,2009-02-01,61,50,4,1,65,51,116
AIQUILE,consulta externa,menores de 5 anos,2009-02-01,439,388,2,10,441,398,839
ALALAY,consulta externa,menores de 5 anos,2009-02-01,28,23,0,0,28,23,51
ALCALA,consulta externa,menores de 5 anos,2009-02-01,139,144,1,0,140,144,284
ANCORAIMES,consulta externa,menores de 5 anos,2009-02-01,121,113,4,3,125,116,241
ANDAMARCA,consulta externa,menores de 5 anos,2009-02-01,32,32,1,1,33,33,66
ANTEQUERA,consulta externa,menores de 5 anos,2009-02-01,38,35,0,1,38,36,74
ANZALDO,consulta externa,menores de 5 anos,2009-02-01,97,72,4,18,101,90,191
APOLO,consulta externa,menores de 5 anos,2009-02-01,256,260,1,3,257,263,520
ARAMPAMPA,consulta externa,menores de 5 anos,2009-02-01,97,87,0,0,97,87,184
ARANI,consulta externa,menores de 5 anos,2009-02-01,138,116,18,1,156,117,273
ARBIETO,consulta externa,menores de 5 anos,2009-02-01,109,90,44,40,153,130,283
ARQUE,consulta externa,menores de 5 anos,2009-02-01,245,218,8,13,253,231,484
ASCENCION DE GUARAYOS,consulta externa,menores de 5 anos,2009-02-01,420,342,24,24,444,366,810
ATOCHA,consulta externa,menores de 5 anos,2009-02-01,138,124,16,9,154,133,287
AUCAPATA,consulta externa,menores de 5 anos,2009-02-01,66,41,9,9,75,50,125
AYATA,consulta externa,menores de 5 anos,2009-02-01,99,74,5,1,104,75,179
AYO AYO,consulta externa,menores de 5 anos,2009-02-01,60,52,1,0,61,52,113
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,menores de 5 anos,2009-02-01,448,418,12,6,460,424,884
AZURDUY,consulta externa,menores de 5 anos,2009-02-01,394,362,1,2,395,364,759
BATALLAS,consulta externa,menores de 5 anos,2009-02-01,76,48,0,1,76,49,125
BAURES,consulta externa,menores de 5 anos,2009-02-01,73,81,6,8,79,89,168
BELEN DE ANDAMARCA,consulta externa,menores de 5 anos,2009-02-01,5,10,1,0,6,10,16
BELEN DE URMIRI,consulta externa,menores de 5 anos,2009-02-01,36,31,0,4,36,35,71
BELLA FLOR,consulta externa,menores de 5 anos,2009-02-01,57,40,1,3,58,43,101
BERMEJO,consulta externa,menores de 5 anos,2009-02-01,728,632,23,28,751,660,1411
BETANZOS,consulta externa,menores de 5 anos,2009-02-01,558,429,8,8,566,437,1003
BOLIVAR,consulta externa,menores de 5 anos,2009-02-01,109,107,0,2,109,109,218
BOLPEBRA,consulta externa,menores de 5 anos,2009-02-01,47,28,6,5,53,33,86
BOYUIBE,consulta externa,menores de 5 anos,2009-02-01,90,70,3,4,93,74,167
BUENA VISTA,consulta externa,menores de 5 anos,2009-02-01,997,233,22,21,1019,254,1273
CABEZAS,consulta externa,menores de 5 anos,2009-02-01,1406,556,15,15,1421,571,1992
CAIROMA,consulta externa,menores de 5 anos,2009-02-01,150,125,4,7,154,132,286
"CAIZA ""D""",consulta externa,menores de 5 anos,2009-02-01,105,97,5,4,110,101,211
CAJUATA,consulta externa,menores de 5 anos,2009-02-01,172,200,2,4,174,204,378
CALACOTO,consulta externa,menores de 5 anos,2009-02-01,49,41,1,0,50,41,91
CALAMARCA,consulta externa,menores de 5 anos,2009-02-01,92,89,9,5,101,94,195
CAMARGO,consulta externa,menores de 5 anos,2009-02-01,244,261,0,1,244,262,506
CAMATAQUI (C. VILLA ABECIA),consulta externa,menores de 5 anos,2009-02-01,74,62,3,3,77,65,142
CAMIRI,consulta externa,menores de 5 anos,2009-02-01,964,857,171,47,1135,904,2039
CAPINOTA,consulta externa,menores de 5 anos,2009-02-01,282,195,27,14,309,209,518
CAQUIAVIRI,consulta externa,menores de 5 anos,2009-02-01,46,46,1,1,47,47,94
CARACOLLO,consulta externa,menores de 5 anos,2009-02-01,131,144,5,2,136,146,282
CARANAVI,consulta externa,menores de 5 anos,2009-02-01,957,897,40,28,997,925,1922
CARANGAS,consulta externa,menores de 5 anos,2009-02-01,6,2,0,0,6,2,8
CARAPARI,consulta externa,menores de 5 anos,2009-02-01,349,329,3,2,352,331,683
CARIPUYO,consulta externa,menores de 5 anos,2009-02-01,140,140,3,0,143,140,283
CARMEN RIVERO TORREZ,consulta externa,menores de 5 anos,2009-02-01,52,55,5,5,57,60,117
CATACORA,consulta externa,menores de 5 anos,2009-02-01,17,19,0,0,17,19,36
CHACARILLA,consulta externa,menores de 5 anos,2009-02-01,13,13,0,0,13,13,26
CHALLAPATA,consulta externa,menores de 5 anos,2009-02-01,372,302,24,22,396,324,720
CHAQUI,consulta externa,menores de 5 anos,2009-02-01,71,64,1,1,72,65,137
CHARAGUA,consulta externa,menores de 5 anos,2009-02-01,790,863,30,29,820,892,1712
CHARAÑA,consulta externa,menores de 5 anos,2009-02-01,23,14,3,0,26,14,40
CHAYANTA,consulta externa,menores de 5 anos,2009-02-01,341,332,3,5,344,337,681
CHIMORE,consulta externa,menores de 5 anos,2009-02-01,498,483,42,36,540,519,1059
CHIPAYA,consulta externa,menores de 5 anos,2009-02-01,21,13,1,2,22,15,37
CHOQUE COTA,consulta externa,menores de 5 anos,2009-02-01,10,4,0,0,10,4,14
CHULUMANI (V. DE LA LIBERTAD),consulta externa,menores de 5 anos,2009-02-01,206,197,10,13,216,210,426
CHUMA,consulta externa,menores de 5 anos,2009-02-01,105,82,2,1,107,83,190
CLIZA,consulta externa,menores de 5 anos,2009-02-01,241,195,98,67,339,262,601
COBIJA,consulta externa,menores de 5 anos,2009-02-01,908,737,106,104,1014,841,1855
COCHABAMBA,consulta externa,menores de 5 anos,2009-02-01,8324,7543,3384,3128,11708,10671,22379
COIPASA,consulta externa,menores de 5 anos,2009-02-01,12,12,0,1,12,13,25
COLCAPIRHUA,consulta externa,menores de 5 anos,2009-02-01,328,210,334,263,662,473,1135
"COLCHA ""K""",consulta externa,menores de 5 anos,2009-02-01,135,122,2,2,137,124,261
COLLANA,consulta externa,menores de 5 anos,2009-02-01,10,7,0,0,10,7,17
COLOMI,consulta externa,menores de 5 anos,2009-02-01,219,170,27,19,246,189,435
COLPA BELGICA,consulta externa,menores de 5 anos,2009-02-01,162,127,118,47,280,174,454
COLQUECHACA,consulta externa,menores de 5 anos,2009-02-01,570,616,1,0,571,616,1187
COLQUENCHA,consulta externa,menores de 5 anos,2009-02-01,72,74,2,2,74,76,150
COLQUIRI,consulta externa,menores de 5 anos,2009-02-01,207,185,35,21,242,206,448
COMANCHE,consulta externa,menores de 5 anos,2009-02-01,19,16,1,0,20,16,36
COMARAPA,consulta externa,menores de 5 anos,2009-02-01,286,266,25,14,311,280,591
COMBAYA,consulta externa,menores de 5 anos,2009-02-01,20,29,4,6,24,35,59
CONCEPCION,consulta externa,menores de 5 anos,2009-02-01,210,186,0,0,210,186,396
COPACABANA,consulta externa,menores de 5 anos,2009-02-01,87,56,0,2,87,58,145
CORIPATA,consulta externa,menores de 5 anos,2009-02-01,189,221,3,8,192,229,421
CORO CORO,consulta externa,menores de 5 anos,2009-02-01,70,63,0,1,70,64,134
COROICO,consulta externa,menores de 5 anos,2009-02-01,162,162,34,38,196,200,396
CORQUE,consulta externa,menores de 5 anos,2009-02-01,74,58,4,2,78,60,138
COTAGAITA,consulta externa,menores de 5 anos,2009-02-01,359,361,27,17,386,378,764
COTOCA,consulta externa,menores de 5 anos,2009-02-01,776,664,57,43,833,707,1540
CUATRO CAÑADAS,consulta externa,menores de 5 anos,2009-02-01,383,374,11,13,394,387,781
CUCHUMUELA (V. G. VILLARROEL),consulta externa,menores de 5 anos,2009-02-01,15,14,0,0,15,14,29
CUEVO,consulta externa,menores de 5 anos,2009-02-01,81,101,0,4,81,105,186
CULPINA,consulta externa,menores de 5 anos,2009-02-01,405,398,8,11,413,409,822
CURAHUARA DE CARANGAS,consulta externa,menores de 5 anos,2009-02-01,44,29,0,1,44,30,74
CURVA,consulta externa,menores de 5 anos,2009-02-01,58,45,1,2,59,47,106
DESAGUADERO,consulta externa,menores de 5 anos,2009-02-01,40,25,0,0,40,25,65
EL ALTO,consulta externa,menores de 5 anos,2009-02-01,8500,8063,1504,1707,10004,9770,19774
EL CHORO,consulta externa,menores de 5 anos,2009-02-01,48,38,1,2,49,40,89
EL PUENTE(STC),consulta externa,menores de 5 anos,2009-02-01,408,348,10,6,418,354,772
EL PUENTE(TJA),consulta externa,menores de 5 anos,2009-02-01,195,210,24,29,219,239,458
EL TORNO,consulta externa,menores de 5 anos,2009-02-01,988,859,55,78,1043,937,1980
EL VILLAR,consulta externa,menores de 5 anos,2009-02-01,118,117,1,0,119,117,236
ENTRE RIOS,consulta externa,menores de 5 anos,2009-02-01,533,497,24,18,557,515,1072
ENTRE RIOS,consulta externa,menores de 5 anos,2009-02-01,485,409,15,14,500,423,923
ESMERALDA,consulta externa,menores de 5 anos,2009-02-01,3,3,0,0,3,3,6
EUCALIPTUS,consulta externa,menores de 5 anos,2009-02-01,103,91,2,2,105,93,198
EUREKA (SANTOS MERCADO),consulta externa,menores de 5 anos,2009-02-01,3,10,12,6,15,16,31
EXALTACION,consulta externa,menores de 5 anos,2009-02-01,61,37,13,5,74,42,116
FERNANDEZ ALONSO,consulta externa,menores de 5 anos,2009-02-01,455,345,10,5,465,350,815
FILADELFIA,consulta externa,menores de 5 anos,2009-02-01,64,46,1,2,65,48,113
GENERAL SAAVEDRA,consulta externa,menores de 5 anos,2009-02-01,405,416,7,4,412,420,832
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,menores de 5 anos,2009-02-01,122,118,9,7,131,125,256
GUANAY,consulta externa,menores de 5 anos,2009-02-01,133,136,6,6,139,142,281
GUAQUI,consulta externa,menores de 5 anos,2009-02-01,32,23,5,3,37,26,63
GUAYARAMERIN,consulta externa,menores de 5 anos,2009-02-01,1077,861,62,51,1139,912,2051
GUTIERREZ,consulta externa,menores de 5 anos,2009-02-01,616,614,14,9,630,623,1253
HUACARETA,consulta externa,menores de 5 anos,2009-02-01,161,132,23,26,184,158,342
HUACAYA (VILLA DE HUACAYA),consulta externa,menores de 5 anos,2009-02-01,77,79,1,1,78,80,158
HUACHACALLA,consulta externa,menores de 5 anos,2009-02-01,16,19,2,1,18,20,38
HUANUNI,consulta externa,menores de 5 anos,2009-02-01,240,262,71,92,311,354,665
HUARACAJE,consulta externa,menores de 5 anos,2009-02-01,63,71,3,5,66,76,142
HUAYLLAMARCA,consulta externa,menores de 5 anos,2009-02-01,36,23,0,1,36,24,60
ICHOCA,consulta externa,menores de 5 anos,2009-02-01,30,31,0,1,30,32,62
ICLA,consulta externa,menores de 5 anos,2009-02-01,334,367,6,2,340,369,709
INCAHUASI,consulta externa,menores de 5 anos,2009-02-01,476,486,5,1,481,487,968
INGAVI (HUMAITA),consulta externa,menores de 5 anos,2009-02-01,54,28,5,2,59,30,89
INQUISIVI,consulta externa,menores de 5 anos,2009-02-01,126,126,1,0,127,126,253
IRUPANA (VILLA DE LANZA),consulta externa,menores de 5 anos,2009-02-01,249,234,4,3,253,237,490
IXIAMAS,consulta externa,menores de 5 anos,2009-02-01,129,133,4,7,133,140,273
JESUS DE MACHACA,consulta externa,menores de 5 anos,2009-02-01,101,122,6,4,107,126,233
LA ASUNTA,consulta externa,menores de 5 anos,2009-02-01,735,621,4,3,739,624,1363
LA GUARDIA,consulta externa,menores de 5 anos,2009-02-01,1703,1536,123,105,1826,1641,3467
LA PAZ,consulta externa,menores de 5 anos,2009-02-01,11947,11038,2697,2530,14644,13568,28212
LA RIVERA,consulta externa,menores de 5 anos,2009-02-01,4,5,0,0,4,5,9
LAGUNILLAS,consulta externa,menores de 5 anos,2009-02-01,255,221,19,23,274,244,518
LAJA,consulta externa,menores de 5 anos,2009-02-01,90,85,3,9,93,94,187
LAS CARRERAS,consulta externa,menores de 5 anos,2009-02-01,88,67,2,2,90,69,159
LICOMA PAMPA,consulta externa,menores de 5 anos,2009-02-01,28,37,2,0,30,37,67
LLALLAGUA,consulta externa,menores de 5 anos,2009-02-01,635,695,16,24,651,719,1370
LLICA,consulta externa,menores de 5 anos,2009-02-01,53,46,6,4,59,50,109
LORETO,consulta externa,menores de 5 anos,2009-02-01,53,60,3,0,56,60,116
LURIBAY,consulta externa,menores de 5 anos,2009-02-01,101,94,3,4,104,98,202
MACHACAMARCA,consulta externa,menores de 5 anos,2009-02-01,21,19,0,0,21,19,40
MACHARETI,consulta externa,menores de 5 anos,2009-02-01,241,185,8,3,249,188,437
MAGDALENA,consulta externa,menores de 5 anos,2009-02-01,166,134,15,11,181,145,326
MAIRANA,consulta externa,menores de 5 anos,2009-02-01,151,152,1,3,152,155,307
MALLA,consulta externa,menores de 5 anos,2009-02-01,29,23,0,0,29,23,52
MAPIRI,consulta externa,menores de 5 anos,2009-02-01,177,173,6,2,183,175,358
MECAPACA,consulta externa,menores de 5 anos,2009-02-01,105,70,14,2,119,72,191
MINEROS,consulta externa,menores de 5 anos,2009-02-01,435,349,2,0,437,349,786
MIZQUE,consulta externa,menores de 5 anos,2009-02-01,320,334,33,40,353,374,727
MOCOMOCO,consulta externa,menores de 5 anos,2009-02-01,56,45,3,0,59,45,104
MOJINETE,consulta externa,menores de 5 anos,2009-02-01,11,12,0,3,11,15,26
MOJOCOYA,consulta externa,menores de 5 anos,2009-02-01,114,100,3,2,117,102,219
MONTEAGUDO,consulta externa,menores de 5 anos,2009-02-01,656,579,66,76,722,655,1377
MONTERO,consulta externa,menores de 5 anos,2009-02-01,2299,1822,349,343,2648,2165,4813
MORO MORO,consulta externa,menores de 5 anos,2009-02-01,21,20,2,0,23,20,43
MOROCHATA,consulta externa,menores de 5 anos,2009-02-01,278,311,113,113,391,424,815
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,menores de 5 anos,2009-02-01,74,55,2,0,76,55,131
NAZACARA DE PACAJES,consulta externa,menores de 5 anos,2009-02-01,2,4,0,0,2,4,6
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,menores de 5 anos,2009-02-01,23,18,1,0,24,18,42
OCURI,consulta externa,menores de 5 anos,2009-02-01,328,279,5,1,333,280,613
OKINAWA,consulta externa,menores de 5 anos,2009-02-01,325,331,11,6,336,337,673
OMEREQUE,consulta externa,menores de 5 anos,2009-02-01,118,105,0,2,118,107,225
ORURO,consulta externa,menores de 5 anos,2009-02-01,3471,3161,433,439,3904,3600,7504
PADCAYA,consulta externa,menores de 5 anos,2009-02-01,365,347,42,29,407,376,783
PADILLA,consulta externa,menores de 5 anos,2009-02-01,231,258,1,1,232,259,491
PAILON,consulta externa,menores de 5 anos,2009-02-01,469,419,3,4,472,423,895
PALCA,consulta externa,menores de 5 anos,2009-02-01,51,50,0,1,51,51,102
PALOS BLANCOS,consulta externa,menores de 5 anos,2009-02-01,650,546,57,55,707,601,1308
PAMPA AULLAGAS,consulta externa,menores de 5 anos,2009-02-01,25,21,1,1,26,22,48
PAMPA GRANDE,consulta externa,menores de 5 anos,2009-02-01,130,109,4,3,134,112,246
PAPEL PAMPA,consulta externa,menores de 5 anos,2009-02-01,43,40,1,0,44,40,84
PASORAPA,consulta externa,menores de 5 anos,2009-02-01,72,77,13,18,85,95,180
PATACAMAYA,consulta externa,menores de 5 anos,2009-02-01,121,106,1,0,122,106,228
PAZÑA,consulta externa,menores de 5 anos,2009-02-01,77,63,4,0,81,63,144
PELECHUCO,consulta externa,menores de 5 anos,2009-02-01,76,63,2,1,78,64,142
POCOATA,consulta externa,menores de 5 anos,2009-02-01,283,299,4,3,287,302,589
POCONA,consulta externa,menores de 5 anos,2009-02-01,152,169,2,3,154,172,326
POJO (CBBA),consulta externa,menores de 5 anos,2009-02-01,172,140,16,15,188,155,343
POOPO,consulta externa,menores de 5 anos,2009-02-01,47,41,0,0,47,41,88
PORCO,consulta externa,menores de 5 anos,2009-02-01,108,92,1,4,109,96,205
POROMA,consulta externa,menores de 5 anos,2009-02-01,289,247,1,0,290,247,537
PORONGO,consulta externa,menores de 5 anos,2009-02-01,185,190,19,40,204,230,434
PORTACHUELO,consulta externa,menores de 5 anos,2009-02-01,530,478,26,22,556,500,1056
PORVENIR,consulta externa,menores de 5 anos,2009-02-01,160,112,5,7,165,119,284
POSTRER VALLE,consulta externa,menores de 5 anos,2009-02-01,21,28,1,0,22,28,50
POTOSI,consulta externa,menores de 5 anos,2009-02-01,2881,2601,533,488,3414,3089,6503
PRESTO,consulta externa,menores de 5 anos,2009-02-01,295,244,1,2,296,246,542
PUCARA,consulta externa,menores de 5 anos,2009-02-01,28,22,3,0,31,22,53
PUCARANI,consulta externa,menores de 5 anos,2009-02-01,136,108,6,8,142,116,258
PUERTO ACOSTA,consulta externa,menores de 5 anos,2009-02-01,60,95,5,2,65,97,162
PUERTO CARABUCO,consulta externa,menores de 5 anos,2009-02-01,75,69,5,1,80,70,150
PUERTO GONZALO MORENO,consulta externa,menores de 5 anos,2009-02-01,113,101,2,1,115,102,217
PUERTO PEREZ,consulta externa,menores de 5 anos,2009-02-01,11,18,0,0,11,18,29
PUERTO QUIJARRO,consulta externa,menores de 5 anos,2009-02-01,269,251,21,27,290,278,568
PUERTO RICO,consulta externa,menores de 5 anos,2009-02-01,97,96,1,2,98,98,196
PUERTO SILES,consulta externa,menores de 5 anos,2009-02-01,37,34,1,0,38,34,72
PUERTO SUAREZ,consulta externa,menores de 5 anos,2009-02-01,192,198,43,32,235,230,465
PUERTO VILLARROEL,consulta externa,menores de 5 anos,2009-02-01,1598,1347,66,50,1664,1397,3061
PUNA,consulta externa,menores de 5 anos,2009-02-01,627,531,16,6,643,537,1180
PUNATA,consulta externa,menores de 5 anos,2009-02-01,369,345,124,140,493,485,978
QUIABAYA,consulta externa,menores de 5 anos,2009-02-01,32,15,0,0,32,15,47
QUILLACOLLO,consulta externa,menores de 5 anos,2009-02-01,1005,755,241,204,1246,959,2205
QUIME,consulta externa,menores de 5 anos,2009-02-01,99,60,0,5,99,65,164
QUIRUSILLAS,consulta externa,menores de 5 anos,2009-02-01,47,38,1,2,48,40,88
RAVELO,consulta externa,menores de 5 anos,2009-02-01,240,216,2,0,242,216,458
REYES,consulta externa,menores de 5 anos,2009-02-01,216,238,8,9,224,247,471
RIBERALTA,consulta externa,menores de 5 anos,2009-02-01,2278,2020,362,301,2640,2321,4961
ROBORE,consulta externa,menores de 5 anos,2009-02-01,380,352,5,4,385,356,741
RURRENABAQUE,consulta externa,menores de 5 anos,2009-02-01,259,205,28,11,287,216,503
SABAYA,consulta externa,menores de 5 anos,2009-02-01,40,40,1,0,41,40,81
SACABA,consulta externa,menores de 5 anos,2009-02-01,1231,1055,285,237,1516,1292,2808
SACABAMBA,consulta externa,menores de 5 anos,2009-02-01,85,68,1,3,86,71,157
SACACA,consulta externa,menores de 5 anos,2009-02-01,487,465,3,0,490,465,955
SAIPINA,consulta externa,menores de 5 anos,2009-02-01,67,82,5,3,72,85,157
SALINAS DE GARCI MENDOZA,consulta externa,menores de 5 anos,2009-02-01,162,128,3,1,165,129,294
SAMAIPATA,consulta externa,menores de 5 anos,2009-02-01,124,84,7,7,131,91,222
SAN AGUSTIN,consulta externa,menores de 5 anos,2009-02-01,17,28,0,0,17,28,45
SAN ANDRES,consulta externa,menores de 5 anos,2009-02-01,250,220,9,12,259,232,491
SAN ANDRES DE MACHACA,consulta externa,menores de 5 anos,2009-02-01,26,12,2,0,28,12,40
SAN ANTONIO DE ESMORUCO,consulta externa,menores de 5 anos,2009-02-01,41,37,1,0,42,37,79
SAN ANTONIO DE LOMERIO,consulta externa,menores de 5 anos,2009-02-01,160,152,4,0,164,152,316
SAN BENITO,consulta externa,menores de 5 anos,2009-02-01,180,171,31,40,211,211,422
SAN BORJA,consulta externa,menores de 5 anos,2009-02-01,697,682,31,49,728,731,1459
SAN BUENA VENTURA,consulta externa,menores de 5 anos,2009-02-01,275,236,19,14,294,250,544
SAN CARLOS,consulta externa,menores de 5 anos,2009-02-01,356,409,6,4,362,413,775
SAN IGNACIO,consulta externa,menores de 5 anos,2009-02-01,531,505,35,42,566,547,1113
SAN IGNACIO DE VELASCO,consulta externa,menores de 5 anos,2009-02-01,1063,925,52,58,1115,983,2098
SAN JAVIER(BNI),consulta externa,menores de 5 anos,2009-02-01,91,88,5,3,96,91,187
SAN JAVIER(STC),consulta externa,menores de 5 anos,2009-02-01,211,190,10,8,221,198,419
SAN JOAQUIN,consulta externa,menores de 5 anos,2009-02-01,83,89,4,4,87,93,180
SAN JOSE DE CHIQUITOS,consulta externa,menores de 5 anos,2009-02-01,329,332,99,115,428,447,875
SAN JUAN DE YAPACANI,consulta externa,menores de 5 anos,2009-02-01,327,208,75,15,402,223,625
SAN JULIAN,consulta externa,menores de 5 anos,2009-02-01,1009,876,33,20,1042,896,1938
