,group,variable,month,PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) DENTRO,PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) DENTRO,PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) FUERA,PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTALES,TOTALES,TOTALES
PAILON,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,20,14,6,4,26,18,44
PALCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,14,8,2,2,16,10,26
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,7,9,9,10,16,19,35
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,1,2,0,1,1,3,4
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,9,7,0,1,9,8,17
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,2,2,0,1,2,3,5
PASORAPA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,1,1,0,0,1,1,2
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,0,0,2,0,2,0,2
PAZÑA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,1,3,3,0,4,3,7
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,2,3,0,0,2,3,5
POCOATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,0,3,1,2,1,5,6
POCONA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,2,8,0,1,2,9,11
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,1,2,0,2,1,4,5
POOPO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,2,3,0,0,2,3,5
POROMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,9,8,7,8,16,16,32
PORONGO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,3,4,0,0,3,4,7
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,18,21,0,1,18,22,40
PORVENIR,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,1,1,3,4,4,5,9
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,0,0,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,177,178,15,11,192,189,381
PRESTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,2,1,3,2,5,3,8
PUCARA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,1,0,0,0,1,0,1
PUCARANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,10,11,2,1,12,12,24
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,1,5,4,7,5,12,17
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,6,6,2,1,8,7,15
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,6,5,5,2,11,7,18
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,4,0,0,1,4,1,5
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,13,5,0,0,13,5,18
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,7,7,1,1,8,8,16
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,3,10,0,0,3,10,13
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,42,35,5,11,47,46,93
PUNA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,7,5,7,5,14,10,24
PUNATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,11,18,1,0,12,18,30
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,1,3,0,0,1,3,4
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,57,74,56,63,113,137,250
QUIME,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,1,2,0,0,1,2,3
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,3,0,0,0,3,0,3
RAVELO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,3,5,8,1,11,6,17
REYES,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,10,3,0,0,10,3,13
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,57,64,6,2,63,66,129
ROBORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,12,14,1,0,13,14,27
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,9,13,2,1,11,14,25
SABAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,1,0,0,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,85,73,39,28,124,101,225
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,2,2,1,0,3,2,5
SACACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,3,3,1,0,4,3,7
SAIPINA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,2,1,1,1,3,2,5
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,3,3,2,2,5,5,10
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,7,7,0,0,7,7,14
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,0,1,0,0,0,1,1
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,2,7,0,2,2,9,11
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,2,0,1,0,3,0,3
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,1,0,0,0,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,4,2,2,8,6,10,16
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,1,2,1,1,2,3,5
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,34,26,7,5,41,31,72
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,3,5,1,2,4,7,11
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,18,17,1,4,19,21,40
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,19,6,3,0,22,6,28
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,24,27,5,11,29,38,67
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,2,1,0,0,2,1,3
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,12,11,4,1,16,12,28
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,4,11,4,3,8,14,22
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,10,13,8,7,18,20,38
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,6,8,3,0,9,8,17
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,31,33,19,11,50,44,94
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,0,1,0,0,0,1,1
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,4,11,2,0,6,11,17
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,6,6,3,7,9,13,22
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,0,2,0,0,0,2,2
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,7,7,3,1,10,8,18
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,13,12,0,0,13,12,25
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,2,4,5,5,7,9,16
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,1,1,0,0,1,1,2
SAN PEDRO DE QUEMES,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,2,0,0,0,2,0,2
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,2,4,2,0,4,4,8
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,1,1,0,4,1,5,6
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,4,5,0,0,4,5,9
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,9,4,0,0,9,4,13
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,12,5,0,0,12,5,17
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,919,806,66,64,985,870,1855
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,5,6,0,0,5,6,11
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,6,8,1,0,7,8,15
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,5,5,1,0,6,5,11
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,2,7,2,11,4,18,22
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,1,1,0,1,1,2,3
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,5,1,0,0,5,1,6
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,4,4,3,0,7,4,11
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,0,2,1,2,1,4,5
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,5,2,0,2,5,4,9
SENA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,3,5,0,1,3,6,9
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,15,16,0,2,15,18,33
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,10,12,0,0,10,12,22
SICAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,3,0,0,0,3,0,3
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,33,30,8,6,41,36,77
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,1,2,2,3,3,5,8
SORACACHI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,1,3,3,2,4,5,9
SORATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,5,4,6,5,11,9,20
SUCRE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,203,165,6,5,209,170,379
TACACHI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,1,0,0,1,1,1,2
TACACOMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,0,1,1,2,1,3,4
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,4,3,1,1,5,4,9
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,3,2,4,1,7,3,10
TAHUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,0,1,0,0,0,1,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,10,4,7,10,17,14,31
TARABUCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,5,9,3,3,8,12,20
TARACO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,3,0,4,1,7,1,8
TARATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,2,3,1,1,3,4,7
TARIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,115,133,34,28,149,161,310
TARVITA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,4,4,6,5,10,9,19
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,4,7,1,1,5,8,13
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,6,5,1,1,7,6,13
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,7,6,14,8,21,14,35
TIPUANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,5,5,2,0,7,5,12
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,30,33,9,10,39,43,82
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,4,6,4,6,8,12,20
TOCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,6,1,0,1,6,2,8
TOLATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,1,2,1,1,2,3,5
TOMAVE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,3,2,0,0,3,2,5
TOMINA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,6,4,4,1,10,5,15
TORO TORO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,3,0,1,1,4,1,5
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,8,5,6,3,14,8,22
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,2,2,1,1,3,3,6
TRIGAL,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,1,0,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,57,67,32,29,89,96,185
TUPIZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,24,28,1,6,25,34,59
TURCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,1,1,0,0,1,1,2
UMALA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,8,1,4,2,12,3,15
UNCIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,14,13,1,0,15,13,28
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,9,11,5,3,14,14,28
URUBICHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,7,1,0,0,7,1,8
UYUNI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,4,2,1,0,5,2,7
VACAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,3,2,2,2,5,4,9
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,12,7,0,0,12,7,19
VIACHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,30,32,1,2,31,34,65
VILA VILA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,2,1,1,0,3,1,4
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,8,10,0,0,8,10,18
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,31,34,18,13,49,47,96
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,0,2,1,0,1,2,3
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,4,3,2,0,6,3,9
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,5,4,2,0,7,4,11
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,42,42,7,5,49,47,96
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,1,3,1,1,2,4,6
VILLAZON,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,21,20,4,2,25,22,47
VINTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,24,12,20,16,44,28,72
VITICHI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,4,3,0,1,4,4,8
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,0,1,0,0,0,1,1
WARNES,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,65,46,5,1,70,47,117
YACO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,1,0,0,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,62,72,20,16,82,88,170
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,2,2,3,3,5,5,10
YANACACHI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,1,4,0,1,1,5,6
YAPACANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,25,28,6,4,31,32,63
YOCALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,2,1,0,0,2,1,3
YOTALA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,3,4,3,1,6,5,11
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,1,3,2,2,3,5,8
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-07-01,3,3,2,2,5,5,10
ACACIO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-08-01,0,0,2,0,2,0,2
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-08-01,15,14,3,3,18,17,35
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-08-01,10,12,9,12,19,24,43
AIQUILE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-08-01,3,7,8,2,11,9,20
ALALAY,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-08-01,0,2,1,0,1,2,3
ALCALA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-08-01,3,0,0,3,3,3,6
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-08-01,7,6,0,1,7,7,14
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-08-01,7,10,2,0,9,10,19
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-08-01,1,2,1,2,2,4,6
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-08-01,2,4,2,1,4,5,9
ANZALDO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-08-01,0,0,1,2,1,2,3
APOLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-08-01,11,10,1,1,12,11,23
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-08-01,1,0,2,2,3,2,5
ARANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-08-01,4,5,2,0,6,5,11
ARBIETO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-08-01,13,18,8,5,21,23,44
ARQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-08-01,10,7,10,6,20,13,33
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-08-01,30,25,3,3,33,28,61
ATOCHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-08-01,2,2,4,3,6,5,11
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-08-01,0,2,0,0,0,2,2
AYATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-08-01,3,9,3,0,6,9,15
AYO AYO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-08-01,4,4,0,1,4,5,9
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-08-01,10,8,10,7,20,15,35
AZURDUY,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-08-01,2,4,5,4,7,8,15
BATALLAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-08-01,8,7,3,4,11,11,22
BAURES,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-08-01,2,0,1,1,3,1,4
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-08-01,1,1,0,0,1,1,2
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-08-01,0,0,0,2,0,2,2
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-08-01,1,2,1,1,2,3,5
BERMEJO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-08-01,25,22,3,17,28,39,67
