,group,variable,month,TOTAL 21.7 TRABAJADOR DE SALUD HEPATITIS B 2DA DOSIS CANTIDAD,TOTAL 21.7 TRABAJADOR DE SALUD HEPATITIS B 2DA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
ANCORAIMES,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,2,0,2,0,2
ANZALDO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,3,0,3,0,3
ARAMPAMPA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,2,0,2,0,2
ARBIETO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,7,0,7,0,7
ASCENCION DE GUARAYOS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,6,0,6,0,6
AZURDUY,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,0,18,0,18,18
BATALLAS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,0,9,0,9,9
BELLA FLOR,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,1,0,1,0,1
BERMEJO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,9,0,9,0,9
BOLIVAR,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,2,0,2,0,2
CALAMARCA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,2,0,2,0,2
CAMARGO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,0,10,0,10,10
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,4,5,4,5,9
CARACOLLO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,2,3,2,3,5
CARAPARI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,13,2,13,2,15
CARMEN RIVERO TORREZ,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,1,0,1,0,1
CHALLAPATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,3,0,3,0,3
CHAYANTA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,9,0,9,0,9
CHIPAYA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,4,0,4,0,4
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,11,0,11,0,11
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,2,0,2,0,2
CLIZA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,10,0,10,0,10
COBIJA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,41,0,41,0,41
COCAPATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,26,0,26,0,26
COCHABAMBA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,33,0,33,0,33
COLCAPIRHUA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,4,0,4,0,4
COLOMI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,2,0,2,0,2
COLQUECHACA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,14,0,14,0,14
COLQUENCHA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,2,0,2,0,2
CORO CORO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,1,0,1,0,1
COROICO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,1,0,1,0,1
CORQUE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,40,0,40,0,40
COTAGAITA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,0,6,0,6,6
CRUZ DE MACHACAMARCA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,1,0,1,0,1
CUEVO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,3,0,3,0,3
EL ALTO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,94,374,94,374,468
EL PUENTE(TJA),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,3,0,3,0,3
EL TORNO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,21,0,21,0,21
EL VILLAR,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,11,23,11,23,34
ENTRE RIOS TRJ,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,0,1,0,1,1
FILADELFIA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,11,0,11,0,11
GENERAL SAAVEDRA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,8,0,8,0,8
GUANAY,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,1,0,1,0,1
GUTIERREZ,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,2,0,2,0,2
HUANUNI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,8,0,8,0,8
ICLA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,8,0,8,0,8
INCAHUASI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,4,0,4,0,4
JESUS DE MACHACA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,5,0,5,0,5
LA ASUNTA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,5,0,5,0,5
LA GUARDIA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,5,0,5,0,5
LA PAZ,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,147,111,147,111,258
LLALLAGUA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,2,0,2,0,2
LURIBAY,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,1,0,1,0,1
MALLA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,2,0,2,0,2
MIZQUE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,13,0,13,0,13
MONTEAGUDO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,5,0,5,0,5
ORURO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,257,7,257,7,264
PADCAYA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,3,0,3,0,3
PADILLA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,5,0,5,0,5
PALOS BLANCOS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,1,0,1,0,1
POCONA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,3,0,3,0,3
POROMA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,3,0,3,0,3
PORVENIR,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,1,0,1,0,1
POTOSI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,8,0,8,0,8
PUCARANI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,2,7,2,7,9
PUERTO CARABUCO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,3,0,3,0,3
PUERTO RICO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,13,2,13,2,15
PUNATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,35,0,35,0,35
QUILLACOLLO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,70,7,70,7,77
ROBORE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,2,0,2,0,2
SACABA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,10,0,10,0,10
SACABAMBA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,14,0,14,0,14
SACACA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,44,0,44,0,44
SAIPINA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,3,0,3,0,3
SAN BENITO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,5,0,5,0,5
SAN BUENA VENTURA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,3,1,3,1,4
SAN IGNACIO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,6,0,6,0,6
SAN IGNACIO DE VELASCO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,1,0,1,0,1
SAN JULIAN,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,11,0,11,0,11
SAN LORENZO(PND),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,1,0,1,0,1
SAN LORENZO(TJA),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,1,0,1,0,1
SAN MATIAS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,10,1,10,1,11
SAN PABLO DE LIPEZ,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,5,0,5,0,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,110,10,110,10,120
SANTA ROSA DEL SARA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,6,0,6,0,6
SANTIAGO DE HUATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,1,0,1,0,1
SANTIVAÑES,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,11,0,11,0,11
SAPAHAQUI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,3,0,3,0,3
SHINAOTA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,2,0,2,0,2
SICA SICA (VILLA AROMA),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,4,0,4,0,4
SICAYA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,3,0,3,0,3
SIPE SIPE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,22,0,22,0,22
SORATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,3,0,3,0,3
SUCRE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,54,0,54,0,54
TACACHI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,3,0,3,0,3
TARATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,7,45,7,45,52
TARIJA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,74,224,74,224,298
TIQUIPAYA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,9,0,9,0,9
TOCO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,2,0,2,0,2
TOLATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,2,0,2,0,2
TOMAVE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,1,0,1,0,1
TOTORA(CBBA),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,5,0,5,0,5
TRINIDAD,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,25,24,25,24,49
URIONDO (A. CONCEPCION),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,2,11,2,11,13
VACAS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,6,0,6,0,6
VALLEGRANDE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,3,2,3,2,5
VIACHA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,10,42,10,42,52
VILLA MONTES,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,4,0,4,0,4
VILLA RIVERO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,2,0,2,0,2
VILLA SERRANO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,2,0,2,0,2
VILLA TUNARI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,1,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,5,0,5,0,5
VITICHI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,16,0,16,0,16
WARNES,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,13,0,13,0,13
YACO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,2,0,2,0,2
YACUIBA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,158,28,158,28,186
YAPACANI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,33,0,33,0,33
YOTALA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,1,2,1,2,3
YUNCHARA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,6,0,6,0,6
ACACIO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,3,0,3,0,3
ACHACACHI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,1,0,1,0,1
ALCALA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,1,0,1,0,1
ALTO BENI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,2,0,2,0,2
ANCORAIMES,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,3,4,3,4,7
ARBIETO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,6,0,6,0,6
ARQUE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,2,0,2,0,2
ASCENCION DE GUARAYOS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,2,0,2,0,2
BATALLAS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,0,10,0,10,10
BELLA FLOR,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,7,15,7,15,22
BERMEJO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,4,0,4,0,4
BUENA VISTA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,1,3,1,3,4
CABEZAS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,1,0,1,0,1
"CAIZA ""D""",otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,0,6,0,6,6
CALACOTO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,1,0,1,0,1
CALAMARCA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,2,0,2,0,2
CAMARGO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,2,4,2,4,6
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,3,0,3,0,3
CAMIRI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,7,0,7,0,7
CAPINOTA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,0,2,0,2,2
CARACOLLO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,0,7,0,7,7
CARANAVI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,59,5,59,5,64
CARAPARI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,18,0,18,0,18
CHALLAPATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,19,2,19,2,21
CHAYANTA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,6,0,6,0,6
CHIPAYA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,20,0,20,0,20
CLIZA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,48,0,48,0,48
COBIJA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,9,94,9,94,103
COCAPATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,29,3,29,3,32
COCHABAMBA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,17,0,17,0,17
"COLCHA ""K""",otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,2,0,2,0,2
COLQUECHACA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,7,0,7,0,7
COLQUENCHA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,7,8,7,8,15
COMARAPA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,1,0,1,0,1
COPACABANA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,1,10,1,10,11
CORIPATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,5,0,5,0,5
CORO CORO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,2,0,2,0,2
CRUZ DE MACHACAMARCA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,3,0,3,0,3
EL ALTO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,194,84,194,84,278
EL PUENTE(STC),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,1,0,1,0,1
EL PUENTE(TJA),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,1,0,1,0,1
EL TORNO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,9,0,9,0,9
EL VILLAR,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,1,0,1,0,1
ENTRE RIOS TRJ,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,0,5,0,5,5
ESCOMA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,1,4,1,4,5
EUREKA (SANTOS MERCADO),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,9,3,9,3,12
FILADELFIA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,7,2,7,2,9
HUACARETA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,6,4,6,4,10
HUACHACALLA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,1,0,1,0,1
INQUISIVI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,4,0,4,0,4
JESUS DE MACHACA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,2,10,2,10,12
LA GUARDIA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,2,6,2,6,8
LA PAZ,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,203,112,203,112,315
MACHARETI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,2,0,2,0,2
MAGDALENA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,1,0,1,0,1
MALLA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,0,2,0,2,2
MAPIRI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,1,0,1,0,1
MIZQUE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,14,0,14,0,14
MOCOMOCO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,4,0,4,0,4
MONTEAGUDO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,5,0,5,0,5
ORURO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,236,0,236,0,236
PADCAYA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,1,0,1,0,1
PADILLA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,2,0,2,0,2
PALOS BLANCOS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,14,0,14,0,14
POROMA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,5,0,5,0,5
PORVENIR,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,29,1,29,1,30
POTOSI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,20,5,20,5,25
PRESTO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,1,0,1,0,1
PUCARANI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,10,23,10,23,33
PUERTO CARABUCO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,20,2,20,2,22
PUERTO GONZALO MORENO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,29,117,29,117,146
PUERTO PEREZ,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,1,1,1,1,2
PUERTO RICO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,7,0,7,0,7
PUNATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,33,0,33,0,33
QUILLACOLLO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,28,1,28,1,29
RAVELO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,25,0,25,0,25
SACABA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,25,0,25,0,25
SACABAMBA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,7,0,7,0,7
SACACA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,4,0,4,0,4
SAN BENITO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,6,0,6,0,6
SAN BORJA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,2,0,2,0,2
SAN BUENA VENTURA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,3,0,3,0,3
SAN CARLOS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,1,0,1,0,1
SAN IGNACIO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,1,5,1,5,6
SAN IGNACIO DE VELASCO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,14,0,14,0,14
SAN JULIAN,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,65,0,65,0,65
SAN LORENZO(TJA),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,1,0,1,0,1
SAN LUCAS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,2,0,2,0,2
SAN PEDRO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,4,0,4,0,4
SAN PEDRO(PND),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,3,20,3,20,23
SAN RAMON BENI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,35,0,35,0,35
SANTA ROSA DEL SARA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,6,0,6,0,6
SANTIAGO DE HUARI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,9,3,9,3,12
SANTIVAÑES,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,1,0,1,0,1
SAPAHAQUI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,0,1,0,1,1
SENA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,13,0,13,0,13
SICA SICA (VILLA AROMA),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,1,0,1,0,1
SORATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,2,2,2,2,4
SUCRE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,50,13,50,13,63
TACACHI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,4,0,4,0,4
TACOBAMBA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,2,0,2,0,2
TARATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,11,59,11,59,70
TARIJA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,18,8,18,8,26
TARVITA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,1,0,1,0,1
TIPUANI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,1,0,1,0,1
TIQUIPAYA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,10,0,10,0,10
TOCO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,9,0,9,0,9
TOMAVE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,2,0,2,0,2
TOTORA(CBBA),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,5,0,5,0,5
TRINIDAD,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,5,0,5,0,5
URIONDO (A. CONCEPCION),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,51,17,51,17,68
VACAS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,5,0,5,0,5
VALLEGRANDE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,3,0,3,0,3
VIACHA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,0,6,0,6,6
VILLA MONTES,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,4,0,4,0,4
VILLA RIVERO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,4,0,4,0,4
VILLA SERRANO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,1,0,1,0,1
VILLA TUNARI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,1,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,2,0,2,0,2
VILLAZON,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,1,0,1,0,1
WARNES,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,12,0,12,0,12
YACUIBA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,86,126,86,126,212
YAMPARAEZ,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,2,0,2,0,2
YAPACANI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-08-01,31,1,31,1,32
