,group,variable,month,TOTAL 21.2 MUJERES DE 10 A 49 AÑOS 2DA DOSIS DE DT CANTIDAD,TOTAL 21.2 MUJERES DE 10 A 49 AÑOS 2DA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
PALCA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,19,45,19,45,64
PALOS BLANCOS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,19,285,19,285,304
PAMPA GRANDE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,13,11,13,11,24
PAPEL PAMPA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,39,22,39,22,61
PASORAPA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,0,17,0,17,17
PATACAMAYA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,28,11,28,11,39
PAZÑA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,5,10,5,10,15
PELECHUCO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,5,1,5,1,6
POCOATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,9,71,9,71,80
POCONA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,14,18,14,18,32
POJO (CBBA),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,44,59,44,59,103
POOPO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,6,4,6,4,10
PORCO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,6,2,6,2,8
POROMA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,48,165,48,165,213
PORONGO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,10,28,10,28,38
PORTACHUELO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,27,119,27,119,146
PORVENIR,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,2,9,2,9,11
POSTRER VALLE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,4,7,4,7,11
POTOSI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,1819,994,1819,994,2813
PRESTO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,1,123,1,123,124
PUCARA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,1,0,1,0,1
PUCARANI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,4,8,4,8,12
PUERTO ACOSTA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,1,24,1,24,25
PUERTO CARABUCO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,19,25,19,25,44
PUERTO GONZALO MORENO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,3,52,3,52,55
PUERTO PEREZ,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,29,14,29,14,43
PUERTO QUIJARRO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,29,34,29,34,63
PUERTO RICO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,15,13,15,13,28
PUERTO SUAREZ,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,16,13,16,13,29
PUERTO VILLARROEL,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,105,324,105,324,429
PUNA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,18,123,18,123,141
PUNATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,59,42,59,42,101
QUIABAYA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,4,0,4,0,4
QUILLACOLLO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,101,612,101,612,713
QUIME,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,1,15,1,15,16
QUIRUSILLAS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,7,0,7,0,7
RAVELO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,21,54,21,54,75
REYES,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,30,528,30,528,558
RIBERALTA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,277,510,277,510,787
ROBORE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,5,0,5,0,5
RURRENABAQUE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,32,36,32,36,68
SABAYA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,0,5,0,5,5
SACABA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,188,200,188,200,388
SACABAMBA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,1,5,1,5,6
SACACA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,52,54,52,54,106
SAIPINA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,5,6,5,6,11
SALINAS DE GARCI MENDOZA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,14,17,14,17,31
SAMAIPATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,12,56,12,56,68
SAN AGUSTIN,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,3,0,3,0,3
SAN ANDRES,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,9,40,9,40,49
SAN ANDRES DE MACHACA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,16,12,16,12,28
SAN ANTONIO DE ESMORUCO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,1,13,1,13,14
SAN ANTONIO DE LOMERIO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,2,12,2,12,14
SAN BENITO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,10,104,10,104,114
SAN BORJA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,51,104,51,104,155
SAN BUENA VENTURA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,20,141,20,141,161
SAN CARLOS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,26,15,26,15,41
SAN IGNACIO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,56,61,56,61,117
SAN IGNACIO DE VELASCO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,128,23,128,23,151
SAN JAVIER(BNI),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,12,9,12,9,21
SAN JAVIER(STC),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,16,0,16,0,16
SAN JOAQUIN,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,3,8,3,8,11
SAN JOSE DE CHIQUITOS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,27,62,27,62,89
SAN JUAN DE YAPACANI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,6,50,6,50,56
SAN JULIAN,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,69,266,69,266,335
SAN LORENZO(PND),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,4,5,4,5,9
SAN LORENZO(TJA),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,37,75,37,75,112
SAN LUCAS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,99,70,99,70,169
SAN MATIAS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,9,51,9,51,60
SAN MIGUEL DE VELASCO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,5,2,5,2,7
SAN PABLO DE LIPEZ,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,0,12,0,12,12
SAN PEDRO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,15,64,15,64,79
SAN PEDRO DE BUENA VISTA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,12,76,12,76,88
SAN PEDRO DE CURAHUARA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,59,215,59,215,274
SAN PEDRO DE TIQUINA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,4,4,4,4,8
SAN PEDRO(PND),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,0,20,0,20,20
SAN RAFAEL,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,2,4,2,4,6
SAN RAMON BENI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,10,138,10,138,148
SAN RAMON SCZ,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,13,1,13,1,14
SANTA ANA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,9,123,9,123,132
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,2543,3626,2543,3626,6169
SANTA ROSA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,2,237,2,237,239
SANTA ROSA DEL SARA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,34,190,34,190,224
SANTIAGO DE CALLAPA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,0,227,0,227,227
SANTIAGO DE HUARI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,4,79,4,79,83
SANTIAGO DE HUATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,1,18,1,18,19
SANTIAGO DE MACHACA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,6,4,6,4,10
SANTIVAÑES,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,8,61,8,61,69
SANTUARIO DE QUILLACAS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,2,4,2,4,6
SAPAHAQUI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,10,237,10,237,247
SENA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,3,51,3,51,54
SHINAOTA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,17,41,17,41,58
SICA SICA (VILLA AROMA),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,26,12,26,12,38
SICAYA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,0,2,0,2,2
SIPE SIPE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,57,262,57,262,319
SOPACHUY,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,13,1,13,1,14
SORACACHI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,8,12,8,12,20
SORATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,17,67,17,67,84
SUCRE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,391,1026,391,1026,1417
TACACHI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,4,2,4,2,6
TACACOMA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,3,43,3,43,46
TACOBAMBA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,9,61,9,61,70
TACOPAYA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,0,29,0,29,29
TAHUA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,4,0,4,0,4
TAPACARI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,51,78,51,78,129
TARABUCO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,44,56,44,56,100
TARACO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,7,7,7,7,14
TARATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,11,11,11,11,22
TARIJA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,418,553,418,553,971
TARVITA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,1,11,1,11,12
TEOPONTE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,16,117,16,117,133
TIAWANACU,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,14,103,14,103,117
TINGUIPAYA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,13,78,13,78,91
TIPUANI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,14,0,14,0,14
TIQUIPAYA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,69,59,69,59,128
TIRAQUE (CBBA),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,31,25,31,25,56
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,1,3,1,3,4
TOCO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,4,4,4,4,8
TOLATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,7,7,7,7,14
TOLEDO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,78,17,78,17,95
TOMAVE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,4,25,4,25,29
TOMINA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,7,110,7,110,117
TORO TORO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,21,26,21,26,47
TOTORA(CBBA),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,19,79,19,79,98
TOTORA(ORR),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,13,5,13,5,18
TRIGAL,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,1,1,1,1,2
TRINIDAD,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,227,435,227,435,662
TUPIZA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,54,50,54,50,104
TURCO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,6,56,6,56,62
UMALA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,16,5,16,5,21
UNCIA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,17,192,17,192,209
URIONDO (A. CONCEPCION),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,16,9,16,9,25
URUBICHA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,6,4,6,4,10
UYUNI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,29,0,29,0,29
VACAS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,14,10,14,10,24
VALLEGRANDE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,23,23,23,23,46
VIACHA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,103,236,103,236,339
VILA VILA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,4,3,4,3,7
VILLA CHARCAS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,13,44,13,44,57
VILLA MONTES,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,89,32,89,32,121
VILLA NUEVA (LOMA ALTA),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,0,19,0,19,19
VILLA RIVERO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,8,304,8,304,312
VILLA SERRANO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,84,221,84,221,305
VILLA TUNARI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,48,91,48,91,139
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,15,5,15,5,20
VILLAZON,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,77,87,77,87,164
VINTO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,75,269,75,269,344
VITICHI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,41,130,41,130,171
WALDO BALLIVIAN,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,1,0,1,0,1
WARNES,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,196,604,196,604,800
YACO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,4,29,4,29,33
YACUIBA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,128,358,128,358,486
YAMPARAEZ,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,11,40,11,40,51
YANACACHI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,5,0,5,0,5
YAPACANI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,29,195,29,195,224
YOCALLA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,45,13,45,13,58
YOTALA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,5,12,5,12,17
YUNCHARA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,13,16,13,16,29
YUNGUYO DE LITORAL,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,0,4,0,4,4
ZUDAÑEZ,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-06-01,13,48,13,48,61
ACACIO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,19,5,19,5,24
ACHACACHI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,64,288,64,288,352
ACHOCALLA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,3,1,3,1,4
AIQUILE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,7,17,7,17,24
ALALAY,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,0,12,0,12,12
ALCALA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,1,7,1,7,8
ALTO BENI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,30,0,30,0,30
ANCORAIMES,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,16,9,16,9,25
ANDAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,0,1,0,1,1
ANTEQUERA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,1,1,1,1,2
ANZALDO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,3,27,3,27,30
APOLO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,13,14,13,14,27
ARAMPAMPA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,3,36,3,36,39
ARANI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,9,4,9,4,13
ARBIETO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,13,137,13,137,150
ARQUE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,1,16,1,16,17
ASCENCION DE GUARAYOS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,46,14,46,14,60
ATOCHA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,4,10,4,10,14
AUCAPATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,0,19,0,19,19
AYATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,0,4,0,4,4
AYO AYO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,1,6,1,6,7
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,116,98,116,98,214
AZURDUY,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,3,23,3,23,26
BATALLAS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,7,17,7,17,24
BAURES,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,7,0,7,0,7
BELEN DE ANDAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,0,3,0,3,3
BELEN DE URMIRI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,2,2,2,2,4
BELLA FLOR,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,9,31,9,31,40
BERMEJO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,126,246,126,246,372
BETANZOS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,7,21,7,21,28
BOLIVAR,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,3,58,3,58,61
BOLPEBRA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,1,1,1,1,2
BOYUIBE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,4,3,4,3,7
BUENA VISTA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,14,32,14,32,46
CABEZAS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,16,73,16,73,89
CAIROMA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,11,2,11,2,13
"CAIZA ""D""",otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,14,1,14,1,15
CAJUATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,12,0,12,0,12
CALACOTO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,5,10,5,10,15
CALAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,11,1,11,1,12
CAMARGO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,22,12,22,12,34
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,0,65,0,65,65
CAMIRI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,38,20,38,20,58
CAPINOTA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,16,17,16,17,33
CAQUIAVIRI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,5,13,5,13,18
CARACOLLO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,26,31,26,31,57
CARANAVI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,145,89,145,89,234
CARAPARI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,32,3,32,3,35
CARIPUYO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,1,17,1,17,18
CARMEN RIVERO TORREZ,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,11,0,11,0,11
CHALLAPATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,35,17,35,17,52
CHAQUI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,1,47,1,47,48
CHARAGUA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,7,17,7,17,24
CHAYANTA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,45,26,45,26,71
CHIMORE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,38,32,38,32,70
CHOQUE COTA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,0,1,0,1,1
CHUA COCANI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,25,475,25,475,500
CHUMA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,3,20,3,20,23
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,3,15,3,15,18
CKOCHAS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,7,11,7,11,18
CLIZA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,35,29,35,29,64
COBIJA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,124,14,124,14,138
COCAPATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,12,64,12,64,76
COCHABAMBA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,845,534,845,534,1379
COIPASA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,0,27,0,27,27
COLCAPIRHUA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,73,44,73,44,117
"COLCHA ""K""",otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,23,3,23,3,26
COLLANA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-07-01,7,1,7,1,8
