,group,variable,month,TOTAL 2110 ANTIRRÁBICA HUMANA ESQUEMA COMPLETO CANTIDAD,TOTAL 2110 ANTIRRÁBICA HUMANA ESQUEMA COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,      antirrabica humana esquema completo,2014-11-01,0,6,0,6,6
CKOCHAS,otras vacunaciones,      antirrabica humana esquema completo,2014-11-01,0,2,0,2,2
COCHABAMBA,otras vacunaciones,      antirrabica humana esquema completo,2014-11-01,4,3,4,3,7
EL ALTO,otras vacunaciones,      antirrabica humana esquema completo,2014-11-01,10,11,10,11,21
ENTRE RIOS CBBA,otras vacunaciones,      antirrabica humana esquema completo,2014-11-01,1,1,1,1,2
GENERAL SAAVEDRA,otras vacunaciones,      antirrabica humana esquema completo,2014-11-01,1,0,1,0,1
LA PAZ,otras vacunaciones,      antirrabica humana esquema completo,2014-11-01,2,1,2,1,3
MOJOCOYA,otras vacunaciones,      antirrabica humana esquema completo,2014-11-01,0,1,0,1,1
MONTERO,otras vacunaciones,      antirrabica humana esquema completo,2014-11-01,1,1,1,1,2
ORURO,otras vacunaciones,      antirrabica humana esquema completo,2014-11-01,5,0,5,0,5
POTOSI,otras vacunaciones,      antirrabica humana esquema completo,2014-11-01,36,0,36,0,36
SACABA,otras vacunaciones,      antirrabica humana esquema completo,2014-11-01,1,1,1,1,2
SAN ANDRES,otras vacunaciones,      antirrabica humana esquema completo,2014-11-01,1,0,1,0,1
SAN IGNACIO,otras vacunaciones,      antirrabica humana esquema completo,2014-11-01,2,2,2,2,4
SAN IGNACIO DE VELASCO,otras vacunaciones,      antirrabica humana esquema completo,2014-11-01,2,2,2,2,4
SAN JUAN DE YAPACANI,otras vacunaciones,      antirrabica humana esquema completo,2014-11-01,2,0,2,0,2
SAN LUCAS,otras vacunaciones,      antirrabica humana esquema completo,2014-11-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      antirrabica humana esquema completo,2014-11-01,129,39,129,39,168
SORACACHI,otras vacunaciones,      antirrabica humana esquema completo,2014-11-01,0,1,0,1,1
SUCRE,otras vacunaciones,      antirrabica humana esquema completo,2014-11-01,1,1,1,1,2
TARACO,otras vacunaciones,      antirrabica humana esquema completo,2014-11-01,1,0,1,0,1
TIQUIPAYA,otras vacunaciones,      antirrabica humana esquema completo,2014-11-01,0,1,0,1,1
TRINIDAD,otras vacunaciones,      antirrabica humana esquema completo,2014-11-01,3,4,3,4,7
UYUNI,otras vacunaciones,      antirrabica humana esquema completo,2014-11-01,7,0,7,0,7
VILLAZON,otras vacunaciones,      antirrabica humana esquema completo,2014-11-01,14,11,14,11,25
WARNES,otras vacunaciones,      antirrabica humana esquema completo,2014-11-01,3,1,3,1,4
CABEZAS,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,2,1,2,1,3
"CAIZA ""D""",otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,0,1,0,1,1
CARAPARI,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,5,3,5,3,8
EL ALTO,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,13,12,13,12,25
LA GUARDIA,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,2,1,2,1,3
LA PAZ,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,5,2,5,2,7
MECAPACA,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,1,0,1,0,1
MONTERO,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,3,4,3,4,7
ORURO,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,3,1,3,1,4
POCOATA,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,1,0,1,0,1
PORCO,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,2,2,2,2,4
PORONGO,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,1,1,1,1,2
POTOSI,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,10,14,10,14,24
PUERTO QUIJARRO,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,0,1,0,1,1
SACABA,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,1,1,1,1,2
SAMAIPATA,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,57,5,57,5,62
SAN ANTONIO DE LOMERIO,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,1,0,1,0,1
SAN IGNACIO,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,0,1,0,1,1
SAN MATIAS,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,0,10,0,10,10
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,48,11,48,11,59
SORACACHI,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,0,3,0,3,3
TRINIDAD,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,2,3,2,3,5
UNCIA,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,1,0,1,0,1
UYUNI,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,2,1,2,1,3
VILLA MONTES,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,0,1,0,1,1
VILLA TUNARI,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,1,0,1,0,1
VILLAZON,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,1,1,1,1,2
WARNES,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,1,1,1,1,2
YACUIBA,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,1,1,1,1,2
YAPACANI,otras vacunaciones,      antirrabica humana esquema completo,2014-12-01,3,0,3,0,3
