,group,variable,month,TOTAL 21.6 TRABAJADOR DE SALUD HEPATITIS B 1RA DOSIS CANTIDAD,TOTAL 21.6 TRABAJADOR DE SALUD HEPATITIS B 1RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
YACO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,1,0,1,0,1
YACUIBA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,142,91,142,91,233
YAMPARAEZ,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,16,20,16,20,36
YAPACANI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,10,16,10,16,26
YOTALA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,5,0,5,0,5
YUNCHARA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,0,2,0,2,2
ACACIO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,13,0,13,0,13
ACHACACHI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,0,245,0,245,245
ALALAY,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,4,0,4,0,4
ALCALA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,4,0,4,0,4
ALTO BENI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,2,0,2,0,2
ANCORAIMES,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,3,0,3,0,3
ANZALDO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,3,0,3,0,3
ARAMPAMPA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,3,0,3,0,3
ASCENCION DE GUARAYOS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,8,0,8,0,8
AZURDUY,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,0,18,0,18,18
BATALLAS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,1,1,1,1,2
BELLA FLOR,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,1,0,1,0,1
BERMEJO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,8,15,8,15,23
BETANZOS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,1,0,1,0,1
BOLIVAR,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,4,0,4,0,4
CALACOTO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,1,0,1,0,1
CALAMARCA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,4,0,4,0,4
CAMARGO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,3,0,3,0,3
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,5,25,5,25,30
CAMIRI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,3,0,3,0,3
CAPINOTA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,2,0,2,0,2
CARANAVI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,59,187,59,187,246
CARAPARI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,11,0,11,0,11
CARMEN RIVERO TORREZ,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,1,0,1,0,1
CHALLAPATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,7,0,7,0,7
CHAYANTA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,6,0,6,0,6
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,5,0,5,0,5
CLIZA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,20,0,20,0,20
COBIJA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,67,0,67,0,67
COCHABAMBA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,20,0,20,0,20
COLCAPIRHUA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,63,0,63,0,63
"COLCHA ""K""",otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,1,0,1,0,1
COLOMI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,0,2,0,2,2
COPACABANA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,0,1,0,1,1
COTAGAITA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,2,6,2,6,8
COTOCA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,63,0,63,0,63
CUEVO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,2,2,2,2,4
EL ALTO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,291,818,291,818,1109
EL PUENTE(TJA),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,6,0,6,0,6
EL TORNO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,15,0,15,0,15
EL VILLAR,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,7,27,7,27,34
ENTRE RIOS TRJ,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,1,0,1,0,1
FILADELFIA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,8,3,8,3,11
GENERAL SAAVEDRA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,4,0,4,0,4
HUACARETA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,4,0,4,0,4
HUATAJATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,6,0,6,0,6
ICLA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,9,0,9,0,9
JESUS DE MACHACA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,8,8,8,8,16
LA GUARDIA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,0,3,0,3,3
LA PAZ,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,334,74,334,74,408
LAJA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,26,6,26,6,32
LLALLAGUA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,12,75,12,75,87
LURIBAY,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,1,0,1,0,1
MAGDALENA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,1,0,1,0,1
MALLA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,0,2,0,2,2
MAPIRI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,0,14,0,14,14
MIZQUE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,10,0,10,0,10
MOCOMOCO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,0,1,0,1,1
MOJOCOYA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,2,0,2,0,2
MONTEAGUDO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,5,0,5,0,5
MONTERO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,0,1,0,1,1
MOROCHATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,40,0,40,0,40
ORURO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,153,0,153,0,153
PADILLA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,5,0,5,0,5
PALOS BLANCOS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,2,11,2,11,13
POCONA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,3,0,3,0,3
POROMA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,15,0,15,0,15
PORONGO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,0,6,0,6,6
PORVENIR,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,28,0,28,0,28
POTOSI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,71,4,71,4,75
PRESTO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,2,0,2,0,2
PUCARANI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,21,3,21,3,24
PUERTO CARABUCO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,4,0,4,0,4
PUERTO PEREZ,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,1,0,1,0,1
PUERTO RICO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,21,0,21,0,21
PUERTO VILLARROEL,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,6,0,6,0,6
PUNATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,25,0,25,0,25
QUILLACOLLO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,66,3,66,3,69
ROBORE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,2,0,2,0,2
SACABA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,29,17,29,17,46
SACABAMBA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,8,0,8,0,8
SAN ANTONIO DE ESMORUCO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,3,0,3,0,3
SAN BENITO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,3,0,3,0,3
SAN BORJA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,20,10,20,10,30
SAN BUENA VENTURA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,7,0,7,0,7
SAN CARLOS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,1,0,1,0,1
SAN IGNACIO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,13,0,13,0,13
SAN IGNACIO DE VELASCO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,1,0,1,0,1
SAN JAVIER(BNI),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,2,2,2,2,4
SAN MATIAS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,11,16,11,16,27
SAN PABLO DE LIPEZ,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,5,0,5,0,5
SAN PEDRO DE TIQUINA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,1,0,1,0,1
SAN RAMON BENI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,42,0,42,0,42
SANTA ROSA DEL SARA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,3,1,3,1,4
SANTIAGO DE HUARI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,4,0,4,0,4
SANTIAGO DE HUATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,2,0,2,0,2
SANTIVAÑES,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,12,0,12,0,12
SENA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,22,34,22,34,56
SHINAOTA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,8,0,8,0,8
SIPE SIPE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,29,0,29,0,29
SORATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,2,0,2,0,2
SUCRE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,78,0,78,0,78
TACOBAMBA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,2,0,2,0,2
TARACO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,3,0,3,0,3
TARATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,6,5,6,5,11
TARIJA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,380,228,380,228,608
TEOPONTE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,2,3,2,3,5
TIPUANI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,2,0,2,0,2
TOCO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,1,0,1,0,1
TOLATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,3,0,3,0,3
TOMAVE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,2,0,2,0,2
TORO TORO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,6,0,6,0,6
TOTORA(CBBA),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,3,0,3,0,3
TRINIDAD,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,21,1,21,1,22
URIONDO (A. CONCEPCION),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,38,15,38,15,53
VIACHA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,10,40,10,40,50
VILLA MONTES,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,3,0,3,0,3
VILLA SERRANO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,9,0,9,0,9
VILLA TUNARI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,1,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,10,0,10,0,10
VILLAZON,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,4,1,4,1,5
WARNES,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,24,0,24,0,24
YACO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,2,0,2,0,2
YACUIBA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,220,16,220,16,236
YAMPARAEZ,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,7,4,7,4,11
YAPACANI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,32,8,32,8,40
YOTALA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,3,0,3,0,3
YUNCHARA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-06-01,3,3,3,3,6
ACACIO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,10,0,10,0,10
ALCALA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,1,0,1,0,1
ANCORAIMES,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,7,1,7,1,8
ANZALDO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,2,0,2,0,2
ARAMPAMPA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,2,13,2,13,15
ARBIETO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,9,0,9,0,9
ASCENCION DE GUARAYOS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,8,0,8,0,8
ATOCHA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,1,0,1,0,1
AYO AYO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,13,0,13,0,13
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,18,0,18,0,18
BATALLAS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,2,1,2,1,3
BELEN DE URMIRI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,1,0,1,0,1
BELLA FLOR,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,10,5,10,5,15
BERMEJO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,20,0,20,0,20
BOLPEBRA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,2,0,2,0,2
CALAMARCA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,5,5,5,5,10
CAMARGO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,1,11,1,11,12
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,1,1,1,1,2
CARAPARI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,8,0,8,0,8
CHALLAPATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,1,0,1,0,1
CHARAGUA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,0,6,0,6,6
CHAYANTA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,9,0,9,0,9
CHIPAYA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,3,0,3,0,3
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,5,0,5,0,5
CLIZA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,59,0,59,0,59
COBIJA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,167,0,167,0,167
COCAPATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,6,0,6,0,6
COCHABAMBA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,16,0,16,0,16
COLCAPIRHUA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,28,0,28,0,28
"COLCHA ""K""",otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,3,0,3,0,3
COLQUECHACA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,19,0,19,0,19
COLQUENCHA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,7,22,7,22,29
COMARAPA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,1,0,1,0,1
CORIPATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,1,0,1,0,1
CORO CORO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,1,1,1,1,2
COROICO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,4,0,4,0,4
CORQUE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,11,0,11,0,11
EL ALTO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,307,638,307,638,945
EL TORNO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,20,0,20,0,20
EL VILLAR,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,3,0,3,0,3
ENTRE RIOS TRJ,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,6,0,6,0,6
EUREKA (SANTOS MERCADO),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,14,86,14,86,100
FILADELFIA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,7,0,7,0,7
GENERAL SAAVEDRA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,3,0,3,0,3
GUANAY,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,3,0,3,0,3
GUTIERREZ,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,8,0,8,0,8
HUACARETA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,5,2,5,2,7
HUANUNI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,1,0,1,0,1
HUATAJATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,6,0,6,0,6
ICLA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,2,0,2,0,2
INCAHUASI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,1,0,1,0,1
IXIAMAS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,6,19,6,19,25
JESUS DE MACHACA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,1,0,1,0,1
LA ASUNTA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,2,2,2,2,4
LA GUARDIA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,1,7,1,7,8
LA PAZ,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,307,97,307,97,404
LLALLAGUA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,2,0,2,0,2
MACHARETI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,7,18,7,18,25
MALLA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,4,0,4,0,4
MIZQUE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,10,0,10,0,10
MOCOMOCO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,3,1,3,1,4
MONTEAGUDO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,9,3,9,3,12
ORURO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,192,0,192,0,192
PADCAYA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,1,0,1,0,1
PADILLA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,1,0,1,0,1
PALOS BLANCOS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,9,0,9,0,9
POCONA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,7,0,7,0,7
PORVENIR,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,7,0,7,0,7
POTOSI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,22,0,22,0,22
PUCARANI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,18,2,18,2,20
PUERTO GONZALO MORENO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,38,146,38,146,184
PUERTO RICO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,8,0,8,0,8
PUERTO SUAREZ,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,20,0,20,0,20
PUNATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,14,0,14,0,14
QUILLACOLLO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,12,6,12,6,18
SACABA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,190,0,190,0,190
SACABAMBA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,4,0,4,0,4
SAN BENITO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,4,0,4,0,4
SAN BORJA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,5,0,5,0,5
SAN BUENA VENTURA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,4,32,4,32,36
SAN IGNACIO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,2,0,2,0,2
SAN JULIAN,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,43,0,43,0,43
SAN LORENZO(PND),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,6,0,6,0,6
SAN LUCAS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,0,3,0,3,3
SAN MATIAS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,33,0,33,0,33
SAN PEDRO DE TIQUINA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,7,1,7,1,8
SAN PEDRO(PND),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,0,13,0,13,13
SAN RAMON BENI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,8,0,8,0,8
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,81,98,81,98,179
SANTA ROSA DEL SARA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,13,0,13,0,13
SANTIAGO DE HUATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,1,0,1,0,1
SANTIVAÑES,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,1,0,1,0,1
SENA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,1,23,1,23,24
SHINAOTA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,7,0,7,0,7
SICAYA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,6,0,6,0,6
SORATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,10,0,10,0,10
SUCRE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,43,0,43,0,43
TACACHI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,3,0,3,0,3
TACOBAMBA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,3,0,3,0,3
TARATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,7,91,7,91,98
TARIJA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,51,11,51,11,62
TARVITA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,1,0,1,0,1
TIAWANACU,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,1,0,1,0,1
TIPUANI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,8,0,8,0,8
TIQUIPAYA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,1,0,1,0,1
TOLATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,2,0,2,0,2
TOMAVE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-07-01,1,0,1,0,1
