municipality,group,variable,month,TOTAL 5.15 AQV FEMENINO  Grupo Edad: (CANTIDAD),TOTAL
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,5,5
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,9,9
VINTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,2,2
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,2,2
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,2,2
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,5,5
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,1,1
CALAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,1,1
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,1,1
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,4,4
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,2,2
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,1,1
CHAQUI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,12,12
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,2,2
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,16,16
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,59,59
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,1,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,26,26
ESCOMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,1,1
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,17,17
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,38,38
MACHARETI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,4,4
MAGDALENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,2,2
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,20,20
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,2,2
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,3,3
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,2,2
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,14,14
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,2,2
PUNA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,2,2
PUNATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,1,1
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,3,3
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,23,23
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,3,3
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,5,5
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,7,7
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,1,1
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,13,13
SAN JAVIER(BNI),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,2,2
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,5,5
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,12,12
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,4,4
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,28,28
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,24,24
TARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,1,1
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,4,4
TARVITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,1,1
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,9,9
UYUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,2,2
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,3,3
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,8,8
VINTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,1,1
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-11-01,1,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,5,5
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,8,8
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,2,2
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,1,1
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,1,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,19,19
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,70,70
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,1,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,25,25
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,10,10
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,2,2
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,8,8
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,15,15
MAGDALENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,2,2
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,1,1
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,22,22
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,8,8
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,3,3
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,3,3
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,6,6
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,1,1
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,5,5
REYES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,2,2
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,26,26
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,1,1
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,14,14
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,1,1
SAN CARLOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,2,2
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,1,1
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,7,7
SAN JAVIER(BNI),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,4,4
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,1,1
SAN MATIAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,2,2
SAN PEDRO DE TIQUINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,10,10
SAN RAMON BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,2,2
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,2,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,15,15
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,8,8
TARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,1,1
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,4,4
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,7,7
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,29,29
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,4,4
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,2,2
VINTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,5,5
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,2,2
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-12-01,1,1
