,group,variable,month,L 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,L 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,L 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,L 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,TOTALES,TOTALES,TOTALES
PUERTO VILLARROEL,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,0,1,0,0,0,1,1
RAVELO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,23,6,0,0,23,6,29
REYES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,2,4,0,0,2,4,6
RIBERALTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,875,780,0,1,875,781,1656
RURRENABAQUE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,0,1,1,0,1,1,2
SAIPINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,36,51,0,0,36,51,87
SAN BUENA VENTURA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,2,0,0,0,2,0,2
SAN CARLOS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,14,20,0,0,14,20,34
SAN JAVIER(STC),malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,1,1,0,0,1,1,2
SAN JOSE DE CHIQUITOS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,10,30,0,0,10,30,40
SAN LORENZO(PND),malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,201,85,0,0,201,85,286
SAN LUCAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,6,34,0,0,6,34,40
SAN MATIAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,16,12,0,0,16,12,28
SAN PEDRO DE BUENA VISTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,27,8,0,0,27,8,35
SAN PEDRO(PND),malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,30,6,0,0,30,6,36
SANTA ROSA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,9,8,0,0,9,8,17
SENA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,114,79,0,0,114,79,193
SHINAOTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,2,0,0,0,2,0,2
SOPACHUY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,4,11,0,0,4,11,15
SUCRE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,1,7,0,0,1,7,8
TARABUCO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,54,60,0,0,54,60,114
TEOPONTE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,1,3,0,0,1,3,4
TOMINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,0,4,0,0,0,4,4
TORO TORO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,53,34,0,0,53,34,87
VALLEGRANDE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,0,1,0,0,0,1,1
VILLA CHARCAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,15,77,0,0,15,77,92
VILLA MONTES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,65,67,0,0,65,67,132
VILLA NUEVA (LOMA ALTA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,67,57,0,0,67,57,124
VILLA SERRANO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,8,7,0,0,8,7,15
VILLA VACA GUZMAN (MUYUPAMPA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,13,31,0,0,13,31,44
YACUIBA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,135,214,0,0,135,214,349
YAMPARAEZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,1,2,0,0,1,2,3
YAPACANI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,2,1,0,0,2,1,3
ZUDAÑEZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,7,3,0,0,7,3,10
ACACIO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,25,0,0,0,25,0,25
ALCALA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,0,8,0,0,0,8,8
APOLO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,24,23,0,0,24,23,47
AZURDUY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,8,5,0,0,8,5,13
BAURES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,9,11,0,0,9,11,20
BERMEJO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,7,13,0,0,7,13,20
BOLPEBRA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,20,13,0,0,20,13,33
BUENA VISTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,2,3,0,0,2,3,5
CAMARGO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,0,20,0,0,0,20,20
CAMATAQUI (C. VILLA ABECIA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,9,13,0,0,9,13,22
CAMIRI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,11,11,0,0,11,11,22
CARANAVI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,6,2,0,0,6,2,8
CARAPARI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,23,12,0,0,23,12,35
COBIJA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,42,37,0,0,42,37,79
COMARAPA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,1,1,0,0,1,1,2
CONCEPCION,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,25,19,0,0,25,19,44
CULPINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,4,8,0,0,4,8,12
EL TORNO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,25,20,0,0,25,20,45
EL VILLAR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,0,8,0,0,0,8,8
ENTRE RIOS TRJ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,97,105,0,0,97,105,202
ESCOMA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,53,43,0,0,53,43,96
FILADELFIA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,39,33,0,0,39,33,72
GRAL. J.J. PEREZ (CHARAZANI),malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,2,2,0,0,2,2,4
GUANAY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,515,636,69,32,584,668,1252
GUTIERREZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,0,15,0,0,0,15,15
HUACARETA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,3,3,0,0,3,3,6
ICLA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,4,1,0,0,4,1,5
INCAHUASI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,10,9,0,0,10,9,19
INGAVI (HUMAITA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,45,25,0,0,45,25,70
IXIAMAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,14,21,0,0,14,21,35
LA ASUNTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,11,12,0,0,11,12,23
LA GUARDIA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,1,0,0,0,1,0,1
LA PAZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,0,2,0,0,0,2,2
LAS CARRERAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,5,2,0,0,5,2,7
MACHARETI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,44,98,0,0,44,98,142
MAGDALENA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,113,100,0,0,113,100,213
MAIRANA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,1,0,0,0,1,0,1
MAPIRI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,20,24,0,0,20,24,44
MIZQUE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,10,9,0,0,10,9,19
MOJOCOYA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,14,20,0,0,14,20,34
MONTEAGUDO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,51,73,0,0,51,73,124
NACEBE (SANTA ROSA DEL ABUNA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,46,29,0,0,46,29,75
NUEVO MANOA (NUEVA ESPERANZA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,115,77,0,0,115,77,192
PADCAYA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,18,14,0,0,18,14,32
PADILLA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,52,62,0,0,52,62,114
PAILON,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,9,60,0,0,9,60,69
PALOS BLANCOS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,4,3,0,0,4,3,7
POROMA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,11,33,0,0,11,33,44
PORONGO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,2,0,0,0,2,0,2
PORTACHUELO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,2,0,0,0,2,0,2
PORVENIR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,165,36,0,0,165,36,201
PUERTO GONZALO MORENO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,66,42,0,0,66,42,108
PUERTO RICO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,109,44,0,0,109,44,153
RAVELO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,23,9,0,0,23,9,32
REYES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,7,6,0,0,7,6,13
RIBERALTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,697,603,1,3,698,606,1304
ROBORE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,22,13,0,0,22,13,35
RURRENABAQUE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,2,0,0,0,2,0,2
SAIPINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,119,163,0,0,119,163,282
SAN BORJA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,0,1,0,0,0,1,1
SAN BUENA VENTURA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,0,1,0,0,0,1,1
SAN IGNACIO DE VELASCO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,3,3,0,0,3,3,6
SAN JAVIER(STC),malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,2,0,2,0,4,0,4
SAN JOAQUIN,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,1,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,20,60,0,0,20,60,80
SAN LORENZO(PND),malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,150,121,0,0,150,121,271
SAN LORENZO(TJA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,0,1,0,0,0,1,1
SAN LUCAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,6,9,1,2,7,11,18
SAN MATIAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,165,156,0,0,165,156,321
SAN PEDRO DE BUENA VISTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,15,14,0,0,15,14,29
SAN PEDRO(PND),malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,11,14,0,0,11,14,25
SANTA ROSA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,6,10,0,0,6,10,16
SENA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,68,43,0,0,68,43,111
SHINAOTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,1,1,0,0,1,1,2
SOPACHUY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,3,14,0,0,3,14,17
SUCRE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,13,32,0,0,13,32,45
TARABUCO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,2,0,0,0,2,0,2
TARVITA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,6,44,0,0,6,44,50
TEOPONTE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,5,4,0,0,5,4,9
TOMINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,1,20,0,0,1,20,21
TORO TORO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,52,46,0,0,52,46,98
VALLEGRANDE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,0,2,0,0,0,2,2
VILA VILA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,0,0,1,0,1,0,1
VILLA CHARCAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,3,4,0,0,3,4,7
VILLA MONTES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,117,145,0,0,117,145,262
VILLA NUEVA (LOMA ALTA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,48,44,0,0,48,44,92
VILLA SERRANO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,17,19,0,0,17,19,36
VILLA TUNARI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,3,1,0,0,3,1,4
VILLA VACA GUZMAN (MUYUPAMPA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,7,4,0,0,7,4,11
YACUIBA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,80,139,0,0,80,139,219
YAPACANI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,1,4,0,0,1,4,5
YOTALA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,2,1,0,0,2,1,3
ZUDAÑEZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-07-01,2,4,0,0,2,4,6
AIQUILE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,0,1,0,0,0,1,1
ALCALA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,0,4,0,0,0,4,4
APOLO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,11,12,0,0,11,12,23
AYATA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,4,4,0,0,4,4,8
AZURDUY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,19,9,0,0,19,9,28
BAURES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,27,28,0,0,27,28,55
BELLA FLOR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,0,87,0,0,0,87,87
BERMEJO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,45,68,0,0,45,68,113
BOLPEBRA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,15,15,0,0,15,15,30
BUENA VISTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,2,2,0,0,2,2,4
CABEZAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,0,1,0,0,0,1,1
CAMARGO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,0,20,0,0,0,20,20
CAMATAQUI (C. VILLA ABECIA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,12,20,0,0,12,20,32
CAMIRI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,11,10,0,0,11,10,21
CARANAVI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,5,7,0,0,5,7,12
CARAPARI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,5,1,0,0,5,1,6
COBIJA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,48,33,0,0,48,33,81
COMARAPA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,0,0,0,3,0,3,3
CONCEPCION,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,23,14,0,0,23,14,37
CULPINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,37,25,0,0,37,25,62
EL TORNO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,22,22,0,0,22,22,44
EL VILLAR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,1,2,0,0,1,2,3
ENTRE RIOS TRJ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,166,236,0,0,166,236,402
EUREKA (SANTOS MERCADO),malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,51,45,0,0,51,45,96
FILADELFIA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,78,0,0,0,78,0,78
GRAL. J.J. PEREZ (CHARAZANI),malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,10,9,0,0,10,9,19
GUAYARAMERIN,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,534,776,30,72,564,848,1412
GUTIERREZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,1,22,0,0,1,22,23
HUACARETA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,14,17,0,0,14,17,31
HUACAYA (VILLA DE HUACAYA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,13,2,0,0,13,2,15
ICLA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,3,3,0,0,3,3,6
INCAHUASI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,41,30,0,0,41,30,71
INGAVI (HUMAITA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,32,23,0,0,32,23,55
IXIAMAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,22,10,0,0,22,10,32
LA ASUNTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,1,0,0,0,1,0,1
LA GUARDIA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,2,1,0,0,2,1,3
LAGUNILLAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,1,17,0,0,1,17,18
LAS CARRERAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,2,13,0,0,2,13,15
MACHARETI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,82,146,0,0,82,146,228
MAGDALENA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,114,88,0,0,114,88,202
MAIRANA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,1,0,0,0,1,0,1
MAPIRI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,8,7,0,0,8,7,15
MIZQUE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,8,4,0,0,8,4,12
MOJOCOYA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,13,27,0,0,13,27,40
MONTEAGUDO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,22,29,0,0,22,29,51
NACEBE (SANTA ROSA DEL ABUNA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,42,43,0,0,42,43,85
NUEVO MANOA (NUEVA ESPERANZA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,99,69,0,0,99,69,168
PADCAYA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,23,43,0,0,23,43,66
PADILLA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,3,4,0,0,3,4,7
PAILON,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,2,55,0,0,2,55,57
PALOS BLANCOS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,1,1,0,0,1,1,2
POROMA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,78,78,0,0,78,78,156
PORONGO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,3,0,0,0,3,0,3
PORVENIR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,82,103,0,0,82,103,185
PUERTO GONZALO MORENO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,22,21,0,0,22,21,43
PUERTO RICO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,270,31,0,0,270,31,301
RAVELO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,4,6,0,0,4,6,10
REYES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,5,2,0,0,5,2,7
RIBERALTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,821,700,0,0,821,700,1521
ROBORE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,4,6,0,0,4,6,10
RURRENABAQUE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,2,1,2,1,4,2,6
SAIPINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,32,38,0,0,32,38,70
SAN IGNACIO DE VELASCO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,16,9,0,0,16,9,25
SAN JOSE DE CHIQUITOS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,15,35,0,0,15,35,50
SAN JULIAN,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,123,117,0,0,123,117,240
SAN LUCAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,20,42,0,0,20,42,62
SAN MATIAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,13,8,0,0,13,8,21
SAN PEDRO(PND),malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,22,16,0,0,22,16,38
SANTA ROSA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,2,9,0,0,2,9,11
SENA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,74,60,0,0,74,60,134
SOPACHUY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,1,11,0,0,1,11,12
SUCRE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,21,31,0,0,21,31,52
TARVITA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,7,26,0,0,7,26,33
TEOPONTE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,7,3,0,0,7,3,10
TOMINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,62,61,0,0,62,61,123
TORO TORO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,49,34,0,0,49,34,83
VALLEGRANDE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,3,4,0,0,3,4,7
VILA VILA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,1,0,0,0,1,0,1
VILLA CHARCAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,0,5,0,0,0,5,5
VILLA MONTES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,179,207,0,0,179,207,386
VILLA NUEVA (LOMA ALTA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,34,36,0,0,34,36,70
VILLA SERRANO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,25,29,0,0,25,29,54
VILLA VACA GUZMAN (MUYUPAMPA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,16,43,0,0,16,43,59
YACUIBA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,105,120,0,0,105,120,225
YAMPARAEZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,32,11,0,0,32,11,43
YAPACANI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,0,2,0,0,0,2,2
YOTALA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,6,4,0,0,6,4,10
ZUDAÑEZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-08-01,2,3,0,0,2,3,5
ACACIO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,11,10,0,0,11,10,21
AIQUILE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,2,0,0,0,2,0,2
APOLO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,6,6,0,0,6,6,12
AZURDUY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,36,46,0,0,36,46,82
BAURES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,34,34,0,0,34,34,68
BELLA FLOR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,0,10,0,0,0,10,10
BERMEJO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,8,34,0,0,8,34,42
BOLPEBRA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,4,2,0,0,4,2,6
BUENA VISTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,1,3,0,0,1,3,4
CABEZAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,0,1,0,0,0,1,1
CAMARGO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,1,8,0,0,1,8,9
CAMATAQUI (C. VILLA ABECIA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,7,13,0,0,7,13,20
CARANAVI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,9,11,0,0,9,11,20
CARAPARI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,4,5,0,0,4,5,9
CHUMA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,1,0,0,0,1,0,1
COBIJA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,39,10,0,0,39,10,49
COMARAPA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,1,1,0,0,1,1,2
CULPINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,142,87,0,0,142,87,229
EL TORNO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,13,25,0,0,13,25,38
EL VILLAR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,4,11,0,0,4,11,15
ENTRE RIOS TRJ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,63,84,0,0,63,84,147
EUREKA (SANTOS MERCADO),malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,87,26,0,0,87,26,113
FILADELFIA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,31,58,0,0,31,58,89
GRAL. J.J. PEREZ (CHARAZANI),malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,1,1,0,0,1,1,2
GUANAY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,3,7,0,0,3,7,10
GUAYARAMERIN,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,330,631,39,32,369,663,1032
GUTIERREZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,4,29,0,0,4,29,33
HUACARETA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,2,0,0,0,2,0,2
ICLA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,5,29,2,9,7,38,45
