municipality,group,variable,month,Nro de Primeras visitas Familares realizadas,TOTAL
ZUDAÑEZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-06-01,73,73
ACACIO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,74,74
ACHACACHI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,42,42
ACHOCALLA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,290,290
AIQUILE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,203,203
ALALAY,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,20,20
ALCALA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,40,40
ANCORAIMES,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,182,182
ANDAMARCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,105,105
ANZALDO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,20,20
APOLO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,4,4
ARAMPAMPA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,31,31
ARANI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,33,33
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,80,80
ATOCHA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,37,37
AUCAPATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,6,6
AYO AYO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,182,182
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,111,111
BAURES,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,60,60
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,3,3
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,6,6
BELLA FLOR,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,66,66
BERMEJO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,145,145
BETANZOS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,377,377
BOLIVAR,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,46,46
BOLPEBRA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,12,12
BOYUIBE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,143,143
BUENA VISTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,40,40
CABEZAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,87,87
CAIROMA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,13,13
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,34,34
CAJUATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,21,21
CALACOTO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,49,49
CALAMARCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,84,84
CAMARGO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,218,218
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,59,59
CAMIRI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,209,209
CAPINOTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,14,14
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,44,44
CARACOLLO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,182,182
CARANAVI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,53,53
CARAPARI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,159,159
CARIPUYO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,93,93
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,14,14
CATACORA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,6,6
CHALLAPATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,95,95
CHAQUI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,260,260
CHARAGUA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,167,167
CHAYANTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,98,98
CHIMORE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,136,136
CHUA COCANI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,40,40
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,26,26
CHUMA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,165,165
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,31,31
CKOCHAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,113,113
COBIJA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,19,19
COCAPATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,46,46
COCHABAMBA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,151,151
COIPASA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,18,18
COLCAPIRHUA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,155,155
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,109,109
COLLANA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,164,164
COLOMI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,37,37
COLPA BELGICA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,32,32
COLQUECHACA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,164,164
COLQUENCHA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,10,10
COLQUIRI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,73,73
COMARAPA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,108,108
COMBAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,150,150
CONCEPCION,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,79,79
CORO CORO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,134,134
COROICO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,30,30
CORQUE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,42,42
COTAGAITA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,187,187
COTOCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,81,81
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,108,108
CULPINA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,12,12
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,58,58
CURVA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,6,6
DESAGUADERO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,26,26
EL ALTO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,1294,1294
EL CHORO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,68,68
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,269,269
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,272,272
EL TORNO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,183,183
EL VILLAR,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,25,25
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,49,49
ESCOMA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,14,14
EUCALIPTUS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,168,168
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,113,113
GAIOC JATUN AYLLU YURA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,3,3
GIA-TIM,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,4,4
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,28,28
GUAQUI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,13,13
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,468,468
HUACARAJE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,90,90
HUACARETA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,7,7
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,2,2
HUACHACALLA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,7,7
HUANUNI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,40,40
HUARINA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,1,1
HUATAJATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,119,119
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,86,86
HUMANATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,35,35
ICHOCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,28,28
ICLA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,137,137
INCAHUASI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,30,30
INQUISIVI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,65,65
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,61,61
LA ASUNTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,11,11
LA GUARDIA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,128,128
LA PAZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,47,47
LAGUNILLAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,150,150
LAJA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,200,200
LAS CARRERAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,10,10
LICOMA PAMPA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,10,10
LLALLAGUA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,309,309
LLICA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,30,30
LORETO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,24,24
LURIBAY,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,4,4
MACHACAMARCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,22,22
MACHARETI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,124,124
MAGDALENA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,407,407
MALLA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,8,8
MECAPACA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,17,17
MIZQUE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,358,358
MOCOMOCO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,235,235
MOJOCOYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,111,111
MONTEAGUDO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,264,264
MONTERO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,115,115
MOROCHATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,93,93
NACEBE (SANTA ROSA DEL ABUNA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,32,32
NAZACARA DE PACAJES,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,6,6
OCURI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,142,142
OKINAWA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,55,55
ORURO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,453,453
PADCAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,374,374
PADILLA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,39,39
PAILON,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,39,39
PALCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,231,231
PALOS BLANCOS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,5,5
PAMPA GRANDE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,37,37
PAPEL PAMPA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,143,143
PASORAPA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,138,138
PATACAMAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,3,3
PAZÑA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,48,48
PELECHUCO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,16,16
POCOATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,277,277
POCONA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,149,149
POJO (CBBA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,83,83
POOPO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,113,113
PORCO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,121,121
POROMA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,62,62
PORONGO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,97,97
PORTACHUELO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,22,22
POTOSI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,884,884
PRESTO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,8,8
PUCARANI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,283,283
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,45,45
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,47,47
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,70,70
PUERTO QUIJARRO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,46,46
PUERTO RICO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,58,58
PUERTO SUAREZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,75,75
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,195,195
PUNA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,223,223
PUNATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,736,736
QUIABAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,118,118
QUIME,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,17,17
QUIRUSILLAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,165,165
RAQAYPAMPA(ETA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,13,13
RAVELO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,103,103
REYES,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,26,26
RIBERALTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,227,227
ROBORE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,114,114
RURRENABAQUE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,4,4
SABAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,41,41
SACABA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,940,940
SACABAMBA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,43,43
SACACA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,242,242
SAIPINA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,392,392
SAMAIPATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,19,19
SAN AGUSTIN,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,8,8
SAN ANDRES,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,74,74
SAN ANTONIO DE ESMORUCO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,2,2
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,24,24
SAN BENITO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,270,270
SAN BORJA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,252,252
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,4,4
SAN CARLOS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,187,187
SAN IGNACIO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,70,70
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,25,25
SAN JAVIER(BNI),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,2,2
SAN JOAQUIN,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,104,104
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,6,6
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,90,90
SAN JULIAN,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,1109,1109
SAN LORENZO(PND),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,6,6
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,503,503
SAN LUCAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,592,592
SAN MATIAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,10,10
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,32,32
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,128,128
SAN PEDRO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,110,110
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,108,108
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,53,53
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,230,230
SAN RAFAEL,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,4,4
SAN RAMON BENI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,41,41
SAN RAMON SCZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,132,132
SANTA ANA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,4,4
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,822,822
SANTA ROSA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,4,4
SANTA ROSA DEL SARA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,5,5
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,10,10
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,44,44
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,35,35
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,1,1
SENA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,1571,1571
SHINAOTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,2,2
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,203,203
SICAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,162,162
SIPE SIPE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,24,24
SOPACHUY,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,80,80
SORACACHI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,347,347
SUCRE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,734,734
TACACHI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,5,5
TACACOMA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,15,15
TACOBAMBA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,149,149
TACOPAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,9,9
TAHUA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,5,5
TARABUCO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,87,87
TARACO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,14,14
TARATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,70,70
TARIJA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,1983,1983
TARVITA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,150,150
TIAHUANACU,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,26,26
TINGUIPAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,236,236
TIQUIPAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,227,227
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,474,474
TOLEDO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,28,28
TOMAVE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,5,5
TORO TORO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,24,24
TOTORA(CBBA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,209,209
TOTORA(ORR),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,27,27
TRIGAL,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,34,34
TRINIDAD,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,312,312
TUPIZA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,917,917
UMALA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,70,70
UNCIA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,218,218
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,383,383
URUBICHA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,124,124
UYUNI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,239,239
VACAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,114,114
VALLEGRANDE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,11,11
VIACHA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,120,120
VILLA MONTES,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,208,208
VILLA NUEVA (LOMA ALTA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,35,35
VILLA SERRANO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,15,15
VILLA TUNARI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,182,182
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,40,40
