municipality,group,variable,month,9.24 Nro de segundas visitas Familiares realizadas,TOTAL
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,180,180
PUNA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,44,44
PUNATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,787,787
QUIABAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,2,2
QUIME,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,20,20
RAQAYPAMPA(ETA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,9,9
RAVELO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,53,53
REYES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,75,75
RIBERALTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,965,965
RURRENABAQUE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,155,155
SACABA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,582,582
SACABAMBA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,8,8
SACACA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,76,76
SAIPINA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,118,118
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,3,3
SAMAIPATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,44,44
SAN AGUSTIN,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,8,8
SAN ANDRES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,21,21
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,21,21
SAN BENITO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,24,24
SAN BORJA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,304,304
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,60,60
SAN CARLOS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,124,124
SAN IGNACIO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,21,21
SAN JOAQUIN,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,5,5
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,77,77
SAN JULIAN,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,153,153
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,46,46
SAN LUCAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,298,298
SAN MATIAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,4,4
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,2,2
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,11,11
SAN PEDRO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,103,103
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,25,25
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,72,72
SAN RAMON SCZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,11,11
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,196,196
SANTA ROSA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,3,3
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,22,22
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,70,70
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,148,148
SANTIVAÑES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,71,71
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,1,1
SAPAHAQUI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,1,1
SENA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,280,280
SHINAOTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,117,117
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,35,35
SICAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,21,21
SIPE SIPE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,194,194
SOPACHUY,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,64,64
SORACACHI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,98,98
SORATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,103,103
SUCRE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,993,993
TACACOMA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,6,6
TACOPAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,26,26
TAHUA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,2,2
TAPACARI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,10,10
TARABUCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,507,507
TARACO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,31,31
TARIJA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,679,679
TARVITA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,376,376
TINGUIPAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,255,255
TIQUIPAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,851,851
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,73,73
TOCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,139,139
TOLATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,61,61
TOMINA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,187,187
TOTORA(ORR),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,35,35
TRIGAL,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,58,58
TRINIDAD,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,83,83
TUPIZA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,197,197
UMALA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,10,10
UNCIA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,66,66
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,39,39
URUBICHA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,136,136
UYUNI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,24,24
VALLEGRANDE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,26,26
VIACHA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,29,29
VILA VILA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,8,8
VILLA CHARCAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,123,123
VILLA MONTES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,73,73
VILLA NUEVA (LOMA ALTA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,8,8
VILLA RIVERO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,247,247
VILLA SERRANO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,40,40
VILLA TUNARI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,205,205
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,156,156
VILLAZON,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,62,62
VINTO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,316,316
VITICHI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,40,40
WARNES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,446,446
YACO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,18,18
YACUIBA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,296,296
YAMPARAEZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,44,44
YANACACHI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,53,53
YAPACANI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,290,290
YOCALLA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,72,72
YOTALA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,61,61
ZUDAÑEZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-08-01,199,199
ACACIO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,14,14
ACHACACHI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,56,56
ACHOCALLA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,47,47
AIQUILE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,42,42
ALALAY,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,23,23
ALCALA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,95,95
ANCORAIMES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,36,36
ANDAMARCA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,6,6
ANTEQUERA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,23,23
ANZALDO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,64,64
ARAMPAMPA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,2,2
ARANI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,15,15
ARBIETO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,97,97
ARQUE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,83,83
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,12,12
ATOCHA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,67,67
AYATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,32,32
BAURES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,100,100
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,36,36
BELLA FLOR,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,30,30
BERMEJO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,45,45
BETANZOS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,26,26
BOLIVAR,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,57,57
BOLPEBRA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,43,43
BOYUIBE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,30,30
BUENA VISTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,4,4
CABEZAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,41,41
CAIROMA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,10,10
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,40,40
CAJUATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,25,25
CAMARGO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,376,376
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,69,69
CAMIRI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,90,90
CAPINOTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,8,8
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,11,11
CARACOLLO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,90,90
CARANAVI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,19,19
CARANGAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,15,15
CARAPARI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,39,39
CARIPUYO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,78,78
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,4,4
CATACORA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,7,7
CHALLAPATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,90,90
CHARAGUA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,74,74
CHAYANTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,86,86
CHIMORE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,77,77
CHIPAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,72,72
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,5,5
CHUMA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,62,62
CKOCHAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,94,94
CLIZA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,421,421
COBIJA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,104,104
COCAPATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,9,9
COCHABAMBA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,105,105
COLCAPIRHUA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,559,559
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,197,197
COLLANA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,3,3
COLOMI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,29,29
COLQUECHACA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,34,34
COMANCHE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,34,34
COMARAPA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,57,57
COMBAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,169,169
CONCEPCION,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,3,3
COPACABANA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,80,80
CORO CORO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,53,53
COROICO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,29,29
CORQUE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,52,52
COTAGAITA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,111,111
COTOCA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,98,98
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,125,125
CULPINA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,129,129
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,35,35
CURVA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,8,8
EL ALTO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,1176,1176
EL CHORO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,11,11
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,33,33
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,60,60
EL TORNO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,281,281
EL VILLAR,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,10,10
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,149,149
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,76,76
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,171,171
GAIOC JATUN AYLLU YURA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,17,17
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,215,215
GIA-TIM,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,24,24
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,12,12
GUAQUI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,15,15
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,423,423
HUACARAJE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,50,50
HUACARETA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,70,70
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,48,48
HUANUNI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,88,88
HUARINA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,22,22
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,142,142
HUMANATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,8,8
ICHOCA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,52,52
ICLA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,162,162
INCAHUASI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,137,137
INQUISIVI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,36,36
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,83,83
IXIAMAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,10,10
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,55,55
LA GUARDIA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,33,33
LA PAZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,94,94
LAGUNILLAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,67,67
LAJA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,161,161
LAS CARRERAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,69,69
LLALLAGUA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,52,52
LLICA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,16,16
LORETO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,56,56
LURIBAY,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,20,20
MACHARETI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,95,95
MAGDALENA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,185,185
MAIRANA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,42,42
MECAPACA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,15,15
MINEROS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,79,79
MIZQUE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,104,104
MOCOMOCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,332,332
MOJINETE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,15,15
MOJOCOYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,51,51
MONTEAGUDO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,216,216
MONTERO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,25,25
MORO MORO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,7,7
MOROCHATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,120,120
NACEBE (SANTA ROSA DEL ABUNA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,16,16
OCURI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,61,61
OKINAWA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,56,56
OMEREQUE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,110,110
ORURO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,344,344
PADCAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,147,147
PADILLA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,133,133
PAILON,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,20,20
PALCA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,90,90
PALOS BLANCOS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,56,56
PAMPA AULLAGAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,53,53
PAPEL PAMPA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,60,60
PASORAPA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,139,139
PAZÑA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,25,25
PELECHUCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,24,24
POCOATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,191,191
POCONA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,63,63
POOPO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,37,37
PORCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,15,15
POROMA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,188,188
PORONGO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,7,7
POTOSI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,258,258
PRESTO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,379,379
PUCARANI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,141,141
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,235,235
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,107,107
PUERTO QUIJARRO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,10,10
PUERTO RICO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,45,45
PUERTO SUAREZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,14,14
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,265,265
PUNA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,118,118
PUNATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,376,376
QUILLACOLLO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,382,382
QUIME,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,11,11
