municipality,group,variable,month,N°de beneficiarios(as) con promoción en Salud Oral,TOTAL
LA GUARDIA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,335,335
LA PAZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,2656,2656
LAGUNILLAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,4,4
LAJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,100,100
LAS CARRERAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,49,49
LLALLAGUA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,79,79
LLICA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,15,15
LORETO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,231,231
LURIBAY,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,27,27
MACHACAMARCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,106,106
MACHARETI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,80,80
MAGDALENA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,32,32
MAIRANA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,8,8
MALLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,19,19
MAPIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,130,130
MIZQUE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,172,172
MOCOMOCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,10,10
MOJOCOYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,79,79
MONTEAGUDO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,127,127
MONTERO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,132,132
MOROCHATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,60,60
OCURI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,131,131
ORURO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,38,38
PADILLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,9,9
PALCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,225,225
PALOS BLANCOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,148,148
PAMPA AULLAGAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,10,10
PATACAMAYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,10,10
PAZÑA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,92,92
PELECHUCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,10,10
POCOATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,257,257
POCONA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,15,15
POOPO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,162,162
POROMA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,180,180
PORONGO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,50,50
PORVENIR,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,28,28
POTOSI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,460,460
PRESTO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,103,103
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,61,61
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,23,23
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,26,26
PUERTO QUIJARRO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,110,110
PUERTO RICO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,585,585
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,1356,1356
PUNA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,23,23
QUIRUSILLAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,72,72
REYES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,110,110
RIBERALTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,45,45
ROBORE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,36,36
RURRENABAQUE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,14,14
SABAYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,31,31
SACABA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,248,248
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,59,59
SAN ANDRES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,59,59
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,11,11
SAN ANTONIO DE ESMORUCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,24,24
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,28,28
SAN BENITO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,23,23
SAN BORJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,193,193
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,35,35
SAN JAVIER(BNI),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,3,3
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,36,36
SAN JULIAN,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,49,49
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,43,43
SAN LUCAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,255,255
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,24,24
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,366,366
SAN PEDRO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,31,31
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,88,88
SAN PEDRO DE CURAHUARA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,53,53
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,79,79
SAN RAMON BENI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,29,29
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,2224,2224
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,162,162
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,118,118
SAPAHAQUI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,74,74
SENA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,212,212
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,255,255
SOPACHUY,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,11,11
SORACACHI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,162,162
SORATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,132,132
SUCRE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,1904,1904
TACOBAMBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,50,50
TACOPAYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,36,36
TAHUA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,7,7
TAPACARI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,251,251
TARABUCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,175,175
TARIJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,2623,2623
TARVITA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,291,291
TEOPONTE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,35,35
TINGUIPAYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,1,1
TIQUIPAYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,16,16
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,118,118
TITO YUPANQUI (PARQUIPUJIO),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,156,156
TOMINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,20,20
TOTORA(ORR),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,45,45
TRINIDAD,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,1688,1688
TUPIZA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,75,75
TURCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,9,9
UMALA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,28,28
UNCIA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,60,60
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,143,143
URUBICHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,2,2
VALLEGRANDE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,73,73
VIACHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,5,5
VILLA CHARCAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,56,56
VILLA MONTES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,40,40
VILLA SERRANO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,67,67
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,38,38
VILLAZON,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,93,93
VITICHI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,36,36
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,35,35
WARNES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,35,35
YACO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,64,64
YACUIBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,223,223
YAMPARAEZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,82,82
YAPACANI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,58,58
YOTALA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,89,89
YUNCHARA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,6,6
ZUDAÑEZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-06-01,27,27
ACHACACHI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,99,99
ACHOCALLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,33,33
ALCALA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,3,3
ALTO BENI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,1,1
ANDAMARCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,101,101
ANTEQUERA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,15,15
ARQUE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,20,20
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,301,301
AYATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,24,24
AYO AYO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,46,46
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,25,25
BELLA FLOR,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,63,63
BOLIVAR,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,18,18
BOLPEBRA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,14,14
CABEZAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,30,30
CAJUATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,75,75
CALAMARCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,208,208
CAMARGO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,52,52
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,51,51
CAMIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,67,67
CAPINOTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,53,53
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,10,10
CARACOLLO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,47,47
CARANAVI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,15,15
CARIPUYO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,6,6
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,50,50
CATACORA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,16,16
CHALLAPATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,112,112
CHARAGUA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,66,66
CHAYANTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,12,12
CHIMORE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,141,141
CHOQUE COTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,37,37
CHUMA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,102,102
CKOCHAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,12,12
COBIJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,172,172
COCAPATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,25,25
COCHABAMBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,328,328
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,213,213
COLLANA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,98,98
COLOMI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,13,13
COLQUECHACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,32,32
COLQUENCHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,123,123
COLQUIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,52,52
COMANCHE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,20,20
COPACABANA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,10,10
CORO CORO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,18,18
COROICO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,15,15
COTAGAITA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,59,59
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,7,7
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,21,21
CULPINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,44,44
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,69,69
CURVA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,2,2
EL ALTO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,433,433
EL CHORO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,53,53
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,212,212
EL TORNO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,123,123
EL VILLAR,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,36,36
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,82,82
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,25,25
FILADELFIA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,75,75
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,3,3
GUAQUI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,10,10
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,200,200
GUTIERREZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,64,64
HUACARETA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,4,4
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,10,10
HUANUNI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,35,35
HUARINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,99,99
HUATAJATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,121,121
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,33,33
ICLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,9,9
INCAHUASI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,29,29
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,131,131
LA ASUNTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,42,42
LA GUARDIA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,1516,1516
LA PAZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,2597,2597
LAGUNILLAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,68,68
LAJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,6,6
LAS CARRERAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,5,5
LURIBAY,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,95,95
MACHACAMARCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,39,39
MACHARETI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,13,13
MAGDALENA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,36,36
MOCOMOCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,1,1
MOJOCOYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,36,36
MONTEAGUDO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,61,61
MONTERO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,360,360
OCURI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,85,85
ORURO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,37,37
PADILLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,22,22
PALCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,99,99
PALOS BLANCOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,109,109
PAZÑA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,45,45
PELECHUCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,5,5
POCOATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,103,103
POOPO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,69,69
POROMA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,92,92
PORONGO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,14,14
PORVENIR,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,75,75
POTOSI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,562,562
PRESTO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,96,96
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,18,18
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,10,10
PUERTO RICO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,81,81
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,87,87
QUILLACOLLO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,30,30
ROBORE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,83,83
RURRENABAQUE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,22,22
SACABA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,196,196
SACABAMBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,2,2
SAIPINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,4,4
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,25,25
SAN ANDRES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,91,91
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,16,16
SAN ANTONIO DE ESMORUCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,16,16
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,20,20
SAN BENITO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,37,37
SAN BORJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-07-01,120,120
