municipality,group,variable,month,N°de beneficiarios(as) con educación en Salud Oral,TOTAL
BAURES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,20,20
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,11,11
BELLA FLOR,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,129,129
BERMEJO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,102,102
BETANZOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,355,355
BOLPEBRA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,9,9
CABEZAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,71,71
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,109,109
CAJUATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,167,167
CALACOTO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,8,8
CALAMARCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,469,469
CAMARGO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,92,92
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,44,44
CAMIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,30,30
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,73,73
CARACOLLO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,148,148
CARANAVI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,90,90
CARAPARI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,393,393
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,193,193
CHACARILLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,24,24
CHALLAPATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,233,233
CHARAGUA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,54,54
CHARAÑA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,23,23
CHAYANTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,36,36
CHIMORE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,35,35
CHIPAYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,2,2
CHOQUE COTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,31,31
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,169,169
CHUMA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,50,50
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,15,15
CKOCHAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,98,98
CLIZA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,5,5
COBIJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,542,542
COCAPATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,127,127
COCHABAMBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,939,939
COIPASA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,24,24
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,458,458
COLLANA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,69,69
COLOMI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,4,4
COLQUECHACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,169,169
COLQUENCHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,135,135
COLQUIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,54,54
COMANCHE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,53,53
COMBAYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,33,33
COPACABANA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,118,118
CORO CORO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,323,323
COROICO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,89,89
COTAGAITA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,135,135
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,170,170
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,21,21
CULPINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,146,146
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,63,63
DESAGUADERO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,46,46
EL ALTO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,1461,1461
EL CHORO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,67,67
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,149,149
EL TORNO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,318,318
EL VILLAR,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,293,293
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,70,70
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,187,187
EUCALIPTUS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,75,75
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,208,208
FILADELFIA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,124,124
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,39,39
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,7,7
GUANAY,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,64,64
GUAQUI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,62,62
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,239,239
GUTIERREZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,38,38
HUACARETA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,68,68
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,48,48
HUACHACALLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,13,13
HUANUNI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,106,106
HUARINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,94,94
HUATAJATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,63,63
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,28,28
ICLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,289,289
INCAHUASI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,120,120
INQUISIVI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,239,239
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,54,54
IXIAMAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,25,25
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,44,44
LA ASUNTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,65,65
LA GUARDIA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,206,206
LA PAZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,1176,1176
LAGUNILLAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,64,64
LAJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,39,39
LAS CARRERAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,67,67
LICOMA PAMPA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,15,15
LLICA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,53,53
LURIBAY,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,121,121
MACHACAMARCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,21,21
MACHARETI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,92,92
MAGDALENA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,32,32
MAIRANA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,108,108
MALLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,44,44
MECAPACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,30,30
MIZQUE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,60,60
MOJOCOYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,71,71
MONTEAGUDO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,296,296
MONTERO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,1847,1847
MOROCHATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,203,203
NAZACARA DE PACAJES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,24,24
OCURI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,77,77
ORURO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,1016,1016
PADILLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,287,287
PALCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,355,355
PALOS BLANCOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,236,236
PELECHUCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,90,90
POCOATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,1143,1143
POOPO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,88,88
POROMA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,115,115
PORONGO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,173,173
PORVENIR,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,121,121
POTOSI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,640,640
PRESTO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,278,278
PUCARA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,25,25
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,26,26
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,215,215
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,112,112
PUERTO QUIJARRO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,1291,1291
PUERTO RICO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,221,221
PUERTO SUAREZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,31,31
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,292,292
PUNA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,68,68
QUIABAYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,399,399
QUILLACOLLO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,170,170
QUIME,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,12,12
QUIRUSILLAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,219,219
RAVELO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,29,29
REYES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,86,86
RIBERALTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,39,39
ROBORE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,62,62
RURRENABAQUE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,78,78
SACABA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,420,420
SACABAMBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,5,5
SACACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,60,60
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,95,95
SAN AGUSTIN,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,5,5
SAN ANDRES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,18,18
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,58,58
SAN ANTONIO DE ESMORUCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,118,118
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,10,10
SAN BENITO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,28,28
SAN BORJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,173,173
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,51,51
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,258,258
SAN JAVIER(BNI),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,16,16
SAN JULIAN,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,423,423
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,83,83
SAN LUCAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,451,451
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,49,49
SAN PEDRO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,27,27
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,127,127
SAN PEDRO DE CURAHUARA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,102,102
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,334,334
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,29,29
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,5597,5597
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,237,237
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,105,105
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,180,180
SAPAHAQUI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,49,49
SENA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,184,184
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,255,255
SIPE SIPE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,15,15
SOPACHUY,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,65,65
SORACACHI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,166,166
SORATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,220,220
SUCRE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,2391,2391
TACOBAMBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,30,30
TACOPAYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,30,30
TAHUA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,85,85
TAPACARI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,236,236
TARABUCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,113,113
TARACO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,13,13
TARIJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,1980,1980
TARVITA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,319,319
TEOPONTE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,18,18
TINGUIPAYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,31,31
TIPUANI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,20,20
TITO YUPANQUI (PARQUIPUJIO),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,32,32
TOLATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,93,93
TOLEDO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,47,47
TOMINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,359,359
TRINIDAD,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,736,736
TUPIZA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,10,10
TURCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,15,15
UMALA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,130,130
UNCIA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,98,98
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,118,118
URUBICHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,15,15
UYUNI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,10,10
VALLEGRANDE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,14,14
VIACHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,159,159
VILA VILA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,55,55
VILLA CHARCAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,158,158
VILLA MONTES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,6,6
VILLA SERRANO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,31,31
VILLA TUNARI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,118,118
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,79,79
VILLAZON,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,23,23
VINTO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,62,62
VITICHI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,118,118
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,185,185
WARNES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,86,86
YACO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,1,1
YACUIBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,279,279
YAMPARAEZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,50,50
YAPACANI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,77,77
YUNCHARA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,2,2
ZUDAÑEZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-08-01,62,62
ACHACACHI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-09-01,123,123
ACHOCALLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-09-01,87,87
ALCALA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-09-01,72,72
ALTO BENI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-09-01,2,2
ANCORAIMES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-09-01,217,217
ANDAMARCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-09-01,82,82
ANTEQUERA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-09-01,40,40
ARAMPAMPA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-09-01,95,95
ARANI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-09-01,12,12
ARBIETO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-09-01,9,9
ARQUE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-09-01,19,19
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-09-01,214,214
ATOCHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-09-01,63,63
AYATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-09-01,125,125
AYO AYO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-09-01,43,43
BAURES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-09-01,10,10
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-09-01,14,14
BERMEJO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-09-01,237,237
BETANZOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-09-01,380,380
BOLIVAR,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-09-01,25,25
BOLPEBRA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-09-01,8,8
CABEZAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-09-01,173,173
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-09-01,300,300
CAJUATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-09-01,69,69
CALACOTO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-09-01,228,228
CALAMARCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-09-01,75,75
CAMARGO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-09-01,94,94
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-09-01,51,51
