,group,variable,month,TOTAL INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,TOTAL INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,TOTAL INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,TOTAL INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,TOTALES,TOTALES,TOTALES
TAPACARI,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,3,5,5,7,8,12,20
TARABUCO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,5,11,2,1,7,12,19
TARACO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,1,0,2,0,3,3
TARATA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,7,8,0,0,7,8,15
TARIJA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,84,280,16,83,100,363,463
TARVITA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,14,23,4,8,18,31,49
TEOPONTE,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,5,2,1,1,6,3,9
TIAWANACU,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,1,0,0,2,1,3
TINGUIPAYA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,8,5,0,1,8,6,14
TIPUANI,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,4,0,0,2,4,6
TIQUIPAYA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,55,68,20,34,75,102,177
TIRAQUE (CBBA),otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,1,0,0,0,1,1
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,3,0,2,0,5,5
TOCO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,3,6,0,0,3,6,9
TODOS SANTOS,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,0,3,2,3,2,5
TOLEDO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,0,3,9,3,9,12
TOMAVE,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,8,7,6,6,14,13,27
TOMINA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,17,33,1,1,18,34,52
TORO TORO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,5,3,0,0,5,3,8
TOTORA(CBBA),otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,3,3,1,3,4,6,10
TOTORA(ORR),otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,3,1,1,0,4,1,5
TRIGAL,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,4,0,0,0,4,4
TRINIDAD,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,105,118,2,3,107,121,228
TUPIZA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,56,61,7,8,63,69,132
TURCO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,0,1,2,2,2,4
UMALA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,5,0,0,2,5,7
UNCIA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,4,12,9,16,13,28,41
URIONDO (A. CONCEPCION),otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,10,23,1,5,11,28,39
URUBICHA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,0,5,5,5,5,10
UYUNI,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,8,13,3,0,11,13,24
VACAS,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,53,3,1,0,54,3,57
VALLEGRANDE,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,4,10,16,11,20,31
VIACHA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,5,20,7,5,12,25,37
VILA VILA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,2,2,5,4,7,11
VILLA CHARCAS,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,9,0,1,1,10,11
VILLA MONTES,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,12,17,0,2,12,19,31
VILLA NUEVA (LOMA ALTA),otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,2,3,1,4,3,7
VILLA RIVERO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,0,1,0,1,0,1
VILLA SERRANO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,9,15,1,3,10,18,28
VILLA TUNARI,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,26,25,1,1,27,26,53
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,5,5,0,2,5,7,12
VILLAZON,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,18,37,3,7,21,44,65
VINTO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,6,11,1,1,7,12,19
VITICHI,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,14,14,2,3,16,17,33
WALDO BALLIVIAN,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,3,0,0,2,3,5
WARNES,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,26,39,3,7,29,46,75
YACO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,3,5,3,0,6,5,11
YACUIBA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,31,59,7,14,38,73,111
YAPACANI,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,34,55,7,9,41,64,105
YOTALA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,4,6,1,0,5,6,11
YUNCHARA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,17,16,1,3,18,19,37
YUNGUYO DE LITORAL,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,1,0,0,0,1,1
ZUDAÑEZ,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,13,3,1,4,14,18
ACACIO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,0,0,1,1,1,2
ACHACACHI,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,3,1,2,1,5,6
AIQUILE,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,3,2,0,0,3,2,5
ALALAY,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,2,3,1,2,3,5,8
ALCALA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,0,0,0,1,0,1
ALTO BENI,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,5,0,1,1,6,1,7
ANDAMARCA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,1,0,0,0,1,1
APOLO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,0,0,0,1,0,1
ARANI,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,0,1,2,1,2,3
ARBIETO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,0,0,2,0,2,2
ARQUE,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,4,0,0,1,4,5
ASCENCION DE GUARAYOS,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,3,0,0,1,3,4
ATOCHA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,2,4,0,0,2,4,6
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,3,1,2,2,5,7
AZURDUY,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,1,0,0,0,1,1
BELEN DE ANDAMARCA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,0,0,1,0,1,1
BERMEJO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,3,4,8,10,11,14,25
BOLIVAR,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,0,0,4,0,4,4
BUENA VISTA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,0,0,0,1,0,1
CABEZAS,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,9,9,0,0,9,9,18
CAIROMA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,3,0,0,0,3,3
CAJUATA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,1,0,0,0,1,1
CALACOTO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,2,0,0,0,2,2
CALAMARCA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,3,0,0,0,3,3
CAMARGO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,6,4,0,2,6,6,12
CAMIRI,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,17,50,7,7,24,57,81
CAPINOTA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,2,6,15,6,17,23
CARACOLLO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,2,2,0,0,2,2,4
CARANAVI,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,0,2,2,2,2,4
CARAPARI,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,3,4,0,1,3,5,8
CHALLAPATA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,2,1,5,1,7,8
CHAQUI,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,1,0,0,1,1,2
CHARAGUA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,8,4,1,3,9,7,16
CHIMORE,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,1,0,0,0,1,1
CHOQUE COTA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,2,0,0,0,2,2
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,1,0,2,0,3,3
CLIZA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,8,10,0,2,8,12,20
COBIJA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,5,25,1,10,6,35,41
COCAPATA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,12,5,0,1,12,6,18
COCHABAMBA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,676,603,2,11,678,614,1292
COIPASA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,0,2,2,2,2,4
COLCAPIRHUA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,21,19,4,11,25,30,55
"COLCHA ""K""",otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,7,9,0,1,7,10,17
COLOMI,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,2,0,0,0,2,2
COLPA BELGICA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,0,0,0,1,0,1
COLQUECHACA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,2,3,0,0,2,3,5
COLQUENCHA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,2,4,0,0,2,4,6
COMARAPA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,2,5,0,0,2,5,7
CONCEPCION,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,4,1,0,0,4,1,5
COPACABANA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,2,0,0,0,2,2
CORO CORO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,0,1,0,1,0,1
COROICO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,2,0,0,1,2,3
CORQUE,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,0,0,1,0,1,1
COTAGAITA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,2,1,2,2,4,6
COTOCA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,2,1,0,0,2,1,3
CRUZ DE MACHACAMARCA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,0,0,2,1,2,3
CUATRO CAÑADAS,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,1,0,0,0,1,1
CULPINA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,10,16,0,0,10,16,26
CURAHUARA DE CARANGAS,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,1,0,1,0,2,2
CURVA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,0,2,0,2,0,2
EL ALTO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,63,137,17,49,80,186,266
EL CHORO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,0,1,1,1,1,2
EL PUENTE(STC),otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,2,0,0,1,2,3
EL PUENTE(TJA),otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,3,4,0,0,3,4,7
EL TORNO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,12,23,0,1,12,24,36
EL VILLAR,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,1,0,0,0,1,1
ENTRE RIOS TRJ,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,1,2,3,2,4,6
ENTRE RIOS CBBA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,8,18,3,0,11,18,29
ESCARA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,2,3,0,0,2,3,5
ESCOMA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,7,0,0,0,7,7
EUCALIPTUS,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,2,0,0,0,2,0,2
FILADELFIA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,1,0,0,1,1,2
GENERAL SAAVEDRA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,0,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,2,0,0,0,2,2
GUANAY,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,1,0,0,1,1,2
GUAYARAMERIN,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,7,30,1,13,8,43,51
GUTIERREZ,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,10,12,0,1,10,13,23
HUACARETA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,0,0,0,1,0,1
HUANUNI,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,3,12,0,1,3,13,16
HUARACAJE,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,5,1,1,2,6,8
HUAYLLAMARCA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,4,1,0,0,4,1,5
ICHOCA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,1,0,0,0,1,1
ICLA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,1,0,0,1,1,2
IXIAMAS,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,1,0,0,0,1,1
LA ASUNTA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,0,0,0,1,0,1
LA GUARDIA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,7,0,0,1,7,8
LA PAZ,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,133,135,6,9,139,144,283
LAS CARRERAS,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,0,0,0,1,0,1
LLALLAGUA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,33,30,0,0,33,30,63
LLICA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,2,0,0,1,2,3
LURIBAY,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,0,0,1,0,1,1
MAGDALENA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,2,0,0,0,2,2
MAIRANA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,2,0,0,0,2,2
MAPIRI,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,3,0,0,1,3,4
MINEROS,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,0,1,0,1,0,1
MIZQUE,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,0,1,1,1,1,2
MOJOCOYA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,0,0,0,1,0,1
MONTEAGUDO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,4,4,0,0,4,4,8
MONTERO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,2,4,1,3,3,7,10
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,1,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,0,3,4,3,4,7
OCURI,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,2,4,0,0,2,4,6
ORURO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,17,64,10,5,27,69,96
PADCAYA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,2,11,0,2,2,13,15
PADILLA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,2,0,0,0,2,2
PAILON,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,6,0,0,1,6,7
PALCA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,0,0,1,0,1,1
PALOS BLANCOS,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,4,3,4,2,8,5,13
PAMPA AULLAGAS,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,0,0,0,1,0,1
PATACAMAYA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,2,4,0,0,2,4,6
PAZÑA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,0,1,0,1,0,1
PELECHUCO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,2,1,0,0,2,1,3
POCOATA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,0,1,1,1,1,2
POCONA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,4,2,0,0,4,2,6
POJO (CBBA),otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,2,2,0,0,2,2,4
POOPO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,0,1,0,2,0,2
POROMA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,2,3,2,0,4,3,7
PORONGO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,0,0,0,1,0,1
PORVENIR,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,0,0,1,0,1,1
POSTRER VALLE,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,7,16,0,0,7,16,23
PUCARANI,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,6,11,2,0,8,11,19
PUERTO ACOSTA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,0,0,3,0,3,3
PUERTO CARABUCO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,4,0,0,0,4,4
PUERTO GONZALO MORENO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,1,0,0,0,1,1
PUERTO PEREZ,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,0,2,5,2,5,7
PUERTO QUIJARRO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,1,0,7,0,8,8
PUERTO RICO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,6,6,0,0,6,6,12
PUERTO SUAREZ,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,2,0,0,0,2,2
PUERTO VILLARROEL,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,7,9,2,8,9,17,26
PUNA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,4,2,0,2,4,4,8
PUNATA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,2,0,0,0,2,2
QUILLACOLLO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,32,16,5,9,37,25,62
QUIME,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,0,1,1,1,1,2
RAVELO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,4,0,0,1,4,5
REYES,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,3,2,0,0,3,2,5
RIBERALTA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,3,12,12,12,15,27
ROBORE,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,4,4,0,0,4,4,8
RURRENABAQUE,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,0,1,0,1,0,1
SACABA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,20,9,3,4,23,13,36
SACABAMBA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,1,0,0,0,1,1
SACACA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,0,0,1,1,1,2
SAIPINA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,1,0,0,0,1,1
SALINAS DE GARCI MENDOZA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,6,0,0,0,6,6
SAMAIPATA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,1,0,0,0,1,1
SAN ANDRES,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,0,0,2,0,2,2
SAN ANDRES DE MACHACA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,1,0,0,0,1,1
SAN BENITO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,0,0,0,1,0,1
SAN BORJA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,26,47,0,0,26,47,73
SAN BUENA VENTURA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,2,5,0,0,2,5,7
SAN CARLOS,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,7,7,0,0,7,7,14
SAN IGNACIO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,2,0,0,1,2,3
SAN IGNACIO DE VELASCO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,3,0,0,0,3,3
SAN JOAQUIN,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,1,0,0,1,1,2
SAN JOSE DE CHIQUITOS,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,2,0,6,0,8,8
SAN JULIAN,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,2,1,0,0,2,1,3
SAN LORENZO(PND),otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,0,1,1,2,1,3
SAN LORENZO(TJA),otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,2,5,2,4,4,9,13
SAN LUCAS,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,4,3,0,0,4,3,7
SAN MATIAS,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,4,0,0,0,4,4
SAN MIGUEL DE VELASCO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,3,0,0,1,3,4
SAN PABLO DE LIPEZ,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,4,1,0,0,4,1,5
SAN PEDRO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,2,5,0,0,2,5,7
SAN PEDRO DE BUENA VISTA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,3,4,1,0,4,4,8
SAN RAFAEL,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,0,0,0,1,0,1
SANTA ANA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,2,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,256,515,1433,1220,1689,1735,3424
SANTA ROSA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,10,6,9,20,19,26,45
SANTA ROSA DEL SARA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,6,2,0,0,6,2,8
SANTIAGO DE HUARI,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,0,0,1,0,1,1
SAPAHAQUI,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,1,0,0,0,1,1
SHINAOTA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,5,0,0,1,5,6
SICA SICA (VILLA AROMA),otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,1,0,3,0,4,4
SORACACHI,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,0,0,0,1,0,1
SUCRE,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,83,203,139,185,222,388,610
TACACOMA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,4,3,0,1,4,4,8
TACOBAMBA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,1,0,0,0,1,1
TACOPAYA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,4,6,0,0,4,6,10
TAPACARI,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,3,3,1,4,4,8
TARABUCO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,2,2,1,0,3,2,5
TARACO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,1,0,0,0,1,1
TARATA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,0,0,0,1,0,1
TARIJA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,205,285,82,160,287,445,732
TARVITA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,11,17,0,0,11,17,28
TEOPONTE,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,3,3,1,0,4,3,7
TIAWANACU,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,1,0,3,0,4,4
TIPUANI,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,1,0,0,0,1,0,1
TIQUIPAYA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,10,13,19,20,29,33,62
TIRAQUE (CBBA),otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,1,0,0,0,1,1
TOCO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,0,0,1,0,1,1
TOLEDO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,0,1,1,1,1,2
TOMAVE,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,6,5,0,0,6,5,11
TOMINA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,2,5,2,6,4,11,15
TORO TORO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,4,0,2,1,6,1,7
TOTORA(CBBA),otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,1,1,1,1,2,3
TOTORA(ORR),otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,1,1,0,1,1,2
TRINIDAD,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,8,20,7,12,15,32,47
TUPIZA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,8,9,1,4,9,13,22
TURCO,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,1,0,0,0,1,1
UNCIA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,3,0,0,0,3,0,3
URIONDO (A. CONCEPCION),otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,4,7,0,0,4,7,11
URUBICHA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,2,0,0,3,2,3,5
UYUNI,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,2,1,0,0,2,1,3
VACAS,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,1,1,0,1,1,2
VALLEGRANDE,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,0,4,1,0,1,4,5
VIACHA,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,2,3,1,0,3,3,6
VILLA CHARCAS,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,2,2,2,1,4,3,7
VILLA MONTES,otras vacunaciones,total influenza estacional a personal de salud,2015-07-01,17,25,3,6,20,31,51
