,group,variable,month,TOTAL INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,TOTAL INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,TOTAL INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,TOTAL INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,TOTALES,TOTALES,TOTALES
QUIME,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,3,2,28,8,31,10,41
QUIRUSILLAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,6,10,1,5,7,15,22
RAVELO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,1,10,16,10,17,27
RIBERALTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,13,3,5,8,18,11,29
ROBORE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,15,29,0,4,15,33,48
SABAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,0,1,1,2,1,3
SACABA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,78,90,181,167,259,257,516
SACABAMBA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,4,4,7,5,11,16
SACACA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,13,17,13,17,30
SAIPINA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,2,7,1,2,3,9,12
SALINAS DE GARCI MENDOZA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,2,4,21,20,23,24,47
SAMAIPATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,16,21,2,14,18,35,53
SAN AGUSTIN,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,1,4,1,4,5
SAN ANDRES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,7,5,17,20,24,25,49
SAN ANTONIO DE ESMORUCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,2,4,17,17,19,21,40
SAN ANTONIO DE LOMERIO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,1,0,0,1,1,2
SAN BENITO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,2,2,21,34,23,36,59
SAN BORJA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,7,14,1,2,8,16,24
SAN BUENA VENTURA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,3,6,1,1,4,7,11
SAN CARLOS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,6,22,16,21,22,43,65
SAN IGNACIO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,30,31,2,10,32,41,73
SAN IGNACIO DE VELASCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,39,53,4,7,43,60,103
SAN JAVIER(BNI),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,7,17,23,18,30,48
SAN JAVIER(STC),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,2,4,0,0,2,4,6
SAN JOAQUIN,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,7,0,0,0,7,7
SAN JOSE DE CHIQUITOS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,19,15,9,16,28,31,59
SAN JUAN DE YAPACANI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,29,36,207,229,236,265,501
SAN JULIAN,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,11,18,64,67,75,85,160
SAN LORENZO(TJA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,24,41,10,18,34,59,93
SAN LUCAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,5,4,12,12,17,16,33
SAN MATIAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,30,32,30,32,62
SAN MIGUEL DE VELASCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,13,19,1,0,14,19,33
SAN PEDRO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,3,3,10,10,13,13,26
SAN PEDRO DE BUENA VISTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,25,23,49,41,74,64,138
SAN PEDRO DE CURAHUARA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,1,0,0,1,1,2
SAN PEDRO DE TIQUINA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,1,4,1,4,5
SAN RAFAEL,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,3,4,2,0,5,4,9
SAN RAMON SCZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,15,18,0,0,15,18,33
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1402,2134,220,126,1622,2260,3882
SANTA ROSA DEL SARA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,7,11,10,8,17,19,36
SANTIAGO DE HUARI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,3,0,8,4,11,4,15
SANTIAGO DE HUATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,0,4,0,4,4
SANTIAGO DE MACHACA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,7,3,7,3,10
SANTIVAÑES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,3,5,7,6,10,11,21
SANTUARIO DE QUILLACAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,1,0,0,0,1,1
SAPAHAQUI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,2,3,9,9,11,12,23
SHINAOTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,12,18,39,44,51,62,113
SICA SICA (VILLA AROMA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,2,0,1,0,3,3
SICAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,5,19,22,19,27,46
SIPE SIPE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,57,48,64,56,121,104,225
SOPACHUY,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,6,5,2,4,8,9,17
SORACACHI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,13,18,13,18,31
SORATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,0,8,16,9,16,25
SUCRE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,142,216,74,85,216,301,517
TACACHI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,1,1,2,2,3,5
TACACOMA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,6,0,29,8,35,8,43
TACOBAMBA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,34,43,34,43,77
TACOPAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,5,0,2,3,7,3,10
TAPACARI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,2,2,8,9,10,11,21
TARABUCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,26,13,17,15,43,28,71
TARACO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,2,1,2,1,3
TARATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,2,5,15,30,17,35,52
TARIJA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,239,399,131,286,370,685,1055
TARVITA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,9,4,4,5,13,9,22
TEOPONTE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,2,9,10,10,12,22
TIAWANACU,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,4,0,0,1,4,5
TINGUIPAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,22,21,12,21,34,55
TIPUANI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,21,18,8,8,29,26,55
TIQUIPAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,16,54,212,321,228,375,603
TIRAQUE (CBBA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,3,5,23,28,26,33,59
TOCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,3,1,2,8,5,9,14
TODOS SANTOS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,0,1,0,1,1
TOLATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,2,6,4,6,6,12
TOLEDO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,1,1,1,1,2
TOMAVE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,1,2,15,2,16,18
TOMINA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,3,7,3,8,6,15,21
TORO TORO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,3,1,3,1,4
TOTORA(CBBA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,8,8,24,26,32,34,66
TOTORA(ORR),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,0,1,0,1,1
TRINIDAD,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,146,123,84,177,230,300,530
TUPIZA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,89,113,116,197,205,310,515
UMALA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,3,5,4,6,7,13
UNCIA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,2,1,46,49,48,50,98
URIONDO (A. CONCEPCION),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,4,8,9,19,13,27,40
UYUNI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,24,25,36,22,60,47,107
VACAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,4,31,27,32,31,63
VALLEGRANDE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,10,20,14,29,24,49,73
VIACHA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,24,9,115,16,139,25,164
VILA VILA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,2,11,10,12,12,24
VILLA CHARCAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,4,11,13,21,17,32,49
VILLA MONTES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,9,12,33,32,42,44,86
VILLA RIVERO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,1,1,6,2,7,9
VILLA SERRANO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,7,14,12,15,19,29,48
VILLA TUNARI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,81,76,95,90,176,166,342
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,8,6,4,5,12,11,23
VILLAZON,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,23,27,19,18,42,45,87
VINTO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,34,47,244,197,278,244,522
VITICHI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,25,44,21,56,46,100,146
WALDO BALLIVIAN,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,1,0,1,0,1
WARNES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,91,122,15,23,106,145,251
YACO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,3,1,1,9,4,10,14
YACUIBA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,54,64,147,329,201,393,594
YAMPARAEZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,2,1,0,0,2,1,3
YANACACHI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,5,4,1,0,6,4,10
YAPACANI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,46,22,2,7,48,29,77
YOCALLA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,20,8,17,12,37,20,57
YOTALA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,3,6,12,26,15,32,47
YUNCHARA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,8,1,5,9,13,10,23
ZUDAÑEZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,2,5,17,15,19,20,39
ACACIO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,2,6,0,0,2,6,8
ACHACACHI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,1,8,7,8,8,16
AIQUILE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,7,9,51,44,58,53,111
ALALAY,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,3,3,27,25,30,28,58
ALCALA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,1,0,1,0,1
ALTO BENI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,3,3,0,0,3,3,6
ANCORAIMES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,4,4,4,4,8
ANDAMARCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,1,5,2,5,3,8
ANZALDO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,2,4,1,1,3,5,8
APOLO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,1,0,0,0,1,1
ARANI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,3,4,16,65,19,69,88
ARBIETO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,4,9,1,5,5,14,19
ARQUE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,10,13,8,19,18,32,50
ASCENCION DE GUARAYOS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,6,4,3,4,9,13
ATOCHA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,7,2,8,5,15,7,22
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,3,3,49,41,52,44,96
AZURDUY,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,1,10,8,10,9,19
BATALLAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,3,1,3,2,6,8
BAURES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,1,4,4,5,5,10
BELEN DE ANDAMARCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,0,1,0,2,0,2
BELLA FLOR,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,0,0,0,1,0,1
BERMEJO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,7,7,15,26,22,33,55
BETANZOS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,4,2,3,3,7,5,12
BOLIVAR,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,7,21,7,21,28
BOYUIBE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,1,0,1,0,2,2
BUENA VISTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,6,9,1,4,7,13,20
CABEZAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,24,9,4,18,28,27,55
CAIROMA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,3,5,3,1,6,6,12
CAJUATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,1,0,1,0,1
CALAMARCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,3,2,0,0,3,2,5
CAMARGO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,7,3,11,4,18,22
CAMIRI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,26,26,20,50,46,76,122
CAPINOTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,0,1,12,2,12,14
CAQUIAVIRI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,2,0,0,0,2,0,2
CARACOLLO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,0,0,1,1,1,2
CARANAVI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,3,27,17,27,20,47
CARANGAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,2,1,2,1,3
CARAPARI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,2,1,6,6,8,7,15
CARMEN RIVERO TORREZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,0,0,0,1,0,1
CHALLAPATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,10,11,10,11,21
CHARAGUA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,2,0,2,2,4,2,6
CHARAÑA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,2,5,2,5,7
CHIMORE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,14,10,3,2,17,12,29
CHOQUE COTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,2,2,0,2,2,4,6
CHUA COCANI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,2,4,0,0,2,4,6
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,2,0,2,0,2
CKOCHAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,7,6,3,4,10,10,20
CLIZA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,15,19,15,19,34
COBIJA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,2,8,7,31,9,39,48
COCAPATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,3,22,40,50,43,72,115
COCHABAMBA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,888,400,325,682,1213,1082,2295
COLCAPIRHUA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,18,34,13,17,31,51,82
"COLCHA ""K""",otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,7,8,1,3,8,11,19
COLOMI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,2,7,10,6,12,13,25
COLQUECHACA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,3,13,36,69,39,82,121
COLQUENCHA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,2,7,2,7,9
COLQUIRI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,1,0,1,0,1
COMARAPA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,17,10,3,25,20,35,55
COMBAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,2,0,2,0,2
CONCEPCION,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,8,5,6,7,14,12,26
CORIPATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,2,3,2,2,4,5,9
CORO CORO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,3,2,0,0,3,2,5
COROICO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,8,15,9,5,17,20,37
CORQUE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,0,3,0,3,3
COTAGAITA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,8,15,41,67,49,82,131
COTOCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,27,65,22,36,49,101,150
CUATRO CAÑADAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,5,7,36,48,41,55,96
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,6,3,6,3,9
CUEVO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,0,3,0,3,3
CULPINA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,12,20,21,17,33,37,70
CURAHUARA DE CARANGAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,2,1,1,2,3,3,6
CURVA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,3,7,1,7,4,11
EL ALTO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,183,212,178,241,361,453,814
EL CHORO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,1,0,1,0,2,2
EL PUENTE(STC),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,0,1,3,2,3,5
EL PUENTE(TJA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,2,10,5,7,7,17,24
EL TORNO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,138,167,150,176,288,343,631
EL VILLAR,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,1,1,0,1,1,2
ENTRE RIOS TRJ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,8,15,5,5,13,20,33
ENTRE RIOS CBBA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,48,64,90,103,138,167,305
ESCOMA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,2,1,2,1,3
ESMERALDA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,1,1,1,1,2
EUCALIPTUS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,1,2,1,2,3
EXALTACION,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,2,0,0,1,2,3
FILADELFIA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,1,0,1,0,2,2
GENERAL SAAVEDRA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,12,3,0,3,12,6,18
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,1,2,1,2,3
GUANAY,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,0,9,5,10,5,15
GUAYARAMERIN,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,14,16,9,43,23,59,82
HUACARETA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,4,3,4,3,7
HUANUNI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,10,14,33,70,43,84,127
HUARACAJE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,7,21,21,22,28,50
HUAYLLAMARCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,2,3,2,3,5
HUMANATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,1,0,0,1,1,2
ICHOCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,15,14,15,14,29
ICLA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,0,1,0,1,1
INCAHUASI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,3,6,6,9,9,15,24
INQUISIVI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,11,3,11,3,14
IRUPANA (VILLA DE LANZA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,4,2,2,3,6,9
IXIAMAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,2,3,0,0,2,3,5
LA ASUNTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,5,26,14,17,19,43,62
LA GUARDIA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,86,110,53,53,139,163,302
LA PAZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,447,493,69,65,516,558,1074
LAGUNILLAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,7,19,7,19,26
LAJA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,4,5,0,0,4,5,9
LAS CARRERAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,0,1,0,1,1
LLALLAGUA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,106,50,30,25,136,75,211
LLICA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,2,0,0,1,2,3
LURIBAY,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,2,2,2,2,4
MAGDALENA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,1,0,0,1,1,2
MAIRANA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,15,24,2,7,17,31,48
MALLA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,0,1,0,1,1
MAPIRI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,4,21,12,22,16,38
MECAPACA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,1,0,1,0,1
MINEROS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,2,2,0,0,2,2,4
MIZQUE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,51,51,85,115,136,166,302
MOJOCOYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,1,0,1,0,1
MONTEAGUDO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,9,9,3,2,12,11,23
