,group,variable,month,TOTAL HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD DENTRO,TOTAL HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD DENTRO,TOTAL HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD FUERA,TOTAL HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
MAIRANA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,2,1,0,0,2,1,3
MALLA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,1,0,0,0,1,0,1
MIZQUE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,0,2,0,0,0,2,2
MONTERO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,1,3,0,0,1,3,4
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,0,1,2,6,2,7,9
ORURO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,22,70,0,0,22,70,92
PAMPA GRANDE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,1,2,0,0,1,2,3
PASORAPA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,3,2,0,0,3,2,5
POROMA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,0,1,0,0,0,1,1
PORTACHUELO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,1,4,2,1,3,5,8
PORVENIR,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,0,1,0,0,0,1,1
POSTRER VALLE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,12,17,0,0,12,17,29
PUCARANI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,0,1,0,0,0,1,1
PUNA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,5,8,0,0,5,8,13
ROBORE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,1,0,0,0,1,0,1
SAN BORJA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,12,4,0,0,12,4,16
SAN JULIAN,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,3,2,0,0,3,2,5
SAN LORENZO(TJA),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,0,1,0,0,0,1,1
SAN RAMON BENI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,49,549,0,20,49,569,618
SHINAOTA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,1,5,0,0,1,5,6
SUCRE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,23,43,0,0,23,43,66
TARIJA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,5,6,0,0,5,6,11
TOLEDO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,8,10,0,0,8,10,18
URIONDO (A. CONCEPCION),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,0,1,0,0,0,1,1
UYUNI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,5,15,0,0,5,15,20
VALLEGRANDE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,1,0,0,0,1,0,1
VIACHA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,3,8,0,0,3,8,11
VILA VILA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,1,1,0,0,1,1,2
VILLA MONTES,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,0,3,0,0,0,3,3
VILLA TUNARI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,13,22,0,0,13,22,35
VILLAZON,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,2,3,0,0,2,3,5
YACO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,1,0,0,0,1,0,1
YACUIBA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,2,0,0,0,2,0,2
YANACACHI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,2,2,0,0,2,2,4
YAPACANI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,0,0,0,1,0,1,1
YOTALA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,1,0,0,0,1,0,1
ANDAMARCA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,0,2,0,0,0,2,2
ASCENCION DE GUARAYOS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,0,4,0,0,0,4,4
AUCAPATA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,5,6,0,0,5,6,11
BATALLAS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,0,5,0,0,0,5,5
BELLA FLOR,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,0,1,0,0,0,1,1
CAJUATA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,4,1,0,0,4,1,5
CALAMARCA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,1,6,0,0,1,6,7
CAPINOTA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,0,1,0,0,0,1,1
CARACOLLO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,1,0,0,0,1,0,1
CHALLAPATA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,0,2,0,0,0,2,2
CHUMA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,2,0,0,0,2,0,2
COBIJA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,0,1,0,0,0,1,1
COCAPATA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,1,2,0,2,1,4,5
COCHABAMBA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,61,66,0,0,61,66,127
COLPA BELGICA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,0,1,0,0,0,1,1
COLQUENCHA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,1,3,0,0,1,3,4
COMARAPA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,3,5,0,0,3,5,8
COPACABANA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,0,1,0,0,0,1,1
COTAGAITA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,4,1,0,0,4,1,5
CURVA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,2,1,0,0,2,1,3
EL ALTO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,4,9,15,50,19,59,78
EL CHORO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,5,5,0,0,5,5,10
EL PUENTE(STC),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,3,5,0,0,3,5,8
ENTRE RIOS TRJ,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,1,1,0,0,1,1,2
FILADELFIA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,0,2,0,0,0,2,2
HUANUNI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,3,23,0,0,3,23,26
ICLA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,0,2,0,0,0,2,2
INQUISIVI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,2,2,0,0,2,2,4
IRUPANA (VILLA DE LANZA),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,1,0,0,1,1,1,2
IXIAMAS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,0,0,2,0,2,0,2
LA ASUNTA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,1,2,0,0,1,2,3
LA PAZ,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,10,29,11,13,21,42,63
LICOMA PAMPA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,0,2,0,0,0,2,2
LLALLAGUA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,2,8,0,0,2,8,10
MAIRANA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,0,1,0,0,0,1,1
MIZQUE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,2,10,0,0,2,10,12
MOJOCOYA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,0,2,0,0,0,2,2
MONTERO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,1,3,0,0,1,3,4
MORO MORO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,0,4,0,0,0,4,4
ORURO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,15,62,0,0,15,62,77
PAMPA GRANDE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,0,2,0,0,0,2,2
PASORAPA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,0,2,0,0,0,2,2
POCONA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,2,0,2,2,4,2,6
PORCO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,0,0,0,1,0,1,1
POROMA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,11,25,0,0,11,25,36
PUCARA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,5,4,0,0,5,4,9
PUERTO ACOSTA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,1,0,0,2,1,2,3
PUERTO RICO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,0,1,0,0,0,1,1
PUNA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,2,0,0,0,2,0,2
QUIME,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,5,4,0,0,5,4,9
ROBORE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,0,3,0,0,0,3,3
SAN CARLOS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,1,1,0,0,1,1,2
SAN IGNACIO DE VELASCO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,0,1,0,0,0,1,1
SAN JUAN DE YAPACANI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,1,0,0,0,1,0,1
SAN JULIAN,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,0,1,0,0,0,1,1
SAN LORENZO(PND),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,1,2,0,0,1,2,3
SAN LUCAS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,2,2,0,0,2,2,4
SAN MIGUEL DE VELASCO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,7,5,0,0,7,5,12
SAN PEDRO DE QUEMES,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,1,3,0,0,1,3,4
SANTA ANA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,14,56,0,0,14,56,70
SANTA ROSA DEL SARA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,1,2,0,0,1,2,3
SHINAOTA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,1,2,0,0,1,2,3
SUCRE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,4,10,0,0,4,10,14
TARIJA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,4,6,0,0,4,6,10
TARVITA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,0,1,0,0,0,1,1
TOLEDO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,0,1,0,4,0,5,5
TOMAVE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,3,1,0,0,3,1,4
TRINIDAD,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,4,5,0,0,4,5,9
UYUNI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,9,8,0,0,9,8,17
VIACHA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,1,6,0,0,1,6,7
VILLA TUNARI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,6,17,0,0,6,17,23
VILLAZON,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,1,2,0,0,1,2,3
ZUDAÑEZ,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-11-01,0,6,0,0,0,6,6
AIQUILE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,0,1,0,0,0,1,1
ANCORAIMES,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,0,1,0,0,0,1,1
ANDAMARCA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,3,4,0,0,3,4,7
ASCENCION DE GUARAYOS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,0,7,0,0,0,7,7
BELLA FLOR,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,1,2,0,0,1,2,3
BERMEJO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,4,4,0,0,4,4,8
CABEZAS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,2,0,0,0,2,0,2
CALAMARCA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,0,2,0,0,0,2,2
CAMARGO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,1,2,0,0,1,2,3
CAMIRI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,0,3,0,0,0,3,3
CAPINOTA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,2,0,0,0,2,0,2
CARANAVI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,1,9,0,0,1,9,10
CHALLAPATA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,0,0,2,0,2,0,2
CHUA COCANI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,2,9,0,0,2,9,11
COBIJA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,2,5,0,0,2,5,7
COCAPATA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,1,2,0,0,1,2,3
COCHABAMBA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,28,105,0,0,28,105,133
COLLANA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,2,0,0,0,2,0,2
COLQUENCHA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,3,4,0,0,3,4,7
COMARAPA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,1,2,0,0,1,2,3
COROICO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,0,2,0,0,0,2,2
COTAGAITA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,0,14,1,3,1,17,18
EL CHORO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,1,9,0,0,1,9,10
ENTRE RIOS TRJ,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,0,1,0,3,0,4,4
FILADELFIA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,0,0,0,2,0,2,2
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,5,1,0,0,5,1,6
GUAYARAMERIN,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,13,12,0,0,13,12,25
HUACARETA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,5,3,0,0,5,3,8
HUANUNI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,2,2,0,0,2,2,4
LA PAZ,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,5,17,3,4,8,21,29
MAIRANA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,2,0,0,0,2,0,2
MIZQUE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,0,5,0,0,0,5,5
MONTERO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,2,3,0,0,2,3,5
MORO MORO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,1,1,0,0,1,1,2
ORURO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,23,37,0,0,23,37,60
PAILON,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,0,0,3,1,3,1,4
POCONA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,0,1,0,0,0,1,1
PORTACHUELO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,1,1,0,0,1,1,2
PORVENIR,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,3,3,0,0,3,3,6
POTOSI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,11,16,2,4,13,20,33
PUCARANI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,0,5,0,0,0,5,5
PUERTO RICO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,0,6,0,0,0,6,6
PUERTO VILLARROEL,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,4,9,0,0,4,9,13
PUNA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,0,1,0,0,0,1,1
QUIME,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,1,0,0,2,1,2,3
SAN BORJA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,0,1,0,0,0,1,1
SAN CARLOS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,1,1,0,0,1,1,2
SAN IGNACIO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,2,0,0,0,2,0,2
SAN LORENZO(TJA),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,1,0,0,0,1,0,1
SAN LUCAS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,2,1,0,0,2,1,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,5,20,0,0,5,20,25
SANTA ROSA DEL SARA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,0,2,0,0,0,2,2
SANTIAGO DE HUATA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,1,3,0,0,1,3,4
SHINAOTA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,0,1,0,0,0,1,1
SORATA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,0,0,5,8,5,8,13
SUCRE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,3,10,0,0,3,10,13
TARIJA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,5,13,0,0,5,13,18
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,0,3,0,0,0,3,3
TRINIDAD,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,2,0,0,0,2,0,2
UYUNI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,17,38,0,0,17,38,55
VALLEGRANDE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,0,0,0,1,0,1,1
VIACHA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,3,4,0,0,3,4,7
VILLA MONTES,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,2,1,0,0,2,1,3
VILLA TUNARI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,2,5,2,3,4,8,12
VILLAZON,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,1,0,0,0,1,0,1
YACO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-12-01,1,4,0,0,1,4,5
