,group,variable,month,TOTAL DT 1RA. DOSIS DE 10 A 49 AÑOS DENTRO,TOTAL DT 1RA. DOSIS DE 10 A 49 AÑOS DENTRO,TOTAL DT 1RA. DOSIS DE 10 A 49 AÑOS FUERA,TOTAL DT 1RA. DOSIS DE 10 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
SAPAHAQUI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,0,7,1,4,1,11,12
SENA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,40,16,42,1,82,17,99
SHINAOTA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,11,9,27,27,38,36,74
SICA SICA (VILLA AROMA),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,3,20,64,74,67,94,161
SICAYA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,2,3,6,6,8,9,17
SIPE SIPE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,40,42,65,175,105,217,322
SOPACHUY,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,2,3,36,51,38,54,92
SORACACHI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,2,7,12,13,14,20,34
SORATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,0,14,25,32,25,46,71
SUCRE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,135,550,875,704,1010,1254,2264
TACACHI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,1,0,2,0,3,0,3
TACACOMA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,0,1,22,61,22,62,84
TACOBAMBA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,3,8,2,24,5,32,37
TACOPAYA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,1,4,6,9,7,13,20
TAPACARI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,10,36,89,57,99,93,192
TARABUCO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,7,22,62,46,69,68,137
TARACO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,2,3,7,6,9,9,18
TARATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,3,6,5,10,8,16,24
TARIJA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,273,619,565,526,838,1145,1983
TARVITA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,1,7,23,22,24,29,53
TEOPONTE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,63,11,7,10,70,21,91
TIAWANACU,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,1,12,9,7,10,19,29
TINGUIPAYA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,3,8,26,70,29,78,107
TIPUANI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,0,9,22,10,22,19,41
TIQUIPAYA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,16,50,621,592,637,642,1279
TIRAQUE (CBBA),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,5,20,69,38,74,58,132
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,5,2,6,3,11,5,16
TOCO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,6,1,10,11,16,12,28
TOLATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,4,1,1,0,5,1,6
TOLEDO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,0,3,0,2,0,5,5
TOMAVE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,4,9,9,22,13,31,44
TORO TORO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,22,17,3,27,25,44,69
TOTORA(CBBA),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,6,2,101,39,107,41,148
TOTORA(ORR),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,5,10,0,2,5,12,17
TRIGAL,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,0,1,4,0,4,1,5
TRINIDAD,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,142,303,241,130,383,433,816
TUPIZA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,26,66,187,131,213,197,410
TURCO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,1,2,7,3,8,5,13
UMALA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,4,15,25,19,29,34,63
UNCIA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,0,4,5,8,5,12,17
URIONDO (A. CONCEPCION),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,15,25,25,15,40,40,80
URUBICHA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,0,1,71,13,71,14,85
UYUNI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,38,96,61,36,99,132,231
VACAS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,2,7,7,6,9,13,22
VALLEGRANDE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,9,19,12,8,21,27,48
VIACHA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,15,112,90,56,105,168,273
VILA VILA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,0,1,3,12,3,13,16
VILLA CHARCAS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,11,6,86,81,97,87,184
VILLA MONTES,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,32,56,46,50,78,106,184
VILLA NUEVA (LOMA ALTA),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,6,15,3,1,9,16,25
VILLA RIVERO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,3,16,2,6,5,22,27
VILLA SERRANO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,4,2,17,24,21,26,47
VILLA TUNARI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,39,64,187,161,226,225,451
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,6,2,7,2,13,4,17
VILLAZON,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,26,76,148,141,174,217,391
VINTO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,20,78,72,84,92,162,254
VITICHI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,82,129,87,142,169,271,440
WALDO BALLIVIAN,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,0,2,0,0,0,2,2
WARNES,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,33,73,18,29,51,102,153
YACO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,1,3,73,12,74,15,89
YACUIBA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,73,150,36,40,109,190,299
YAMPARAEZ,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,0,4,0,1,0,5,5
YANACACHI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,3,5,0,3,3,8,11
YAPACANI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,19,37,70,84,89,121,210
YOCALLA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,4,21,10,5,14,26,40
YOTALA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,5,5,5,3,10,8,18
YUNCHARA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,6,12,26,17,32,29,61
ZUDAÑEZ,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-06-01,1,0,6,7,7,7,14
ACACIO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,2,9,12,18,14,27,41
ACHACACHI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,7,58,28,21,35,79,114
ACHOCALLA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,19,1,5,1,24,25
AIQUILE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,17,28,7,4,24,32,56
ALALAY,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,1,1,0,5,1,6,7
ALCALA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,2,3,0,0,2,3,5
ALTO BENI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,7,10,11,22,18,32,50
ANCORAIMES,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,3,2,1,2,4,6
ANDAMARCA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,5,11,14,11,19,30
ANZALDO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,6,9,15,9,21,30
APOLO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,1,17,11,2,12,19,31
ARAMPAMPA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,12,19,2,4,14,23,37
ARANI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,2,12,0,0,2,12,14
ARBIETO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,3,3,4,3,7,10
ARQUE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,3,2,3,2,6,8
ASCENCION DE GUARAYOS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,11,36,125,82,136,118,254
ATOCHA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,2,11,19,7,21,18,39
AUCAPATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,2,8,6,8,8,16
AYATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,1,6,0,1,1,7,8
AYO AYO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,1,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,14,5,17,8,31,13,44
AZURDUY,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,4,1,0,1,4,2,6
BATALLAS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,6,11,12,13,18,24,42
BAURES,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,1,2,10,8,11,10,21
BELEN DE ANDAMARCA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,0,1,1,1,1,2
BELLA FLOR,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,0,2,5,2,5,7
BERMEJO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,22,85,18,25,40,110,150
BETANZOS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,3,23,13,14,16,37,53
BOLIVAR,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,1,0,1,0,2,2
BOLPEBRA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,1,3,5,2,6,5,11
BOYUIBE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,7,2,1,0,8,2,10
BUENA VISTA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,9,19,18,3,27,22,49
CABEZAS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,45,33,21,41,66,74,140
CAIROMA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,1,0,0,0,1,1
"CAIZA ""D""",otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,9,2,3,2,12,14
CAJUATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,3,7,0,1,3,8,11
CALACOTO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,0,0,1,0,1,1
CALAMARCA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,2,10,0,2,2,12,14
CAMARGO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,20,11,17,13,37,24,61
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,3,0,0,0,3,3
CAMIRI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,98,25,24,13,122,38,160
CAPINOTA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,14,17,32,21,46,38,84
CAQUIAVIRI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,2,7,2,0,4,7,11
CARACOLLO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,9,5,0,9,9,14,23
CARANAVI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,26,104,29,46,55,150,205
CARAPARI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,13,4,0,0,13,4,17
CARIPUYO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,1,0,2,0,3,3
CARMEN RIVERO TORREZ,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,6,0,0,0,6,6
CHACARILLA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,1,0,0,0,1,1
CHALLAPATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,12,66,27,43,39,109,148
CHAQUI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,3,9,0,0,3,9,12
CHARAGUA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,16,15,20,25,36,40,76
CHARAÑA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,0,2,2,2,2,4
CHAYANTA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,8,27,42,27,50,77
CHIMORE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,9,21,14,27,23,48,71
CHIPAYA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,2,0,0,0,2,2
CHUA COCANI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,0,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,2,23,14,3,16,26,42
CHUMA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,7,2,4,2,11,13
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,3,6,0,0,3,6,9
CKOCHAS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,11,2,2,28,13,30,43
CLIZA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,1,7,10,8,11,15,26
COBIJA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,41,115,78,65,119,180,299
COCAPATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,15,27,72,118,87,145,232
COCHABAMBA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,255,571,187,181,442,752,1194
COLCAPIRHUA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,24,43,176,47,200,90,290
"COLCHA ""K""",otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,16,12,0,0,16,12,28
COLLANA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,2,1,0,0,2,1,3
COLOMI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,14,23,12,12,26,35,61
COLPA BELGICA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,6,11,0,0,6,11,17
COLQUECHACA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,2,21,11,35,13,56,69
COLQUENCHA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,1,3,0,0,1,3,4
COLQUIRI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,1,16,26,14,27,30,57
COMANCHE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,1,0,2,1,3,1,4
COMARAPA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,16,17,2,2,18,19,37
COMBAYA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,1,2,2,2,3,5
COPACABANA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,2,5,25,40,27,45,72
CORIPATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,3,12,0,2,3,14,17
CORO CORO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,1,0,0,0,1,1
COROICO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,26,3,27,20,53,23,76
CORQUE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,23,0,0,0,23,0,23
COTAGAITA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,13,18,1,2,14,20,34
COTOCA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,21,57,76,71,97,128,225
CUATRO CAÑADAS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,5,13,96,97,101,110,211
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,1,0,0,4,1,4,5
CUEVO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,3,1,1,0,4,1,5
CULPINA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,18,41,26,28,44,69,113
CURAHUARA DE CARANGAS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,1,1,0,0,1,1,2
CURVA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,1,1,1,2,2,3,5
DESAGUADERO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,0,1,2,1,2,3
EL ALTO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,224,1057,625,809,849,1866,2715
EL PUENTE(STC),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,11,7,8,6,19,13,32
EL PUENTE(TJA),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,1,6,3,7,4,13,17
EL TORNO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,2,3,0,1,2,4,6
EL VILLAR,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,1,1,2,0,3,1,4
ENTRE RIOS TRJ,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,5,4,5,13,10,17,27
ENTRE RIOS CBBA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,12,9,6,9,18,18,36
ESCOMA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,4,4,4,4,8,12
ESMERALDA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,0,0,1,0,1,1
EUCALIPTUS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,1,0,0,0,1,1
EXALTACION,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,2,0,0,0,2,2
FERNANDEZ ALONSO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,2,0,5,0,7,7
FILADELFIA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,2,2,4,2,6,4,10
GENERAL SAAVEDRA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,2,16,0,2,2,18,20
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,3,2,0,3,3,5,8
GUANAY,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,13,28,7,31,20,59,79
GUAQUI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,1,1,0,2,1,3,4
GUAYARAMERIN,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,14,47,28,12,42,59,101
GUTIERREZ,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,3,2,3,2,6,4,10
HUACARETA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,12,4,6,5,18,9,27
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,12,0,0,0,12,0,12
HUANUNI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,11,25,18,17,29,42,71
HUARACAJE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,1,6,0,0,1,6,7
HUARINA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,3,0,0,0,3,3
HUATAJATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,1,0,0,0,1,1
HUAYLLAMARCA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,1,1,3,1,4,5
HUMANATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,3,0,0,0,3,3
ICHOCA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,5,1,9,1,14,15
INCAHUASI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,26,4,26,23,52,27,79
INQUISIVI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,1,1,1,0,2,1,3
IRUPANA (VILLA DE LANZA),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,9,2,0,2,9,4,13
IXIAMAS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,19,21,12,12,31,33,64
JESUS DE MACHACA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,9,4,0,4,9,13
LA ASUNTA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,40,53,60,40,100,93,193
LA GUARDIA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,7,5,1,0,8,5,13
LA PAZ,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,514,865,215,241,729,1106,1835
LAGUNILLAS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,18,15,9,1,27,16,43
LAJA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,17,6,12,6,29,35
LAS CARRERAS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,0,1,0,1,0,1
LICOMA PAMPA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,1,1,0,0,1,1,2
LLALLAGUA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,2,4,0,0,2,4,6
LLICA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,0,4,0,4,0,4
LORETO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,1,2,26,34,27,36,63
LURIBAY,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,1,6,0,0,1,6,7
MACHACAMARCA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,1,3,6,3,7,10
MACHARETI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,13,5,4,3,17,8,25
MAGDALENA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,1,6,4,22,5,28,33
MAIRANA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,1,0,0,0,1,0,1
MALLA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,2,4,2,4,4,8
MAPIRI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,8,5,4,20,12,25,37
MECAPACA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,2,2,18,21,20,23,43
MINEROS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,1,0,0,0,1,0,1
MIZQUE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,10,21,7,5,17,26,43
MOCOMOCO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,19,9,1,5,20,14,34
MOJINETE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,0,1,2,1,2,3
MOJOCOYA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,3,1,9,5,12,6,18
MONTEAGUDO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,19,7,6,8,25,15,40
MONTERO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,43,224,150,196,193,420,613
MORO MORO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,2,2,0,0,2,2,4
MOROCHATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,3,6,27,22,30,28,58
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,10,8,13,18,23,26,49
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,0,0,2,0,2,2
OCURI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,0,12,2,1,2,13,15
OKINAWA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,1,3,147,10,148,13,161
OMEREQUE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,3,2,12,6,15,8,23
ORURO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,130,341,446,557,576,898,1474
PADCAYA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,5,18,8,6,13,24,37
PADILLA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,28,17,7,6,35,23,58
PAILON,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-07-01,14,40,43,25,57,65,122
