,group,variable,month,TOTAL HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD DENTRO,TOTAL HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD DENTRO,TOTAL HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD FUERA,TOTAL HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
LA PAZ,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,7,14,0,0,7,14,21
MIZQUE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,0,1,0,0,0,1,1
MONTEAGUDO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,0,1,0,0,0,1,1
MONTERO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,0,2,0,0,0,2,2
ORURO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,5,16,1,0,6,16,22
PORTACHUELO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,1,7,0,0,1,7,8
PORVENIR,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,1,0,0,0,1,0,1
POTOSI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,3,5,0,0,3,5,8
PUERTO RICO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,1,2,0,0,1,2,3
PUERTO VILLARROEL,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,1,2,0,0,1,2,3
SAN BORJA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,0,1,0,0,0,1,1
SAN JULIAN,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,0,1,0,0,0,1,1
SAN LUCAS,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,1,4,0,0,1,4,5
SANTA ANA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,4,12,0,0,4,12,16
SANTA ROSA DEL SARA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,1,1,0,1,1,2,3
SORATA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,0,0,0,1,0,1,1
SUCRE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,9,11,0,0,9,11,20
TARIJA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,1,0,0,0,1,0,1
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,0,1,0,0,0,1,1
TOLEDO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,0,1,0,0,0,1,1
TOMAVE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,0,1,0,0,0,1,1
TURCO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,0,3,0,0,0,3,3
UYUNI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,1,1,0,0,1,1,2
VALLEGRANDE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,3,2,0,0,3,2,5
VILLAZON,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,1,2,0,0,1,2,3
YACO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,1,0,0,0,1,0,1
YAPACANI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,1,0,0,0,1,0,1
YOCALLA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,0,1,1,0,1,1,2
