,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTALES
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,0,2,2
GENERAL SAAVEDRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,0,1,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,2,0,2
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,3,0,3
ICHOCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
INCAHUASI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,0,1,1
INQUISIVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,2,0,2
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,7,1,8
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,4,0,4
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,58,37,95
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,3,0,3
MACHARETI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,2,0,2
MAGDALENA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,0,1,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,2,0,2
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,2,0,2
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,0,1,1
MOJOCOYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,1,2
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,7,5,12
OCURI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,3,3,6
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,3,1,4
PATACAMAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,0,1,1
POJO (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,0,1,1
POROMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
PORTACHUELO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,0,1,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,9,3,12
PUCARANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,7,2,9
PUNA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,5,2,7
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,4,5
ROBORE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,2,0,2
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,5,2,7
SACACA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
SAN ANDRES,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,3,2,5
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,0,2,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,3,0,3
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,0,1,1
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,2,3
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,1,2
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,0,1,1
SANTA ANA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,79,62,141
SENA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,0,1,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,1,2
SICAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,3,4
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,9,5,14
TACOBAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
TAPACARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,1,2
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,2,0,2
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,5,3,8
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
TINGUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,2,0,2
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,0,1,1
TORO TORO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
TOTORA(CBBA),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,0,1,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,10,1,11
UMALA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
VACAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,0,1,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,2,0,2
VILLA CHARCAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,0,1,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,0,1,1
VILLA SERRANO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,4,1,5
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,0,2,2
VITICHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,2,0,2
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,3,3,6
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,7,1,8
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,0,1,1
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,1,2
ANTEQUERA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
ANZALDO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,4,1,5
BOYUIBE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
CALAMARCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
CAMARGO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,2,0,2
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,2,2,4
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,5,4,9
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,1,2
CHALLAPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,1,2
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,0,1,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
CLIZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,1,2
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,3,4
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,19,10,29
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,2,3,5
COLQUENCHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
COPACABANA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,2,0,2
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,3,3,6
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,36,22,58
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,2,6,8
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,3,1,4
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,0,1,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,6,1,7
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,2,0,2
GUTIERREZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,2,1,3
HUARINA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
INQUISIVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
JESUS DE MACHACA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,1,2
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,2,4,6
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,2,3
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,52,37,89
LAJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,2,1,3
LURIBAY,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,2,1,3
MAIRANA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,2,0,2
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,1,2
MECAPACA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,0,1,1
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,2,0,2
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,1,2
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,6,4,10
OCURI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,3,9,12
PADCAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,2,0,2
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,2,3
POROMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,2,0,2
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,7,4,11
PRESTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
PUCARANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,1,2
PUERTO CARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,0,2,2
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,2,1,3
PUNA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,0,2,2
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,3,1,4
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,1,2
QUIME,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,3,1,4
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,2,1,3
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,8,0,8
SAMAIPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,0,1,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,2,0,2
SAN BUENA VENTURA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,0,1,1
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,0,2,2
SAN IGNACIO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,3,2,5
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,2,0,2
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,2,0,2
SAN MATIAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,73,53,126
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
SICAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,1,2
SORACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,2,1,3
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,14,3,17
TAPACARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,2,3
TARACO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,4,3,7
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,1,2
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,2,4,6
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,1,2
TOCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
TOMAVE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,2,0,2
TOTORA(CBBA),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,13,4,17
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,0,1,1
UNCIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,2,2,4
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,3,4,7
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,2,0,2
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,6,4,10
YACO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,4,2,6
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,3,3,6
YOTALA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-07-01,1,0,1
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,3,0,3
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,0,1
ARBIETO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,0,1
ARQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,0,1,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,2,2,4
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,0,1
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,1,2
"CAIZA ""D""",tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,0,1
CALACOTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,0,1,1
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,0,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,0,1
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,0,2,2
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,6,3,9
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,0,1
CHALLAPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,0,1,1
CHAQUI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,0,1
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,2,1,3
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,3,0,3
CHOQUE COTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,0,1,1
CLIZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,28,13,41
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,4,0,4
COLOMI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,0,1
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,1,2
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,1,2
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,2,0,2
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,2,1,3
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,3,2,5
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,37,18,55
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,2,3,5
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,2,3,5
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,4,0,4
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,3,2,5
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,2,0,2
HUMANATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,0,1
ICHOCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,0,1,1
ICLA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,0,1,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,3,2,5
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,3,5,8
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,58,54,112
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,3,0,3
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,0,1
MECAPACA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,0,1
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,0,2,2
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,0,2,2
MOCOMOCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,8,2,10
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,16,3,19
PADCAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,0,1,1
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,0,1
PAMPA GRANDE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,9,1,10
PUERTO ACOSTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,1,2
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,0,2,2
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,4,3,7
PUNA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,0,1,1
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,2,1,3
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,4,3,7
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,0,5,5
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,5,3,8
SAN ANDRES,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,0,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,2,0,2
SAN BUENA VENTURA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,0,1,1
SAN IGNACIO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,1,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,0,2,2
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,2,2,4
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,0,1,1
SAN MATIAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,2,0,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,0,1,1
SAN RAMON SCZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,0,1,1
SANTA ANA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,104,66,170
SANTA ROSA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,0,1,1
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,1,2
SANTIVAÑES,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,0,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,0,3,3
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,8,3,11
TACOPAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,4,4,8
TINGUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,0,2,2
TOCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,0,1,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,10,3,13
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,2,2,4
UNCIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,2,2,4
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,3,3,6
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,0,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,0,2,2
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,6,5,11
YACO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,1,0,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-08-01,8,4,12
