,group,variable,month,N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
SAN JULIAN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,2,3,5
SAN LORENZO(TJA),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,14,21,35
SHINAOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,1,0,1
SORATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,2,1,3
TIPUANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,3,0,3
TIQUIPAYA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,3,1,4
WARNES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,0,1,1
YACUIBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,3,1,4
YAPACANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,2,1,3
ACHACACHI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,1,1,2
BOYUIBE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,1,0,1
CAMIRI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,2,0,2
CARANAVI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,1,2,3
CHIMORE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,0,1,1
CKOCHAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,1,1,2
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,8,1,9
COLCAPIRHUA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,0,1,1
"COLCHA ""K""",tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,1,0,1
CORIPATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,0,3,3
COROICO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,1,3,4
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,4,13,17
EL TORNO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,5,1,6
ENTRE RIOS CBBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,0,3,3
GUAYARAMERIN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,1,0,1
LA GUARDIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,2,4,6
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,7,5,12
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,0,1,1
OKINAWA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,3,0,3
ORURO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,1,1,2
PAILON,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,0,2,2
PALOS BLANCOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,1,0,1
POTOSI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,1,3,4
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,2,3,5
QUILLACOLLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,1,0,1
RIBERALTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,3,1,4
ROBORE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,2,0,2
SACABA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,1,2,3
SACACA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,1,1,2
SAN CARLOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,0,3,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,1,0,1
SAN JULIAN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,1,1,2
SAN LUCAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,0,1,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,18,18,36
SENA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,0,1,1
SHINAOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,2,0,2
TARIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,1,0,1
TOLATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,0,3,3
TRINIDAD,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,2,1,3
URIONDO (A. CONCEPCION),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,0,2,2
VIACHA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,1,0,1
VILLA MONTES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,1,1,2
VILLA TUNARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,3,0,3
WARNES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,1,2,3
YACUIBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,3,1,4
YAPACANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-12-01,2,3,5
