,group,variable,month,TOTAL 23.1 N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTAL 23.1 N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES
SAN RAMON SCZ,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,1,5,6
SANTA ANA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,14,14,28
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,715,634,1349
SANTA ROSA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,2,0,2
SANTA ROSA DEL SARA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,6,3,9
SANTIAGO DE HUATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,3,0,3
SANTIAGO DE MACHACA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,0,1,1
SANTIVAÑES,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,1,4,5
SAPAHAQUI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,2,3,5
SENA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,3,1,4
SHINAOTA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,18,18,36
SICA SICA (VILLA AROMA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,3,4,7
SICAYA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,3,0,3
SIPE SIPE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,15,10,25
SOPACHUY,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,3,0,3
SORACACHI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,8,4,12
SORATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,15,7,22
SUCRE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,161,199,360
TACACOMA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,7,2,9
TACOBAMBA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,3,1,4
TACOPAYA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,1,3,4
TAHUA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,1,0,1
TAPACARI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,8,5,13
TARABUCO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,11,13,24
TARACO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,3,0,3
TARATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,4,2,6
TARIJA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,93,86,179
TARVITA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,1,5,6
TEOPONTE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,6,2,8
TIAWANACU,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,3,4,7
TINGUIPAYA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,10,5,15
TIPUANI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,24,8,32
TIQUIPAYA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,23,23,46
TIRAQUE (CBBA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,1,2,3
TOCO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,3,2,5
TOLATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,0,7,7
TOLEDO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,2,4,6
TOMAVE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,7,3,10
TOMINA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,3,4,7
TORO TORO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,2,1,3
TOTORA(CBBA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,7,5,12
TOTORA(ORR),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,4,3,7
TRIGAL,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,0,1,1
TRINIDAD,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,69,22,91
TUPIZA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,10,15,25
TURCO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,3,2,5
UNCIA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,4,6,10
URIONDO (A. CONCEPCION),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,4,11,15
URUBICHA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,2,0,2
UYUNI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,8,6,14
VACAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,3,1,4
VALLEGRANDE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,4,3,7
VIACHA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,16,14,30
VILLA CHARCAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,9,13,22
VILLA MONTES,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,23,41,64
VILLA RIVERO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,5,3,8
VILLA SERRANO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,14,12,26
VILLA TUNARI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,42,34,76
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,7,7,14
VILLAZON,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,18,18,36
VINTO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,10,13,23
VITICHI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,5,5,10
WALDO BALLIVIAN,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,1,0,1
WARNES,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,49,49,98
YACO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,1,0,1
YACUIBA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,88,90,178
YAMPARAEZ,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,2,4,6
YANACACHI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,4,2,6
YAPACANI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,77,76,153
YOCALLA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,1,0,1
YOTALA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,5,1,6
YUNCHARA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,3,5,8
ZUDAÑEZ,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-07-01,8,4,12
ACACIO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,0,2,2
ACHACACHI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,22,11,33
ACHOCALLA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,0,1,1
AIQUILE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,8,14,22
ALCALA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,4,2,6
ALTO BENI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,4,0,4
ANCORAIMES,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,3,1,4
ANDAMARCA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,2,1,3
ANTEQUERA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,2,1,3
ANZALDO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,4,6,10
APOLO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,5,4,9
ARAMPAMPA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,4,3,7
ARANI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,2,5,7
ARBIETO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,5,4,9
ARQUE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,3,6,9
ASCENCION DE GUARAYOS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,13,7,20
ATOCHA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,2,2,4
AUCAPATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,4,1,5
AYATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,4,0,4
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,14,10,24
AZURDUY,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,3,6,9
BATALLAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,6,1,7
BELEN DE URMIRI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,0,2,2
BERMEJO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,16,24,40
BETANZOS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,5,6,11
BOLIVAR,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,3,1,4
BOLPEBRA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,1,0,1
BOYUIBE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,3,1,4
BUENA VISTA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,11,4,15
CABEZAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,12,21,33
CAIROMA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,4,2,6
"CAIZA ""D""",tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,0,2,2
CALACOTO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,3,0,3
CALAMARCA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,4,2,6
CAMARGO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,11,10,21
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,1,1,2
CAMIRI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,18,11,29
CAPINOTA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,4,7,11
CAQUIAVIRI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,1,0,1
CARACOLLO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,6,2,8
CARANAVI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,49,50,99
CARANGAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,0,2,2
CARAPARI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,4,4,8
CARIPUYO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,6,7,13
CARMEN RIVERO TORREZ,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,3,6,9
CHALLAPATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,4,9,13
CHAQUI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,0,4,4
CHARAGUA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,3,12,15
CHAYANTA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,2,2,4
CHIMORE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,8,9,17
CHIPAYA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,2,0,2
CHUA COCANI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,1,2,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,8,8,16
CHUMA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,1,1,2
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,7,0,7
CKOCHAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,6,6,12
CLIZA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,3,11,14
COBIJA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,38,24,62
COCAPATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,7,5,12
COCHABAMBA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,160,143,303
COIPASA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,1,0,1
COLCAPIRHUA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,13,16,29
"COLCHA ""K""",tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,3,3,6
COLLANA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,1,2,3
COLOMI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,3,4,7
COLPA BELGICA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,1,3,4
COLQUECHACA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,8,10,18
COLQUIRI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,0,8,8
COMANCHE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,1,2,3
COMARAPA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,5,8,13
COMBAYA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,2,2,4
CONCEPCION,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,6,10,16
COPACABANA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,2,2,4
CORIPATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,11,9,20
CORO CORO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,2,1,3
COROICO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,11,9,20
CORQUE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,9,4,13
COTAGAITA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,9,13,22
COTOCA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,35,31,66
CRUZ DE MACHACAMARCA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,23,10,33
CUEVO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,0,1,1
CULPINA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,14,5,19
CURAHUARA DE CARANGAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,2,1,3
CURVA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,1,0,1
DESAGUADERO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,2,1,3
EL ALTO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,245,218,463
EL CHORO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,3,4,7
EL PUENTE(STC),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,6,8,14
EL PUENTE(TJA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,7,10,17
EL TORNO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,37,46,83
EL VILLAR,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,6,5,11
ENTRE RIOS TRJ,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,10,14,24
ENTRE RIOS CBBA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,20,27,47
ESCARA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,0,1,1
ESCOMA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,2,0,2
EUCALIPTUS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,1,0,1
EUREKA (SANTOS MERCADO),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,2,2,4
FERNANDEZ ALONSO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,7,8,15
FILADELFIA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,5,6,11
GENERAL SAAVEDRA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,5,8,13
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,0,1,1
GUANAY,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,5,8,13
GUAQUI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,2,0,2
GUAYARAMERIN,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,13,7,20
GUTIERREZ,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,2,1,3
HUACARETA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,9,3,12
HUACHACALLA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,1,0,1
HUANUNI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,15,6,21
HUARINA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,4,0,4
HUATAJATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,1,1,2
HUAYLLAMARCA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,3,2,5
ICHOCA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,0,1,1
ICLA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,5,1,6
INCAHUASI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,6,13,19
INGAVI (HUMAITA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,1,0,1
INQUISIVI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,3,0,3
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,13,13,26
IXIAMAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,3,0,3
JESUS DE MACHACA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,7,5,12
LA ASUNTA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,19,16,35
LA GUARDIA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,30,56,86
LA PAZ,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,317,286,603
LAGUNILLAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,4,1,5
LAJA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,3,2,5
LAS CARRERAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,1,2,3
LICOMA PAMPA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,1,0,1
LLALLAGUA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,14,15,29
LLICA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,2,3,5
LORETO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,3,3,6
MACHACAMARCA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,1,5,6
MACHARETI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,5,6,11
MAGDALENA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,2,1,3
MAIRANA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,2,5,7
MAPIRI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,20,4,24
MECAPACA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,4,0,4
MINEROS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,11,9,20
MIZQUE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,3,11,14
MOCOMOCO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,1,1,2
MOJOCOYA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,13,10,23
MONTEAGUDO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,18,26,44
MONTERO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,73,84,157
NUEVO MANOA (NUEVA ESPERANZA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,1,0,1
OCURI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,6,3,9
OKINAWA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,3,9,12
OMEREQUE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,1,2,3
ORURO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,93,82,175
PADCAYA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,8,24,32
PADILLA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,8,9,17
PAILON,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,9,9,18
PALCA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,9,8,17
PALOS BLANCOS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,25,29,54
PAMPA GRANDE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,4,4,8
PASORAPA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,3,6,9
PATACAMAYA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,2,5,7
PAZÑA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,8,4,12
PELECHUCO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,1,0,1
POCOATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,7,1,8
POCONA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,0,4,4
POJO (CBBA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,2,5,7
POOPO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,0,1,1
PORCO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,7,1,8
POROMA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,8,16,24
PORONGO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,9,2,11
PORTACHUELO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,8,8,16
PORVENIR,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,5,2,7
POTOSI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,37,28,65
PRESTO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,8,11,19
PUCARANI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,10,4,14
PUERTO CARABUCO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,8,3,11
PUERTO GONZALO MORENO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,2,1,3
PUERTO PEREZ,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,2,1,3
PUERTO QUIJARRO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,4,10,14
PUERTO RICO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,4,0,4
PUERTO SUAREZ,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,4,0,4
PUERTO VILLARROEL,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,50,54,104
PUNA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,13,8,21
PUNATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,18,7,25
QUILLACOLLO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,49,55,104
QUIME,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,4,0,4
QUIRUSILLAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,0,2,2
RAVELO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,11,5,16
REYES,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,1,4,5
RIBERALTA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,50,42,92
ROBORE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,9,0,9
RURRENABAQUE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,5,5,10
SABAYA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,0,1,1
SACABA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,33,29,62
SACABAMBA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,0,2,2
SACACA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,3,3,6
SAIPINA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,0,2,2
SALINAS DE GARCI MENDOZA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,1,2,3
SAMAIPATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,1,2,3
SAN AGUSTIN,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,1,1,2
SAN ANDRES,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,2,1,3
SAN ANDRES DE MACHACA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,1,0,1
SAN BENITO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,3,4,7
SAN BORJA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,15,21,36
SAN BUENA VENTURA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,4,2,6
SAN CARLOS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,12,22,34
SAN IGNACIO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,11,10,21
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,20,19,39
SAN JAVIER(STC),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,8,7,15
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,1,1,2
SAN JUAN DE YAPACANI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,8,8,16
SAN JULIAN,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,30,25,55
SAN LORENZO(PND),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,2,1,3
SAN LORENZO(TJA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,12,9,21
SAN LUCAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,14,11,25
SAN MATIAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,4,1,5
SAN MIGUEL DE VELASCO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,2,1,3
SAN PABLO DE LIPEZ,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,1,0,1
SAN PEDRO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,12,8,20
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,9,4,13
SAN PEDRO DE TIQUINA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,0,1,1
SAN RAFAEL,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-08-01,2,3,5
