,group,variable,month,TOTAL 23.5 TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTAL 23.5 TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTALES
LLALLAGUA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,0,1
MAPIRI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,0,1,1
MECAPACA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,0,1,1
MOCOMOCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,2,0,2
MONTERO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,9,6,15
OMEREQUE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,0,1,1
ORURO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,6,2,8
PALOS BLANCOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,2,0,2
PORTACHUELO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,0,1,1
POTOSI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,6,0,6
PUERTO ACOSTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,5,5,10
PUNA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,3,0,3
PUNATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,5,0,5
REYES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,0,1,1
RIBERALTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,2,3
RURRENABAQUE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,3,0,3
SACABA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,6,5,11
SAIPINA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,0,1
SAN BENITO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,0,1
SAN BORJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,1,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,0,1,1
SAN JULIAN,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,2,1,3
SAN LORENZO(TJA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,0,1
SAN LUCAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,0,2,2
SAN MATIAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,0,1
SAN PEDRO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,0,2,2
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,73,48,121
SANTA ROSA DEL SARA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,0,2,2
SANTIAGO DE CALLAPA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,0,1
SAPAHAQUI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,0,1,1
SHINAOTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,0,1
SICA SICA (VILLA AROMA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,0,1
SORATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,1,2
SUCRE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,12,9,21
TACACOMA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,0,1
TACOBAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,0,1
TARABUCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,0,1
TARIJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,4,3,7
TEOPONTE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,0,1,1
TRINIDAD,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,11,3,14
TUPIZA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,3,4
UNCIA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,0,1,1
URUBICHA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,0,1
VIACHA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,2,2,4
VILLA CHARCAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,0,2,2
VILLA MONTES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,2,3
VILLA TUNARI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,2,1,3
VINTO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,3,0,3
WARNES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,6,2,8
YACUIBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,11,4,15
YAPACANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,2,3
YOTALA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,0,1,1
ACHOCALLA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,0,1
AIQUILE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,0,1,1
ALTO BENI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,2,0,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,2,0,2
AYATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,1,2
BERMEJO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,0,1
BUENA VISTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,0,1,1
CABEZAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,2,0,2
CAIROMA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,0,1,1
CALAMARCA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,2,0,2
CAMARGO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,0,2,2
CAMIRI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,3,2,5
CARANAVI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,14,2,16
CARMEN RIVERO TORREZ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,0,1,1
CHALLAPATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,0,2,2
CHARAGUA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,0,1
CHIMORE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,2,2,4
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,0,2,2
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,0,1
COBIJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,2,2,4
COCAPATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,0,1
COCHABAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,24,16,40
COLCAPIRHUA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,0,1,1
COLLANA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,0,1
CONCEPCION,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,0,1
CORIPATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,0,2,2
COROICO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,2,1,3
COTAGAITA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,1,2
COTOCA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,3,4,7
CUATRO CAÑADAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,2,1,3
EL ALTO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,25,20,45
EL PUENTE(TJA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,0,1,1
EL TORNO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,2,4,6
ENTRE RIOS CBBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,3,3,6
FILADELFIA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,0,1
GUANAY,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,3,2,5
HUANUNI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,5,1,6
INCAHUASI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,0,2,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,3,0,3
JESUS DE MACHACA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,0,1
LA ASUNTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,5,2,7
LA GUARDIA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,3,1,4
LA PAZ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,49,36,85
LAS CARRERAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,0,1,1
LLALLAGUA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,0,1
MAIRANA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,1,2
MAPIRI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,0,2,2
MECAPACA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,0,1
MINEROS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,0,1
MIZQUE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,0,1
MOJINETE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,0,1
MONTERO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,5,2,7
MOROCHATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,0,1,1
OCURI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,0,1,1
ORURO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,3,7,10
PAILON,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,0,1
PALCA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,3,0,3
PALOS BLANCOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,5,1,6
PAMPA GRANDE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,0,1,1
POROMA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,0,1
POTOSI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,9,1,10
PUERTO QUIJARRO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,3,6,9
PUNATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,5,1,6
RIBERALTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,1,2
ROBORE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,2,0,2
SACABA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,5,1,6
SAN ANTONIO DE LOMERIO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,0,1
SAN BORJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,2,1,3
SAN BUENA VENTURA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,0,1
SAN CARLOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,1,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,0,1,1
SAN JULIAN,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,2,3
SAN LUCAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,2,3
SAN MATIAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,0,1
SAN PEDRO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,0,2,2
SANTA ANA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,79,58,137
SANTA ROSA DEL SARA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,0,1,1
SANTIVAÑES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,0,1,1
SAPAHAQUI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,1,2
SHINAOTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,2,2,4
SIPE SIPE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,2,1,3
SORACACHI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,0,1,1
SORATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,0,1
SUCRE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,6,11,17
TACACOMA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,0,1
TAPACARI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,0,1,1
TARIJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,5,4,9
TEOPONTE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,0,1
TIPUANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,4,1,5
TIQUIPAYA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,0,1,1
TOCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,0,1,1
TOMINA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,0,1
TRINIDAD,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,7,1,8
TUPIZA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,2,1,3
VIACHA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,0,2,2
VILLA CHARCAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,0,1,1
VILLA MONTES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,0,1,1
VILLAZON,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,0,1
VINTO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,1,0,1
WARNES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,4,5,9
YACUIBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,6,1,7
YAPACANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-07-01,4,2,6
ACHACACHI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,0,1,1
ALTO BENI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
ANZALDO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
APOLO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,0,1,1
ARANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,0,1,1
ARQUE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,3,4
AUCAPATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
BERMEJO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,2,3
BETANZOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
BOLIVAR,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
BOYUIBE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
BUENA VISTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,3,1,4
CAIROMA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
CAMARGO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
CAMIRI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,1,2
CAPINOTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,0,1,1
CARACOLLO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,2,0,2
CARANAVI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,10,4,14
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,3,4
CHUMA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,1,2
CLIZA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,0,1,1
COBIJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,3,1,4
COCHABAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,27,15,42
COLOMI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
COLQUECHACA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,0,1,1
CONCEPCION,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
COPACABANA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,2,0,2
CORIPATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,2,0,2
COROICO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,2,1,3
COTAGAITA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,0,1,1
COTOCA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,2,0,2
CUATRO CAÑADAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
EL ALTO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,31,21,52
EL TORNO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,3,4
ENTRE RIOS TRJ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,5,1,6
FERNANDEZ ALONSO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,2,0,2
FILADELFIA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,0,1,1
GUANAY,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,2,1,3
GUAYARAMERIN,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,2,0,2
HUANUNI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,1,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,3,0,3
LA ASUNTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,3,0,3
LA GUARDIA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,3,1,4
LA PAZ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,62,33,95
LAGUNILLAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
MAGDALENA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,0,1,1
MAPIRI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,3,1,4
MINEROS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
MIZQUE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,1,2
MOJOCOYA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,2,0,2
MONTERO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,11,2,13
OKINAWA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
ORURO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,3,4,7
PALOS BLANCOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,2,0,2
PATACAMAYA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
POCONA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,0,1,1
PORONGO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,1,2
PORTACHUELO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
POTOSI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,6,8,14
PRESTO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,1,2
PUCARANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
PUERTO CARABUCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,0,2,2
PUERTO VILLARROEL,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,6,9,15
PUNA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,2,0,2
PUNATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,3,2,5
RIBERALTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,2,3,5
ROBORE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
SACABA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,5,1,6
SAMAIPATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,0,1,1
SAN BORJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,0,2,2
SAN BUENA VENTURA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
SAN CARLOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
SAN JULIAN,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,1,2
SAN LORENZO(TJA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,1,2
SANTA ANA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,89,55,144
SENA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
SHINAOTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,2,0,2
SIPE SIPE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,2,3
SOPACHUY,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,0,1,1
SORACACHI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,0,1,1
SORATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,0,2,2
SUCRE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,7,1,8
TACACOMA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
TAPACARI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
TARIJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,5,3,8
TEOPONTE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,1,2
TIPUANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,0,3,3
TIQUIPAYA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
TOCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,0,1,1
TOMAVE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,2,0,2
TOTORA(CBBA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
TRINIDAD,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,4,0,4
TUPIZA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
VIACHA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,3,4,7
VILLA MONTES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,0,2,2
VILLA RIVERO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,3,1,4
VINTO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,1,0,1
WARNES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,4,2,6
YACUIBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,3,3,6
YAPACANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-08-01,2,4,6
ACHACACHI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,2,0,2
ACHOCALLA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,0,1
AIQUILE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,0,1
ALTO BENI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,0,1
