,group,variable,month,TOTAL 23.8 N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTAL 23.8 N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
EL ALTO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,7,4,11
EL TORNO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,1,2,3
LA GUARDIA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,2,1,3
LA PAZ,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,2,2,4
MAPIRI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,4,0,4
MINEROS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,1,1,2
MIZQUE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,1,0,1
MONTERO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,1,0,1
ORURO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,1,1,2
PADCAYA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,0,2,2
PAILON,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,0,1,1
PALCA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,0,1,1
PORCO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,1,0,1
POTOSI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,1,0,1
PUCARANI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,5,0,5
REYES,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,0,1,1
RIBERALTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,4,4,8
SACABA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,0,1,1
SAN CARLOS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,1,0,1
SAN MATIAS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,15,17,32
SHINAOTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,0,1,1
SICAYA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,2,0,2
SORATA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,2,2,4
SUCRE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,0,1,1
TACOBAMBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,1,1,2
TARIJA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,2,0,2
TIPUANI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,1,0,1
TRINIDAD,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,0,5,5
TUPIZA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,2,0,2
VILLA TUNARI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,1,3,4
VINTO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,3,3,6
WARNES,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,0,1,1
YACUIBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,3,2,5
YAPACANI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,2,0,2
ALTO BENI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,2,0,2
CABEZAS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,1,0,1
CAPINOTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,2,0,2
CARANAVI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,2,0,2
CARAPARI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,1,0,1
CHALLAPATA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,0,1,1
CHIMORE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,1,0,1
COCHABAMBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,4,11,15
COLCAPIRHUA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,1,1,2
CONCEPCION,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,0,1,1
CORIPATA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,1,0,1
COROICO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,0,3,3
COTOCA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,2,0,2
CUATRO CAÑADAS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,0,1,1
CULPINA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,0,1,1
EL ALTO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,4,3,7
EL TORNO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,3,0,3
ENTRE RIOS CBBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,2,1,3
GENERAL SAAVEDRA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,2,0,2
GUANAY,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,0,4,4
HUANUNI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,0,1,1
LA ASUNTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,3,1,4
LA GUARDIA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,3,2,5
LA PAZ,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,3,1,4
LLALLAGUA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,1,0,1
MACHARETI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,0,1,1
MAPIRI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,0,1,1
MINEROS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,1,0,1
MONTERO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,4,9,13
ORURO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,4,0,4
QUILLACOLLO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,1,3,4
SAN BORJA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,2,0,2
SAN CARLOS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,0,1,1
SAN JULIAN,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,3,2,5
SAN MIGUEL DE VELASCO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,28,19,47
SIPE SIPE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,0,1,1
SUCRE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,2,1,3
TARABUCO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,2,0,2
TARIJA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,2,3,5
TIPUANI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,1,1,2
TRINIDAD,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,0,1,1
VIACHA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,0,1,1
VINTO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,1,0,1
WARNES,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,1,1,2
YACUIBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,1,0,1
YAPACANI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-12-01,2,2,4
