,group,variable,month,TOTAL 23.2 N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTAL 23.2 N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTALES
QUILLACOLLO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,4,1,5
REYES,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,0,1,1
RIBERALTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,2,3
RURRENABAQUE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,3,0,3
SACABA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,5,4,9
SAN BORJA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,1,2
SAN CARLOS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,0,1,1
SAN JOAQUIN,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,0,1
SAN JULIAN,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,2,1,3
SAN LORENZO(TJA),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,2,0,2
SAN LUCAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,0,2,2
SAN MATIAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,0,1
SAN PEDRO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,0,2,2
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,0,1,1
SANTA ANA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,69,52,121
SANTA ROSA DEL SARA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,0,2,2
SAPAHAQUI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,0,1,1
SHINAOTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,2,1,3
SICA SICA (VILLA AROMA),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,0,1
SORATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,1,2
SUCRE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,10,8,18
TACACOMA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,0,1
TACOBAMBA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,0,1
TARABUCO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,0,1
TARIJA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,2,2,4
TEOPONTE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,3,0,3
TIPUANI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,0,1,1
TRINIDAD,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,10,3,13
TUPIZA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,2,3
UNCIA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,0,1,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,0,1
URUBICHA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,0,1
VIACHA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,2,3
VILLA CHARCAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,0,2,2
VILLA MONTES,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,2,1,3
VILLA TUNARI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,2,0,2
VINTO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,3,0,3
WARNES,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,5,2,7
YACUIBA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,10,4,14
YAPACANI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,0,1
YOTALA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,0,1,1
AIQUILE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,0,1,1
ALTO BENI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,2,0,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,2,2,4
CABEZAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,3,0,3
CAIROMA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,0,1,1
"CAIZA ""D""",tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,0,1
CAJUATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,0,1,1
CALAMARCA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,2,0,2
CAMARGO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,0,2,2
CAMIRI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,2,3,5
CARANAVI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,10,1,11
CARAPARI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,0,1
CHALLAPATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,0,2,2
CHARAGUA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,0,1
CHIMORE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,2,2,4
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,0,2,2
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,0,1
COBIJA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,2,2,4
COCAPATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,0,1
COCHABAMBA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,13,11,24
COLCAPIRHUA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,0,1,1
COLLANA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,0,1
CONCEPCION,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,0,1
CORIPATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,0,2,2
CORO CORO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,0,1,1
COROICO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,2,1,3
COTOCA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,4,5
CUATRO CAÑADAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,2,3
EL ALTO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,13,15,28
EL PUENTE(TJA),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,0,1,1
EL TORNO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,2,2,4
ENTRE RIOS CBBA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,3,3,6
FERNANDEZ ALONSO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,0,2,2
FILADELFIA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,0,1
GUANAY,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,2,2,4
HUANUNI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,1,2
INCAHUASI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,0,2,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,3,0,3
JESUS DE MACHACA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,2,0,2
LA ASUNTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,5,2,7
LA GUARDIA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,1,2
LA PAZ,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,10,7,17
LAS CARRERAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,0,1,1
LLALLAGUA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,0,1
MAIRANA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,1,2
MAPIRI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,0,2,2
MECAPACA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,2,0,2
MINEROS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,0,1
MIZQUE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,0,1
MONTERO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,4,1,5
MOROCHATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,0,1,1
OKINAWA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,0,1,1
ORURO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,2,4,6
PADILLA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,0,1,1
PAILON,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,0,1
PALCA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,5,1,6
PAMPA GRANDE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,0,1,1
POROMA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,0,1
PORTACHUELO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,2,0,2
POTOSI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,6,1,7
PUERTO QUIJARRO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,3,6,9
QUILLACOLLO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,3,1,4
RIBERALTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,1,2
ROBORE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,2,0,2
SACABA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,3,1,4
SAMAIPATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,0,1
SAN BORJA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,2,1,3
SAN CARLOS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,0,7,7
SAN IGNACIO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,1,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,0,1,1
SAN JULIAN,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,2,3
SAN LUCAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,1,2
SAN MATIAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,0,1
SAN PEDRO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,0,2,2
SANTA ANA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,57,58,115
SANTA ROSA DEL SARA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,0,2,2
SANTIVAÑES,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,0,1,1
SAPAHAQUI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,1,2
SENA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,0,1
SHINAOTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,2,1,3
SIPE SIPE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,2,1,3
SORATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,0,1
SUCRE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,3,10,13
TACACOMA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,0,1
TAPACARI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,0,1,1
TARATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,0,1
TARIJA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,2,3
TEOPONTE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,0,1
TIPUANI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,5,0,5
TIQUIPAYA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,0,1,1
TOCO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,0,1,1
TOMINA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,0,1
TRINIDAD,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,4,1,5
VIACHA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,0,1,1
VILLA CHARCAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,0,1,1
VILLA MONTES,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,2,3
VILLA TUNARI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,1,2
VINTO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,0,1
WARNES,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,2,6,8
YACUIBA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,7,4,11
YAMPARAEZ,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,1,0,1
YAPACANI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-07-01,2,2,4
ACHACACHI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,0,1
ALTO BENI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,0,1
ANZALDO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,0,1
APOLO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,0,1,1
ARANI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,0,1,1
ARQUE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,2,3
AUCAPATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,0,1
BERMEJO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,1,2
BETANZOS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,0,1
BUENA VISTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,3,1,4
CAIROMA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,0,1
CAMARGO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,0,1
CAMIRI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,1,2
CAPINOTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,0,1,1
CARANAVI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,8,4,12
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,3,4
CHUMA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,1,2
COBIJA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,2,1,3
COCHABAMBA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,13,7,20
COLCAPIRHUA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,0,1,1
COLOMI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,0,1
COLQUECHACA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,0,1,1
COMARAPA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,0,1,1
CONCEPCION,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,2,0,2
COPACABANA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,2,0,2
CORIPATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,5,0,5
COROICO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,2,1,3
COTAGAITA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,0,1,1
COTOCA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,2,0,2
CUATRO CAÑADAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,3,0,3
EL ALTO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,17,14,31
EL TORNO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,2,3
ENTRE RIOS TRJ,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,3,1,4
FERNANDEZ ALONSO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,2,0,2
GUANAY,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,1,2
GUAYARAMERIN,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,2,0,2
HUANUNI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,3,0,3
LA ASUNTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,3,1,4
LA GUARDIA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,1,2
LA PAZ,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,10,10,20
LAGUNILLAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,0,1
MAPIRI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,3,1,4
MINEROS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,0,1
MIZQUE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,1,2
MOJOCOYA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,2,0,2
MONTERO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,7,2,9
OKINAWA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,0,1
ORURO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,2,1,3
PATACAMAYA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,0,1
POCONA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,0,1,1
PORONGO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,0,1,1
PORTACHUELO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,0,1
POTOSI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,44,14,58
PRESTO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,1,2
PUCARANI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,0,1
PUERTO ACOSTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,0,1,1
PUERTO CARABUCO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,0,2,2
PUERTO SUAREZ,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,3,8,11
PUNA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,0,1
PUNATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,2,1,3
RIBERALTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,2,3,5
ROBORE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,0,1
SACABA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,2,0,2
SAMAIPATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,0,1,1
SAN BORJA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,0,2,2
SAN BUENA VENTURA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,0,1
SAN CARLOS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,0,1,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,0,1
SAN JULIAN,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,1,2
SAN RAMON SCZ,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,1,2
SANTA ANA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,75,42,117
SENA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,0,1
SHINAOTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,2,0,2
SIPE SIPE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,1,2
SORACACHI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,0,1,1
SORATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,0,1,1
SUCRE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,7,1,8
TACACOMA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,0,1
TAPACARI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,0,1
TARIJA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,1,2
TEOPONTE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,0,1,1
TIPUANI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,0,3,3
TOCO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,0,1,1
TOMAVE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,0,1
TRINIDAD,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,3,0,3
TUPIZA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,0,1
VIACHA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,2,2,4
VILLA MONTES,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,0,1,1
VILLA RIVERO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,3,0,3
VINTO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,0,1
VITICHI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,0,1
WARNES,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,5,2,7
YACUIBA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,1,3,4
YAPACANI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-08-01,2,3,5
ACHACACHI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-09-01,3,0,3
AIQUILE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-09-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-09-01,1,1,2
AYATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-09-01,1,0,1
BATALLAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-09-01,1,0,1
BERMEJO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-09-01,2,1,3
CABEZAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-09-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-09-01,0,2,2
CAJUATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-09-01,1,0,1
CARACOLLO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-09-01,1,0,1
CARANAVI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-09-01,6,2,8
CHALLAPATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-09-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-09-01,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-09-01,0,1,1
CLIZA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-09-01,1,0,1
COBIJA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-09-01,3,1,4
COCHABAMBA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-09-01,17,5,22
CONCEPCION,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-09-01,1,0,1
CORIPATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-09-01,0,1,1
COTAGAITA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-09-01,1,0,1
COTOCA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-09-01,8,0,8
CUATRO CAÑADAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-09-01,3,0,3
CULPINA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-09-01,1,1,2
EL ALTO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-09-01,21,9,30
EL TORNO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-09-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-09-01,6,1,7
