,group,variable,month,TOTAL 23.9 Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTAL 23.9 Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES
YACUIBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,5,2,7
ACACIO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,1,0,1
AYATA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,2,0,2
CAMARGO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,2,0,2
CAPINOTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,1,0,1
CARANAVI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,8,3,11
CHALLAPATA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,1,0,1
CHIMORE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,3,0,3
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,5,1,6
COLCAPIRHUA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,1,0,1
COMARAPA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,1,1,2
COROICO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,0,1,1
COTOCA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,3,0,3
CUATRO CAÑADAS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,2,0,2
EL ALTO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,7,6,13
EL PUENTE(STC),tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,1,0,1
EL TORNO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,0,4,4
ENTRE RIOS CBBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,4,0,4
FERNANDEZ ALONSO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,2,0,2
GUANAY,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,1,0,1
HUANUNI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,1,0,1
LA ASUNTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,1,1,2
LA GUARDIA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,0,1,1
LA PAZ,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,6,2,8
LAS CARRERAS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,1,0,1
MACHARETI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,1,0,1
MONTERO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,4,2,6
ORURO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,1,3,4
PALOS BLANCOS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,0,1,1
PORVENIR,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,1,0,1
POTOSI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,3,1,4
PUERTO SUAREZ,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,6,0,6
QUILLACOLLO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,3,4,7
RIBERALTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,1,7,8
RURRENABAQUE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,0,3,3
SACABA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,7,3,10
SAN BORJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,2,0,2
SAN JAVIER(BNI),tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,1,0,1
SAN JULIAN,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,1,2,3
SAN LUCAS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,1,0,1
SAN PEDRO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,1,0,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,47,36,83
SANTA ROSA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,0,1,1
SANTA ROSA DEL SARA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,1,0,1
SANTIVAÑES,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,0,1,1
SHINAOTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,0,1,1
SIPE SIPE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,1,0,1
SORACACHI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,1,0,1
SUCRE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,5,3,8
TACOBAMBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,0,1,1
TARIJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,2,1,3
TIPUANI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,2,2,4
TIQUIPAYA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,1,0,1
TRINIDAD,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,6,0,6
VILLA CHARCAS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,1,0,1
VILLA MONTES,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,2,0,2
VILLA TUNARI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,3,0,3
VINTO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,2,1,3
YACUIBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,1,0,1
YAPACANI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-09-01,4,2,6
ALTO BENI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,2,0,2
BERMEJO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,1,1,2
CAMARGO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,2,0,2
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,1,0,1
CAPINOTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,0,1,1
CARANAVI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,3,2,5
CARAPARI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,0,1,1
CHIMORE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,4,0,4
COBIJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,1,1,2
COCHABAMBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,10,7,17
COTOCA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,3,0,3
CUATRO CAÑADAS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,2,2,4
EL ALTO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,4,8,12
ENTRE RIOS CBBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,3,3,6
GUAYARAMERIN,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,2,0,2
INCAHUASI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,1,0,1
LA GUARDIA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,6,4,10
LA PAZ,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,7,6,13
LLALLAGUA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,2,0,2
MACHARETI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,1,0,1
MINEROS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,0,1,1
MIZQUE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,0,1,1
MONTERO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,7,3,10
ORURO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,3,1,4
PADILLA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,1,0,1
PATACAMAYA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,1,1,2
POROMA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,1,1,2
PORVENIR,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,0,1,1
POTOSI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,2,0,2
PUERTO QUIJARRO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,3,1,4
PUERTO VILLARROEL,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,2,2,4
PUNA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,3,2,5
RIBERALTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,2,3,5
ROBORE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,0,1,1
RURRENABAQUE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,1,0,1
SACABA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,2,2,4
SAN BORJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,0,3,3
SAN CARLOS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,3,0,3
SAN JUAN DE YAPACANI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,1,0,1
SAN JULIAN,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,2,1,3
SAN LORENZO(TJA),tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,67,28,95
SENA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,0,1,1
SHINAOTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,4,2,6
SICA SICA (VILLA AROMA),tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,1,0,1
SIPE SIPE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,1,0,1
SOPACHUY,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,1,0,1
SUCRE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,2,4,6
TARABUCO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,1,0,1
TARIJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,1,1,2
TEOPONTE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,2,0,2
TIQUIPAYA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,3,0,3
TOLATA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,0,1,1
TRINIDAD,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,7,2,9
URIONDO (A. CONCEPCION),tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,1,0,1
VILLA MONTES,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,1,1,2
VILLAZON,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,0,1,1
WARNES,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,5,3,8
YACUIBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,4,1,5
YAPACANI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-10-01,4,2,6
ALTO BENI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,1,0,1
ANZALDO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,1,0,1
ARBIETO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,1,1,2
BERMEJO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,2,0,2
CAMIRI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,1,0,1
CARANAVI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,4,5,9
CARAPARI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,0,1,1
CHIMORE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,1,1,2
COBIJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,0,1,1
COCHABAMBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,10,3,13
COTOCA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,1,2,3
CUATRO CAÑADAS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,3,1,4
CULPINA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,1,0,1
EL ALTO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,4,3,7
EL TORNO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,3,2,5
ENTRE RIOS CBBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,2,1,3
GUANAY,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,1,0,1
INCAHUASI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,0,1,1
LA ASUNTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,0,1,1
LA PAZ,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,2,2,4
LICOMA PAMPA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,1,0,1
LLALLAGUA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,2,0,2
MACHARETI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,1,0,1
MAPIRI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,2,0,2
MECAPACA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,0,1,1
MIZQUE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,1,0,1
MOCOMOCO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,0,1,1
MONTERO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,3,6,9
OKINAWA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,2,0,2
ORURO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,3,2,5
PALOS BLANCOS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,2,1,3
PATACAMAYA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,1,0,1
POOPO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,1,0,1
PORVENIR,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,4,1,5
PUERTO VILLARROEL,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,2,1,3
QUILLACOLLO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,4,3,7
SACABA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,2,2,4
SAN IGNACIO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,1,1,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,1,0,1
SAN JULIAN,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,1,2,3
SAN LUCAS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,2,1,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,42,28,70
SANTA ROSA DEL SARA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,0,1,1
SHINAOTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,2,0,2
SICA SICA (VILLA AROMA),tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,1,0,1
SUCRE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,3,4,7
TACOPAYA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,1,0,1
TARIJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,2,0,2
TIQUIPAYA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,1,0,1
TOLATA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,1,0,1
TRINIDAD,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,4,0,4
URIONDO (A. CONCEPCION),tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,0,2,2
VILLA TUNARI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,1,2,3
WARNES,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,4,5,9
YACUIBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,2,0,2
YAPACANI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-11-01,3,3,6
ASCENCION DE GUARAYOS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,2,1,3
BERMEJO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,1,0,1
CARANAVI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,2,3,5
CHALLAPATA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,1,0,1
CHAYANTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,2,0,2
CHIMORE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,0,1,1
COBIJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,2,0,2
COCHABAMBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,6,6,12
CORIPATA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,1,3,4
COROICO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,1,1,2
COTOCA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,1,2,3
CUATRO CAÑADAS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,1,0,1
EL ALTO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,9,7,16
EL TORNO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,2,0,2
ENTRE RIOS TRJ,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,0,2,2
ENTRE RIOS CBBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,3,0,3
GUANAY,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,0,1,1
HUANUNI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,1,0,1
INCAHUASI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,0,1,1
LA GUARDIA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,5,2,7
LA PAZ,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,5,5,10
MINEROS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,1,0,1
MOCOMOCO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,1,0,1
MONTERO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,8,4,12
OMEREQUE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,0,1,1
ORURO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,2,0,2
PADILLA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,2,0,2
PALOS BLANCOS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,1,0,1
PORONGO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,1,0,1
POTOSI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,3,2,5
PRESTO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,1,0,1
PUERTO ACOSTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,2,0,2
PUERTO QUIJARRO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,2,2,4
REYES,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,1,0,1
RIBERALTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,1,2,3
SACABA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,2,3,5
SAN BORJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,1,1,2
SAN JULIAN,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,1,0,1
SAN LUCAS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,2,0,2
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,50,27,77
SANTA ROSA DEL SARA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,0,2,2
SICA SICA (VILLA AROMA),tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,1,0,1
SIPE SIPE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,1,0,1
SUCRE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,1,1,2
TARIJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,1,0,1
TEOPONTE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,1,0,1
TRINIDAD,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,2,2,4
UNCIA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,1,0,1
VIACHA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,1,0,1
VILLA MONTES,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,3,1,4
WARNES,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,2,3,5
YACUIBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,2,1,3
YAPACANI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-12-01,3,2,5
