,group,variable,month,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA EMB,CONSULTA NUEVA EMB,CONSULTA NUEVA POST,CONSULTA NUEVA POST,TOTALES,TOTALES,TOTALES
SOPACHUY,atencion odontologica,consulta nueva,2015-06-01,47,26,44,56,11,17,26,45,9,6,0,33,0,21,137,204,341
SORACACHI,atencion odontologica,consulta nueva,2015-06-01,14,17,148,143,5,36,19,25,7,13,0,4,0,12,193,250,443
SORATA,atencion odontologica,consulta nueva,2015-06-01,26,36,3,3,1,7,9,33,13,7,0,35,0,22,52,143,195
SUCRE,atencion odontologica,consulta nueva,2015-06-01,2003,1909,992,1245,311,791,1326,3591,290,245,0,1250,0,857,4922,9888,14810
TACACHI,atencion odontologica,consulta nueva,2015-06-01,0,3,2,0,0,2,1,2,0,0,0,0,0,0,3,7,10
TACACOMA,atencion odontologica,consulta nueva,2015-06-01,12,11,8,13,8,9,17,41,4,3,0,11,0,1,49,89,138
TACOBAMBA,atencion odontologica,consulta nueva,2015-06-01,7,5,9,13,2,2,0,20,0,1,0,3,0,7,18,51,69
TACOPAYA,atencion odontologica,consulta nueva,2015-06-01,12,21,4,3,1,17,9,47,11,14,0,5,0,21,37,128,165
TAHUA,atencion odontologica,consulta nueva,2015-06-01,12,6,3,6,0,0,4,18,2,4,0,0,0,11,21,45,66
TAPACARI,atencion odontologica,consulta nueva,2015-06-01,59,61,27,22,15,19,15,113,19,32,0,62,0,43,135,352,487
TARABUCO,atencion odontologica,consulta nueva,2015-06-01,164,134,48,49,30,45,23,127,8,9,0,32,0,67,273,463,736
TARACO,atencion odontologica,consulta nueva,2015-06-01,48,19,8,9,4,35,8,34,49,24,0,40,0,19,117,180,297
TARATA,atencion odontologica,consulta nueva,2015-06-01,35,46,27,37,15,20,22,79,30,24,0,22,0,6,129,234,363
TARIJA,atencion odontologica,consulta nueva,2015-06-01,311,332,1013,1133,492,853,1214,2578,135,122,0,136,0,19,3165,5173,8338
TARVITA,atencion odontologica,consulta nueva,2015-06-01,140,85,36,48,18,23,25,116,3,14,0,35,0,32,222,353,575
TEOPONTE,atencion odontologica,consulta nueva,2015-06-01,14,19,5,14,7,26,35,49,11,1,0,9,0,20,72,138,210
TIAWANACU,atencion odontologica,consulta nueva,2015-06-01,11,10,30,18,9,4,20,88,14,19,0,30,0,31,84,200,284
TINGUIPAYA,atencion odontologica,consulta nueva,2015-06-01,50,56,3,5,3,12,19,26,21,11,0,14,0,25,96,149,245
TIPUANI,atencion odontologica,consulta nueva,2015-06-01,11,29,55,50,144,130,13,44,3,13,0,11,0,8,226,285,511
TIQUIPAYA,atencion odontologica,consulta nueva,2015-06-01,763,731,324,322,22,184,43,420,13,41,0,250,0,231,1165,2179,3344
TIRAQUE (CBBA),atencion odontologica,consulta nueva,2015-06-01,18,17,25,27,10,23,18,29,2,16,0,34,0,19,73,165,238
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,consulta nueva,2015-06-01,21,17,1,3,1,4,7,4,0,1,0,0,0,0,30,29,59
TOCO,atencion odontologica,consulta nueva,2015-06-01,14,24,12,10,8,13,8,40,9,8,0,25,0,12,51,132,183
TODOS SANTOS,atencion odontologica,consulta nueva,2015-06-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
TOLATA,atencion odontologica,consulta nueva,2015-06-01,32,26,15,11,2,6,0,13,7,3,0,12,0,12,56,83,139
TOLEDO,atencion odontologica,consulta nueva,2015-06-01,13,13,13,9,0,1,2,37,9,6,0,2,0,11,37,79,116
TOMAVE,atencion odontologica,consulta nueva,2015-06-01,49,36,19,15,5,15,21,63,23,26,0,9,0,17,117,181,298
TOMINA,atencion odontologica,consulta nueva,2015-06-01,28,39,94,107,27,59,25,46,4,0,0,19,0,9,178,279,457
TORO TORO,atencion odontologica,consulta nueva,2015-06-01,14,14,87,102,8,44,31,70,11,2,0,17,0,56,151,305,456
TOTORA(CBBA),atencion odontologica,consulta nueva,2015-06-01,21,15,41,44,5,15,17,10,6,6,0,6,0,15,90,111,201
TOTORA(ORR),atencion odontologica,consulta nueva,2015-06-01,3,1,2,4,2,1,5,4,0,4,0,0,0,0,12,14,26
TRIGAL,atencion odontologica,consulta nueva,2015-06-01,8,0,0,0,0,4,3,9,5,0,0,0,0,0,16,13,29
TRINIDAD,atencion odontologica,consulta nueva,2015-06-01,91,96,234,276,120,187,316,602,58,70,0,61,0,17,819,1309,2128
TUPIZA,atencion odontologica,consulta nueva,2015-06-01,54,68,96,101,20,38,66,123,29,35,0,19,0,19,265,403,668
TURCO,atencion odontologica,consulta nueva,2015-06-01,30,27,12,18,6,5,23,54,18,31,0,4,0,2,89,141,230
UMALA,atencion odontologica,consulta nueva,2015-06-01,5,11,7,0,0,0,6,6,11,9,0,0,0,0,29,26,55
UNCIA,atencion odontologica,consulta nueva,2015-06-01,30,32,13,18,11,26,14,76,15,21,0,20,0,46,83,239,322
URIONDO (A. CONCEPCION),atencion odontologica,consulta nueva,2015-06-01,51,56,206,255,57,178,220,409,19,12,0,16,0,2,553,928,1481
URUBICHA,atencion odontologica,consulta nueva,2015-06-01,0,3,2,1,0,1,1,1,0,1,0,0,0,4,3,11,14
UYUNI,atencion odontologica,consulta nueva,2015-06-01,22,16,19,7,1,10,16,38,4,8,0,4,0,27,62,110,172
VACAS,atencion odontologica,consulta nueva,2015-06-01,25,16,12,21,7,31,19,27,0,5,0,3,0,33,63,136,199
VALLEGRANDE,atencion odontologica,consulta nueva,2015-06-01,191,159,111,107,40,48,70,181,25,32,0,59,0,18,437,604,1041
VIACHA,atencion odontologica,consulta nueva,2015-06-01,392,299,46,62,14,61,20,184,30,30,0,18,0,99,502,753,1255
VILA VILA,atencion odontologica,consulta nueva,2015-06-01,16,20,1,5,1,7,6,25,4,2,0,16,0,22,28,97,125
VILLA CHARCAS,atencion odontologica,consulta nueva,2015-06-01,28,45,11,11,3,14,23,53,1,7,0,37,0,5,66,172,238
VILLA MONTES,atencion odontologica,consulta nueva,2015-06-01,41,45,211,289,123,166,264,542,34,26,0,31,0,13,673,1112,1785
VILLA NUEVA (LOMA ALTA),atencion odontologica,consulta nueva,2015-06-01,10,6,5,9,1,5,2,2,3,2,0,3,0,2,21,29,50
VILLA RIVERO,atencion odontologica,consulta nueva,2015-06-01,44,20,5,8,4,20,8,45,11,12,0,38,0,9,72,152,224
VILLA SERRANO,atencion odontologica,consulta nueva,2015-06-01,212,188,5,7,3,4,10,89,1,2,0,45,0,45,231,380,611
VILLA TUNARI,atencion odontologica,consulta nueva,2015-06-01,228,196,44,84,40,221,87,405,31,16,0,129,0,393,430,1444,1874
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,consulta nueva,2015-06-01,124,99,51,59,13,57,121,248,9,12,0,74,0,46,318,595,913
VILLAZON,atencion odontologica,consulta nueva,2015-06-01,101,125,49,59,10,16,38,170,19,16,0,39,0,42,217,467,684
VINTO,atencion odontologica,consulta nueva,2015-06-01,270,221,6,21,1,11,19,178,11,19,0,22,0,207,307,679,986
VITICHI,atencion odontologica,consulta nueva,2015-06-01,10,15,16,28,13,33,47,89,52,55,0,34,0,11,138,265,403
WALDO BALLIVIAN,atencion odontologica,consulta nueva,2015-06-01,13,4,8,8,6,9,6,23,2,1,0,3,0,6,35,54,89
WARNES,atencion odontologica,consulta nueva,2015-06-01,87,68,34,32,8,40,23,121,48,31,0,9,0,42,200,343,543
YACO,atencion odontologica,consulta nueva,2015-06-01,35,6,4,6,6,40,10,127,9,19,0,43,0,100,64,341,405
YACUIBA,atencion odontologica,consulta nueva,2015-06-01,28,51,137,117,111,142,239,550,58,24,0,7,0,3,573,894,1467
YAMPARAEZ,atencion odontologica,consulta nueva,2015-06-01,84,68,3,5,2,17,14,29,1,7,0,19,0,13,104,158,262
YANACACHI,atencion odontologica,consulta nueva,2015-06-01,9,18,15,22,7,6,34,44,9,5,0,10,0,7,74,112,186
YAPACANI,atencion odontologica,consulta nueva,2015-06-01,142,144,14,26,4,62,24,154,26,17,0,64,0,142,210,609,819
YOCALLA,atencion odontologica,consulta nueva,2015-06-01,24,13,6,12,7,12,18,44,11,0,0,10,0,6,66,97,163
YOTALA,atencion odontologica,consulta nueva,2015-06-01,99,90,12,12,18,14,17,67,4,9,0,38,0,26,150,256,406
YUNCHARA,atencion odontologica,consulta nueva,2015-06-01,5,13,95,102,18,45,69,165,5,8,0,3,0,1,192,337,529
ZUDAÑEZ,atencion odontologica,consulta nueva,2015-06-01,7,13,5,12,6,10,20,77,6,1,0,34,0,10,44,157,201
ACACIO,atencion odontologica,consulta nueva,2015-07-01,2,10,5,8,0,2,1,6,0,2,0,3,0,7,8,38,46
ACHACACHI,atencion odontologica,consulta nueva,2015-07-01,216,215,82,76,22,76,102,256,158,123,0,108,0,187,580,1041,1621
ACHOCALLA,atencion odontologica,consulta nueva,2015-07-01,53,52,14,5,6,11,4,27,1,1,0,7,0,23,78,126,204
AIQUILE,atencion odontologica,consulta nueva,2015-07-01,110,131,22,52,1,6,10,17,13,14,0,0,0,0,156,220,376
ALALAY,atencion odontologica,consulta nueva,2015-07-01,2,2,0,1,0,0,0,5,4,1,0,3,0,4,6,16,22
ALCALA,atencion odontologica,consulta nueva,2015-07-01,67,64,16,24,28,28,22,65,7,22,0,3,0,13,140,219,359
ALTO BENI,atencion odontologica,consulta nueva,2015-07-01,24,20,9,8,3,3,9,23,2,1,0,0,0,7,47,62,109
ANCORAIMES,atencion odontologica,consulta nueva,2015-07-01,26,26,7,8,11,12,13,24,25,17,0,4,0,3,82,94,176
ANDAMARCA,atencion odontologica,consulta nueva,2015-07-01,14,11,16,18,6,21,24,15,6,15,0,22,0,10,66,112,178
ANTEQUERA,atencion odontologica,consulta nueva,2015-07-01,10,10,12,10,2,6,20,16,1,1,0,2,0,1,45,46,91
ANZALDO,atencion odontologica,consulta nueva,2015-07-01,68,97,60,118,8,21,15,59,20,25,0,2,0,42,171,364,535
APOLO,atencion odontologica,consulta nueva,2015-07-01,54,51,60,57,0,35,12,37,10,2,0,12,0,22,136,216,352
ARAMPAMPA,atencion odontologica,consulta nueva,2015-07-01,27,28,7,13,4,7,16,31,2,15,0,20,0,8,56,122,178
ARANI,atencion odontologica,consulta nueva,2015-07-01,36,33,31,24,6,31,11,57,8,11,0,15,0,38,92,209,301
ARBIETO,atencion odontologica,consulta nueva,2015-07-01,67,109,30,14,1,15,6,68,15,19,0,44,0,15,119,284,403
ARQUE,atencion odontologica,consulta nueva,2015-07-01,24,29,7,16,2,11,10,61,1,4,0,12,0,17,44,150,194
ASCENCION DE GUARAYOS,atencion odontologica,consulta nueva,2015-07-01,51,25,2,5,3,3,1,14,13,17,0,81,0,48,70,193,263
ATOCHA,atencion odontologica,consulta nueva,2015-07-01,18,19,55,86,53,105,137,122,20,8,0,0,0,0,283,340,623
AUCAPATA,atencion odontologica,consulta nueva,2015-07-01,2,1,3,1,1,6,11,23,1,3,0,0,0,1,18,35,53
AYATA,atencion odontologica,consulta nueva,2015-07-01,7,13,5,15,1,15,20,46,7,5,0,3,0,9,40,106,146
AYO AYO,atencion odontologica,consulta nueva,2015-07-01,15,15,6,16,9,6,24,36,16,3,0,8,0,23,70,107,177
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consulta nueva,2015-07-01,49,42,74,49,32,43,67,108,24,19,0,38,0,73,246,372,618
AZURDUY,atencion odontologica,consulta nueva,2015-07-01,55,33,14,15,12,22,29,65,1,6,0,26,0,27,111,194,305
BATALLAS,atencion odontologica,consulta nueva,2015-07-01,16,12,9,3,1,6,4,16,17,9,0,18,0,12,47,76,123
BAURES,atencion odontologica,consulta nueva,2015-07-01,3,5,7,17,13,11,20,28,9,1,0,4,0,1,52,67,119
BELEN DE ANDAMARCA,atencion odontologica,consulta nueva,2015-07-01,5,10,6,3,0,4,1,4,2,5,0,4,0,2,14,32,46
BELEN DE URMIRI,atencion odontologica,consulta nueva,2015-07-01,2,12,0,2,0,1,9,6,4,2,0,2,0,2,15,27,42
BELLA FLOR,atencion odontologica,consulta nueva,2015-07-01,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,4,4
BERMEJO,atencion odontologica,consulta nueva,2015-07-01,40,43,310,386,151,323,276,453,46,44,0,71,0,17,823,1337,2160
BETANZOS,atencion odontologica,consulta nueva,2015-07-01,67,28,28,46,22,55,50,144,24,32,0,18,0,41,191,364,555
BOLIVAR,atencion odontologica,consulta nueva,2015-07-01,5,16,20,31,5,32,11,32,11,0,0,12,0,3,52,126,178
BOYUIBE,atencion odontologica,consulta nueva,2015-07-01,0,1,0,2,0,0,3,9,0,0,0,1,0,0,3,13,16
BUENA VISTA,atencion odontologica,consulta nueva,2015-07-01,132,99,15,16,4,22,13,76,12,0,0,10,0,40,176,263,439
CABEZAS,atencion odontologica,consulta nueva,2015-07-01,62,65,21,26,9,18,36,78,11,9,0,25,0,26,139,247,386
CAIROMA,atencion odontologica,consulta nueva,2015-07-01,18,4,12,37,6,25,19,36,0,1,0,0,0,0,55,103,158
"CAIZA ""D""",atencion odontologica,consulta nueva,2015-07-01,29,38,33,23,13,26,18,96,11,19,0,15,0,13,104,230,334
CAJUATA,atencion odontologica,consulta nueva,2015-07-01,95,76,52,35,6,25,20,61,8,10,0,23,0,54,181,284,465
CALACOTO,atencion odontologica,consulta nueva,2015-07-01,8,18,2,6,0,0,4,14,5,3,0,0,0,0,19,41,60
CALAMARCA,atencion odontologica,consulta nueva,2015-07-01,41,62,17,34,24,35,44,100,26,19,0,8,0,27,152,285,437
CAMARGO,atencion odontologica,consulta nueva,2015-07-01,134,207,41,42,6,41,30,187,10,3,0,77,0,93,221,650,871
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consulta nueva,2015-07-01,6,16,8,2,5,34,21,42,2,8,0,12,0,18,42,132,174
CAMIRI,atencion odontologica,consulta nueva,2015-07-01,129,166,49,38,9,32,70,173,18,14,0,146,0,65,275,634,909
CAPINOTA,atencion odontologica,consulta nueva,2015-07-01,66,82,50,60,24,73,30,117,25,52,0,21,0,44,195,449,644
CAQUIAVIRI,atencion odontologica,consulta nueva,2015-07-01,11,8,4,8,2,20,7,23,8,4,0,10,0,11,32,84,116
CARACOLLO,atencion odontologica,consulta nueva,2015-07-01,81,75,96,123,17,44,54,174,17,14,0,28,0,13,265,471,736
CARANAVI,atencion odontologica,consulta nueva,2015-07-01,141,89,41,28,11,18,29,117,18,23,0,27,0,71,240,373,613
CARAPARI,atencion odontologica,consulta nueva,2015-07-01,7,5,48,90,57,97,60,175,10,8,0,0,0,3,182,378,560
CARIPUYO,atencion odontologica,consulta nueva,2015-07-01,42,36,2,0,5,11,2,16,8,15,0,0,0,4,59,82,141
CARMEN RIVERO TORREZ,atencion odontologica,consulta nueva,2015-07-01,35,43,4,7,0,0,10,34,3,7,0,18,0,6,52,115,167
CATACORA,atencion odontologica,consulta nueva,2015-07-01,2,3,2,3,1,0,3,12,1,2,0,0,0,2,9,22,31
CHALLAPATA,atencion odontologica,consulta nueva,2015-07-01,177,214,258,215,30,103,75,270,46,25,0,56,0,69,586,952,1538
CHAQUI,atencion odontologica,consulta nueva,2015-07-01,6,4,8,14,2,7,10,23,2,9,0,7,0,11,28,75,103
CHARAGUA,atencion odontologica,consulta nueva,2015-07-01,30,22,13,11,12,29,21,40,6,3,0,10,0,6,82,121,203
CHARAÑA,atencion odontologica,consulta nueva,2015-07-01,9,12,3,2,0,8,2,7,1,2,0,0,0,5,15,36,51
CHAYANTA,atencion odontologica,consulta nueva,2015-07-01,53,20,29,19,2,18,19,89,10,23,0,19,0,17,113,205,318
CHIMORE,atencion odontologica,consulta nueva,2015-07-01,104,129,22,22,40,49,19,118,23,2,0,25,0,104,208,449,657
CHIPAYA,atencion odontologica,consulta nueva,2015-07-01,2,1,6,2,1,4,2,15,7,1,0,8,0,0,18,31,49
CHOQUE COTA,atencion odontologica,consulta nueva,2015-07-01,30,17,7,3,1,3,11,19,1,5,0,4,0,1,50,52,102
CHUA COCANI,atencion odontologica,consulta nueva,2015-07-01,6,9,2,6,4,5,4,12,6,8,0,0,0,0,22,40,62
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consulta nueva,2015-07-01,84,56,33,25,4,19,23,73,3,3,0,30,0,15,147,221,368
CHUMA,atencion odontologica,consulta nueva,2015-07-01,26,47,30,44,21,53,92,145,47,26,0,18,0,18,216,351,567
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consulta nueva,2015-07-01,28,30,3,2,3,9,2,19,4,7,0,10,0,8,40,85,125
CKOCHAS,atencion odontologica,consulta nueva,2015-07-01,7,5,7,1,12,5,16,23,2,4,0,3,0,24,44,65,109
CLIZA,atencion odontologica,consulta nueva,2015-07-01,115,81,62,36,22,77,25,149,57,27,0,65,0,95,281,530,811
COBIJA,atencion odontologica,consulta nueva,2015-07-01,459,369,99,129,27,111,165,292,28,12,0,153,0,61,778,1127,1905
COCAPATA,atencion odontologica,consulta nueva,2015-07-01,140,105,32,45,18,59,31,87,14,11,0,11,0,29,235,347,582
COCHABAMBA,atencion odontologica,consulta nueva,2015-07-01,2539,2618,986,1089,497,945,1416,3599,535,439,0,1048,0,1559,5973,11297,17270
COIPASA,atencion odontologica,consulta nueva,2015-07-01,13,5,2,10,10,2,12,14,10,11,0,0,0,0,47,42,89
COLCAPIRHUA,atencion odontologica,consulta nueva,2015-07-01,262,324,33,19,4,37,24,192,28,39,0,93,0,43,351,747,1098
"COLCHA ""K""",atencion odontologica,consulta nueva,2015-07-01,46,32,12,11,4,22,13,41,19,16,0,18,0,22,94,162,256
COLLANA,atencion odontologica,consulta nueva,2015-07-01,1,0,1,3,1,0,1,3,0,0,0,0,0,0,4,6,10
COLOMI,atencion odontologica,consulta nueva,2015-07-01,60,99,0,0,0,24,0,57,30,14,0,87,0,40,90,321,411
COLPA BELGICA,atencion odontologica,consulta nueva,2015-07-01,30,12,40,39,6,7,8,6,1,0,0,1,0,1,85,66,151
COLQUECHACA,atencion odontologica,consulta nueva,2015-07-01,66,66,20,16,13,42,39,91,30,23,0,20,0,44,168,302,470
COLQUENCHA,atencion odontologica,consulta nueva,2015-07-01,26,19,48,85,15,44,20,49,5,4,0,0,0,0,114,201,315
COLQUIRI,atencion odontologica,consulta nueva,2015-07-01,31,23,17,20,17,22,25,86,5,13,0,3,0,5,95,172,267
COMANCHE,atencion odontologica,consulta nueva,2015-07-01,0,3,3,0,5,0,6,12,2,1,0,0,0,0,16,16,32
COMARAPA,atencion odontologica,consulta nueva,2015-07-01,60,27,13,16,12,36,5,31,5,6,0,9,0,2,95,127,222
COMBAYA,atencion odontologica,consulta nueva,2015-07-01,2,3,1,1,0,2,1,3,14,18,0,3,0,0,18,30,48
CONCEPCION,atencion odontologica,consulta nueva,2015-07-01,14,21,14,9,18,19,15,36,14,3,0,15,0,0,75,103,178
COPACABANA,atencion odontologica,consulta nueva,2015-07-01,35,26,17,29,6,19,13,35,3,4,0,0,0,23,74,136,210
CORIPATA,atencion odontologica,consulta nueva,2015-07-01,39,25,13,9,3,12,16,30,5,4,0,4,0,20,76,104,180
CORO CORO,atencion odontologica,consulta nueva,2015-07-01,0,7,4,5,1,2,1,17,0,2,0,0,0,3,6,36,42
COROICO,atencion odontologica,consulta nueva,2015-07-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CORQUE,atencion odontologica,consulta nueva,2015-07-01,34,31,18,12,4,13,18,24,18,14,0,7,0,11,92,112,204
COTAGAITA,atencion odontologica,consulta nueva,2015-07-01,41,47,46,62,17,50,73,151,112,141,0,14,0,56,289,521,810
COTOCA,atencion odontologica,consulta nueva,2015-07-01,106,146,24,15,5,6,9,188,5,11,0,173,0,14,149,553,702
CUATRO CAÑADAS,atencion odontologica,consulta nueva,2015-07-01,99,101,18,34,4,31,30,59,7,7,0,17,0,38,158,287,445
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,consulta nueva,2015-07-01,0,0,3,4,1,0,0,9,8,4,0,6,0,2,12,25,37
CUEVO,atencion odontologica,consulta nueva,2015-07-01,11,5,2,10,6,10,7,36,2,2,0,1,0,2,28,66,94
CULPINA,atencion odontologica,consulta nueva,2015-07-01,73,52,22,23,10,40,52,128,6,18,0,47,0,29,163,337,500
CURAHUARA DE CARANGAS,atencion odontologica,consulta nueva,2015-07-01,18,27,12,12,6,14,3,27,4,5,0,3,0,3,43,91,134
CURVA,atencion odontologica,consulta nueva,2015-07-01,19,23,2,0,2,0,4,3,5,8,0,0,0,0,32,34,66
DESAGUADERO,atencion odontologica,consulta nueva,2015-07-01,24,18,24,32,15,17,23,19,29,33,0,25,0,19,115,163,278
EL ALTO,atencion odontologica,consulta nueva,2015-07-01,2349,2465,3883,4470,744,1684,236,1349,122,126,0,513,0,655,7334,11262,18596
EL CHORO,atencion odontologica,consulta nueva,2015-07-01,21,67,7,3,0,7,2,43,1,2,0,14,0,15,31,151,182
EL PUENTE(STC),atencion odontologica,consulta nueva,2015-07-01,17,27,48,63,3,3,11,51,2,3,0,3,0,3,81,153,234
EL PUENTE(TJA),atencion odontologica,consulta nueva,2015-07-01,14,16,51,48,10,35,40,113,7,13,0,3,0,0,122,228,350
EL TORNO,atencion odontologica,consulta nueva,2015-07-01,144,150,78,93,106,202,90,347,56,68,0,79,0,143,474,1082,1556
EL VILLAR,atencion odontologica,consulta nueva,2015-07-01,20,17,8,46,9,32,9,24,4,3,0,12,0,6,50,140,190
ENTRE RIOS TRJ,atencion odontologica,consulta nueva,2015-07-01,35,35,56,65,35,91,64,164,14,10,0,9,0,9,204,383,587
ENTRE RIOS CBBA,atencion odontologica,consulta nueva,2015-07-01,50,61,4,6,2,13,4,23,2,2,0,7,0,25,62,137,199
ESCOMA,atencion odontologica,consulta nueva,2015-07-01,6,2,0,2,0,1,3,12,4,0,0,0,0,8,13,25,38
EUCALIPTUS,atencion odontologica,consulta nueva,2015-07-01,8,13,16,12,5,7,10,31,7,9,0,1,0,6,46,79,125
FERNANDEZ ALONSO,atencion odontologica,consulta nueva,2015-07-01,11,7,37,31,9,24,6,33,9,12,0,12,0,6,72,125,197
FILADELFIA,atencion odontologica,consulta nueva,2015-07-01,38,26,12,5,2,2,6,22,14,8,0,10,0,0,72,73,145
GENERAL SAAVEDRA,atencion odontologica,consulta nueva,2015-07-01,49,33,2,2,5,5,2,48,5,0,0,36,0,12,63,136,199
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consulta nueva,2015-07-01,46,29,12,9,6,10,11,44,10,13,0,5,0,10,85,120,205
GUANAY,atencion odontologica,consulta nueva,2015-07-01,36,61,4,9,3,4,9,13,4,0,0,1,0,1,56,89,145
GUAQUI,atencion odontologica,consulta nueva,2015-07-01,17,17,16,10,9,30,20,61,22,42,0,13,0,14,84,187,271
GUAYARAMERIN,atencion odontologica,consulta nueva,2015-07-01,34,56,96,125,55,134,102,190,13,16,0,61,0,4,300,586,886
GUTIERREZ,atencion odontologica,consulta nueva,2015-07-01,41,49,8,12,3,8,16,44,8,9,0,55,0,24,76,201,277
HUACARETA,atencion odontologica,consulta nueva,2015-07-01,46,38,1,2,1,18,14,38,8,2,0,36,0,13,70,147,217
HUACAYA (VILLA DE HUACAYA),atencion odontologica,consulta nueva,2015-07-01,48,54,10,11,2,24,15,58,1,1,0,15,0,12,76,175,251
HUACHACALLA,atencion odontologica,consulta nueva,2015-07-01,14,3,2,10,1,6,9,26,5,8,0,0,0,16,31,69,100
HUANUNI,atencion odontologica,consulta nueva,2015-07-01,87,91,123,135,39,58,60,116,24,8,0,4,0,9,333,421,754
HUARACAJE,atencion odontologica,consulta nueva,2015-07-01,2,2,11,14,2,3,3,14,9,0,0,3,0,0,27,36,63
HUATAJATA,atencion odontologica,consulta nueva,2015-07-01,56,31,8,11,1,4,15,43,18,37,0,4,0,73,98,203,301
HUAYLLAMARCA,atencion odontologica,consulta nueva,2015-07-01,16,6,32,40,18,68,53,68,25,28,0,5,0,35,144,250,394
HUMANATA,atencion odontologica,consulta nueva,2015-07-01,23,23,2,1,0,2,6,5,18,25,0,1,0,7,49,64,113
ICHOCA,atencion odontologica,consulta nueva,2015-07-01,39,8,1,2,4,4,5,14,15,10,0,25,0,3,64,66,130
ICLA,atencion odontologica,consulta nueva,2015-07-01,165,160,29,47,5,10,25,52,5,18,0,31,0,4,229,322,551
INCAHUASI,atencion odontologica,consulta nueva,2015-07-01,93,93,12,24,25,41,43,155,1,20,0,47,0,55,174,435,609
INQUISIVI,atencion odontologica,consulta nueva,2015-07-01,42,21,22,30,8,31,44,59,17,11,0,6,0,32,133,190,323
IRUPANA (VILLA DE LANZA),atencion odontologica,consulta nueva,2015-07-01,150,155,35,45,5,48,23,111,18,13,0,51,0,69,231,492,723
IXIAMAS,atencion odontologica,consulta nueva,2015-07-01,47,34,22,15,7,27,16,44,13,2,0,3,0,8,105,133,238
JESUS DE MACHACA,atencion odontologica,consulta nueva,2015-07-01,9,4,8,11,8,13,10,33,10,9,0,0,0,14,45,84,129
LA ASUNTA,atencion odontologica,consulta nueva,2015-07-01,106,85,36,79,39,73,83,213,9,14,0,32,0,71,273,567,840
LA GUARDIA,atencion odontologica,consulta nueva,2015-07-01,384,386,11,20,8,74,29,202,36,27,0,88,0,189,468,986,1454
LA PAZ,atencion odontologica,consulta nueva,2015-07-01,3140,2978,1765,1692,975,1423,3205,5064,733,806,0,603,0,578,9818,13144,22962
LAGUNILLAS,atencion odontologica,consulta nueva,2015-07-01,0,0,4,2,8,14,17,27,0,0,0,4,0,0,29,47,76
LAJA,atencion odontologica,consulta nueva,2015-07-01,18,12,6,16,3,26,24,33,25,19,0,8,0,19,76,133,209
LAS CARRERAS,atencion odontologica,consulta nueva,2015-07-01,0,10,7,2,11,2,11,36,0,3,0,5,0,2,29,60,89
LICOMA PAMPA,atencion odontologica,consulta nueva,2015-07-01,26,17,8,3,0,15,8,17,3,14,0,0,0,26,45,92,137
LLALLAGUA,atencion odontologica,consulta nueva,2015-07-01,315,230,87,84,16,68,40,257,22,22,0,46,0,127,480,834,1314
LLICA,atencion odontologica,consulta nueva,2015-07-01,4,7,9,42,16,18,9,70,2,2,0,2,0,3,40,144,184
LURIBAY,atencion odontologica,consulta nueva,2015-07-01,26,18,7,22,10,23,29,35,3,8,0,6,0,8,75,120,195
MACHACAMARCA,atencion odontologica,consulta nueva,2015-07-01,32,48,68,67,9,8,23,59,12,9,0,20,0,2,144,213,357
MACHARETI,atencion odontologica,consulta nueva,2015-07-01,33,34,1,4,3,3,11,35,6,1,0,29,0,5,54,111,165
MAGDALENA,atencion odontologica,consulta nueva,2015-07-01,2,10,2,18,9,12,5,25,1,0,0,7,0,4,19,76,95
MAIRANA,atencion odontologica,consulta nueva,2015-07-01,21,31,8,22,4,14,8,47,0,7,0,26,0,41,41,188,229
MALLA,atencion odontologica,consulta nueva,2015-07-01,5,2,0,0,0,0,0,1,3,0,0,0,0,0,8,3,11
MAPIRI,atencion odontologica,consulta nueva,2015-07-01,33,30,16,12,7,10,39,63,3,2,0,19,0,12,98,148,246
MECAPACA,atencion odontologica,consulta nueva,2015-07-01,37,33,27,36,10,26,24,45,8,5,0,19,0,2,106,166,272
MINEROS,atencion odontologica,consulta nueva,2015-07-01,9,10,0,0,0,1,0,2,2,2,0,2,0,0,11,17,28
