,group,variable,month,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS POST,MEDIDAS PREVENTIVAS POST,TOTALES,TOTALES,TOTALES
TOMINA,atencion odontologica,medidas preventivas,2015-07-01,9,25,9,16,0,1,0,0,0,0,0,0,0,0,18,42,60
TORO TORO,atencion odontologica,medidas preventivas,2015-07-01,11,4,0,1,0,2,0,2,0,0,0,0,0,0,11,9,20
TOTORA(CBBA),atencion odontologica,medidas preventivas,2015-07-01,2,3,19,22,1,0,0,8,0,0,0,0,0,0,22,33,55
TOTORA(ORR),atencion odontologica,medidas preventivas,2015-07-01,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,6
TRIGAL,atencion odontologica,medidas preventivas,2015-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TRINIDAD,atencion odontologica,medidas preventivas,2015-07-01,27,45,139,170,41,51,73,154,13,6,0,0,0,0,293,426,719
TUPIZA,atencion odontologica,medidas preventivas,2015-07-01,78,93,15,29,5,14,25,30,3,1,0,0,0,0,126,167,293
TURCO,atencion odontologica,medidas preventivas,2015-07-01,2,10,0,0,0,0,0,8,0,0,0,0,0,0,2,18,20
UMALA,atencion odontologica,medidas preventivas,2015-07-01,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2
UNCIA,atencion odontologica,medidas preventivas,2015-07-01,33,18,0,0,0,0,5,3,0,0,0,0,0,0,38,21,59
URIONDO (A. CONCEPCION),atencion odontologica,medidas preventivas,2015-07-01,11,18,17,54,11,27,7,14,0,2,0,0,0,0,46,115,161
URUBICHA,atencion odontologica,medidas preventivas,2015-07-01,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,7,7
UYUNI,atencion odontologica,medidas preventivas,2015-07-01,5,6,1,0,0,0,2,0,0,1,0,0,0,0,8,7,15
VACAS,atencion odontologica,medidas preventivas,2015-07-01,11,0,4,3,0,8,0,0,0,0,0,0,0,0,15,11,26
VALLEGRANDE,atencion odontologica,medidas preventivas,2015-07-01,100,71,75,80,31,42,47,127,15,19,0,0,0,0,268,339,607
VIACHA,atencion odontologica,medidas preventivas,2015-07-01,93,67,9,19,4,10,10,12,8,7,0,0,0,0,124,115,239
VILA VILA,atencion odontologica,medidas preventivas,2015-07-01,11,21,0,0,1,0,0,2,0,0,0,0,0,0,12,23,35
VILLA CHARCAS,atencion odontologica,medidas preventivas,2015-07-01,3,5,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
VILLA MONTES,atencion odontologica,medidas preventivas,2015-07-01,23,24,59,44,23,50,42,74,3,0,0,0,0,0,150,192,342
VILLA NUEVA (LOMA ALTA),atencion odontologica,medidas preventivas,2015-07-01,9,5,4,23,0,0,0,0,0,0,0,0,0,0,13,28,41
VILLA RIVERO,atencion odontologica,medidas preventivas,2015-07-01,13,32,6,26,0,1,6,1,0,4,0,0,0,0,25,64,89
VILLA SERRANO,atencion odontologica,medidas preventivas,2015-07-01,28,52,0,0,0,0,0,7,1,0,0,0,0,0,29,59,88
VILLA TUNARI,atencion odontologica,medidas preventivas,2015-07-01,157,114,45,83,16,38,55,136,3,1,0,0,0,0,276,372,648
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,medidas preventivas,2015-07-01,15,28,8,11,17,4,16,20,0,1,0,0,0,0,56,64,120
VILLAZON,atencion odontologica,medidas preventivas,2015-07-01,88,93,67,63,2,15,36,58,3,2,0,0,0,0,196,231,427
VINTO,atencion odontologica,medidas preventivas,2015-07-01,104,116,2,13,2,8,0,15,0,0,0,0,0,0,108,152,260
VITICHI,atencion odontologica,medidas preventivas,2015-07-01,1,3,0,0,0,2,0,2,0,0,0,0,0,0,1,7,8
WARNES,atencion odontologica,medidas preventivas,2015-07-01,47,27,3,7,3,8,4,20,1,5,0,0,0,0,58,67,125
YACO,atencion odontologica,medidas preventivas,2015-07-01,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8
YACUIBA,atencion odontologica,medidas preventivas,2015-07-01,19,35,161,166,45,72,56,126,10,15,0,0,0,0,291,414,705
YAMPARAEZ,atencion odontologica,medidas preventivas,2015-07-01,122,73,0,0,0,0,0,0,0,0,0,0,0,0,122,73,195
YANACACHI,atencion odontologica,medidas preventivas,2015-07-01,2,6,4,2,1,0,0,2,0,0,0,0,0,0,7,10,17
YAPACANI,atencion odontologica,medidas preventivas,2015-07-01,72,66,6,5,0,18,4,23,1,0,0,0,0,0,83,112,195
YOCALLA,atencion odontologica,medidas preventivas,2015-07-01,14,1,1,2,0,0,0,0,0,0,0,0,0,0,15,3,18
YOTALA,atencion odontologica,medidas preventivas,2015-07-01,30,38,0,0,0,5,1,21,0,0,0,0,0,0,31,64,95
YUNCHARA,atencion odontologica,medidas preventivas,2015-07-01,3,4,26,43,0,2,0,4,0,1,0,0,0,0,29,54,83
ZUDAÑEZ,atencion odontologica,medidas preventivas,2015-07-01,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,16,16
ACACIO,atencion odontologica,medidas preventivas,2015-08-01,32,24,2,4,1,1,1,3,0,0,0,0,0,0,36,32,68
ACHACACHI,atencion odontologica,medidas preventivas,2015-08-01,64,72,43,48,0,2,2,3,2,4,0,0,0,0,111,129,240
ACHOCALLA,atencion odontologica,medidas preventivas,2015-08-01,30,19,3,3,0,0,2,3,1,0,0,0,0,0,36,25,61
AIQUILE,atencion odontologica,medidas preventivas,2015-08-01,86,112,20,27,1,15,1,7,8,4,0,0,0,0,116,165,281
ALCALA,atencion odontologica,medidas preventivas,2015-08-01,33,25,5,4,0,3,0,1,0,0,0,0,0,0,38,33,71
ALTO BENI,atencion odontologica,medidas preventivas,2015-08-01,6,16,1,2,0,0,1,5,1,0,0,0,0,0,9,23,32
ANCORAIMES,atencion odontologica,medidas preventivas,2015-08-01,7,14,0,0,0,0,0,0,0,0,0,0,0,0,7,14,21
ANDAMARCA,atencion odontologica,medidas preventivas,2015-08-01,21,16,3,6,0,2,1,7,1,1,0,0,0,0,26,32,58
ANTEQUERA,atencion odontologica,medidas preventivas,2015-08-01,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3
ANZALDO,atencion odontologica,medidas preventivas,2015-08-01,20,29,67,109,0,2,0,4,0,0,0,0,0,0,87,144,231
APOLO,atencion odontologica,medidas preventivas,2015-08-01,36,35,10,15,1,2,0,3,0,0,0,0,0,0,47,55,102
ARAMPAMPA,atencion odontologica,medidas preventivas,2015-08-01,21,34,2,0,0,1,0,0,1,0,0,0,0,0,24,35,59
ARANI,atencion odontologica,medidas preventivas,2015-08-01,11,22,1,3,1,8,0,13,0,5,0,0,0,0,13,51,64
ARBIETO,atencion odontologica,medidas preventivas,2015-08-01,16,48,30,4,0,0,0,0,2,0,0,0,0,0,48,52,100
ARQUE,atencion odontologica,medidas preventivas,2015-08-01,7,19,0,0,1,1,3,6,0,1,0,0,0,0,11,27,38
ASCENCION DE GUARAYOS,atencion odontologica,medidas preventivas,2015-08-01,33,49,4,0,0,14,0,6,3,1,0,0,0,0,40,70,110
ATOCHA,atencion odontologica,medidas preventivas,2015-08-01,13,34,141,140,54,73,29,15,2,0,0,0,0,0,239,262,501
AUCAPATA,atencion odontologica,medidas preventivas,2015-08-01,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
AYATA,atencion odontologica,medidas preventivas,2015-08-01,10,13,0,1,0,0,1,2,0,0,0,0,0,0,11,16,27
AYO AYO,atencion odontologica,medidas preventivas,2015-08-01,3,4,2,0,0,2,0,0,0,0,0,0,0,0,5,6,11
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,medidas preventivas,2015-08-01,20,29,38,51,12,30,61,94,4,2,0,0,0,0,135,206,341
AZURDUY,atencion odontologica,medidas preventivas,2015-08-01,20,14,15,33,0,0,0,6,0,0,0,0,0,0,35,53,88
BATALLAS,atencion odontologica,medidas preventivas,2015-08-01,2,6,0,0,1,0,0,3,0,0,0,0,0,0,3,9,12
BELEN DE ANDAMARCA,atencion odontologica,medidas preventivas,2015-08-01,5,7,0,0,0,0,0,2,4,3,0,0,0,0,9,12,21
BELEN DE URMIRI,atencion odontologica,medidas preventivas,2015-08-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
BELLA FLOR,atencion odontologica,medidas preventivas,2015-08-01,0,2,1,8,0,0,0,0,0,0,0,0,0,0,1,10,11
BERMEJO,atencion odontologica,medidas preventivas,2015-08-01,31,25,27,55,20,47,15,37,4,2,0,0,0,0,97,166,263
BETANZOS,atencion odontologica,medidas preventivas,2015-08-01,53,43,5,3,0,6,3,13,2,0,0,0,0,0,63,65,128
BOLIVAR,atencion odontologica,medidas preventivas,2015-08-01,10,6,7,6,0,0,0,0,0,0,0,0,0,0,17,12,29
BUENA VISTA,atencion odontologica,medidas preventivas,2015-08-01,26,22,4,4,2,8,2,7,0,0,0,0,0,0,34,41,75
CABEZAS,atencion odontologica,medidas preventivas,2015-08-01,48,68,29,27,0,7,6,9,0,0,0,0,0,0,83,111,194
CAIROMA,atencion odontologica,medidas preventivas,2015-08-01,21,23,15,18,2,10,4,22,1,1,0,0,0,0,43,74,117
"CAIZA ""D""",atencion odontologica,medidas preventivas,2015-08-01,1,2,0,0,4,1,0,2,1,0,0,0,0,0,6,5,11
CAJUATA,atencion odontologica,medidas preventivas,2015-08-01,44,64,5,3,0,4,0,1,0,0,0,0,0,0,49,72,121
CALACOTO,atencion odontologica,medidas preventivas,2015-08-01,3,1,0,0,0,0,0,1,0,0,0,0,0,0,3,2,5
CALAMARCA,atencion odontologica,medidas preventivas,2015-08-01,29,19,1,0,0,1,2,1,0,0,0,0,0,0,32,21,53
CAMARGO,atencion odontologica,medidas preventivas,2015-08-01,35,26,0,1,0,0,0,0,0,0,0,0,0,0,35,27,62
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,medidas preventivas,2015-08-01,10,5,2,0,0,0,0,0,0,0,0,0,0,0,12,5,17
CAMIRI,atencion odontologica,medidas preventivas,2015-08-01,89,69,40,36,25,25,8,12,0,0,0,0,0,0,162,142,304
CAPINOTA,atencion odontologica,medidas preventivas,2015-08-01,52,44,42,48,5,22,48,69,4,5,0,0,0,0,151,188,339
CAQUIAVIRI,atencion odontologica,medidas preventivas,2015-08-01,8,3,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11
CARACOLLO,atencion odontologica,medidas preventivas,2015-08-01,21,36,8,25,4,6,6,17,6,3,0,0,0,0,45,87,132
CARANAVI,atencion odontologica,medidas preventivas,2015-08-01,40,43,61,62,15,17,10,14,0,0,0,0,0,0,126,136,262
CARAPARI,atencion odontologica,medidas preventivas,2015-08-01,2,2,36,30,12,6,3,7,0,0,0,0,0,0,53,45,98
CARIPUYO,atencion odontologica,medidas preventivas,2015-08-01,24,20,1,0,0,0,2,4,17,32,0,0,0,0,44,56,100
CARMEN RIVERO TORREZ,atencion odontologica,medidas preventivas,2015-08-01,18,10,0,0,0,0,0,1,0,0,0,0,0,0,18,11,29
CATACORA,atencion odontologica,medidas preventivas,2015-08-01,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,1,3
CHALLAPATA,atencion odontologica,medidas preventivas,2015-08-01,73,64,111,74,11,4,7,39,17,18,0,0,0,0,219,199,418
CHAQUI,atencion odontologica,medidas preventivas,2015-08-01,7,2,0,0,0,3,0,4,0,0,0,0,0,0,7,9,16
CHARAGUA,atencion odontologica,medidas preventivas,2015-08-01,43,52,66,56,4,7,3,12,0,0,0,0,0,0,116,127,243
CHARAÑA,atencion odontologica,medidas preventivas,2015-08-01,7,12,0,0,0,0,0,0,0,0,0,0,0,0,7,12,19
CHAYANTA,atencion odontologica,medidas preventivas,2015-08-01,7,20,0,0,1,1,0,3,0,0,0,0,0,0,8,24,32
CHIMORE,atencion odontologica,medidas preventivas,2015-08-01,61,50,0,0,1,10,0,3,3,4,0,0,0,0,65,67,132
CHOQUE COTA,atencion odontologica,medidas preventivas,2015-08-01,3,7,0,0,0,0,0,1,0,2,0,0,0,0,3,10,13
CHUA COCANI,atencion odontologica,medidas preventivas,2015-08-01,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,medidas preventivas,2015-08-01,12,3,2,1,1,0,1,0,0,0,0,0,0,0,16,4,20
CHUMA,atencion odontologica,medidas preventivas,2015-08-01,22,26,5,9,4,7,7,12,4,8,0,0,0,0,42,62,104
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,medidas preventivas,2015-08-01,2,14,0,0,0,0,0,0,0,0,0,0,0,0,2,14,16
CKOCHAS,atencion odontologica,medidas preventivas,2015-08-01,11,1,0,0,0,1,0,2,0,0,0,0,0,0,11,4,15
CLIZA,atencion odontologica,medidas preventivas,2015-08-01,14,7,15,5,10,16,0,16,0,0,0,0,0,0,39,44,83
COBIJA,atencion odontologica,medidas preventivas,2015-08-01,173,143,10,23,4,20,49,70,3,1,0,0,0,0,239,257,496
COCAPATA,atencion odontologica,medidas preventivas,2015-08-01,54,37,1,1,3,1,2,7,1,2,0,0,0,0,61,48,109
COCHABAMBA,atencion odontologica,medidas preventivas,2015-08-01,1672,1620,953,1045,612,1236,848,1689,163,116,0,0,0,0,4248,5706,9954
COIPASA,atencion odontologica,medidas preventivas,2015-08-01,4,3,20,12,0,0,0,0,0,0,0,0,0,0,24,15,39
COLCAPIRHUA,atencion odontologica,medidas preventivas,2015-08-01,109,62,7,11,1,1,2,16,5,3,0,0,0,0,124,93,217
"COLCHA ""K""",atencion odontologica,medidas preventivas,2015-08-01,6,11,0,1,0,2,0,8,5,1,0,0,0,0,11,23,34
COLLANA,atencion odontologica,medidas preventivas,2015-08-01,8,2,0,0,0,0,0,0,1,0,0,0,0,0,9,2,11
COLOMI,atencion odontologica,medidas preventivas,2015-08-01,32,43,0,0,0,10,0,10,0,1,0,0,0,0,32,64,96
COLPA BELGICA,atencion odontologica,medidas preventivas,2015-08-01,78,46,120,108,0,0,0,0,0,0,0,0,0,0,198,154,352
COLQUECHACA,atencion odontologica,medidas preventivas,2015-08-01,27,16,0,3,0,5,1,7,2,2,0,0,0,0,30,33,63
COLQUENCHA,atencion odontologica,medidas preventivas,2015-08-01,0,0,12,8,7,6,0,0,0,0,0,0,0,0,19,14,33
COLQUIRI,atencion odontologica,medidas preventivas,2015-08-01,27,17,2,2,0,0,14,24,1,0,0,0,0,0,44,43,87
COMARAPA,atencion odontologica,medidas preventivas,2015-08-01,20,24,1,0,0,0,0,4,4,1,0,0,0,0,25,29,54
COMBAYA,atencion odontologica,medidas preventivas,2015-08-01,6,5,0,2,0,1,0,2,3,3,0,0,0,0,9,13,22
CONCEPCION,atencion odontologica,medidas preventivas,2015-08-01,12,13,0,1,0,0,0,0,0,0,0,0,0,0,12,14,26
COPACABANA,atencion odontologica,medidas preventivas,2015-08-01,11,10,5,0,0,2,0,2,0,0,0,0,0,0,16,14,30
CORIPATA,atencion odontologica,medidas preventivas,2015-08-01,7,7,2,0,0,1,0,0,0,0,0,0,0,0,9,8,17
CORO CORO,atencion odontologica,medidas preventivas,2015-08-01,1,7,1,2,0,0,0,1,0,0,0,0,0,0,2,10,12
COROICO,atencion odontologica,medidas preventivas,2015-08-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2
CORQUE,atencion odontologica,medidas preventivas,2015-08-01,19,22,32,31,0,2,0,0,0,0,0,0,0,0,51,55,106
COTAGAITA,atencion odontologica,medidas preventivas,2015-08-01,11,5,0,0,0,7,1,2,0,0,0,0,0,0,12,14,26
COTOCA,atencion odontologica,medidas preventivas,2015-08-01,135,190,0,3,3,3,0,8,1,1,0,0,0,0,139,205,344
CUATRO CAÑADAS,atencion odontologica,medidas preventivas,2015-08-01,131,84,4,12,0,2,0,13,0,0,0,0,0,0,135,111,246
CUEVO,atencion odontologica,medidas preventivas,2015-08-01,0,30,7,27,0,0,0,3,0,0,0,0,0,0,7,60,67
CULPINA,atencion odontologica,medidas preventivas,2015-08-01,24,9,1,5,0,3,0,5,1,0,0,0,0,0,26,22,48
CURAHUARA DE CARANGAS,atencion odontologica,medidas preventivas,2015-08-01,0,4,0,0,0,0,1,4,0,0,0,0,0,0,1,8,9
CURVA,atencion odontologica,medidas preventivas,2015-08-01,2,7,0,0,0,2,1,4,2,1,0,0,0,0,5,14,19
DESAGUADERO,atencion odontologica,medidas preventivas,2015-08-01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
EL ALTO,atencion odontologica,medidas preventivas,2015-08-01,957,948,1205,1428,474,584,209,414,51,25,0,0,0,0,2896,3399,6295
EL CHORO,atencion odontologica,medidas preventivas,2015-08-01,10,10,0,0,1,5,0,4,2,1,0,0,0,0,13,20,33
EL PUENTE(STC),atencion odontologica,medidas preventivas,2015-08-01,29,48,8,32,3,6,0,0,1,0,0,0,0,0,41,86,127
EL PUENTE(TJA),atencion odontologica,medidas preventivas,2015-08-01,3,9,4,2,1,3,3,8,4,1,0,0,0,0,15,23,38
EL TORNO,atencion odontologica,medidas preventivas,2015-08-01,95,118,54,60,11,22,20,56,8,11,0,0,0,0,188,267,455
EL VILLAR,atencion odontologica,medidas preventivas,2015-08-01,4,1,4,12,0,2,0,0,0,0,0,0,0,0,8,15,23
ENTRE RIOS TRJ,atencion odontologica,medidas preventivas,2015-08-01,13,17,27,31,5,11,2,5,1,0,0,0,0,0,48,64,112
ENTRE RIOS CBBA,atencion odontologica,medidas preventivas,2015-08-01,19,20,0,3,0,0,2,2,0,0,0,0,0,0,21,25,46
ESCOMA,atencion odontologica,medidas preventivas,2015-08-01,2,0,2,1,1,1,2,3,0,1,0,0,0,0,7,6,13
EUCALIPTUS,atencion odontologica,medidas preventivas,2015-08-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
FERNANDEZ ALONSO,atencion odontologica,medidas preventivas,2015-08-01,6,11,5,5,0,0,0,0,0,0,0,0,0,0,11,16,27
FILADELFIA,atencion odontologica,medidas preventivas,2015-08-01,18,12,1,1,0,4,1,4,1,0,0,0,0,0,21,21,42
GENERAL SAAVEDRA,atencion odontologica,medidas preventivas,2015-08-01,2,7,0,0,0,3,0,2,1,0,0,0,0,0,3,12,15
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,medidas preventivas,2015-08-01,25,16,4,4,0,3,0,4,1,0,0,0,0,0,30,27,57
GUANAY,atencion odontologica,medidas preventivas,2015-08-01,29,41,0,0,0,1,0,0,0,0,0,0,0,0,29,42,71
GUAQUI,atencion odontologica,medidas preventivas,2015-08-01,9,7,1,4,2,6,9,10,6,10,0,0,0,0,27,37,64
GUAYARAMERIN,atencion odontologica,medidas preventivas,2015-08-01,37,28,13,13,4,18,5,40,1,1,0,0,0,0,60,100,160
GUTIERREZ,atencion odontologica,medidas preventivas,2015-08-01,20,23,3,2,2,3,7,7,1,0,0,0,0,0,33,35,68
HUACARETA,atencion odontologica,medidas preventivas,2015-08-01,15,21,0,0,0,1,0,1,0,0,0,0,0,0,15,23,38
HUACAYA (VILLA DE HUACAYA),atencion odontologica,medidas preventivas,2015-08-01,23,30,4,2,0,2,0,4,0,0,0,0,0,0,27,38,65
HUACHACALLA,atencion odontologica,medidas preventivas,2015-08-01,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,6,6
HUANUNI,atencion odontologica,medidas preventivas,2015-08-01,23,39,41,68,15,27,97,64,16,9,0,0,0,0,192,207,399
HUARACAJE,atencion odontologica,medidas preventivas,2015-08-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
HUARINA,atencion odontologica,medidas preventivas,2015-08-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
HUATAJATA,atencion odontologica,medidas preventivas,2015-08-01,12,11,8,7,0,3,0,4,14,11,0,0,0,0,34,36,70
HUAYLLAMARCA,atencion odontologica,medidas preventivas,2015-08-01,2,4,23,13,49,38,0,0,0,0,0,0,0,0,74,55,129
HUMANATA,atencion odontologica,medidas preventivas,2015-08-01,16,18,0,0,0,0,0,0,0,0,0,0,0,0,16,18,34
ICHOCA,atencion odontologica,medidas preventivas,2015-08-01,4,10,1,0,0,2,0,5,0,1,0,0,0,0,5,18,23
ICLA,atencion odontologica,medidas preventivas,2015-08-01,159,166,9,18,5,9,0,15,0,0,0,0,0,0,173,208,381
INCAHUASI,atencion odontologica,medidas preventivas,2015-08-01,4,17,0,0,0,0,0,7,0,0,0,0,0,0,4,24,28
INQUISIVI,atencion odontologica,medidas preventivas,2015-08-01,5,9,0,2,3,0,0,0,0,0,0,0,0,0,8,11,19
IRUPANA (VILLA DE LANZA),atencion odontologica,medidas preventivas,2015-08-01,36,55,32,29,0,3,1,3,4,1,0,0,0,0,73,91,164
IXIAMAS,atencion odontologica,medidas preventivas,2015-08-01,7,0,2,1,1,2,1,27,0,1,0,0,0,0,11,31,42
JESUS DE MACHACA,atencion odontologica,medidas preventivas,2015-08-01,14,10,0,1,0,0,0,0,0,0,0,0,0,0,14,11,25
LA ASUNTA,atencion odontologica,medidas preventivas,2015-08-01,64,48,18,22,0,1,3,3,0,1,0,0,0,0,85,75,160
LA GUARDIA,atencion odontologica,medidas preventivas,2015-08-01,154,142,1,3,1,9,1,24,9,6,0,0,0,0,166,184,350
LA PAZ,atencion odontologica,medidas preventivas,2015-08-01,949,833,241,302,160,188,304,411,113,119,0,0,0,0,1767,1853,3620
LAJA,atencion odontologica,medidas preventivas,2015-08-01,17,15,20,26,0,3,1,4,0,0,0,0,0,0,38,48,86
LAS CARRERAS,atencion odontologica,medidas preventivas,2015-08-01,1,2,0,3,1,0,0,0,0,0,0,0,0,0,2,5,7
LICOMA PAMPA,atencion odontologica,medidas preventivas,2015-08-01,4,10,0,0,0,0,0,0,0,0,0,0,0,0,4,10,14
LLALLAGUA,atencion odontologica,medidas preventivas,2015-08-01,71,62,10,33,14,15,22,44,20,11,0,0,0,0,137,165,302
LLICA,atencion odontologica,medidas preventivas,2015-08-01,4,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
LURIBAY,atencion odontologica,medidas preventivas,2015-08-01,6,2,0,0,0,0,0,0,0,3,0,0,0,0,6,5,11
MACHACAMARCA,atencion odontologica,medidas preventivas,2015-08-01,18,11,10,1,13,13,1,6,4,2,0,0,0,0,46,33,79
MACHARETI,atencion odontologica,medidas preventivas,2015-08-01,20,23,147,86,0,6,1,19,0,0,0,0,0,0,168,134,302
MAGDALENA,atencion odontologica,medidas preventivas,2015-08-01,3,0,0,0,0,2,0,1,0,0,0,0,0,0,3,3,6
MAIRANA,atencion odontologica,medidas preventivas,2015-08-01,15,22,2,8,0,11,0,0,0,0,0,0,0,0,17,41,58
MALLA,atencion odontologica,medidas preventivas,2015-08-01,4,0,1,0,0,0,0,1,1,0,0,0,0,0,6,1,7
MAPIRI,atencion odontologica,medidas preventivas,2015-08-01,8,5,41,30,1,3,0,1,0,0,0,0,0,0,50,39,89
MECAPACA,atencion odontologica,medidas preventivas,2015-08-01,15,18,0,2,0,1,1,4,0,0,0,0,0,0,16,25,41
MINEROS,atencion odontologica,medidas preventivas,2015-08-01,6,2,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8
MIZQUE,atencion odontologica,medidas preventivas,2015-08-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
MOCOMOCO,atencion odontologica,medidas preventivas,2015-08-01,50,31,11,17,0,0,0,2,1,2,0,0,0,0,62,52,114
MOJINETE,atencion odontologica,medidas preventivas,2015-08-01,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2
MOJOCOYA,atencion odontologica,medidas preventivas,2015-08-01,9,18,3,11,0,2,0,5,3,0,0,0,0,0,15,36,51
MONTEAGUDO,atencion odontologica,medidas preventivas,2015-08-01,58,68,0,2,2,1,4,13,1,0,0,0,0,0,65,84,149
MONTERO,atencion odontologica,medidas preventivas,2015-08-01,165,123,131,190,19,53,8,80,9,15,0,0,0,0,332,461,793
MORO MORO,atencion odontologica,medidas preventivas,2015-08-01,9,3,0,0,0,1,0,1,0,0,0,0,0,0,9,5,14
MOROCHATA,atencion odontologica,medidas preventivas,2015-08-01,37,32,0,0,0,8,0,6,1,3,0,0,0,0,38,49,87
OCURI,atencion odontologica,medidas preventivas,2015-08-01,65,41,0,0,0,0,0,9,2,2,0,0,0,0,67,52,119
OKINAWA,atencion odontologica,medidas preventivas,2015-08-01,4,1,0,0,1,6,1,6,0,0,0,0,0,0,6,13,19
OMEREQUE,atencion odontologica,medidas preventivas,2015-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ORURO,atencion odontologica,medidas preventivas,2015-08-01,275,278,239,284,121,214,402,542,58,55,0,0,0,0,1095,1373,2468
PADCAYA,atencion odontologica,medidas preventivas,2015-08-01,11,1,8,17,6,11,2,3,0,0,0,0,0,0,27,32,59
PADILLA,atencion odontologica,medidas preventivas,2015-08-01,12,5,6,5,0,1,6,10,0,0,0,0,0,0,24,21,45
PAILON,atencion odontologica,medidas preventivas,2015-08-01,11,10,5,5,3,2,2,3,0,0,0,0,0,0,21,20,41
PALCA,atencion odontologica,medidas preventivas,2015-08-01,87,70,1,9,0,5,0,8,1,1,0,0,0,0,89,93,182
PALOS BLANCOS,atencion odontologica,medidas preventivas,2015-08-01,20,30,8,9,2,7,26,22,22,8,0,0,0,0,78,76,154
PAMPA AULLAGAS,atencion odontologica,medidas preventivas,2015-08-01,4,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,6
PAMPA GRANDE,atencion odontologica,medidas preventivas,2015-08-01,30,28,0,0,0,1,0,3,0,0,0,0,0,0,30,32,62
PAPEL PAMPA,atencion odontologica,medidas preventivas,2015-08-01,6,12,0,0,0,0,1,0,4,9,0,0,0,0,11,21,32
PASORAPA,atencion odontologica,medidas preventivas,2015-08-01,0,0,2,2,2,1,5,2,3,3,0,0,0,0,12,8,20
PATACAMAYA,atencion odontologica,medidas preventivas,2015-08-01,6,3,5,1,0,0,0,0,0,0,0,0,0,0,11,4,15
PAZÑA,atencion odontologica,medidas preventivas,2015-08-01,4,12,0,1,0,1,3,5,1,0,0,0,0,0,8,19,27
PELECHUCO,atencion odontologica,medidas preventivas,2015-08-01,7,8,0,0,0,0,0,8,0,0,0,0,0,0,7,16,23
POCOATA,atencion odontologica,medidas preventivas,2015-08-01,57,82,0,0,0,1,1,2,0,0,0,0,0,0,58,85,143
POCONA,atencion odontologica,medidas preventivas,2015-08-01,9,15,20,24,0,3,0,0,0,1,0,0,0,0,29,43,72
POJO (CBBA),atencion odontologica,medidas preventivas,2015-08-01,7,11,16,27,1,2,0,2,0,0,0,0,0,0,24,42,66
POOPO,atencion odontologica,medidas preventivas,2015-08-01,0,6,23,15,2,10,11,16,2,1,0,0,0,0,38,48,86
PORCO,atencion odontologica,medidas preventivas,2015-08-01,22,30,0,0,0,0,0,7,0,0,0,0,0,0,22,37,59
POROMA,atencion odontologica,medidas preventivas,2015-08-01,16,14,31,39,5,3,0,2,0,0,0,0,0,0,52,58,110
PORONGO,atencion odontologica,medidas preventivas,2015-08-01,57,60,33,27,0,5,1,16,28,16,0,0,0,0,119,124,243
