,group,variable,month,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA EMB,PRIMERA CONSULTA EMB,PRIMERA CONSULTA POST,PRIMERA CONSULTA POST,TOTALES,TOTALES,TOTALES
VILLA MONTES,atencion odontologica,primera consulta,2015-05-01,20,36,119,88,55,74,110,199,22,11,0,16,0,2,326,426,752
VILLA NUEVA (LOMA ALTA),atencion odontologica,primera consulta,2015-05-01,7,5,2,1,0,0,0,3,0,0,0,6,0,0,9,15,24
VILLA RIVERO,atencion odontologica,primera consulta,2015-05-01,3,3,3,0,0,2,6,2,2,1,0,3,0,8,14,19,33
VILLA SERRANO,atencion odontologica,primera consulta,2015-05-01,12,17,1,1,3,4,4,16,2,1,0,8,0,2,22,49,71
VILLA TUNARI,atencion odontologica,primera consulta,2015-05-01,74,78,36,54,14,60,57,125,4,2,0,40,0,50,185,409,594
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,primera consulta,2015-05-01,48,44,12,13,1,10,23,45,2,2,0,21,0,6,86,141,227
VILLAZON,atencion odontologica,primera consulta,2015-05-01,48,39,25,34,4,20,19,71,17,15,0,18,0,16,113,213,326
VINTO,atencion odontologica,primera consulta,2015-05-01,34,41,6,9,2,19,3,23,1,2,0,16,0,32,46,142,188
VITICHI,atencion odontologica,primera consulta,2015-05-01,2,8,15,13,6,6,11,35,4,10,0,6,0,13,38,91,129
WALDO BALLIVIAN,atencion odontologica,primera consulta,2015-05-01,2,0,0,1,1,0,1,0,1,0,0,0,0,9,5,10,15
WARNES,atencion odontologica,primera consulta,2015-05-01,24,15,13,19,4,15,14,28,10,9,0,5,0,9,65,100,165
YACO,atencion odontologica,primera consulta,2015-05-01,9,6,3,5,3,8,11,12,4,4,0,5,0,5,30,45,75
YACUIBA,atencion odontologica,primera consulta,2015-05-01,24,18,53,62,34,62,127,219,25,11,0,9,0,4,263,385,648
YAMPARAEZ,atencion odontologica,primera consulta,2015-05-01,39,15,4,8,4,9,15,29,3,3,0,21,0,5,65,90,155
YANACACHI,atencion odontologica,primera consulta,2015-05-01,1,4,6,3,1,1,10,9,0,0,0,3,0,3,18,23,41
YAPACANI,atencion odontologica,primera consulta,2015-05-01,55,42,11,7,11,40,16,63,9,8,0,45,0,42,102,247,349
YOCALLA,atencion odontologica,primera consulta,2015-05-01,6,10,3,4,3,6,8,11,3,1,0,1,0,5,23,38,61
YOTALA,atencion odontologica,primera consulta,2015-05-01,33,23,2,8,1,2,7,15,1,3,0,14,0,2,44,67,111
YUNCHARA,atencion odontologica,primera consulta,2015-05-01,9,5,29,20,8,13,21,52,5,1,0,8,0,0,72,99,171
ZUDAÑEZ,atencion odontologica,primera consulta,2015-05-01,21,20,2,5,2,9,8,26,1,2,0,19,0,3,34,84,118
ACACIO,atencion odontologica,primera consulta,2015-06-01,3,5,2,1,0,1,2,2,0,0,0,0,0,1,7,10,17
ACHACACHI,atencion odontologica,primera consulta,2015-06-01,49,72,10,17,11,22,33,81,33,34,0,44,0,18,136,288,424
ACHOCALLA,atencion odontologica,primera consulta,2015-06-01,14,18,8,5,2,6,10,27,2,1,0,10,0,7,36,74,110
AIQUILE,atencion odontologica,primera consulta,2015-06-01,19,27,4,6,0,3,6,4,5,4,0,5,0,4,34,53,87
ALALAY,atencion odontologica,primera consulta,2015-06-01,0,0,11,5,0,1,1,2,0,0,0,0,0,0,12,8,20
ALCALA,atencion odontologica,primera consulta,2015-06-01,13,9,4,7,2,10,3,22,0,2,0,8,0,7,22,65,87
ALTO BENI,atencion odontologica,primera consulta,2015-06-01,7,8,3,1,3,1,15,8,0,2,0,0,0,5,28,25,53
ANCORAIMES,atencion odontologica,primera consulta,2015-06-01,5,3,1,2,1,1,1,5,1,1,0,1,0,0,9,13,22
ANDAMARCA,atencion odontologica,primera consulta,2015-06-01,4,7,34,34,3,3,10,22,7,5,0,3,0,2,58,76,134
ANTEQUERA,atencion odontologica,primera consulta,2015-06-01,4,2,5,3,1,1,2,5,0,0,0,0,0,0,12,11,23
ANZALDO,atencion odontologica,primera consulta,2015-06-01,2,2,28,20,5,8,5,16,5,2,0,0,0,0,45,48,93
APOLO,atencion odontologica,primera consulta,2015-06-01,25,21,20,17,2,6,6,15,4,1,0,4,0,8,57,72,129
ARAMPAMPA,atencion odontologica,primera consulta,2015-06-01,14,14,1,1,0,3,7,7,1,1,0,18,0,21,23,65,88
ARANI,atencion odontologica,primera consulta,2015-06-01,3,5,5,2,1,4,7,12,3,1,0,2,0,5,19,31,50
ARBIETO,atencion odontologica,primera consulta,2015-06-01,19,25,4,2,0,6,5,11,4,3,0,5,0,6,32,58,90
ARQUE,atencion odontologica,primera consulta,2015-06-01,11,14,5,2,3,9,10,26,2,7,0,6,0,8,31,72,103
ASCENCION DE GUARAYOS,atencion odontologica,primera consulta,2015-06-01,4,0,9,8,2,5,10,14,1,3,0,4,0,9,26,43,69
ATOCHA,atencion odontologica,primera consulta,2015-06-01,18,15,49,59,16,27,50,66,4,4,0,5,0,4,137,180,317
AUCAPATA,atencion odontologica,primera consulta,2015-06-01,1,4,7,0,4,8,8,18,2,6,0,1,0,1,22,38,60
AYATA,atencion odontologica,primera consulta,2015-06-01,4,5,1,6,1,0,4,9,5,3,0,0,0,0,15,23,38
AYO AYO,atencion odontologica,primera consulta,2015-06-01,0,1,0,0,0,0,1,1,2,3,0,0,0,2,3,7,10
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,primera consulta,2015-06-01,6,8,3,4,7,8,7,12,6,5,0,5,0,6,29,48,77
AZURDUY,atencion odontologica,primera consulta,2015-06-01,15,11,7,2,2,4,14,30,1,2,0,17,0,2,39,68,107
BATALLAS,atencion odontologica,primera consulta,2015-06-01,13,17,8,14,2,9,14,15,9,9,0,1,0,7,46,72,118
BAURES,atencion odontologica,primera consulta,2015-06-01,0,1,15,15,5,6,27,23,1,1,0,0,0,0,48,46,94
BELEN DE ANDAMARCA,atencion odontologica,primera consulta,2015-06-01,1,1,1,0,1,2,1,5,3,1,0,2,0,2,7,13,20
BELEN DE URMIRI,atencion odontologica,primera consulta,2015-06-01,0,1,0,1,1,1,5,4,0,2,0,1,0,0,6,10,16
BELLA FLOR,atencion odontologica,primera consulta,2015-06-01,1,0,53,66,1,0,2,4,0,0,0,0,0,0,57,70,127
BERMEJO,atencion odontologica,primera consulta,2015-06-01,71,86,762,781,283,404,150,291,49,53,0,117,0,50,1315,1782,3097
BETANZOS,atencion odontologica,primera consulta,2015-06-01,22,39,11,19,8,17,39,68,23,15,0,9,0,8,103,175,278
BOLIVAR,atencion odontologica,primera consulta,2015-06-01,1,0,1,0,2,1,3,5,0,0,0,1,0,0,7,7,14
BOYUIBE,atencion odontologica,primera consulta,2015-06-01,2,3,3,4,2,2,3,11,1,1,0,2,0,0,11,23,34
BUENA VISTA,atencion odontologica,primera consulta,2015-06-01,6,18,11,3,2,3,8,23,4,5,0,7,0,5,31,64,95
CABEZAS,atencion odontologica,primera consulta,2015-06-01,47,52,13,11,11,18,26,71,10,5,0,49,0,6,107,212,319
CAIROMA,atencion odontologica,primera consulta,2015-06-01,8,7,3,3,0,10,6,11,0,1,0,7,0,6,17,45,62
"CAIZA ""D""",atencion odontologica,primera consulta,2015-06-01,5,8,6,3,6,4,11,26,2,9,0,7,0,2,30,59,89
CAJUATA,atencion odontologica,primera consulta,2015-06-01,15,22,45,28,6,8,16,29,11,8,0,6,0,16,93,117,210
CALACOTO,atencion odontologica,primera consulta,2015-06-01,4,8,0,0,1,3,5,2,4,1,0,0,0,0,14,14,28
CALAMARCA,atencion odontologica,primera consulta,2015-06-01,9,19,5,8,8,6,18,29,2,4,0,6,0,4,42,76,118
CAMARGO,atencion odontologica,primera consulta,2015-06-01,37,53,5,5,1,13,5,40,2,2,0,27,0,14,50,154,204
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,primera consulta,2015-06-01,10,4,4,4,0,6,4,7,5,12,0,4,0,2,23,39,62
CAMIRI,atencion odontologica,primera consulta,2015-06-01,70,104,8,17,7,28,42,126,6,5,0,52,0,8,133,340,473
CAPINOTA,atencion odontologica,primera consulta,2015-06-01,18,24,3,2,3,5,8,15,3,5,0,3,0,10,35,64,99
CAQUIAVIRI,atencion odontologica,primera consulta,2015-06-01,4,5,14,8,2,9,4,6,1,5,0,1,0,4,25,38,63
CARACOLLO,atencion odontologica,primera consulta,2015-06-01,11,12,34,33,14,16,23,30,3,7,0,5,0,1,85,104,189
CARANAVI,atencion odontologica,primera consulta,2015-06-01,37,39,43,34,12,14,17,47,7,14,0,14,0,28,116,190,306
CARAPARI,atencion odontologica,primera consulta,2015-06-01,8,3,21,27,14,18,29,40,2,4,0,1,0,2,74,95,169
CARIPUYO,atencion odontologica,primera consulta,2015-06-01,16,9,5,3,3,6,14,10,6,6,0,7,0,4,44,45,89
CARMEN RIVERO TORREZ,atencion odontologica,primera consulta,2015-06-01,4,6,10,15,0,4,12,15,2,4,0,6,0,2,28,52,80
CATACORA,atencion odontologica,primera consulta,2015-06-01,1,0,4,2,1,0,2,2,0,0,0,0,0,0,8,4,12
CHALLAPATA,atencion odontologica,primera consulta,2015-06-01,46,46,74,98,16,22,32,90,24,19,0,12,0,14,192,301,493
CHAQUI,atencion odontologica,primera consulta,2015-06-01,6,9,2,4,3,4,6,12,2,3,0,9,0,6,19,47,66
CHARAGUA,atencion odontologica,primera consulta,2015-06-01,39,38,25,14,25,29,24,41,5,8,0,23,0,12,118,165,283
CHARAÑA,atencion odontologica,primera consulta,2015-06-01,2,2,0,1,0,1,6,6,2,2,0,2,0,0,10,14,24
CHAYANTA,atencion odontologica,primera consulta,2015-06-01,18,21,12,7,5,18,17,49,5,8,0,17,0,18,57,138,195
CHIMORE,atencion odontologica,primera consulta,2015-06-01,23,31,11,17,12,22,9,34,4,1,0,10,0,23,59,138,197
CHIPAYA,atencion odontologica,primera consulta,2015-06-01,0,2,1,0,3,0,4,6,0,1,0,1,0,0,8,10,18
CHOQUE COTA,atencion odontologica,primera consulta,2015-06-01,1,2,3,3,4,3,2,2,2,1,0,0,0,0,12,11,23
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,primera consulta,2015-06-01,10,11,6,12,1,2,2,13,17,8,0,6,0,2,36,54,90
CHUMA,atencion odontologica,primera consulta,2015-06-01,15,19,22,32,9,10,25,32,9,9,0,6,0,4,80,112,192
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,primera consulta,2015-06-01,2,5,1,1,0,0,0,5,0,0,0,1,0,2,3,14,17
CKOCHAS,atencion odontologica,primera consulta,2015-06-01,7,12,3,6,6,6,10,16,1,1,0,1,0,4,27,46,73
CLIZA,atencion odontologica,primera consulta,2015-06-01,7,9,17,6,2,4,4,26,8,5,0,4,0,6,38,60,98
COBIJA,atencion odontologica,primera consulta,2015-06-01,119,117,31,68,20,49,74,151,15,6,0,76,0,21,259,488,747
COCAPATA,atencion odontologica,primera consulta,2015-06-01,33,33,61,45,18,31,35,26,5,8,0,8,0,15,152,166,318
COCHABAMBA,atencion odontologica,primera consulta,2015-06-01,622,608,320,327,122,225,734,1202,92,97,0,363,0,168,1890,2990,4880
COIPASA,atencion odontologica,primera consulta,2015-06-01,2,1,0,2,0,1,0,1,0,0,0,0,0,0,2,5,7
COLCAPIRHUA,atencion odontologica,primera consulta,2015-06-01,39,70,5,10,2,11,6,42,7,7,0,21,0,12,59,173,232
"COLCHA ""K""",atencion odontologica,primera consulta,2015-06-01,5,8,10,6,4,4,17,22,5,3,0,13,0,2,41,58,99
COLLANA,atencion odontologica,primera consulta,2015-06-01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2
COLOMI,atencion odontologica,primera consulta,2015-06-01,23,21,0,1,1,5,1,13,10,12,0,15,0,12,35,79,114
COLPA BELGICA,atencion odontologica,primera consulta,2015-06-01,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,2,3
COLQUECHACA,atencion odontologica,primera consulta,2015-06-01,48,65,18,29,18,28,42,93,48,56,0,21,0,32,174,324,498
COLQUENCHA,atencion odontologica,primera consulta,2015-06-01,8,5,7,14,5,11,13,13,0,0,0,0,0,0,33,43,76
COLQUIRI,atencion odontologica,primera consulta,2015-06-01,8,9,14,8,11,13,17,29,4,2,0,0,0,2,54,63,117
COMANCHE,atencion odontologica,primera consulta,2015-06-01,2,1,3,1,0,1,6,5,6,1,0,1,0,1,17,11,28
COMARAPA,atencion odontologica,primera consulta,2015-06-01,6,8,10,12,5,4,5,16,7,2,0,3,0,10,33,55,88
COMBAYA,atencion odontologica,primera consulta,2015-06-01,1,1,0,0,0,0,0,2,2,4,0,0,0,1,3,8,11
CONCEPCION,atencion odontologica,primera consulta,2015-06-01,20,25,9,15,4,8,21,45,6,1,0,17,0,0,60,111,171
COPACABANA,atencion odontologica,primera consulta,2015-06-01,38,49,5,11,3,5,8,31,3,2,0,7,0,4,57,109,166
CORIPATA,atencion odontologica,primera consulta,2015-06-01,11,3,3,6,2,4,5,20,1,11,0,9,0,0,22,53,75
CORO CORO,atencion odontologica,primera consulta,2015-06-01,2,3,2,2,1,5,8,8,2,3,0,0,0,3,15,24,39
COROICO,atencion odontologica,primera consulta,2015-06-01,2,1,1,0,1,1,1,1,1,1,0,0,0,0,6,4,10
CORQUE,atencion odontologica,primera consulta,2015-06-01,6,6,1,3,1,1,10,6,2,1,0,7,0,0,20,24,44
COTAGAITA,atencion odontologica,primera consulta,2015-06-01,9,8,12,14,10,15,18,28,28,45,0,3,0,3,77,116,193
COTOCA,atencion odontologica,primera consulta,2015-06-01,105,89,24,14,10,34,52,211,15,6,0,61,0,12,206,427,633
CUATRO CAÑADAS,atencion odontologica,primera consulta,2015-06-01,64,77,5,11,2,3,11,26,3,5,0,20,0,11,85,153,238
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,primera consulta,2015-06-01,0,0,0,1,0,0,0,4,1,3,0,2,0,0,1,10,11
CUEVO,atencion odontologica,primera consulta,2015-06-01,9,6,5,4,7,9,7,21,2,1,0,9,0,3,30,53,83
CULPINA,atencion odontologica,primera consulta,2015-06-01,14,14,15,19,11,13,39,58,8,9,0,39,0,7,87,159,246
CURAHUARA DE CARANGAS,atencion odontologica,primera consulta,2015-06-01,5,3,2,4,3,5,13,8,1,3,0,0,0,1,24,24,48
CURVA,atencion odontologica,primera consulta,2015-06-01,4,3,3,1,0,2,5,2,2,0,0,1,0,0,14,9,23
DESAGUADERO,atencion odontologica,primera consulta,2015-06-01,20,28,15,10,22,18,18,22,45,53,0,15,0,12,120,158,278
EL ALTO,atencion odontologica,primera consulta,2015-06-01,826,793,1291,1568,331,500,227,864,79,71,0,379,0,179,2754,4354,7108
EL CHORO,atencion odontologica,primera consulta,2015-06-01,5,4,2,3,0,2,1,11,2,0,0,4,0,5,10,29,39
EL PUENTE(STC),atencion odontologica,primera consulta,2015-06-01,18,17,40,39,9,15,21,43,12,8,0,8,0,6,100,136,236
EL PUENTE(TJA),atencion odontologica,primera consulta,2015-06-01,12,17,44,43,10,21,26,89,6,8,0,3,0,1,98,182,280
EL TORNO,atencion odontologica,primera consulta,2015-06-01,70,60,57,51,31,37,26,90,22,13,0,24,0,13,206,288,494
EL VILLAR,atencion odontologica,primera consulta,2015-06-01,10,6,1,21,6,6,4,13,0,1,0,5,0,8,21,60,81
ENTRE RIOS TRJ,atencion odontologica,primera consulta,2015-06-01,72,79,128,86,47,55,37,69,9,14,0,18,0,2,293,323,616
ENTRE RIOS CBBA,atencion odontologica,primera consulta,2015-06-01,15,26,0,2,0,8,1,14,1,0,0,9,0,9,17,68,85
ESCOMA,atencion odontologica,primera consulta,2015-06-01,7,3,3,3,0,8,10,20,10,3,0,0,0,0,30,37,67
EUCALIPTUS,atencion odontologica,primera consulta,2015-06-01,4,7,32,15,2,5,11,15,3,1,0,2,0,1,52,46,98
FERNANDEZ ALONSO,atencion odontologica,primera consulta,2015-06-01,9,12,6,12,2,9,3,10,7,2,0,4,0,7,27,56,83
FILADELFIA,atencion odontologica,primera consulta,2015-06-01,9,6,5,1,2,1,3,8,0,0,0,2,0,0,19,18,37
GENERAL SAAVEDRA,atencion odontologica,primera consulta,2015-06-01,17,15,4,1,3,6,0,11,11,8,0,4,0,4,35,49,84
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,primera consulta,2015-06-01,12,14,10,5,3,4,8,15,3,7,0,10,0,4,36,59,95
GUANAY,atencion odontologica,primera consulta,2015-06-01,7,1,0,1,4,5,5,14,4,5,0,3,0,2,20,31,51
GUAQUI,atencion odontologica,primera consulta,2015-06-01,31,25,7,9,9,17,6,37,8,13,0,8,0,7,61,116,177
GUAYARAMERIN,atencion odontologica,primera consulta,2015-06-01,25,32,51,45,29,53,17,96,16,5,0,81,0,2,138,314,452
GUTIERREZ,atencion odontologica,primera consulta,2015-06-01,22,24,7,4,6,9,22,44,16,7,0,24,0,23,73,135,208
HUACARETA,atencion odontologica,primera consulta,2015-06-01,8,14,3,1,1,6,6,24,2,5,0,22,0,3,20,75,95
HUACAYA (VILLA DE HUACAYA),atencion odontologica,primera consulta,2015-06-01,6,9,3,5,1,5,8,15,1,2,0,6,0,2,19,44,63
HUACHACALLA,atencion odontologica,primera consulta,2015-06-01,1,1,3,3,1,1,0,12,2,2,0,1,0,2,7,22,29
HUANUNI,atencion odontologica,primera consulta,2015-06-01,16,27,37,45,16,20,40,33,7,4,0,4,0,1,116,134,250
HUARINA,atencion odontologica,primera consulta,2015-06-01,0,1,0,3,0,1,5,5,2,4,0,0,0,0,7,14,21
HUATAJATA,atencion odontologica,primera consulta,2015-06-01,2,2,8,0,0,1,5,6,6,4,0,0,0,6,21,19,40
HUAYLLAMARCA,atencion odontologica,primera consulta,2015-06-01,3,2,25,38,17,21,14,19,10,6,0,1,0,1,69,88,157
HUMANATA,atencion odontologica,primera consulta,2015-06-01,17,16,1,4,1,4,7,17,30,40,0,4,0,13,56,98,154
ICHOCA,atencion odontologica,primera consulta,2015-06-01,3,2,1,2,0,1,4,5,6,2,0,0,0,3,14,15,29
ICLA,atencion odontologica,primera consulta,2015-06-01,11,14,13,10,9,10,9,30,2,3,0,28,0,5,44,100,144
INCAHUASI,atencion odontologica,primera consulta,2015-06-01,91,76,4,10,3,12,13,46,0,3,0,22,0,12,111,181,292
INQUISIVI,atencion odontologica,primera consulta,2015-06-01,4,2,4,3,3,3,9,8,3,2,0,4,0,2,23,24,47
IRUPANA (VILLA DE LANZA),atencion odontologica,primera consulta,2015-06-01,18,25,5,6,3,6,8,20,8,1,0,9,0,6,42,73,115
IXIAMAS,atencion odontologica,primera consulta,2015-06-01,2,1,0,1,2,4,5,9,0,1,0,1,0,1,9,18,27
JESUS DE MACHACA,atencion odontologica,primera consulta,2015-06-01,14,16,13,18,12,12,19,34,13,7,0,2,0,8,71,97,168
LA ASUNTA,atencion odontologica,primera consulta,2015-06-01,28,22,30,28,12,22,32,69,5,2,0,5,0,22,107,170,277
LA GUARDIA,atencion odontologica,primera consulta,2015-06-01,73,56,15,8,3,28,8,56,9,9,0,32,0,29,108,218,326
LA PAZ,atencion odontologica,primera consulta,2015-06-01,1177,1149,546,656,424,559,543,1226,267,337,0,394,0,186,2957,4507,7464
LAGUNILLAS,atencion odontologica,primera consulta,2015-06-01,5,6,7,4,4,6,7,22,1,0,0,2,0,0,24,40,64
LAJA,atencion odontologica,primera consulta,2015-06-01,27,26,10,7,6,17,14,32,4,10,0,14,0,5,61,111,172
LAS CARRERAS,atencion odontologica,primera consulta,2015-06-01,8,6,6,5,1,8,14,23,0,3,0,8,0,1,29,54,83
LICOMA PAMPA,atencion odontologica,primera consulta,2015-06-01,0,2,0,1,3,3,5,4,1,0,0,1,0,1,9,12,21
LLALLAGUA,atencion odontologica,primera consulta,2015-06-01,219,210,72,65,10,21,16,96,18,18,0,33,0,43,335,486,821
LLICA,atencion odontologica,primera consulta,2015-06-01,4,2,5,6,1,2,11,17,3,1,0,1,0,0,24,29,53
LURIBAY,atencion odontologica,primera consulta,2015-06-01,11,11,7,3,3,3,11,20,4,2,0,2,0,1,36,42,78
MACHACAMARCA,atencion odontologica,primera consulta,2015-06-01,13,15,10,24,4,2,17,17,8,4,0,5,0,1,52,68,120
MACHARETI,atencion odontologica,primera consulta,2015-06-01,15,19,3,6,8,12,10,24,0,4,0,13,0,7,36,85,121
MAGDALENA,atencion odontologica,primera consulta,2015-06-01,7,6,12,8,1,7,8,10,0,1,0,4,0,2,28,38,66
MAIRANA,atencion odontologica,primera consulta,2015-06-01,6,4,0,0,1,3,4,16,2,0,0,25,0,2,13,50,63
MALLA,atencion odontologica,primera consulta,2015-06-01,0,1,16,21,0,0,0,0,0,0,0,0,0,0,16,22,38
MAPIRI,atencion odontologica,primera consulta,2015-06-01,14,9,4,5,3,11,12,34,1,2,0,4,0,3,34,68,102
MECAPACA,atencion odontologica,primera consulta,2015-06-01,12,10,4,3,3,2,4,9,5,3,0,3,0,5,28,35,63
MINEROS,atencion odontologica,primera consulta,2015-06-01,4,4,0,0,0,1,0,1,0,0,0,0,0,0,4,6,10
MIZQUE,atencion odontologica,primera consulta,2015-06-01,20,21,7,5,4,4,8,25,7,6,0,2,0,7,46,70,116
MOCOMOCO,atencion odontologica,primera consulta,2015-06-01,1,3,20,24,11,19,22,17,10,6,0,2,0,6,64,77,141
MOJINETE,atencion odontologica,primera consulta,2015-06-01,0,2,3,1,1,2,2,0,0,0,0,0,0,0,6,5,11
MOJOCOYA,atencion odontologica,primera consulta,2015-06-01,13,16,10,15,9,16,8,19,5,3,0,11,0,2,45,82,127
MONTEAGUDO,atencion odontologica,primera consulta,2015-06-01,87,71,19,16,17,27,33,112,7,4,0,71,0,10,163,311,474
MONTERO,atencion odontologica,primera consulta,2015-06-01,104,96,87,78,23,33,131,272,12,8,0,77,0,23,357,587,944
MORO MORO,atencion odontologica,primera consulta,2015-06-01,5,4,1,6,1,1,8,7,1,1,0,1,0,0,16,20,36
MOROCHATA,atencion odontologica,primera consulta,2015-06-01,24,27,5,2,2,8,8,29,10,6,0,12,0,5,49,89,138
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,primera consulta,2015-06-01,1,8,0,1,1,0,0,0,2,0,0,3,0,0,4,12,16
OCURI,atencion odontologica,primera consulta,2015-06-01,20,31,7,3,10,7,16,51,6,9,0,14,0,16,59,131,190
OKINAWA,atencion odontologica,primera consulta,2015-06-01,12,8,6,4,0,5,0,13,5,3,0,0,0,0,23,33,56
ORURO,atencion odontologica,primera consulta,2015-06-01,220,210,184,187,104,147,288,562,74,72,0,147,0,44,870,1369,2239
PADCAYA,atencion odontologica,primera consulta,2015-06-01,38,39,137,128,99,87,91,102,3,5,0,4,0,0,368,365,733
PADILLA,atencion odontologica,primera consulta,2015-06-01,7,11,5,10,8,8,26,28,4,3,0,13,0,3,50,76,126
PAILON,atencion odontologica,primera consulta,2015-06-01,19,20,90,49,18,14,44,31,2,1,0,13,0,4,173,132,305
PALCA,atencion odontologica,primera consulta,2015-06-01,25,17,48,34,7,8,29,47,12,10,0,8,0,14,121,138,259
PALOS BLANCOS,atencion odontologica,primera consulta,2015-06-01,38,36,22,23,9,15,14,60,12,4,0,6,0,10,95,154,249
PAMPA AULLAGAS,atencion odontologica,primera consulta,2015-06-01,2,1,1,3,1,1,4,4,1,0,0,2,0,2,9,13,22
PAMPA GRANDE,atencion odontologica,primera consulta,2015-06-01,21,19,3,0,0,1,0,7,1,0,0,5,0,3,25,35,60
PAPEL PAMPA,atencion odontologica,primera consulta,2015-06-01,9,10,7,5,5,3,6,23,7,6,0,3,0,4,34,54,88
PASORAPA,atencion odontologica,primera consulta,2015-06-01,3,2,4,3,0,0,1,10,0,0,0,0,0,0,8,15,23
PATACAMAYA,atencion odontologica,primera consulta,2015-06-01,10,8,2,6,3,4,2,10,1,3,0,3,0,6,18,40,58
PAZÑA,atencion odontologica,primera consulta,2015-06-01,9,15,0,4,1,6,2,7,0,0,0,2,0,1,12,35,47
PELECHUCO,atencion odontologica,primera consulta,2015-06-01,13,19,9,7,2,7,12,20,3,1,0,1,0,0,39,55,94
POCOATA,atencion odontologica,primera consulta,2015-06-01,73,108,11,12,1,3,14,18,12,8,0,18,0,34,111,201,312
POCONA,atencion odontologica,primera consulta,2015-06-01,14,25,61,48,4,16,4,19,0,2,0,9,0,12,83,131,214
POJO (CBBA),atencion odontologica,primera consulta,2015-06-01,10,6,37,39,4,7,4,9,3,0,0,8,0,2,58,71,129
POOPO,atencion odontologica,primera consulta,2015-06-01,5,5,14,8,0,9,16,23,12,15,0,0,0,0,47,60,107
PORCO,atencion odontologica,primera consulta,2015-06-01,26,13,3,5,3,10,2,19,0,2,0,0,0,3,34,52,86
POROMA,atencion odontologica,primera consulta,2015-06-01,19,14,51,60,6,15,15,41,5,2,0,26,0,3,96,161,257
PORONGO,atencion odontologica,primera consulta,2015-06-01,21,22,1,1,0,2,2,11,6,3,0,2,0,8,30,49,79
PORTACHUELO,atencion odontologica,primera consulta,2015-06-01,2,5,3,9,5,6,7,15,2,1,0,5,0,0,19,41,60
PORVENIR,atencion odontologica,primera consulta,2015-06-01,11,17,1,3,5,3,7,34,3,2,0,11,0,10,27,80,107
POSTRER VALLE,atencion odontologica,primera consulta,2015-06-01,5,4,3,1,1,0,3,2,0,0,0,0,0,0,12,7,19
POTOSI,atencion odontologica,primera consulta,2015-06-01,187,196,119,133,162,214,172,418,31,26,0,124,0,69,671,1180,1851
PRESTO,atencion odontologica,primera consulta,2015-06-01,20,24,4,4,4,7,7,22,2,2,0,10,0,1,37,70,107
PUCARA,atencion odontologica,primera consulta,2015-06-01,3,5,2,1,1,1,2,5,0,1,0,0,0,0,8,13,21
PUCARANI,atencion odontologica,primera consulta,2015-06-01,15,14,82,78,14,23,17,60,16,12,0,12,0,9,144,208,352
PUERTO ACOSTA,atencion odontologica,primera consulta,2015-06-01,5,4,5,6,5,2,6,6,1,8,0,1,0,0,22,27,49
PUERTO CARABUCO,atencion odontologica,primera consulta,2015-06-01,10,4,18,10,8,12,10,17,5,8,0,6,0,4,51,61,112
PUERTO GONZALO MORENO,atencion odontologica,primera consulta,2015-06-01,17,23,21,14,2,8,7,12,0,1,0,4,0,11,47,73,120
PUERTO PEREZ,atencion odontologica,primera consulta,2015-06-01,9,9,1,4,1,3,6,21,14,15,0,4,0,3,31,59,90
PUERTO QUIJARRO,atencion odontologica,primera consulta,2015-06-01,18,19,4,5,2,2,57,20,0,1,0,6,0,1,81,54,135
PUERTO RICO,atencion odontologica,primera consulta,2015-06-01,7,3,17,15,6,8,12,6,0,1,0,5,0,3,42,41,83
PUERTO SUAREZ,atencion odontologica,primera consulta,2015-06-01,7,15,5,4,4,7,7,25,3,2,0,11,0,4,26,68,94
PUERTO VILLARROEL,atencion odontologica,primera consulta,2015-06-01,46,37,16,11,8,17,25,42,3,3,0,15,0,15,98,140,238
PUNA,atencion odontologica,primera consulta,2015-06-01,9,7,12,7,8,13,23,55,5,5,0,5,0,15,57,107,164
PUNATA,atencion odontologica,primera consulta,2015-06-01,12,9,4,10,3,8,5,23,5,6,0,8,0,4,29,68,97
QUIABAYA,atencion odontologica,primera consulta,2015-06-01,7,6,62,49,4,7,14,13,6,1,0,5,0,18,93,99,192
