,group,variable,month,O.P.V. 2DA DOSIS,O.P.V. 2DA DOSIS,O.P.V. 2DA DOSIS,O.P.V. 2DA DOSIS,TOTALES,TOTALES,TOTALES
TEOPONTE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,7,10,0,0,7,10,17
TIAWANACU,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,5,11,0,0,5,11,16
TINGUIPAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,7,41,0,0,7,41,48
TIPUANI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,24,8,0,0,24,8,32
TIQUIPAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,84,10,0,0,84,10,94
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,80,22,0,0,80,22,102
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,1,2,0,0,1,2,3
TOCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,3,2,0,0,3,2,5
TOLATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,4,4,0,0,4,4,8
TOLEDO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,6,2,0,0,6,2,8
TOMAVE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,2,12,0,0,2,12,14
TOMINA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,12,6,0,0,12,6,18
TORO TORO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,9,18,0,0,9,18,27
TOTORA(CBBA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,19,8,0,0,19,8,27
TOTORA(ORR),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,7,1,0,0,7,1,8
TRIGAL,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,1,1,0,0,1,1,2
TRINIDAD,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,201,7,0,0,201,7,208
TUPIZA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,60,25,0,0,60,25,85
TURCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,5,3,0,0,5,3,8
UMALA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,0,9,0,0,0,9,9
UNCIA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,27,38,0,0,27,38,65
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,10,5,0,0,10,5,15
URUBICHA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,13,0,0,0,13,0,13
UYUNI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,11,15,0,0,11,15,26
VACAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,9,9,0,0,9,9,18
VALLEGRANDE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,23,0,0,0,23,0,23
VIACHA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,34,43,0,0,34,43,77
VILA VILA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,1,6,0,0,1,6,7
VILLA MONTES,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,59,44,0,0,59,44,103
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,1,2,0,0,1,2,3
VILLA RIVERO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,2,4,0,0,2,4,6
VILLA SERRANO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,18,2,0,0,18,2,20
VILLA TUNARI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,112,50,0,0,112,50,162
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,9,8,0,0,9,8,17
VILLAZON,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,56,11,0,0,56,11,67
VINTO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,38,12,0,0,38,12,50
VITICHI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,2,6,0,0,2,6,8
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,1,1,0,0,1,1,2
WARNES,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,101,36,0,0,101,36,137
YACO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,5,4,0,0,5,4,9
YACUIBA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,138,23,0,0,138,23,161
YAMPARAEZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,7,3,0,0,7,3,10
YANACACHI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,5,3,0,0,5,3,8
YAPACANI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,74,27,0,0,74,27,101
YOCALLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,2,14,0,0,2,14,16
YOTALA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,14,5,0,0,14,5,19
YUNCHARA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,1,4,0,0,1,4,5
ZUDAÑEZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-07-01,6,8,0,0,6,8,14
ACACIO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,4,7,0,0,4,7,11
ACHACACHI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,18,84,0,0,18,84,102
ACHOCALLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,4,18,0,0,4,18,22
AIQUILE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,26,10,0,0,26,10,36
ALALAY,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,2,2,0,0,2,2,4
ALCALA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,1,1,0,0,1,1,2
ANCORAIMES,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,1,17,0,0,1,17,18
ANDAMARCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,2,4,0,0,2,4,6
ANTEQUERA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,7,1,0,0,7,1,8
ANZALDO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,3,12,0,0,3,12,15
APOLO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,12,33,0,0,12,33,45
ARAMPAMPA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,3,8,0,0,3,8,11
ARANI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,10,7,0,0,10,7,17
ARBIETO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,3,14,0,0,3,14,17
ARQUE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,12,8,0,0,12,8,20
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,94,1,0,0,94,1,95
ATOCHA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,15,11,0,0,15,11,26
AUCAPATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,5,9,0,0,5,9,14
AYATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,8,13,0,0,8,13,21
AYO AYO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,4,14,0,0,4,14,18
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,31,34,0,0,31,34,65
AZURDUY,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,9,17,0,0,9,17,26
BATALLAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,24,18,0,0,24,18,42
BAURES,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,11,2,0,0,11,2,13
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,1,0,0,0,1,0,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,1,0,0,0,1,0,1
BELLA FLOR,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,0,8,0,0,0,8,8
BERMEJO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,51,14,0,0,51,14,65
BETANZOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,28,38,0,0,28,38,66
BOLIVAR,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,1,17,0,0,1,17,18
BOYUIBE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,6,2,0,0,6,2,8
BUENA VISTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,28,8,0,0,28,8,36
CABEZAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,27,17,0,0,27,17,44
CAIROMA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,7,17,0,0,7,17,24
"CAIZA ""D""",vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,2,16,0,0,2,16,18
CAJUATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,7,6,0,0,7,6,13
CALACOTO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,1,7,0,0,1,7,8
CALAMARCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,14,8,0,0,14,8,22
CAMARGO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,11,13,0,0,11,13,24
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,3,1,0,0,3,1,4
CAMIRI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,46,5,0,0,46,5,51
CAPINOTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,14,21,0,0,14,21,35
CAQUIAVIRI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,0,10,0,0,0,10,10
CARACOLLO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,15,14,0,0,15,14,29
CARANAVI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,99,28,0,0,99,28,127
CARAPARI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,13,9,0,0,13,9,22
CARIPUYO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,5,18,0,0,5,18,23
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,4,7,0,0,4,7,11
CHACARILLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,1,3,0,0,1,3,4
CHALLAPATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,23,31,0,0,23,31,54
CHAQUI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,8,5,0,0,8,5,13
CHARAGUA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,39,77,0,0,39,77,116
CHARAÑA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,0,6,0,0,0,6,6
CHAYANTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,13,24,0,0,13,24,37
CHIMORE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,28,5,0,0,28,5,33
CHIPAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,5,0,0,0,5,0,5
CHOQUE COTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,17,14,0,0,17,14,31
CHUMA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,11,18,0,0,11,18,29
CLIZA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,27,15,0,0,27,15,42
COBIJA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,86,28,0,0,86,28,114
COCHABAMBA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,1285,47,0,0,1285,47,1332
COIPASA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,1,0,0,0,1,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,104,16,0,0,104,16,120
"COLCHA ""K""",vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,20,9,0,0,20,9,29
COLLANA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,1,3,0,0,1,3,4
COLOMI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,19,17,0,0,19,17,36
COLPA BELGICA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,14,5,0,0,14,5,19
COLQUECHACA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,18,70,0,0,18,70,88
COLQUENCHA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,7,8,0,0,7,8,15
COLQUIRI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,10,26,0,0,10,26,36
COMANCHE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,2,1,0,0,2,1,3
COMARAPA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,22,18,0,0,22,18,40
COMBAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,0,5,0,0,0,5,5
CONCEPCION,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,53,8,0,0,53,8,61
COPACABANA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,5,11,0,0,5,11,16
CORIPATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,27,11,0,0,27,11,38
CORO CORO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,6,5,0,0,6,5,11
COROICO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,9,17,0,0,9,17,26
CORQUE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,8,0,0,0,8,0,8
COTAGAITA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,20,28,0,0,20,28,48
COTOCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,104,12,0,0,104,12,116
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,25,14,0,0,25,14,39
CUEVO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,3,3,0,0,3,3,6
CULPINA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,23,16,0,0,23,16,39
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,6,6,0,0,6,6,12
CURVA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,1,5,0,0,1,5,6
DESAGUADERO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,9,4,0,0,9,4,13
EL ALTO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,1472,228,0,0,1472,228,1700
EL CHORO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,2,3,0,0,2,3,5
EL PUENTE(STC),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,20,14,0,0,20,14,34
EL PUENTE(TJA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,7,6,0,0,7,6,13
EL TORNO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,104,14,0,0,104,14,118
EL VILLAR,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,6,4,0,0,6,4,10
ENTRE RIOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,41,12,0,0,41,12,53
ENTRE RIOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,27,15,0,0,27,15,42
ESCARA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,0,1,0,0,0,1,1
EUCALIPTUS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,11,5,0,0,11,5,16
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,1,0,0,0,1,0,1
EXALTACION,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,5,3,0,0,5,3,8
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,28,6,0,0,28,6,34
FILADELFIA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,4,3,0,0,4,3,7
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,23,0,0,0,23,0,23
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,2,22,0,0,2,22,24
GUANAY,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,19,16,0,0,19,16,35
GUAQUI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,1,12,0,0,1,12,13
GUAYARAMERIN,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,82,35,0,0,82,35,117
GUTIERREZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,19,13,0,0,19,13,32
HUACARETA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,13,11,0,0,13,11,24
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,1,6,0,0,1,6,7
HUANUNI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,61,7,0,0,61,7,68
HUARACAJE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,5,0,0,0,5,0,5
HUAYLLAMARCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,4,9,0,0,4,9,13
ICHOCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,2,16,0,0,2,16,18
ICLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,6,7,0,0,6,7,13
INCAHUASI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,18,23,0,0,18,23,41
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,3,0,0,0,3,0,3
INQUISIVI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,5,22,0,0,5,22,27
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,10,27,0,0,10,27,37
IXIAMAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,10,4,0,0,10,4,14
JESUS DE MACHACA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,27,8,0,0,27,8,35
LA ASUNTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,46,31,0,0,46,31,77
LA GUARDIA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,110,2,0,0,110,2,112
LA PAZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,1358,32,0,0,1358,32,1390
LAGUNILLAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,12,10,0,0,12,10,22
LAJA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,10,18,0,0,10,18,28
LAS CARRERAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,2,1,0,0,2,1,3
LICOMA PAMPA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,1,0,0,0,1,0,1
LLALLAGUA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,17,8,0,0,17,8,25
LLICA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,4,2,0,0,4,2,6
LORETO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,2,13,0,0,2,13,15
LURIBAY,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,6,9,0,0,6,9,15
MACHACAMARCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,6,0,0,0,6,0,6
MACHARETI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,10,3,0,0,10,3,13
MAGDALENA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,20,25,0,0,20,25,45
MAIRANA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,14,5,0,0,14,5,19
MALLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,0,6,0,0,0,6,6
MAPIRI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,8,22,0,0,8,22,30
MECAPACA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,8,5,0,0,8,5,13
MINEROS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,59,16,0,0,59,16,75
MIZQUE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,27,49,0,0,27,49,76
MOCOMOCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,1,18,0,0,1,18,19
MOJOCOYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,8,2,0,0,8,2,10
MONTEAGUDO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,30,6,0,0,30,6,36
MONTERO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,230,18,0,0,230,18,248
MORO MORO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,2,3,0,0,2,3,5
MOROCHATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,28,77,0,0,28,77,105
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,1,2,0,0,1,2,3
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,2,1,0,0,2,1,3
OCURI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,7,26,0,0,7,26,33
OKINAWA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,26,19,0,0,26,19,45
OMEREQUE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,4,8,0,0,4,8,12
ORURO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,465,47,0,0,465,47,512
PADCAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,15,9,0,0,15,9,24
PADILLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,9,2,0,0,9,2,11
PAILON,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,39,78,0,0,39,78,117
PALCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,5,24,0,0,5,24,29
PALOS BLANCOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,53,19,0,0,53,19,72
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,2,3,0,0,2,3,5
PAMPA GRANDE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,13,2,0,0,13,2,15
PAPEL PAMPA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,1,3,0,0,1,3,4
PASORAPA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,0,6,0,0,0,6,6
PATACAMAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,11,10,0,0,11,10,21
PAZÑA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,4,4,0,0,4,4,8
PELECHUCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,9,17,0,0,9,17,26
POCOATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,11,51,0,0,11,51,62
POCONA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,8,10,0,0,8,10,18
POJO (CBBA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,20,10,0,0,20,10,30
POOPO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,11,3,0,0,11,3,14
PORCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,35,7,0,0,35,7,42
POROMA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,11,33,0,0,11,33,44
PORONGO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,6,14,0,0,6,14,20
PORTACHUELO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,44,7,0,0,44,7,51
PORVENIR,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,9,7,0,0,9,7,16
POSTRER VALLE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,2,1,0,0,2,1,3
POTOSI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,437,30,0,0,437,30,467
PRESTO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,5,6,0,0,5,6,11
PUCARA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,0,5,0,0,0,5,5
PUCARANI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,20,11,0,0,20,11,31
PUERTO ACOSTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,7,39,0,0,7,39,46
PUERTO CARABUCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,1,28,0,0,1,28,29
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,7,7,0,0,7,7,14
PUERTO PEREZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,3,11,0,0,3,11,14
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,37,41,0,0,37,41,78
PUERTO RICO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,14,12,0,0,14,12,26
PUERTO SILES,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,1,0,0,0,1,0,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,45,9,0,0,45,9,54
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-08-01,98,14,0,0,98,14,112
