,group,variable,month,17.25 COVID DOSIS ANUAL (4TA DOSIS) DENTRO,17.25 COVID DOSIS ANUAL (4TA DOSIS) DENTRO,17.25 COVID DOSIS ANUAL (4TA DOSIS) FUERA,17.25 COVID DOSIS ANUAL (4TA DOSIS) FUERA,TOTALES,TOTALES,TOTALES
PUERTO PEREZ,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,0,0,10,9,10,9,19
PUERTO RICO,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,0,6,44,57,44,63,107
PUERTO SUAREZ,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,41,48,21,43,62,91,153
PUERTO VILLARROEL,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,8,15,31,32,39,47,86
PUNA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,7,4,5,5,12,9,21
PUNATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,45,63,38,37,83,100,183
QUIABAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,0,1,0,0,0,1,1
QUILLACOLLO,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,268,390,439,376,707,766,1473
QUIME,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,4,3,8,3,12,6,18
QUIRUSILLAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,4,2,1,0,5,2,7
RAQAYPAMPA(ETA),otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,10,20,12,26,22,46,68
RAVELO,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,3,5,2,10,5,15,20
RIBERALTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,173,209,0,0,173,209,382
ROBORE,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,25,30,10,13,35,43,78
RURRENABAQUE,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,10,14,0,0,10,14,24
SABAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,7,4,0,0,7,4,11
SACABA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,166,241,474,497,640,738,1378
SACABAMBA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,2,1,1,2,3,3,6
SACACA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,9,8,1,1,10,9,19
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,3,6,12,14,15,20,35
SAMAIPATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,16,20,9,15,25,35,60
SAN AGUSTIN,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,0,1,0,0,0,1,1
SAN ANDRES,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,6,2,0,0,6,2,8
SAN ANDRES DE MACHACA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,2,0,4,8,6,8,14
SAN ANTONIO DE LOMERIO,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,3,7,3,2,6,9,15
SAN BENITO,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,66,121,0,0,66,121,187
SAN BORJA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,9,12,0,0,9,12,21
SAN CARLOS,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,20,33,14,17,34,50,84
SAN IGNACIO,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,4,10,16,35,20,45,65
SAN IGNACIO DE VELASCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,54,35,0,0,54,35,89
SAN JAVIER(BNI),otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,0,0,1,3,1,3,4
SAN JOAQUIN,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,4,12,0,0,4,12,16
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,12,25,6,12,18,37,55
SAN JUAN DE YAPACANI,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,12,9,5,83,17,92,109
SAN LORENZO(PND),otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,0,0,11,11,11,11,22
SAN LORENZO(TJA),otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,15,24,0,1,15,25,40
SAN LUCAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,5,6,15,16,20,22,42
SAN MATIAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,8,11,30,50,38,61,99
SAN MIGUEL DE VELASCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,25,39,32,50,57,89,146
SAN PEDRO,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,3,2,42,47,45,49,94
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,5,4,6,17,11,21,32
SAN PEDRO DE MACHA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,3,4,2,6,5,10,15
SAN PEDRO DE QUEMES,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,0,0,1,1,1,1,2
SAN PEDRO DE TIQUINA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,3,3,2,0,5,3,8
SAN PEDRO(PND),otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,0,0,7,5,7,5,12
SAN RAFAEL,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,19,30,0,0,19,30,49
SAN RAMON BENI,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,19,22,0,0,19,22,41
SAN RAMON SCZ,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,19,20,0,0,19,20,39
SANTA ANA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,12,8,0,0,12,8,20
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,2640,2805,925,850,3565,3655,7220
SANTA ROSA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,8,10,0,0,8,10,18
SANTA ROSA DEL SARA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,18,13,4,8,22,21,43
SANTIAGO DE HUARI,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,8,11,17,23,25,34,59
SANTIAGO DE HUATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,1,3,0,0,1,3,4
SANTIAGO DE MACHACA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,0,4,1,0,1,4,5
SANTIVAÑES,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,11,11,1,0,12,11,23
SANTUARIO DE QUILLACAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,2,2,2,3,4,5,9
SAPAHAQUI,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,2,3,5,9,7,12,19
SENA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,4,2,15,8,19,10,29
SHINAOTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,24,25,34,5,58,30,88
SICAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,9,14,3,3,12,17,29
SIPE SIPE,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,7,16,47,56,54,72,126
SOPACHUY,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,5,6,3,6,8,12,20
SORACACHI,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,6,9,0,0,6,9,15
SORATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,7,5,3,6,10,11,21
SUCRE,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,1088,1547,212,356,1300,1903,3203
TACACHI,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,0,3,30,4,30,7,37
TACACOMA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,3,4,2,3,5,7,12
TACOBAMBA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,0,0,4,1,4,1,5
TACOPAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,14,15,22,23,36,38,74
TAHUA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,0,0,0,1,0,1,1
TAPACARI,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,80,122,51,60,131,182,313
TARABUCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,10,14,33,20,43,34,77
TARACO,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,4,2,0,0,4,2,6
TARATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,11,11,9,12,20,23,43
TARIJA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,272,385,869,1047,1141,1432,2573
TARVITA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,1,0,10,6,11,6,17
TEOPONTE,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,4,0,9,11,13,11,24
TIAHUANACU,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,5,7,16,13,21,20,41
TINGUIPAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,0,2,6,6,6,8,14
TIPUANI,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,6,7,27,41,33,48,81
TIQUIPAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,100,139,96,117,196,256,452
TIRAQUE (CBBA),otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,11,17,43,20,54,37,91
TOCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,8,14,3,3,11,17,28
TODOS SANTOS,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,0,0,0,1,0,1,1
TOLATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,15,13,48,12,63,25,88
TOLEDO,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,19,18,0,0,19,18,37
TOMAVE,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,7,6,28,22,35,28,63
TOMINA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,24,21,0,2,24,23,47
TOTORA(CBBA),otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,15,16,6,1,21,17,38
TOTORA(ORR),otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,9,8,0,0,9,8,17
TRIGAL,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,2,5,0,0,2,5,7
TRINIDAD,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,35,24,30,21,65,45,110
TUPIZA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,105,206,137,80,242,286,528
TURCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,7,8,0,0,7,8,15
URIONDO (A. CONCEPCION),otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,8,14,0,0,8,14,22
URUBICHA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,0,0,6,19,6,19,25
UYUNI,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,30,25,0,0,30,25,55
VACAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,21,10,24,35,45,45,90
VALLEGRANDE,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,115,155,35,17,150,172,322
VIACHA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,45,49,140,153,185,202,387
VILA VILA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,3,5,14,13,17,18,35
VILLA CHARCAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,6,6,3,2,9,8,17
VILLA MONTES,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,72,57,90,118,162,175,337
VILLA NUEVA (LOMA ALTA),otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,0,0,20,21,20,21,41
VILLA RIVERO,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,2,8,0,1,2,9,11
VILLA SERRANO,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,40,66,15,13,55,79,134
VILLA TUNARI,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,36,29,25,49,61,78,139
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,33,40,65,61,98,101,199
VILLAZON,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,100,194,19,41,119,235,354
VINTO,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,44,53,59,84,103,137,240
VITICHI,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,5,6,25,31,30,37,67
WALDO BALLIVIAN,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,0,3,0,0,0,3,3
WARNES,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,174,178,11,25,185,203,388
YACO,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,4,3,7,6,11,9,20
YACUIBA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,152,145,182,208,334,353,687
YAMPARAEZ,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,3,4,7,21,10,25,35
YANACACHI,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,7,6,7,14,14,20,34
YAPACANI,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,19,10,7,8,26,18,44
YOCALLA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,18,28,7,9,25,37,62
YOTALA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,7,5,15,23,22,28,50
YUNCHARA,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,1,3,4,8,5,11,16
YUNGUYO DE LITORAL,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,9,6,0,0,9,6,15
ZUDAÑEZ,otras vacunaciones,covid dosis anual (4ta dosis),2022-08-01,1,5,1,6,2,11,13
ACACIO,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,3,3,1,2,4,5,9
ACHACACHI,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,5,0,1,0,6,0,6
ACHOCALLA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,3,2,0,1,3,3,6
AIQUILE,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,34,38,58,60,92,98,190
ALALAY,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,11,13,14,14,25,27,52
ALCALA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,6,9,40,52,46,61,107
ALTO BENI,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,2,1,0,1,2,2,4
ANCORAIMES,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,2,6,2,1,4,7,11
ANTEQUERA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,0,1,0,0,0,1,1
ANZALDO,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,5,5,3,10,8,15,23
APOLO,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,4,5,0,2,4,7,11
ARANI,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,26,16,26,21,52,37,89
ARBIETO,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,14,23,26,28,40,51,91
ARQUE,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,6,2,36,19,42,21,63
ASCENCION DE GUARAYOS,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,2,3,0,0,2,3,5
ATOCHA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,29,41,58,98,87,139,226
AYATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,2,2,4,4,6,6,12
AYO AYO,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,7,4,0,0,7,4,11
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,1,7,96,121,97,128,225
AZURDUY,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,39,47,8,16,47,63,110
BATALLAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,0,4,0,0,0,4,4
BAURES,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,0,0,8,0,8,0,8
BELEN DE ANDAMARCA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,0,1,0,0,0,1,1
BELLA FLOR,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,0,0,0,2,0,2,2
BERMEJO,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,3,2,0,1,3,3,6
BETANZOS,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,9,8,6,7,15,15,30
BOLIVAR,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,4,7,26,19,30,26,56
BOLPEBRA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,0,0,0,2,0,2,2
BOYUIBE,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,92,8,26,52,118,60,178
BUENA VISTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,10,18,10,8,20,26,46
CABEZAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,37,50,6,13,43,63,106
CAIROMA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,10,3,5,9,15,12,27
"CAIZA ""D""",otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,0,0,1,1,1,1,2
CAJUATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,3,7,7,5,10,12,22
CALACOTO,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,1,0,4,1,5,1,6
CALAMARCA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,5,4,1,1,6,5,11
CAMARGO,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,16,32,43,73,59,105,164
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,2,1,6,5,8,6,14
CAMIRI,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,44,48,34,49,78,97,175
CAPINOTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,158,122,16,24,174,146,320
CAQUIAVIRI,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,1,0,0,0,1,0,1
CARACOLLO,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,15,25,1,0,16,25,41
CARANAVI,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,2,1,3,0,5,1,6
CARAPARI,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,3,3,2,4,5,7,12
CARIPUYO,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,1,2,1,3,2,5,7
CARMEN RIVERO TORREZ,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,19,28,0,0,19,28,47
CHALLAPATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,10,14,0,2,10,16,26
CHARAGUA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,20,18,41,50,61,68,129
CHAYANTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,1,0,0,1,1,1,2
CHIMORE,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,34,29,128,67,162,96,258
CHIPAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,0,0,4,0,4,0,4
CHOQUE COTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,0,2,0,0,0,2,2
CHUA COCANI,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,6,19,2,0,8,19,27
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,0,0,4,5,4,5,9
CHUMA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,3,1,16,8,19,9,28
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,0,1,0,0,0,1,1
CKOCHAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,3,2,5,7,8,9,17
CLIZA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,7,17,19,21,26,38,64
COBIJA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,29,52,126,147,155,199,354
COCAPATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,11,10,3,6,14,16,30
COCHABAMBA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,2048,2741,1408,1698,3456,4439,7895
COIPASA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,18,1,0,0,18,1,19
COLCAPIRHUA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,11,10,187,254,198,264,462
"COLCHA ""K""",otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,30,33,264,207,294,240,534
COLLANA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,2,4,1,0,3,4,7
COLOMI,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,9,11,40,33,49,44,93
COLPA BELGICA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,3,2,0,0,3,2,5
COLQUECHACA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,2,4,1,0,3,4,7
COLQUENCHA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,0,0,8,21,8,21,29
COLQUIRI,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,8,2,19,32,27,34,61
COMARAPA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,3,2,0,0,3,2,5
COMBAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,8,4,6,6,14,10,24
COPACABANA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,4,1,2,5,6,6,12
CORIPATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,1,0,2,1,3,1,4
CORO CORO,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,0,0,4,0,4,0,4
COROICO,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,14,10,7,9,21,19,40
CORQUE,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,3,7,0,0,3,7,10
COTAGAITA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,3,9,27,42,30,51,81
COTOCA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,72,133,6,11,78,144,222
CRUZ DE MACHACAMARCA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,1,1,0,0,1,1,2
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,22,3,13,0,35,3,38
CUEVO,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,6,4,8,22,14,26,40
CULPINA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,13,9,0,3,13,12,25
CURAHUARA DE CARANGAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,5,6,0,0,5,6,11
CURVA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,0,0,1,9,1,9,10
DESAGUADERO,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,22,1,61,1,83,2,85
EL ALTO,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,225,314,145,202,370,516,886
EL CHORO,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,5,2,0,0,5,2,7
EL PUENTE(STC),otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,2,1,67,84,69,85,154
EL PUENTE(TJA),otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,5,10,7,4,12,14,26
EL TORNO,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,94,132,0,1,94,133,227
EL VILLAR,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,0,0,6,6,6,6,12
ENTRE RIOS TRJ,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,5,6,20,32,25,38,63
ENTRE RIOS CBBA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,6,9,26,13,32,22,54
ESCARA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,7,9,0,0,7,9,16
ESCOMA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,0,0,0,2,0,2,2
ESMERALDA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,1,2,0,0,1,2,3
EUCALIPTUS,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,3,3,0,0,3,3,6
FERNANDEZ ALONSO,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,1,2,2,1,3,3,6
FILADELFIA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,0,0,0,5,0,5,5
GAIOC JATUN AYLLU YURA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,0,0,23,18,23,18,41
GENERAL SAAVEDRA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,7,12,1,4,8,16,24
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,14,9,8,4,22,13,35
GUANAY,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,1,1,16,15,17,16,33
GUAQUI,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,2,1,0,0,2,1,3
GUAYARAMERIN,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,2,6,23,17,25,23,48
GUTIERREZ,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,2,4,1,4,3,8,11
HUACARETA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,4,11,14,20,18,31,49
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,22,17,18,49,40,66,106
HUACHACALLA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,3,5,0,0,3,5,8
HUANUNI,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,38,44,0,0,38,44,82
HUARACAJE,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,1,0,0,0,1,0,1
HUARINA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,0,2,0,0,0,2,2
HUAYLLAMARCA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,13,15,4,3,17,18,35
HUMANATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,1,0,3,2,4,2,6
ICHOCA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,1,0,3,8,4,8,12
ICLA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,7,9,4,9,11,18,29
INCAHUASI,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,1,2,6,8,7,10,17
INGAVI (HUMAITA),otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,0,0,13,9,13,9,22
INQUISIVI,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,2,1,0,0,2,1,3
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,2,6,4,13,6,19,25
JESUS DE MACHACA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,5,11,8,6,13,17,30
LA ASUNTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,7,9,106,16,113,25,138
LA GUARDIA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,137,101,1,4,138,105,243
LA PAZ,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,1062,1439,2234,2122,3296,3561,6857
LA RIVERA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,0,0,7,5,7,5,12
LAGUNILLAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,17,27,56,108,73,135,208
LAJA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,1,3,0,0,1,3,4
LICOMA PAMPA,otras vacunaciones,covid dosis anual (4ta dosis),2022-09-01,0,0,1,0,1,0,1
