,group,variable,month,17.24 COVID 2DA DOSIS DENTRO,17.24 COVID 2DA DOSIS DENTRO,17.24 COVID 2DA DOSIS FUERA,17.24 COVID 2DA DOSIS FUERA,TOTALES,TOTALES,TOTALES
HUMANATA,otras vacunaciones,covid 2da dosis,2022-06-01,3,4,1,0,4,4,8
ICLA,otras vacunaciones,covid 2da dosis,2022-06-01,2,1,14,10,16,11,27
INCAHUASI,otras vacunaciones,covid 2da dosis,2022-06-01,4,8,4,10,8,18,26
INGAVI (HUMAITA),otras vacunaciones,covid 2da dosis,2022-06-01,1,1,5,8,6,9,15
INQUISIVI,otras vacunaciones,covid 2da dosis,2022-06-01,2,0,49,40,51,40,91
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid 2da dosis,2022-06-01,9,8,2,1,11,9,20
IXIAMAS,otras vacunaciones,covid 2da dosis,2022-06-01,1,2,18,27,19,29,48
JESUS DE MACHACA,otras vacunaciones,covid 2da dosis,2022-06-01,11,10,1,6,12,16,28
LA ASUNTA,otras vacunaciones,covid 2da dosis,2022-06-01,15,18,0,3,15,21,36
LA GUARDIA,otras vacunaciones,covid 2da dosis,2022-06-01,315,310,66,53,381,363,744
LA PAZ,otras vacunaciones,covid 2da dosis,2022-06-01,1108,1162,1277,1427,2385,2589,4974
LA RIVERA,otras vacunaciones,covid 2da dosis,2022-06-01,3,1,0,0,3,1,4
LAGUNILLAS,otras vacunaciones,covid 2da dosis,2022-06-01,11,11,8,12,19,23,42
LAJA,otras vacunaciones,covid 2da dosis,2022-06-01,21,21,6,4,27,25,52
LAS CARRERAS,otras vacunaciones,covid 2da dosis,2022-06-01,1,7,1,0,2,7,9
LICOMA PAMPA,otras vacunaciones,covid 2da dosis,2022-06-01,0,0,3,5,3,5,8
LLALLAGUA,otras vacunaciones,covid 2da dosis,2022-06-01,201,237,87,85,288,322,610
LLICA,otras vacunaciones,covid 2da dosis,2022-06-01,2,2,3,2,5,4,9
LORETO,otras vacunaciones,covid 2da dosis,2022-06-01,0,0,4,2,4,2,6
LURIBAY,otras vacunaciones,covid 2da dosis,2022-06-01,1,0,15,17,16,17,33
MACHACAMARCA,otras vacunaciones,covid 2da dosis,2022-06-01,3,2,5,8,8,10,18
MACHARETI,otras vacunaciones,covid 2da dosis,2022-06-01,20,21,14,11,34,32,66
MAGDALENA,otras vacunaciones,covid 2da dosis,2022-06-01,3,4,19,11,22,15,37
MAIRANA,otras vacunaciones,covid 2da dosis,2022-06-01,4,7,24,30,28,37,65
MALLA,otras vacunaciones,covid 2da dosis,2022-06-01,0,0,1,3,1,3,4
MAPIRI,otras vacunaciones,covid 2da dosis,2022-06-01,4,5,1,0,5,5,10
MECAPACA,otras vacunaciones,covid 2da dosis,2022-06-01,26,28,9,9,35,37,72
MINEROS,otras vacunaciones,covid 2da dosis,2022-06-01,49,44,6,12,55,56,111
MIZQUE,otras vacunaciones,covid 2da dosis,2022-06-01,16,27,90,105,106,132,238
MOCOMOCO,otras vacunaciones,covid 2da dosis,2022-06-01,4,4,20,11,24,15,39
MOJOCOYA,otras vacunaciones,covid 2da dosis,2022-06-01,6,8,21,13,27,21,48
MONTEAGUDO,otras vacunaciones,covid 2da dosis,2022-06-01,21,24,26,20,47,44,91
MONTERO,otras vacunaciones,covid 2da dosis,2022-06-01,306,300,122,122,428,422,850
MORO MORO,otras vacunaciones,covid 2da dosis,2022-06-01,3,2,6,6,9,8,17
MOROCHATA,otras vacunaciones,covid 2da dosis,2022-06-01,1,0,26,31,27,31,58
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,covid 2da dosis,2022-06-01,0,0,6,6,6,6,12
NAZACARA DE PACAJES,otras vacunaciones,covid 2da dosis,2022-06-01,0,2,0,0,0,2,2
OCURI,otras vacunaciones,covid 2da dosis,2022-06-01,4,3,1,3,5,6,11
OKINAWA,otras vacunaciones,covid 2da dosis,2022-06-01,52,52,0,0,52,52,104
OMEREQUE,otras vacunaciones,covid 2da dosis,2022-06-01,0,0,7,19,7,19,26
ORURO,otras vacunaciones,covid 2da dosis,2022-06-01,781,860,180,177,961,1037,1998
PADCAYA,otras vacunaciones,covid 2da dosis,2022-06-01,7,5,0,0,7,5,12
PADILLA,otras vacunaciones,covid 2da dosis,2022-06-01,10,17,2,2,12,19,31
PAILON,otras vacunaciones,covid 2da dosis,2022-06-01,79,68,0,0,79,68,147
PALCA,otras vacunaciones,covid 2da dosis,2022-06-01,54,53,29,29,83,82,165
PALOS BLANCOS,otras vacunaciones,covid 2da dosis,2022-06-01,11,8,17,13,28,21,49
PAMPA AULLAGAS,otras vacunaciones,covid 2da dosis,2022-06-01,3,1,2,0,5,1,6
PAMPA GRANDE,otras vacunaciones,covid 2da dosis,2022-06-01,2,2,6,4,8,6,14
PAPEL PAMPA,otras vacunaciones,covid 2da dosis,2022-06-01,16,16,4,4,20,20,40
PASORAPA,otras vacunaciones,covid 2da dosis,2022-06-01,1,2,2,3,3,5,8
PATACAMAYA,otras vacunaciones,covid 2da dosis,2022-06-01,28,26,0,1,28,27,55
PAZÑA,otras vacunaciones,covid 2da dosis,2022-06-01,2,8,14,19,16,27,43
PELECHUCO,otras vacunaciones,covid 2da dosis,2022-06-01,11,9,0,3,11,12,23
POCOATA,otras vacunaciones,covid 2da dosis,2022-06-01,4,4,17,11,21,15,36
POCONA,otras vacunaciones,covid 2da dosis,2022-06-01,17,17,35,27,52,44,96
POJO (CBBA),otras vacunaciones,covid 2da dosis,2022-06-01,14,14,5,3,19,17,36
POOPO,otras vacunaciones,covid 2da dosis,2022-06-01,35,39,3,1,38,40,78
PORCO,otras vacunaciones,covid 2da dosis,2022-06-01,1,1,30,28,31,29,60
POROMA,otras vacunaciones,covid 2da dosis,2022-06-01,16,10,32,38,48,48,96
PORONGO,otras vacunaciones,covid 2da dosis,2022-06-01,102,121,7,6,109,127,236
PORTACHUELO,otras vacunaciones,covid 2da dosis,2022-06-01,90,67,0,0,90,67,157
PORVENIR,otras vacunaciones,covid 2da dosis,2022-06-01,5,9,14,12,19,21,40
POTOSI,otras vacunaciones,covid 2da dosis,2022-06-01,206,254,120,124,326,378,704
PRESTO,otras vacunaciones,covid 2da dosis,2022-06-01,1,1,2,5,3,6,9
PUCARA,otras vacunaciones,covid 2da dosis,2022-06-01,1,2,0,0,1,2,3
PUCARANI,otras vacunaciones,covid 2da dosis,2022-06-01,22,15,8,7,30,22,52
PUERTO ACOSTA,otras vacunaciones,covid 2da dosis,2022-06-01,5,4,11,7,16,11,27
PUERTO CARABUCO,otras vacunaciones,covid 2da dosis,2022-06-01,6,3,16,14,22,17,39
PUERTO GONZALO MORENO,otras vacunaciones,covid 2da dosis,2022-06-01,0,0,0,2,0,2,2
PUERTO PEREZ,otras vacunaciones,covid 2da dosis,2022-06-01,0,0,9,3,9,3,12
PUERTO RICO,otras vacunaciones,covid 2da dosis,2022-06-01,0,2,21,5,21,7,28
PUERTO SILES,otras vacunaciones,covid 2da dosis,2022-06-01,0,0,0,2,0,2,2
PUERTO SUAREZ,otras vacunaciones,covid 2da dosis,2022-06-01,14,11,2,2,16,13,29
PUERTO VILLARROEL,otras vacunaciones,covid 2da dosis,2022-06-01,58,52,89,92,147,144,291
PUNA,otras vacunaciones,covid 2da dosis,2022-06-01,16,10,11,16,27,26,53
PUNATA,otras vacunaciones,covid 2da dosis,2022-06-01,71,57,6,12,77,69,146
QUIABAYA,otras vacunaciones,covid 2da dosis,2022-06-01,0,0,3,6,3,6,9
QUILLACOLLO,otras vacunaciones,covid 2da dosis,2022-06-01,314,286,266,392,580,678,1258
QUIME,otras vacunaciones,covid 2da dosis,2022-06-01,8,6,2,2,10,8,18
QUIRUSILLAS,otras vacunaciones,covid 2da dosis,2022-06-01,1,0,2,1,3,1,4
RAQAYPAMPA(ETA),otras vacunaciones,covid 2da dosis,2022-06-01,5,7,11,13,16,20,36
RAVELO,otras vacunaciones,covid 2da dosis,2022-06-01,13,7,18,23,31,30,61
REYES,otras vacunaciones,covid 2da dosis,2022-06-01,3,2,0,0,3,2,5
RIBERALTA,otras vacunaciones,covid 2da dosis,2022-06-01,95,132,2,7,97,139,236
ROBORE,otras vacunaciones,covid 2da dosis,2022-06-01,29,34,136,155,165,189,354
RURRENABAQUE,otras vacunaciones,covid 2da dosis,2022-06-01,34,35,1,3,35,38,73
SABAYA,otras vacunaciones,covid 2da dosis,2022-06-01,21,24,0,1,21,25,46
SACABA,otras vacunaciones,covid 2da dosis,2022-06-01,186,203,119,130,305,333,638
SACABAMBA,otras vacunaciones,covid 2da dosis,2022-06-01,2,3,12,16,14,19,33
SACACA,otras vacunaciones,covid 2da dosis,2022-06-01,3,1,2,2,5,3,8
SAIPINA,otras vacunaciones,covid 2da dosis,2022-06-01,5,9,0,0,5,9,14
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid 2da dosis,2022-06-01,8,11,23,36,31,47,78
SAMAIPATA,otras vacunaciones,covid 2da dosis,2022-06-01,7,8,5,8,12,16,28
SAN AGUSTIN,otras vacunaciones,covid 2da dosis,2022-06-01,1,1,0,0,1,1,2
SAN ANDRES,otras vacunaciones,covid 2da dosis,2022-06-01,4,4,1,1,5,5,10
SAN ANDRES DE MACHACA,otras vacunaciones,covid 2da dosis,2022-06-01,0,1,10,16,10,17,27
SAN ANTONIO DE ESMORUCO,otras vacunaciones,covid 2da dosis,2022-06-01,6,4,0,0,6,4,10
SAN ANTONIO DE LOMERIO,otras vacunaciones,covid 2da dosis,2022-06-01,34,25,0,1,34,26,60
SAN BENITO,otras vacunaciones,covid 2da dosis,2022-06-01,33,22,0,0,33,22,55
SAN BORJA,otras vacunaciones,covid 2da dosis,2022-06-01,24,36,22,28,46,64,110
SAN BUENA VENTURA,otras vacunaciones,covid 2da dosis,2022-06-01,1,0,5,4,6,4,10
SAN CARLOS,otras vacunaciones,covid 2da dosis,2022-06-01,16,16,9,2,25,18,43
SAN IGNACIO,otras vacunaciones,covid 2da dosis,2022-06-01,21,26,25,27,46,53,99
SAN IGNACIO DE VELASCO,otras vacunaciones,covid 2da dosis,2022-06-01,89,95,0,0,89,95,184
SAN JAVIER(STC),otras vacunaciones,covid 2da dosis,2022-06-01,55,56,0,0,55,56,111
SAN JOAQUIN,otras vacunaciones,covid 2da dosis,2022-06-01,25,6,0,0,25,6,31
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid 2da dosis,2022-06-01,30,27,64,57,94,84,178
SAN JUAN DE YAPACANI,otras vacunaciones,covid 2da dosis,2022-06-01,2,4,22,13,24,17,41
SAN JULIAN,otras vacunaciones,covid 2da dosis,2022-06-01,67,69,11,19,78,88,166
SAN LORENZO(PND),otras vacunaciones,covid 2da dosis,2022-06-01,0,0,11,17,11,17,28
SAN LORENZO(TJA),otras vacunaciones,covid 2da dosis,2022-06-01,25,32,0,0,25,32,57
SAN LUCAS,otras vacunaciones,covid 2da dosis,2022-06-01,9,17,27,21,36,38,74
SAN MATIAS,otras vacunaciones,covid 2da dosis,2022-06-01,0,0,16,23,16,23,39
SAN MIGUEL DE VELASCO,otras vacunaciones,covid 2da dosis,2022-06-01,10,9,61,31,71,40,111
SAN PABLO DE LIPEZ,otras vacunaciones,covid 2da dosis,2022-06-01,0,4,6,6,6,10,16
SAN PEDRO,otras vacunaciones,covid 2da dosis,2022-06-01,12,7,2,7,14,14,28
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid 2da dosis,2022-06-01,10,11,0,0,10,11,21
SAN PEDRO DE CURAHUARA,otras vacunaciones,covid 2da dosis,2022-06-01,5,5,4,5,9,10,19
SAN PEDRO DE MACHA,otras vacunaciones,covid 2da dosis,2022-06-01,6,5,19,11,25,16,41
SAN PEDRO DE TIQUINA,otras vacunaciones,covid 2da dosis,2022-06-01,1,2,1,0,2,2,4
SAN PEDRO(PND),otras vacunaciones,covid 2da dosis,2022-06-01,0,0,16,20,16,20,36
SAN RAFAEL,otras vacunaciones,covid 2da dosis,2022-06-01,20,22,0,0,20,22,42
SAN RAMON BENI,otras vacunaciones,covid 2da dosis,2022-06-01,31,22,0,0,31,22,53
SAN RAMON SCZ,otras vacunaciones,covid 2da dosis,2022-06-01,49,31,0,0,49,31,80
SANTA ANA,otras vacunaciones,covid 2da dosis,2022-06-01,15,15,0,0,15,15,30
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid 2da dosis,2022-06-01,3791,3837,4684,5211,8475,9048,17523
SANTA ROSA,otras vacunaciones,covid 2da dosis,2022-06-01,4,5,3,4,7,9,16
SANTA ROSA DEL SARA,otras vacunaciones,covid 2da dosis,2022-06-01,27,21,8,4,35,25,60
SANTIAGO DE CALLAPA,otras vacunaciones,covid 2da dosis,2022-06-01,3,0,0,0,3,0,3
SANTIAGO DE HUARI,otras vacunaciones,covid 2da dosis,2022-06-01,3,1,16,49,19,50,69
SANTIAGO DE HUATA,otras vacunaciones,covid 2da dosis,2022-06-01,3,0,13,10,16,10,26
SANTIAGO DE MACHACA,otras vacunaciones,covid 2da dosis,2022-06-01,3,3,3,0,6,3,9
SANTIVAÑES,otras vacunaciones,covid 2da dosis,2022-06-01,11,7,2,2,13,9,22
SANTUARIO DE QUILLACAS,otras vacunaciones,covid 2da dosis,2022-06-01,4,3,0,0,4,3,7
SAPAHAQUI,otras vacunaciones,covid 2da dosis,2022-06-01,9,6,4,3,13,9,22
SHINAOTA,otras vacunaciones,covid 2da dosis,2022-06-01,34,29,1,0,35,29,64
SICA SICA (VILLA AROMA),otras vacunaciones,covid 2da dosis,2022-06-01,5,5,9,5,14,10,24
SIPE SIPE,otras vacunaciones,covid 2da dosis,2022-06-01,22,25,189,174,211,199,410
SOPACHUY,otras vacunaciones,covid 2da dosis,2022-06-01,0,1,3,1,3,2,5
SORACACHI,otras vacunaciones,covid 2da dosis,2022-06-01,33,41,0,0,33,41,74
SORATA,otras vacunaciones,covid 2da dosis,2022-06-01,7,11,4,2,11,13,24
SUCRE,otras vacunaciones,covid 2da dosis,2022-06-01,782,970,396,480,1178,1450,2628
TACACHI,otras vacunaciones,covid 2da dosis,2022-06-01,1,2,9,4,10,6,16
TACACOMA,otras vacunaciones,covid 2da dosis,2022-06-01,2,1,0,1,2,2,4
TACOBAMBA,otras vacunaciones,covid 2da dosis,2022-06-01,10,8,23,27,33,35,68
TACOPAYA,otras vacunaciones,covid 2da dosis,2022-06-01,2,4,9,8,11,12,23
TAHUA,otras vacunaciones,covid 2da dosis,2022-06-01,0,0,2,4,2,4,6
TAPACARI,otras vacunaciones,covid 2da dosis,2022-06-01,61,58,44,48,105,106,211
TARABUCO,otras vacunaciones,covid 2da dosis,2022-06-01,5,4,8,5,13,9,22
TARACO,otras vacunaciones,covid 2da dosis,2022-06-01,10,13,8,2,18,15,33
TARATA,otras vacunaciones,covid 2da dosis,2022-06-01,13,13,13,7,26,20,46
TARIJA,otras vacunaciones,covid 2da dosis,2022-06-01,276,263,125,118,401,381,782
TARVITA,otras vacunaciones,covid 2da dosis,2022-06-01,20,25,53,46,73,71,144
TEOPONTE,otras vacunaciones,covid 2da dosis,2022-06-01,40,7,7,1,47,8,55
TIAHUANACU,otras vacunaciones,covid 2da dosis,2022-06-01,10,6,13,9,23,15,38
TINGUIPAYA,otras vacunaciones,covid 2da dosis,2022-06-01,5,3,19,21,24,24,48
TIPUANI,otras vacunaciones,covid 2da dosis,2022-06-01,0,0,0,2,0,2,2
TIQUIPAYA,otras vacunaciones,covid 2da dosis,2022-06-01,143,161,103,55,246,216,462
TIRAQUE (CBBA),otras vacunaciones,covid 2da dosis,2022-06-01,10,9,19,10,29,19,48
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,covid 2da dosis,2022-06-01,8,5,0,0,8,5,13
TOCO,otras vacunaciones,covid 2da dosis,2022-06-01,23,35,1,9,24,44,68
TODOS SANTOS,otras vacunaciones,covid 2da dosis,2022-06-01,0,0,4,6,4,6,10
TOLATA,otras vacunaciones,covid 2da dosis,2022-06-01,8,4,28,19,36,23,59
TOLEDO,otras vacunaciones,covid 2da dosis,2022-06-01,16,22,0,0,16,22,38
TOMAVE,otras vacunaciones,covid 2da dosis,2022-06-01,3,2,2,3,5,5,10
TOMINA,otras vacunaciones,covid 2da dosis,2022-06-01,11,8,7,7,18,15,33
TORO TORO,otras vacunaciones,covid 2da dosis,2022-06-01,4,2,8,10,12,12,24
TOTORA(CBBA),otras vacunaciones,covid 2da dosis,2022-06-01,25,19,10,7,35,26,61
TOTORA(ORR),otras vacunaciones,covid 2da dosis,2022-06-01,27,17,29,24,56,41,97
TRIGAL,otras vacunaciones,covid 2da dosis,2022-06-01,1,0,2,1,3,1,4
TRINIDAD,otras vacunaciones,covid 2da dosis,2022-06-01,161,186,83,82,244,268,512
TUPIZA,otras vacunaciones,covid 2da dosis,2022-06-01,35,36,29,25,64,61,125
TURCO,otras vacunaciones,covid 2da dosis,2022-06-01,20,5,0,0,20,5,25
UMALA,otras vacunaciones,covid 2da dosis,2022-06-01,12,11,3,7,15,18,33
UNCIA,otras vacunaciones,covid 2da dosis,2022-06-01,19,10,22,21,41,31,72
URIONDO (A. CONCEPCION),otras vacunaciones,covid 2da dosis,2022-06-01,30,24,0,0,30,24,54
URUBICHA,otras vacunaciones,covid 2da dosis,2022-06-01,0,0,1,2,1,2,3
UYUNI,otras vacunaciones,covid 2da dosis,2022-06-01,16,5,0,2,16,7,23
VACAS,otras vacunaciones,covid 2da dosis,2022-06-01,6,6,0,1,6,7,13
VALLEGRANDE,otras vacunaciones,covid 2da dosis,2022-06-01,29,23,28,30,57,53,110
VIACHA,otras vacunaciones,covid 2da dosis,2022-06-01,250,209,183,211,433,420,853
VILA VILA,otras vacunaciones,covid 2da dosis,2022-06-01,10,4,10,10,20,14,34
VILLA CHARCAS,otras vacunaciones,covid 2da dosis,2022-06-01,5,7,32,40,37,47,84
VILLA MONTES,otras vacunaciones,covid 2da dosis,2022-06-01,21,30,76,72,97,102,199
VILLA NUEVA (LOMA ALTA),otras vacunaciones,covid 2da dosis,2022-06-01,1,0,4,4,5,4,9
VILLA RIVERO,otras vacunaciones,covid 2da dosis,2022-06-01,29,19,2,5,31,24,55
VILLA SERRANO,otras vacunaciones,covid 2da dosis,2022-06-01,1,1,9,15,10,16,26
VILLA TUNARI,otras vacunaciones,covid 2da dosis,2022-06-01,83,63,65,72,148,135,283
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid 2da dosis,2022-06-01,10,6,4,18,14,24,38
VILLAZON,otras vacunaciones,covid 2da dosis,2022-06-01,83,82,98,68,181,150,331
VINTO,otras vacunaciones,covid 2da dosis,2022-06-01,74,74,101,120,175,194,369
VITICHI,otras vacunaciones,covid 2da dosis,2022-06-01,1,4,1,0,2,4,6
WALDO BALLIVIAN,otras vacunaciones,covid 2da dosis,2022-06-01,12,13,2,2,14,15,29
WARNES,otras vacunaciones,covid 2da dosis,2022-06-01,264,208,152,186,416,394,810
YACO,otras vacunaciones,covid 2da dosis,2022-06-01,2,2,4,2,6,4,10
YACUIBA,otras vacunaciones,covid 2da dosis,2022-06-01,90,72,71,83,161,155,316
YAMPARAEZ,otras vacunaciones,covid 2da dosis,2022-06-01,2,1,4,1,6,2,8
YANACACHI,otras vacunaciones,covid 2da dosis,2022-06-01,2,3,5,4,7,7,14
YAPACANI,otras vacunaciones,covid 2da dosis,2022-06-01,52,53,5,10,57,63,120
YOCALLA,otras vacunaciones,covid 2da dosis,2022-06-01,12,12,7,6,19,18,37
YOTALA,otras vacunaciones,covid 2da dosis,2022-06-01,7,9,11,6,18,15,33
YUNCHARA,otras vacunaciones,covid 2da dosis,2022-06-01,2,3,7,6,9,9,18
ZUDAÑEZ,otras vacunaciones,covid 2da dosis,2022-06-01,9,3,8,11,17,14,31
ACACIO,otras vacunaciones,covid 2da dosis,2022-07-01,2,0,2,2,4,2,6
ACHACACHI,otras vacunaciones,covid 2da dosis,2022-07-01,20,20,51,17,71,37,108
AIQUILE,otras vacunaciones,covid 2da dosis,2022-07-01,17,13,20,17,37,30,67
ALALAY,otras vacunaciones,covid 2da dosis,2022-07-01,1,1,0,0,1,1,2
ALCALA,otras vacunaciones,covid 2da dosis,2022-07-01,0,0,2,2,2,2,4
ALTO BENI,otras vacunaciones,covid 2da dosis,2022-07-01,15,10,4,4,19,14,33
ANCORAIMES,otras vacunaciones,covid 2da dosis,2022-07-01,8,2,0,0,8,2,10
ANDAMARCA,otras vacunaciones,covid 2da dosis,2022-07-01,14,20,0,0,14,20,34
ANTEQUERA,otras vacunaciones,covid 2da dosis,2022-07-01,6,9,0,0,6,9,15
ANZALDO,otras vacunaciones,covid 2da dosis,2022-07-01,4,2,7,6,11,8,19
APOLO,otras vacunaciones,covid 2da dosis,2022-07-01,3,5,6,6,9,11,20
ARAMPAMPA,otras vacunaciones,covid 2da dosis,2022-07-01,0,0,16,7,16,7,23
ARANI,otras vacunaciones,covid 2da dosis,2022-07-01,19,16,0,0,19,16,35
ARBIETO,otras vacunaciones,covid 2da dosis,2022-07-01,38,35,31,30,69,65,134
ARQUE,otras vacunaciones,covid 2da dosis,2022-07-01,6,9,30,27,36,36,72
ASCENCION DE GUARAYOS,otras vacunaciones,covid 2da dosis,2022-07-01,53,65,2,2,55,67,122
ATOCHA,otras vacunaciones,covid 2da dosis,2022-07-01,23,16,8,6,31,22,53
AUCAPATA,otras vacunaciones,covid 2da dosis,2022-07-01,1,1,0,1,1,2,3
AYATA,otras vacunaciones,covid 2da dosis,2022-07-01,2,0,1,1,3,1,4
AYO AYO,otras vacunaciones,covid 2da dosis,2022-07-01,4,7,4,4,8,11,19
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid 2da dosis,2022-07-01,8,15,54,60,62,75,137
AZURDUY,otras vacunaciones,covid 2da dosis,2022-07-01,6,15,11,14,17,29,46
BATALLAS,otras vacunaciones,covid 2da dosis,2022-07-01,11,11,0,0,11,11,22
BAURES,otras vacunaciones,covid 2da dosis,2022-07-01,21,11,0,0,21,11,32
BELEN DE ANDAMARCA,otras vacunaciones,covid 2da dosis,2022-07-01,3,3,0,0,3,3,6
BELEN DE URMIRI,otras vacunaciones,covid 2da dosis,2022-07-01,0,2,0,1,0,3,3
BELLA FLOR,otras vacunaciones,covid 2da dosis,2022-07-01,4,6,6,6,10,12,22
BERMEJO,otras vacunaciones,covid 2da dosis,2022-07-01,4,1,3,1,7,2,9
BETANZOS,otras vacunaciones,covid 2da dosis,2022-07-01,22,20,8,10,30,30,60
BOLIVAR,otras vacunaciones,covid 2da dosis,2022-07-01,2,1,3,3,5,4,9
BOLPEBRA,otras vacunaciones,covid 2da dosis,2022-07-01,0,0,17,8,17,8,25
BOYUIBE,otras vacunaciones,covid 2da dosis,2022-07-01,11,5,7,5,18,10,28
BUENA VISTA,otras vacunaciones,covid 2da dosis,2022-07-01,22,21,16,30,38,51,89
CABEZAS,otras vacunaciones,covid 2da dosis,2022-07-01,34,21,2,2,36,23,59
CAIROMA,otras vacunaciones,covid 2da dosis,2022-07-01,6,6,0,0,6,6,12
"CAIZA ""D""",otras vacunaciones,covid 2da dosis,2022-07-01,7,20,6,2,13,22,35
CAJUATA,otras vacunaciones,covid 2da dosis,2022-07-01,5,8,7,5,12,13,25
CALACOTO,otras vacunaciones,covid 2da dosis,2022-07-01,1,2,3,2,4,4,8
CALAMARCA,otras vacunaciones,covid 2da dosis,2022-07-01,12,8,6,8,18,16,34
CAMARGO,otras vacunaciones,covid 2da dosis,2022-07-01,14,15,7,4,21,19,40
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,covid 2da dosis,2022-07-01,5,1,0,0,5,1,6
CAMIRI,otras vacunaciones,covid 2da dosis,2022-07-01,114,112,31,24,145,136,281
CAPINOTA,otras vacunaciones,covid 2da dosis,2022-07-01,34,38,8,14,42,52,94
CAQUIAVIRI,otras vacunaciones,covid 2da dosis,2022-07-01,2,6,8,11,10,17,27
CARACOLLO,otras vacunaciones,covid 2da dosis,2022-07-01,20,17,15,8,35,25,60
CARANAVI,otras vacunaciones,covid 2da dosis,2022-07-01,44,32,7,16,51,48,99
CARAPARI,otras vacunaciones,covid 2da dosis,2022-07-01,16,9,0,0,16,9,25
CARIPUYO,otras vacunaciones,covid 2da dosis,2022-07-01,4,3,0,1,4,4,8
CARMEN RIVERO TORREZ,otras vacunaciones,covid 2da dosis,2022-07-01,5,6,0,0,5,6,11
CATACORA,otras vacunaciones,covid 2da dosis,2022-07-01,0,1,0,1,0,2,2
CHACARILLA,otras vacunaciones,covid 2da dosis,2022-07-01,1,2,2,2,3,4,7
CHALLAPATA,otras vacunaciones,covid 2da dosis,2022-07-01,55,20,4,4,59,24,83
CHAQUI,otras vacunaciones,covid 2da dosis,2022-07-01,7,8,0,0,7,8,15
CHARAGUA,otras vacunaciones,covid 2da dosis,2022-07-01,60,62,20,18,80,80,160
CHARAÑA,otras vacunaciones,covid 2da dosis,2022-07-01,7,3,4,5,11,8,19
CHAYANTA,otras vacunaciones,covid 2da dosis,2022-07-01,7,3,1,0,8,3,11
CHIMORE,otras vacunaciones,covid 2da dosis,2022-07-01,15,15,73,54,88,69,157
CHIPAYA,otras vacunaciones,covid 2da dosis,2022-07-01,1,3,0,0,1,3,4
CHUA COCANI,otras vacunaciones,covid 2da dosis,2022-07-01,0,2,4,5,4,7,11
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid 2da dosis,2022-07-01,36,33,13,8,49,41,90
CHUMA,otras vacunaciones,covid 2da dosis,2022-07-01,6,9,14,14,20,23,43
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid 2da dosis,2022-07-01,8,5,3,1,11,6,17
CKOCHAS,otras vacunaciones,covid 2da dosis,2022-07-01,10,21,15,15,25,36,61
CLIZA,otras vacunaciones,covid 2da dosis,2022-07-01,42,32,5,9,47,41,88
COBIJA,otras vacunaciones,covid 2da dosis,2022-07-01,185,190,122,98,307,288,595
COCAPATA,otras vacunaciones,covid 2da dosis,2022-07-01,7,12,1,1,8,13,21
COCHABAMBA,otras vacunaciones,covid 2da dosis,2022-07-01,1883,1909,440,368,2323,2277,4600
COIPASA,otras vacunaciones,covid 2da dosis,2022-07-01,3,2,0,0,3,2,5
COLCAPIRHUA,otras vacunaciones,covid 2da dosis,2022-07-01,28,26,164,146,192,172,364
"COLCHA ""K""",otras vacunaciones,covid 2da dosis,2022-07-01,21,18,8,6,29,24,53
COLLANA,otras vacunaciones,covid 2da dosis,2022-07-01,2,2,0,0,2,2,4
COLOMI,otras vacunaciones,covid 2da dosis,2022-07-01,21,5,2,1,23,6,29
COLPA BELGICA,otras vacunaciones,covid 2da dosis,2022-07-01,22,19,0,0,22,19,41
COLQUECHACA,otras vacunaciones,covid 2da dosis,2022-07-01,1,6,7,13,8,19,27
COLQUENCHA,otras vacunaciones,covid 2da dosis,2022-07-01,5,12,2,4,7,16,23
COLQUIRI,otras vacunaciones,covid 2da dosis,2022-07-01,21,15,7,7,28,22,50
COMANCHE,otras vacunaciones,covid 2da dosis,2022-07-01,3,3,4,4,7,7,14
COMARAPA,otras vacunaciones,covid 2da dosis,2022-07-01,6,10,0,0,6,10,16
COMBAYA,otras vacunaciones,covid 2da dosis,2022-07-01,0,1,1,1,1,2,3
CONCEPCION,otras vacunaciones,covid 2da dosis,2022-07-01,36,47,4,2,40,49,89
COPACABANA,otras vacunaciones,covid 2da dosis,2022-07-01,5,6,1,0,6,6,12
CORIPATA,otras vacunaciones,covid 2da dosis,2022-07-01,11,10,10,5,21,15,36
CORO CORO,otras vacunaciones,covid 2da dosis,2022-07-01,13,13,8,12,21,25,46
COROICO,otras vacunaciones,covid 2da dosis,2022-07-01,41,70,11,5,52,75,127
CORQUE,otras vacunaciones,covid 2da dosis,2022-07-01,23,18,0,0,23,18,41
