,group,variable,month,ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTALES
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,0,8,8
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,2,6,8
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,2,0,2
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,6,3,9
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,2,6,8
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,126,19,145
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,1,1,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,1,1,2
TAPACARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,0,2,2
TARABUCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,2,0,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,1,0,1
TOCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,4,1,5
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,3,2,5
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,6,0,6
VACAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,1,0,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,1,0,1
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,0,3,3
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,0,1,1
BATALLAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,1,0,1
BELEN DE ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,1,0,1
BELEN DE URMIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,0,2,2
BERMEJO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,0,2,2
BETANZOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,1,1,2
CABEZAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,3,6,9
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,0,6,6
CAMIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,2,5,7
CARIPUYO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,0,4,4
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,2,0,2
COCAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,0,3,3
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,8,5,13
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,14,0,14
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,39,54,93
EL TORNO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,2,2,4
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,0,3,3
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,0,4,4
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,0,4,4
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,0,4,4
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,3,2,5
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,16,2,18
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,3,3,6
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,1,4,5
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,8,0,8
PAILON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,0,2,2
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,1,0,1
PASORAPA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,0,3,3
POCONA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,0,2,2
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,1,1,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,3,9,12
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,1,1,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,1,2,3
PUNATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,5,0,5
REYES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,0,4,4
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,2,4,6
ROBORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,6,17,23
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,6,4,10
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,5,4,9
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,1,1,2
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,0,1,1
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,2,0,2
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,0,2,2
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,93,51,144
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,5,2,7
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,0,2,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,15,7,22
TAPACARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,0,5,5
TARIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,2,0,2
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,1,0,1
TOCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,1,1,2
TOMAVE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,0,3,3
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,6,0,6
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,3,0,3
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,1,0,1
VILLAZON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-09-01,1,0,1
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,1,0,1
ARANI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,4,0,4
ARQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,0,2,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,2,4,6
CAMIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,4,13,17
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,3,0,3
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,3,2,5
COBIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,17,146,163
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,14,3,17
COLLANA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,1,6,7
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,18,49,67
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,10,0,10
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,4,4,8
EXALTACION,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,0,15,15
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,0,7,7
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,4,2,6
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,2,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,17,2,19
LAJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,1,0,1
MIZQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,0,16,16
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,2,11,13
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,2,0,2
PAILON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,0,1,1
PASORAPA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,1,0,1
PAZÑA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,0,4,4
POCONA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,1,4,5
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,5,1,6
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,1,0,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,0,4,4
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,4,3,7
ROBORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,2,0,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,4,0,4
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,2,0,2
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,2,5,7
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,0,4,4
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,3,6,9
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,267,34,301
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,1,0,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,3,0,3
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,11,1,12
TAPACARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,1,5,6
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,0,1,1
TOCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,0,7,7
TOLATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,1,2,3
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,0,5,5
UNCIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,0,9,9
VACAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,0,8,8
VILA VILA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,0,2,2
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-10-01,1,0,1
ANZALDO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,0,13,13
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,5,1,6
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,0,1,1
BOLPEBRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,0,1,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,0,7,7
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,0,2,2
CHAQUI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,0,4,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,0,1,1
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,4,0,4
COBIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,4,0,4
COCAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,0,5,5
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,12,2,14
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,1,1,2
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,3,1,4
COROICO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,1,0,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,0,5,5
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,0,10,10
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,16,3,19
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,1,2,3
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,4,0,4
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,0,2,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,5,6,11
HUANUNI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,1,0,1
HUARINA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,0,1,1
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,1,2,3
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,2,0,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,22,0,22
LORETO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,3,0,3
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,0,1,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,1,14,15
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,0,3,3
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,2,1,3
PADCAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,1,0,1
PASORAPA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,1,3,4
POCONA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,0,2,2
PORCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,0,6,6
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,2,0,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,5,0,5
PUERTO SILES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,0,3,3
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,3,0,3
RAVELO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,0,1,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,2,5,7
ROBORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,0,7,7
SAN AGUSTIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,2,0,2
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,3,1,4
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,0,17,17
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,4,20,24
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,2,0,2
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,0,12,12
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,0,11,11
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,1,0,1
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,2,6,8
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,1,2,3
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,0,2,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,150,34,184
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,0,1,1
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,2,1,3
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,6,0,6
TARIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,1,0,1
TARVITA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,0,3,3
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,2,3,5
TOLATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,2,0,2
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,0,3,3
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,0,4,4
VACAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,0,20,20
VIACHA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,3,0,3
VILA VILA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,2,0,2
VILLAZON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,2,0,2
WARNES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-11-01,4,3,7
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,0,5,5
AIQUILE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,1,0,1
ALALAY,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,0,2,2
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,2,0,2
ANZALDO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,0,6,6
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,1,7,8
ARQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,0,5,5
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,2,0,2
CARAPARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,0,5,5
CLIZA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,3,3,6
COBIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,16,16,32
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,5,5,10
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,1,0,1
COMARAPA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,2,3,5
CORIPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,2,0,2
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,25,0,25
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,1,0,1
EL TORNO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,3,0,3
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,2,4,6
GUAQUI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,0,2,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,0,5,5
