,group,variable,month,ANTI AMARÍLICA CANTIDAD,ANTI AMARÍLICA CANTIDAD,TOTALES
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,15,17,32
MONTERO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,19,9,28
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,3,3
OCURI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,8,8
OKINAWA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,2,2
ORURO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,34,14,48
PAILON,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,1,16,17
PALCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,3,11,14
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,3,10,13
PAPEL PAMPA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,3,3
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,4,4
POCOATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,44,44
POCONA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,4,4
PORCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,6,0,6
POROMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,2,1,3
PORONGO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,1,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,26,37,63
PUCARANI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,4,1,5
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,32,32
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,1,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,3,3
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,1,1
PUERTO SILES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,1,7,8
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,3,8,11
PUNA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,6,6
PUNATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,28,0,28
REYES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,2,0,2
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,7,0,7
SACABA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,15,0,15
SACACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,2,19,21
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,1,0,1
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,14,3,17
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,2,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,5,2,7
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,6,17,23
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,5,0,5
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,9,4,13
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,3,0,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,8,0,8
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,1,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,2,2
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,5,5
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,1,4,5
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,4,4
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,5,7,12
SAN PABLO DE LIPEZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,8,8
SAN RAFAEL,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,1,1
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,3,3
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,5,23,28
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,210,210,420
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,1,5,6
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,11,11
SANTIAGO DE CALLAPA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,5,5
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,1,1
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,1,1
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,1,1
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,1,1
SENA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,4,4
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,1,1
SICAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,3,3
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,25,2,27
SORACACHI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,2,31,33
SORATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,27,11,38
TACACOMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,13,24,37
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,4,10,14
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,1,1
TAPACARI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,1,5,6
TARATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,2,1,3
TARIJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,21,17,38
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,5,5
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,1,20,21
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,11,0,11
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,3,3
TOLEDO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,2,2
TOMAVE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,7,7
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,6,6
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,17,13,30
TUPIZA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,14,30,44
UMALA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,1,1
UNCIA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,3,0,3
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,7,7
UYUNI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,18,15,33
VIACHA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,3,0,3
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,1,1,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,6,6,12
VILLAZON,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,12,9,21
VITICHI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,9,9
WARNES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,13,15,28
YACUIBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,11,69,80
YANACACHI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,1,0,1
YAPACANI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,7,5,12
YOCALLA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,1,5,6
YOTALA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,1,1,2
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,4,4
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,4,0,4
ACACIO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,6,8,14
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,1,1
ALALAY,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,1,4,5
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,1,0,1
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,1,1
ANZALDO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,10,10
APOLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,2,2,4
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,1,2,3
ARBIETO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,9,9
ARQUE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,3,0,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,18,0,18
ATOCHA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,1,1
AUCAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,9,9
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,7,7
BAURES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,1,1
BELEN DE ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,1,1
BELEN DE URMIRI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,3,3
BERMEJO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,3,4,7
BETANZOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,13,23,36
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,6,6
CAIROMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,2,2
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,1,1
CAJUATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,2,0,2
CAMARGO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,1,3,4
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,5,0,5
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,2,4,6
CARANAVI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,2,2
CHACARILLA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,2,2
CHAQUI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,2,2
CLIZA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,4,1,5
COBIJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,3,12,15
COCAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,3,16,19
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,68,16,84
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,32,5,37
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,1,2,3
COLOMI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,13,0,13
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,1,0,1
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,1,6,7
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,1,1
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,24,0,24
COPACABANA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,2,2
COROICO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,2,2
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,1,3,4
COTOCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,7,5,12
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,1,1
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,1,1
CUEVO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,210,38,248
EL CHORO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,1,1
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,1,0,1
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,21,21
EL TORNO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,7,9,16
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,6,6
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,2,2
EXALTACION,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,3,0,3
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,1,4,5
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,4,21,25
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,1,5,6
HUACARETA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,6,50,56
HUAYLLAMARCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,2,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,3,3
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,2,2
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,6,1,7
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,31,0,31
LA PAZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,151,35,186
LAJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,1,1
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,6,27,33
LLICA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,5,23,28
LORETO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,2,2
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,1,1
MAIRANA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,5,5
MAPIRI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,39,7,46
MIZQUE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,1,5,6
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,1,2,3
MONTERO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,18,5,23
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,3,3
OKINAWA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,1,3,4
ORURO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,37,16,53
PADCAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,2,2
PAILON,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,17,17
PALCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,2,2
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,9,1,10
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,2,2
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,1,1,2
PAPEL PAMPA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,6,0,6
POCOATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,6,11,17
POCONA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,5,5
POOPO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,2,2
PORCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,2,2
POROMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,2,2
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,1,2,3
POTOSI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,23,20,43
PUCARANI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,2,1,3
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,5,5
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,7,0,7
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,6,11,17
PUNA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,1,1,2
PUNATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,3,4,7
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,13,6,19
QUIRUSILLAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,1,1
RAVELO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,1,14,15
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,3,3,6
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,4,0,4
SACABA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,11,0,11
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,7,7
SACACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,5,12,17
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,2,2
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,5,5
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,9,8,17
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,2,0,2
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,30,30
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,4,35,39
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,2,3,5
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,2,1,3
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,2,9,11
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,1,11,12
SAN RAFAEL,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,1,0,1
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,2,2
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,3,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,180,64,244
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,8,8
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,2,2
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,13,1,14
SUCRE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,33,17,50
TACACHI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,1,1
TACACOMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,7,6,13
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,1,0,1
TAPACARI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,1,5,6
TARATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,2,0,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,15,5,20
TARVITA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,18,21,39
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,4,4
TOCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,1,1
TOLEDO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,2,2
TOMAVE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,1,0,1
TORO TORO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,1,2,3
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,14,11,25
TUPIZA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,1,17,18
UNCIA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,4,0,4
VACAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,1,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,17,1,18
VILA VILA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,2,2
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,3,24,27
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,2,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,1,1,2
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,1,0,1
VILLAZON,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,21,5,26
VINTO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,4,0,4
VITICHI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,2,2
WARNES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,14,11,25
YACUIBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,10,65,75
YANACACHI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,2,0,2
YAPACANI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,2,0,2
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-06-01,0,3,3
ACACIO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-07-01,1,7,8
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-07-01,1,0,1
AIQUILE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-07-01,3,1,4
ALALAY,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-07-01,0,10,10
APOLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-07-01,1,0,1
ARANI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-07-01,1,0,1
ARBIETO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-07-01,1,4,5
ARQUE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-07-01,0,10,10
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-07-01,5,0,5
AYATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-07-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-07-01,4,9,13
BATALLAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-07-01,1,0,1
