,group,variable,month,TOTAL Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,TOTAL Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
VALLEGRANDE,rabia,total no de personas con esquema reducido completo,2015-11-01,2,4,2,4,6
VILLAZON,rabia,total no de personas con esquema reducido completo,2015-11-01,2,2,2,2,4
WARNES,rabia,total no de personas con esquema reducido completo,2015-11-01,3,2,3,2,5
ACHACACHI,rabia,total no de personas con esquema reducido completo,2015-12-01,2,0,2,0,2
ANCORAIMES,rabia,total no de personas con esquema reducido completo,2015-12-01,1,0,1,0,1
ARBIETO,rabia,total no de personas con esquema reducido completo,2015-12-01,1,2,1,2,3
ASCENCION DE GUARAYOS,rabia,total no de personas con esquema reducido completo,2015-12-01,0,1,0,1,1
BATALLAS,rabia,total no de personas con esquema reducido completo,2015-12-01,1,1,1,1,2
BERMEJO,rabia,total no de personas con esquema reducido completo,2015-12-01,4,1,4,1,5
BUENA VISTA,rabia,total no de personas con esquema reducido completo,2015-12-01,7,1,7,1,8
CAQUIAVIRI,rabia,total no de personas con esquema reducido completo,2015-12-01,1,0,1,0,1
CARACOLLO,rabia,total no de personas con esquema reducido completo,2015-12-01,3,2,3,2,5
CARANAVI,rabia,total no de personas con esquema reducido completo,2015-12-01,4,0,4,0,4
CARAPARI,rabia,total no de personas con esquema reducido completo,2015-12-01,1,0,1,0,1
CHALLAPATA,rabia,total no de personas con esquema reducido completo,2015-12-01,4,0,4,0,4
COCHABAMBA,rabia,total no de personas con esquema reducido completo,2015-12-01,20,16,20,16,36
"COLCHA ""K""",rabia,total no de personas con esquema reducido completo,2015-12-01,0,1,0,1,1
COLOMI,rabia,total no de personas con esquema reducido completo,2015-12-01,2,0,2,0,2
COPACABANA,rabia,total no de personas con esquema reducido completo,2015-12-01,1,0,1,0,1
COTOCA,rabia,total no de personas con esquema reducido completo,2015-12-01,3,3,3,3,6
EL ALTO,rabia,total no de personas con esquema reducido completo,2015-12-01,53,36,53,36,89
EL TORNO,rabia,total no de personas con esquema reducido completo,2015-12-01,19,9,19,9,28
GUANAY,rabia,total no de personas con esquema reducido completo,2015-12-01,0,1,0,1,1
HUANUNI,rabia,total no de personas con esquema reducido completo,2015-12-01,3,0,3,0,3
HUARINA,rabia,total no de personas con esquema reducido completo,2015-12-01,1,0,1,0,1
LA GUARDIA,rabia,total no de personas con esquema reducido completo,2015-12-01,13,6,13,6,19
LA PAZ,rabia,total no de personas con esquema reducido completo,2015-12-01,76,69,76,69,145
LAJA,rabia,total no de personas con esquema reducido completo,2015-12-01,1,1,1,1,2
MONTERO,rabia,total no de personas con esquema reducido completo,2015-12-01,6,7,6,7,13
MOROCHATA,rabia,total no de personas con esquema reducido completo,2015-12-01,1,1,1,1,2
ORURO,rabia,total no de personas con esquema reducido completo,2015-12-01,32,8,32,8,40
PAILON,rabia,total no de personas con esquema reducido completo,2015-12-01,2,5,2,5,7
PORCO,rabia,total no de personas con esquema reducido completo,2015-12-01,1,1,1,1,2
PORTACHUELO,rabia,total no de personas con esquema reducido completo,2015-12-01,8,9,8,9,17
PUCARANI,rabia,total no de personas con esquema reducido completo,2015-12-01,1,0,1,0,1
PUERTO PEREZ,rabia,total no de personas con esquema reducido completo,2015-12-01,1,0,1,0,1
PUNATA,rabia,total no de personas con esquema reducido completo,2015-12-01,1,0,1,0,1
QUILLACOLLO,rabia,total no de personas con esquema reducido completo,2015-12-01,13,8,13,8,21
ROBORE,rabia,total no de personas con esquema reducido completo,2015-12-01,3,0,3,0,3
SACABA,rabia,total no de personas con esquema reducido completo,2015-12-01,1,0,1,0,1
SAN CARLOS,rabia,total no de personas con esquema reducido completo,2015-12-01,1,1,1,1,2
SAN IGNACIO,rabia,total no de personas con esquema reducido completo,2015-12-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,rabia,total no de personas con esquema reducido completo,2015-12-01,2,1,2,1,3
SAN JAVIER(STC),rabia,total no de personas con esquema reducido completo,2015-12-01,1,0,1,0,1
SAN JULIAN,rabia,total no de personas con esquema reducido completo,2015-12-01,4,5,4,5,9
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con esquema reducido completo,2015-12-01,69,57,69,57,126
SANTA ROSA DEL SARA,rabia,total no de personas con esquema reducido completo,2015-12-01,4,0,4,0,4
SAPAHAQUI,rabia,total no de personas con esquema reducido completo,2015-12-01,1,0,1,0,1
SUCRE,rabia,total no de personas con esquema reducido completo,2015-12-01,41,46,41,46,87
TARIJA,rabia,total no de personas con esquema reducido completo,2015-12-01,12,7,12,7,19
TIQUIPAYA,rabia,total no de personas con esquema reducido completo,2015-12-01,0,2,0,2,2
TOLATA,rabia,total no de personas con esquema reducido completo,2015-12-01,0,1,0,1,1
TRINIDAD,rabia,total no de personas con esquema reducido completo,2015-12-01,6,7,6,7,13
VALLEGRANDE,rabia,total no de personas con esquema reducido completo,2015-12-01,4,5,4,5,9
VIACHA,rabia,total no de personas con esquema reducido completo,2015-12-01,3,0,3,0,3
VILLA MONTES,rabia,total no de personas con esquema reducido completo,2015-12-01,1,1,1,1,2
VILLA TUNARI,rabia,total no de personas con esquema reducido completo,2015-12-01,1,1,1,1,2
VILLAZON,rabia,total no de personas con esquema reducido completo,2015-12-01,4,1,4,1,5
WARNES,rabia,total no de personas con esquema reducido completo,2015-12-01,3,3,3,3,6
YACUIBA,rabia,total no de personas con esquema reducido completo,2015-12-01,0,2,0,2,2
YANACACHI,rabia,total no de personas con esquema reducido completo,2015-12-01,0,1,0,1,1
YAPACANI,rabia,total no de personas con esquema reducido completo,2015-12-01,2,2,2,2,4
