,group,variable,month,TOTAL Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,TOTAL Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,TOTALES,TOTALES,TOTALES
SAN CARLOS,rabia,total no de personas con vacuna antirrabica,2015-08-01,28,2,28,2,30
SAN IGNACIO,rabia,total no de personas con vacuna antirrabica,2015-08-01,3,1,3,1,4
SAN IGNACIO DE VELASCO,rabia,total no de personas con vacuna antirrabica,2015-08-01,2,1,2,1,3
SAN JAVIER(STC),rabia,total no de personas con vacuna antirrabica,2015-08-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,rabia,total no de personas con vacuna antirrabica,2015-08-01,1,0,1,0,1
SAN JUAN DE YAPACANI,rabia,total no de personas con vacuna antirrabica,2015-08-01,1,0,1,0,1
SAN JULIAN,rabia,total no de personas con vacuna antirrabica,2015-08-01,15,2,15,2,17
SAN LORENZO(TJA),rabia,total no de personas con vacuna antirrabica,2015-08-01,0,1,0,1,1
SAN PABLO DE LIPEZ,rabia,total no de personas con vacuna antirrabica,2015-08-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con vacuna antirrabica,2015-08-01,521,538,521,538,1059
SANTA ROSA DEL SARA,rabia,total no de personas con vacuna antirrabica,2015-08-01,1,0,1,0,1
SANTIAGO DE HUARI,rabia,total no de personas con vacuna antirrabica,2015-08-01,2,1,2,1,3
SANTIAGO DE MACHACA,rabia,total no de personas con vacuna antirrabica,2015-08-01,0,1,0,1,1
SHINAOTA,rabia,total no de personas con vacuna antirrabica,2015-08-01,1,0,1,0,1
SUCRE,rabia,total no de personas con vacuna antirrabica,2015-08-01,45,40,45,40,85
TARIJA,rabia,total no de personas con vacuna antirrabica,2015-08-01,29,17,29,17,46
TIPUANI,rabia,total no de personas con vacuna antirrabica,2015-08-01,1,0,1,0,1
TIRAQUE (CBBA),rabia,total no de personas con vacuna antirrabica,2015-08-01,1,0,1,0,1
TOCO,rabia,total no de personas con vacuna antirrabica,2015-08-01,0,1,0,1,1
TOLEDO,rabia,total no de personas con vacuna antirrabica,2015-08-01,1,1,1,1,2
TRIGAL,rabia,total no de personas con vacuna antirrabica,2015-08-01,1,0,1,0,1
TRINIDAD,rabia,total no de personas con vacuna antirrabica,2015-08-01,30,32,30,32,62
UNCIA,rabia,total no de personas con vacuna antirrabica,2015-08-01,4,4,4,4,8
UYUNI,rabia,total no de personas con vacuna antirrabica,2015-08-01,2,0,2,0,2
VALLEGRANDE,rabia,total no de personas con vacuna antirrabica,2015-08-01,6,8,6,8,14
VIACHA,rabia,total no de personas con vacuna antirrabica,2015-08-01,6,6,6,6,12
VILLA MONTES,rabia,total no de personas con vacuna antirrabica,2015-08-01,0,5,0,5,5
VILLAZON,rabia,total no de personas con vacuna antirrabica,2015-08-01,2,3,2,3,5
WARNES,rabia,total no de personas con vacuna antirrabica,2015-08-01,17,11,17,11,28
YACUIBA,rabia,total no de personas con vacuna antirrabica,2015-08-01,164,84,164,84,248
YAPACANI,rabia,total no de personas con vacuna antirrabica,2015-08-01,309,233,309,233,542
ACHACACHI,rabia,total no de personas con vacuna antirrabica,2015-09-01,2,2,2,2,4
AIQUILE,rabia,total no de personas con vacuna antirrabica,2015-09-01,11,4,11,4,15
ANTEQUERA,rabia,total no de personas con vacuna antirrabica,2015-09-01,0,2,0,2,2
ARQUE,rabia,total no de personas con vacuna antirrabica,2015-09-01,1,0,1,0,1
BERMEJO,rabia,total no de personas con vacuna antirrabica,2015-09-01,0,1,0,1,1
BUENA VISTA,rabia,total no de personas con vacuna antirrabica,2015-09-01,0,2,0,2,2
"CAIZA ""D""",rabia,total no de personas con vacuna antirrabica,2015-09-01,2,0,2,0,2
CAJUATA,rabia,total no de personas con vacuna antirrabica,2015-09-01,0,1,0,1,1
CAMIRI,rabia,total no de personas con vacuna antirrabica,2015-09-01,0,1,0,1,1
CAPINOTA,rabia,total no de personas con vacuna antirrabica,2015-09-01,1,1,1,1,2
CARANAVI,rabia,total no de personas con vacuna antirrabica,2015-09-01,2,3,2,3,5
CHALLAPATA,rabia,total no de personas con vacuna antirrabica,2015-09-01,7,10,7,10,17
CHARAGUA,rabia,total no de personas con vacuna antirrabica,2015-09-01,1,0,1,0,1
CHARAÑA,rabia,total no de personas con vacuna antirrabica,2015-09-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),rabia,total no de personas con vacuna antirrabica,2015-09-01,1,1,1,1,2
CLIZA,rabia,total no de personas con vacuna antirrabica,2015-09-01,1,1,1,1,2
COCHABAMBA,rabia,total no de personas con vacuna antirrabica,2015-09-01,46,56,46,56,102
COLCAPIRHUA,rabia,total no de personas con vacuna antirrabica,2015-09-01,7,2,7,2,9
"COLCHA ""K""",rabia,total no de personas con vacuna antirrabica,2015-09-01,1,0,1,0,1
COMARAPA,rabia,total no de personas con vacuna antirrabica,2015-09-01,5,2,5,2,7
COPACABANA,rabia,total no de personas con vacuna antirrabica,2015-09-01,1,1,1,1,2
COTOCA,rabia,total no de personas con vacuna antirrabica,2015-09-01,10,1,10,1,11
CUATRO CAÑADAS,rabia,total no de personas con vacuna antirrabica,2015-09-01,5,6,5,6,11
EL ALTO,rabia,total no de personas con vacuna antirrabica,2015-09-01,222,177,222,177,399
EL PUENTE(STC),rabia,total no de personas con vacuna antirrabica,2015-09-01,0,1,0,1,1
EL TORNO,rabia,total no de personas con vacuna antirrabica,2015-09-01,37,38,37,38,75
ENTRE RIOS TRJ,rabia,total no de personas con vacuna antirrabica,2015-09-01,0,4,0,4,4
EUCALIPTUS,rabia,total no de personas con vacuna antirrabica,2015-09-01,1,0,1,0,1
GUAQUI,rabia,total no de personas con vacuna antirrabica,2015-09-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),rabia,total no de personas con vacuna antirrabica,2015-09-01,3,0,3,0,3
IXIAMAS,rabia,total no de personas con vacuna antirrabica,2015-09-01,1,1,1,1,2
LA GUARDIA,rabia,total no de personas con vacuna antirrabica,2015-09-01,16,18,16,18,34
LA PAZ,rabia,total no de personas con vacuna antirrabica,2015-09-01,133,158,133,158,291
LAJA,rabia,total no de personas con vacuna antirrabica,2015-09-01,0,1,0,1,1
MACHACAMARCA,rabia,total no de personas con vacuna antirrabica,2015-09-01,4,6,4,6,10
MAIRANA,rabia,total no de personas con vacuna antirrabica,2015-09-01,0,2,0,2,2
MAPIRI,rabia,total no de personas con vacuna antirrabica,2015-09-01,3,0,3,0,3
MIZQUE,rabia,total no de personas con vacuna antirrabica,2015-09-01,6,5,6,5,11
MOCOMOCO,rabia,total no de personas con vacuna antirrabica,2015-09-01,0,1,0,1,1
MONTEAGUDO,rabia,total no de personas con vacuna antirrabica,2015-09-01,1,1,1,1,2
MONTERO,rabia,total no de personas con vacuna antirrabica,2015-09-01,21,28,21,28,49
MORO MORO,rabia,total no de personas con vacuna antirrabica,2015-09-01,1,2,1,2,3
OCURI,rabia,total no de personas con vacuna antirrabica,2015-09-01,1,0,1,0,1
ORURO,rabia,total no de personas con vacuna antirrabica,2015-09-01,64,74,64,74,138
PAILON,rabia,total no de personas con vacuna antirrabica,2015-09-01,1,2,1,2,3
PALCA,rabia,total no de personas con vacuna antirrabica,2015-09-01,0,1,0,1,1
PALOS BLANCOS,rabia,total no de personas con vacuna antirrabica,2015-09-01,0,1,0,1,1
PAMPA GRANDE,rabia,total no de personas con vacuna antirrabica,2015-09-01,2,0,2,0,2
PATACAMAYA,rabia,total no de personas con vacuna antirrabica,2015-09-01,4,3,4,3,7
POOPO,rabia,total no de personas con vacuna antirrabica,2015-09-01,1,0,1,0,1
PORTACHUELO,rabia,total no de personas con vacuna antirrabica,2015-09-01,4,2,4,2,6
POTOSI,rabia,total no de personas con vacuna antirrabica,2015-09-01,181,167,181,167,348
PUERTO PEREZ,rabia,total no de personas con vacuna antirrabica,2015-09-01,1,1,1,1,2
PUNA,rabia,total no de personas con vacuna antirrabica,2015-09-01,1,1,1,1,2
PUNATA,rabia,total no de personas con vacuna antirrabica,2015-09-01,0,1,0,1,1
QUILLACOLLO,rabia,total no de personas con vacuna antirrabica,2015-09-01,14,8,14,8,22
SACABA,rabia,total no de personas con vacuna antirrabica,2015-09-01,3,1,3,1,4
SAIPINA,rabia,total no de personas con vacuna antirrabica,2015-09-01,1,0,1,0,1
SAMAIPATA,rabia,total no de personas con vacuna antirrabica,2015-09-01,1,0,1,0,1
SAN ANDRES,rabia,total no de personas con vacuna antirrabica,2015-09-01,1,0,1,0,1
SAN CARLOS,rabia,total no de personas con vacuna antirrabica,2015-09-01,2,3,2,3,5
SAN IGNACIO,rabia,total no de personas con vacuna antirrabica,2015-09-01,2,6,2,6,8
SAN IGNACIO DE VELASCO,rabia,total no de personas con vacuna antirrabica,2015-09-01,3,4,3,4,7
SAN JAVIER(STC),rabia,total no de personas con vacuna antirrabica,2015-09-01,1,0,1,0,1
SAN JUAN DE YAPACANI,rabia,total no de personas con vacuna antirrabica,2015-09-01,1,0,1,0,1
SAN JULIAN,rabia,total no de personas con vacuna antirrabica,2015-09-01,1,1,1,1,2
SAN RAMON SCZ,rabia,total no de personas con vacuna antirrabica,2015-09-01,0,3,0,3,3
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con vacuna antirrabica,2015-09-01,543,488,543,488,1031
SANTA ROSA DEL SARA,rabia,total no de personas con vacuna antirrabica,2015-09-01,1,0,1,0,1
SANTIAGO DE HUARI,rabia,total no de personas con vacuna antirrabica,2015-09-01,1,1,1,1,2
SANTIAGO DE MACHACA,rabia,total no de personas con vacuna antirrabica,2015-09-01,0,1,0,1,1
SUCRE,rabia,total no de personas con vacuna antirrabica,2015-09-01,56,39,56,39,95
TARIJA,rabia,total no de personas con vacuna antirrabica,2015-09-01,29,23,29,23,52
TIPUANI,rabia,total no de personas con vacuna antirrabica,2015-09-01,1,0,1,0,1
TIRAQUE (CBBA),rabia,total no de personas con vacuna antirrabica,2015-09-01,0,1,0,1,1
TOCO,rabia,total no de personas con vacuna antirrabica,2015-09-01,0,1,0,1,1
TOMINA,rabia,total no de personas con vacuna antirrabica,2015-09-01,61,7,61,7,68
TRINIDAD,rabia,total no de personas con vacuna antirrabica,2015-09-01,45,40,45,40,85
TUPIZA,rabia,total no de personas con vacuna antirrabica,2015-09-01,0,1,0,1,1
UNCIA,rabia,total no de personas con vacuna antirrabica,2015-09-01,5,0,5,0,5
UYUNI,rabia,total no de personas con vacuna antirrabica,2015-09-01,6,2,6,2,8
VALLEGRANDE,rabia,total no de personas con vacuna antirrabica,2015-09-01,3,5,3,5,8
VIACHA,rabia,total no de personas con vacuna antirrabica,2015-09-01,1,6,1,6,7
VILLA MONTES,rabia,total no de personas con vacuna antirrabica,2015-09-01,0,2,0,2,2
VILLA TUNARI,rabia,total no de personas con vacuna antirrabica,2015-09-01,3,1,3,1,4
VILLAZON,rabia,total no de personas con vacuna antirrabica,2015-09-01,6,2,6,2,8
WARNES,rabia,total no de personas con vacuna antirrabica,2015-09-01,14,14,14,14,28
YACUIBA,rabia,total no de personas con vacuna antirrabica,2015-09-01,66,50,66,50,116
YAPACANI,rabia,total no de personas con vacuna antirrabica,2015-09-01,2,2,2,2,4
ACHACACHI,rabia,total no de personas con vacuna antirrabica,2015-10-01,4,2,4,2,6
AIQUILE,rabia,total no de personas con vacuna antirrabica,2015-10-01,1,0,1,0,1
ANTEQUERA,rabia,total no de personas con vacuna antirrabica,2015-10-01,1,0,1,0,1
ARBIETO,rabia,total no de personas con vacuna antirrabica,2015-10-01,3,5,3,5,8
ASCENCION DE GUARAYOS,rabia,total no de personas con vacuna antirrabica,2015-10-01,2,1,2,1,3
ATOCHA,rabia,total no de personas con vacuna antirrabica,2015-10-01,0,3,0,3,3
BERMEJO,rabia,total no de personas con vacuna antirrabica,2015-10-01,0,1,0,1,1
BUENA VISTA,rabia,total no de personas con vacuna antirrabica,2015-10-01,1,0,1,0,1
"CAIZA ""D""",rabia,total no de personas con vacuna antirrabica,2015-10-01,2,0,2,0,2
CAMIRI,rabia,total no de personas con vacuna antirrabica,2015-10-01,2,0,2,0,2
CARANAVI,rabia,total no de personas con vacuna antirrabica,2015-10-01,1,2,1,2,3
CARAPARI,rabia,total no de personas con vacuna antirrabica,2015-10-01,1,1,1,1,2
CHALLAPATA,rabia,total no de personas con vacuna antirrabica,2015-10-01,8,10,8,10,18
CLIZA,rabia,total no de personas con vacuna antirrabica,2015-10-01,1,0,1,0,1
COCHABAMBA,rabia,total no de personas con vacuna antirrabica,2015-10-01,40,34,40,34,74
COLCAPIRHUA,rabia,total no de personas con vacuna antirrabica,2015-10-01,3,3,3,3,6
"COLCHA ""K""",rabia,total no de personas con vacuna antirrabica,2015-10-01,2,0,2,0,2
COLOMI,rabia,total no de personas con vacuna antirrabica,2015-10-01,1,0,1,0,1
COMARAPA,rabia,total no de personas con vacuna antirrabica,2015-10-01,0,2,0,2,2
COPACABANA,rabia,total no de personas con vacuna antirrabica,2015-10-01,1,0,1,0,1
COTOCA,rabia,total no de personas con vacuna antirrabica,2015-10-01,2,2,2,2,4
CUATRO CAÑADAS,rabia,total no de personas con vacuna antirrabica,2015-10-01,9,6,9,6,15
EL ALTO,rabia,total no de personas con vacuna antirrabica,2015-10-01,235,225,235,225,460
EL TORNO,rabia,total no de personas con vacuna antirrabica,2015-10-01,8,17,8,17,25
ESCOMA,rabia,total no de personas con vacuna antirrabica,2015-10-01,0,1,0,1,1
GUAQUI,rabia,total no de personas con vacuna antirrabica,2015-10-01,1,0,1,0,1
HUANUNI,rabia,total no de personas con vacuna antirrabica,2015-10-01,2,2,2,2,4
IXIAMAS,rabia,total no de personas con vacuna antirrabica,2015-10-01,2,0,2,0,2
LA GUARDIA,rabia,total no de personas con vacuna antirrabica,2015-10-01,51,59,51,59,110
LA PAZ,rabia,total no de personas con vacuna antirrabica,2015-10-01,155,124,155,124,279
MACHACAMARCA,rabia,total no de personas con vacuna antirrabica,2015-10-01,5,2,5,2,7
MAIRANA,rabia,total no de personas con vacuna antirrabica,2015-10-01,1,1,1,1,2
MONTEAGUDO,rabia,total no de personas con vacuna antirrabica,2015-10-01,4,1,4,1,5
MONTERO,rabia,total no de personas con vacuna antirrabica,2015-10-01,17,15,17,15,32
MORO MORO,rabia,total no de personas con vacuna antirrabica,2015-10-01,2,0,2,0,2
ORURO,rabia,total no de personas con vacuna antirrabica,2015-10-01,51,42,51,42,93
PATACAMAYA,rabia,total no de personas con vacuna antirrabica,2015-10-01,0,1,0,1,1
POOPO,rabia,total no de personas con vacuna antirrabica,2015-10-01,2,0,2,0,2
PORONGO,rabia,total no de personas con vacuna antirrabica,2015-10-01,1,0,1,0,1
PORTACHUELO,rabia,total no de personas con vacuna antirrabica,2015-10-01,14,13,14,13,27
POTOSI,rabia,total no de personas con vacuna antirrabica,2015-10-01,135,106,135,106,241
PUCARANI,rabia,total no de personas con vacuna antirrabica,2015-10-01,1,0,1,0,1
PUERTO QUIJARRO,rabia,total no de personas con vacuna antirrabica,2015-10-01,2,0,2,0,2
PUERTO SUAREZ,rabia,total no de personas con vacuna antirrabica,2015-10-01,1,1,1,1,2
PUNATA,rabia,total no de personas con vacuna antirrabica,2015-10-01,0,1,0,1,1
QUIABAYA,rabia,total no de personas con vacuna antirrabica,2015-10-01,0,1,0,1,1
QUILLACOLLO,rabia,total no de personas con vacuna antirrabica,2015-10-01,15,8,15,8,23
ROBORE,rabia,total no de personas con vacuna antirrabica,2015-10-01,7,4,7,4,11
SACABA,rabia,total no de personas con vacuna antirrabica,2015-10-01,6,5,6,5,11
SAIPINA,rabia,total no de personas con vacuna antirrabica,2015-10-01,2,1,2,1,3
SAMAIPATA,rabia,total no de personas con vacuna antirrabica,2015-10-01,1,1,1,1,2
SAN CARLOS,rabia,total no de personas con vacuna antirrabica,2015-10-01,1,2,1,2,3
SAN IGNACIO,rabia,total no de personas con vacuna antirrabica,2015-10-01,6,2,6,2,8
SAN IGNACIO DE VELASCO,rabia,total no de personas con vacuna antirrabica,2015-10-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,rabia,total no de personas con vacuna antirrabica,2015-10-01,0,2,0,2,2
SAN JUAN DE YAPACANI,rabia,total no de personas con vacuna antirrabica,2015-10-01,0,1,0,1,1
SAN JULIAN,rabia,total no de personas con vacuna antirrabica,2015-10-01,11,8,11,8,19
SAN LORENZO(TJA),rabia,total no de personas con vacuna antirrabica,2015-10-01,1,0,1,0,1
SAN PABLO DE LIPEZ,rabia,total no de personas con vacuna antirrabica,2015-10-01,0,1,0,1,1
SAN PEDRO DE TIQUINA,rabia,total no de personas con vacuna antirrabica,2015-10-01,1,0,1,0,1
SAN RAMON SCZ,rabia,total no de personas con vacuna antirrabica,2015-10-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con vacuna antirrabica,2015-10-01,597,414,597,414,1011
SANTIAGO DE HUARI,rabia,total no de personas con vacuna antirrabica,2015-10-01,1,1,1,1,2
SUCRE,rabia,total no de personas con vacuna antirrabica,2015-10-01,40,53,40,53,93
TARIJA,rabia,total no de personas con vacuna antirrabica,2015-10-01,9,13,9,13,22
TARVITA,rabia,total no de personas con vacuna antirrabica,2015-10-01,1,1,1,1,2
TIQUIPAYA,rabia,total no de personas con vacuna antirrabica,2015-10-01,3,2,3,2,5
TRINIDAD,rabia,total no de personas con vacuna antirrabica,2015-10-01,83,57,83,57,140
TUPIZA,rabia,total no de personas con vacuna antirrabica,2015-10-01,0,1,0,1,1
UYUNI,rabia,total no de personas con vacuna antirrabica,2015-10-01,40,53,40,53,93
VALLEGRANDE,rabia,total no de personas con vacuna antirrabica,2015-10-01,12,8,12,8,20
VIACHA,rabia,total no de personas con vacuna antirrabica,2015-10-01,5,5,5,5,10
VILLA MONTES,rabia,total no de personas con vacuna antirrabica,2015-10-01,2,0,2,0,2
VILLA TUNARI,rabia,total no de personas con vacuna antirrabica,2015-10-01,1,0,1,0,1
VILLAZON,rabia,total no de personas con vacuna antirrabica,2015-10-01,2,3,2,3,5
WARNES,rabia,total no de personas con vacuna antirrabica,2015-10-01,11,13,11,13,24
YACUIBA,rabia,total no de personas con vacuna antirrabica,2015-10-01,62,27,62,27,89
YAPACANI,rabia,total no de personas con vacuna antirrabica,2015-10-01,4,1,4,1,5
YOTALA,rabia,total no de personas con vacuna antirrabica,2015-10-01,1,0,1,0,1
ACHACACHI,rabia,total no de personas con vacuna antirrabica,2015-11-01,5,1,5,1,6
ACHOCALLA,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,0,1,0,1
AIQUILE,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,0,1,0,1
ANCORAIMES,rabia,total no de personas con vacuna antirrabica,2015-11-01,3,0,3,0,3
ANTEQUERA,rabia,total no de personas con vacuna antirrabica,2015-11-01,4,0,4,0,4
ARBIETO,rabia,total no de personas con vacuna antirrabica,2015-11-01,5,4,5,4,9
ASCENCION DE GUARAYOS,rabia,total no de personas con vacuna antirrabica,2015-11-01,3,0,3,0,3
BUENA VISTA,rabia,total no de personas con vacuna antirrabica,2015-11-01,0,1,0,1,1
CABEZAS,rabia,total no de personas con vacuna antirrabica,2015-11-01,7,2,7,2,9
CAJUATA,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,0,1,0,1
CALAMARCA,rabia,total no de personas con vacuna antirrabica,2015-11-01,8,0,8,0,8
CAMIRI,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,1,1,1,2
CAPINOTA,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,0,1,0,1
CARANAVI,rabia,total no de personas con vacuna antirrabica,2015-11-01,7,3,7,3,10
CARAPARI,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,0,1,0,1
CHALLAPATA,rabia,total no de personas con vacuna antirrabica,2015-11-01,12,17,12,17,29
CHUMA,rabia,total no de personas con vacuna antirrabica,2015-11-01,0,1,0,1,1
COCHABAMBA,rabia,total no de personas con vacuna antirrabica,2015-11-01,53,38,53,38,91
COLCAPIRHUA,rabia,total no de personas con vacuna antirrabica,2015-11-01,4,0,4,0,4
COLOMI,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,0,1,0,1
COMARAPA,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,0,1,0,1
COPACABANA,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,0,1,0,1
COTAGAITA,rabia,total no de personas con vacuna antirrabica,2015-11-01,0,1,0,1,1
COTOCA,rabia,total no de personas con vacuna antirrabica,2015-11-01,4,0,4,0,4
CUATRO CAÑADAS,rabia,total no de personas con vacuna antirrabica,2015-11-01,2,10,2,10,12
EL ALTO,rabia,total no de personas con vacuna antirrabica,2015-11-01,158,157,158,157,315
EL TORNO,rabia,total no de personas con vacuna antirrabica,2015-11-01,17,10,17,10,27
ENTRE RIOS TRJ,rabia,total no de personas con vacuna antirrabica,2015-11-01,7,2,7,2,9
ENTRE RIOS CBBA,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,0,1,0,1
ESCOMA,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,0,1,0,1
GUANAY,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,1,1,1,2
HUANUNI,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,3,1,3,4
LA GUARDIA,rabia,total no de personas con vacuna antirrabica,2015-11-01,24,20,24,20,44
LA PAZ,rabia,total no de personas con vacuna antirrabica,2015-11-01,145,112,145,112,257
MACHACAMARCA,rabia,total no de personas con vacuna antirrabica,2015-11-01,2,2,2,2,4
MAIRANA,rabia,total no de personas con vacuna antirrabica,2015-11-01,3,0,3,0,3
MAPIRI,rabia,total no de personas con vacuna antirrabica,2015-11-01,0,2,0,2,2
MONTEAGUDO,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,0,1,0,1
MONTERO,rabia,total no de personas con vacuna antirrabica,2015-11-01,61,13,61,13,74
ORURO,rabia,total no de personas con vacuna antirrabica,2015-11-01,42,50,42,50,92
PALOS BLANCOS,rabia,total no de personas con vacuna antirrabica,2015-11-01,4,1,4,1,5
PORTACHUELO,rabia,total no de personas con vacuna antirrabica,2015-11-01,11,8,11,8,19
POTOSI,rabia,total no de personas con vacuna antirrabica,2015-11-01,89,140,89,140,229
PUERTO PEREZ,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,0,1,0,1
PUNATA,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,0,1,0,1
QUILLACOLLO,rabia,total no de personas con vacuna antirrabica,2015-11-01,11,10,11,10,21
ROBORE,rabia,total no de personas con vacuna antirrabica,2015-11-01,7,4,7,4,11
SACABA,rabia,total no de personas con vacuna antirrabica,2015-11-01,0,3,0,3,3
SAIPINA,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,1,1,1,2
SAMAIPATA,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,2,1,2,3
SAN ANTONIO DE LOMERIO,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,0,1,0,1
SAN CARLOS,rabia,total no de personas con vacuna antirrabica,2015-11-01,3,3,3,3,6
SAN IGNACIO,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,rabia,total no de personas con vacuna antirrabica,2015-11-01,2,2,2,2,4
SAN JOSE DE CHIQUITOS,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,2,1,2,3
SAN JUAN DE YAPACANI,rabia,total no de personas con vacuna antirrabica,2015-11-01,3,0,3,0,3
SAN JULIAN,rabia,total no de personas con vacuna antirrabica,2015-11-01,5,1,5,1,6
SAN LUCAS,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,2,1,2,3
SAN RAMON SCZ,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con vacuna antirrabica,2015-11-01,363,324,363,324,687
SANTA ROSA DEL SARA,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,1,1,1,2
SANTIAGO DE HUARI,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,0,1,0,1
SANTIAGO DE MACHACA,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,0,1,0,1
SAPAHAQUI,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,1,1,1,2
SORACACHI,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,0,1,0,1
SUCRE,rabia,total no de personas con vacuna antirrabica,2015-11-01,62,49,62,49,111
TARIJA,rabia,total no de personas con vacuna antirrabica,2015-11-01,9,7,9,7,16
TIPUANI,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,1,1,1,2
TIQUIPAYA,rabia,total no de personas con vacuna antirrabica,2015-11-01,0,3,0,3,3
TOMAVE,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,0,1,0,1
TRIGAL,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,0,1,0,1
TRINIDAD,rabia,total no de personas con vacuna antirrabica,2015-11-01,35,23,35,23,58
TUPIZA,rabia,total no de personas con vacuna antirrabica,2015-11-01,0,2,0,2,2
UNCIA,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,2,1,2,3
UYUNI,rabia,total no de personas con vacuna antirrabica,2015-11-01,59,19,59,19,78
VACAS,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,0,1,0,1
VALLEGRANDE,rabia,total no de personas con vacuna antirrabica,2015-11-01,4,7,4,7,11
VIACHA,rabia,total no de personas con vacuna antirrabica,2015-11-01,29,10,29,10,39
VILLA MONTES,rabia,total no de personas con vacuna antirrabica,2015-11-01,12,8,12,8,20
VILLAZON,rabia,total no de personas con vacuna antirrabica,2015-11-01,5,6,5,6,11
WARNES,rabia,total no de personas con vacuna antirrabica,2015-11-01,6,5,6,5,11
YACUIBA,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,0,1,0,1
YAPACANI,rabia,total no de personas con vacuna antirrabica,2015-11-01,3,2,3,2,5
YOTALA,rabia,total no de personas con vacuna antirrabica,2015-11-01,1,1,1,1,2
ACHACACHI,rabia,total no de personas con vacuna antirrabica,2015-12-01,1,1,1,1,2
AIQUILE,rabia,total no de personas con vacuna antirrabica,2015-12-01,2,1,2,1,3
ANCORAIMES,rabia,total no de personas con vacuna antirrabica,2015-12-01,1,0,1,0,1
ASCENCION DE GUARAYOS,rabia,total no de personas con vacuna antirrabica,2015-12-01,5,5,5,5,10
BERMEJO,rabia,total no de personas con vacuna antirrabica,2015-12-01,3,0,3,0,3
BUENA VISTA,rabia,total no de personas con vacuna antirrabica,2015-12-01,7,2,7,2,9
CABEZAS,rabia,total no de personas con vacuna antirrabica,2015-12-01,1,2,1,2,3
CALAMARCA,rabia,total no de personas con vacuna antirrabica,2015-12-01,2,0,2,0,2
CAPINOTA,rabia,total no de personas con vacuna antirrabica,2015-12-01,0,1,0,1,1
CARANAVI,rabia,total no de personas con vacuna antirrabica,2015-12-01,2,3,2,3,5
CARAPARI,rabia,total no de personas con vacuna antirrabica,2015-12-01,2,0,2,0,2
CHALLAPATA,rabia,total no de personas con vacuna antirrabica,2015-12-01,7,1,7,1,8
CLIZA,rabia,total no de personas con vacuna antirrabica,2015-12-01,1,0,1,0,1
COCHABAMBA,rabia,total no de personas con vacuna antirrabica,2015-12-01,45,35,45,35,80
"COLCHA ""K""",rabia,total no de personas con vacuna antirrabica,2015-12-01,0,1,0,1,1
COMARAPA,rabia,total no de personas con vacuna antirrabica,2015-12-01,1,1,1,1,2
CORIPATA,rabia,total no de personas con vacuna antirrabica,2015-12-01,2,0,2,0,2
COTOCA,rabia,total no de personas con vacuna antirrabica,2015-12-01,3,3,3,3,6
CUATRO CAÑADAS,rabia,total no de personas con vacuna antirrabica,2015-12-01,2,3,2,3,5
