,group,variable,month,TOTAL 1910 ANTI AMARÍLICA CANTIDAD,TOTAL 1910 ANTI AMARÍLICA CANTIDAD,TOTALES
VACAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,1,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,3,0,3
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,1,2
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,4,5
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,18,6,24
VINTO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,11,3,14
WARNES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,11,5,16
YACUIBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,7,1,8
YAPACANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,0,1
YOTALA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,1,1
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,1,1
ACACIO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,1,1
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,2,0,2
APOLO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,2,2
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,1,1
ARBIETO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,8,9
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,19,1,20
AUCAPATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,1,1
AYATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,2,2
BATALLAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,4,5
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,2,2
BETANZOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,16,5,21
CABEZAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,2,3
CAIROMA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,2,0,2
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,0,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,2,5,7
CARANAVI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,4,5
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,2,0,2
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,8,2,10
CHIMORE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,3,0,3
CLIZA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,1,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,9,8,17
COCAPATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,4,1,5
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,149,32,181
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,5,0,5
COLOMI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,2,2
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,3,11,14
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,3,4
COPACABANA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,0,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,5,6
CORQUE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,1,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,2,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,6,32,38
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,30,6,36
EL ALTO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,142,159,301
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,6,6
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,1,1
EL TORNO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,6,5,11
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,3,1,4
EXALTACION,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,2,0,2
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,3,3
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,2,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,4,4,8
HUANUNI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,1,1
HUATAJATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,2,0,2
HUAYLLAMARCA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,7,7
ICHOCA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,1,1
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,1,1
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,1,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,4,20,24
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,3,3
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,3,3
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,4,1,5
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,15,16,31
LA PAZ,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,154,27,181
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,3,14,17
MACHACAMARCA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,0,1
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,1,1
MAIRANA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,0,1
MAPIRI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,5,0,5
MECAPACA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,0,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,2,7,9
MOCOMOCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,1,1
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,1,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,13,8,21
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,3,4
OCURI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,1,1
OKINAWA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,3,3,6
ORURO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,13,8,21
PADCAYA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,2,2
PAILON,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,20,20
PALCA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,7,7
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,3,0,3
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,2,2
POCOATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,6,6
PORONGO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,3,1,4
PORVENIR,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,16,8,24
PRESTO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,1,1
PUCARANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,3,8,11
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,8,8
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,2,3,5
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,8,8
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,8,10,18
PUNA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,2,1,3
PUNATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,6,1,7
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,14,78,92
RAVELO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,8,4,12
REYES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,0,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,2,1,3
ROBORE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,3,3
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,4,0,4
SACABA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,18,8,26
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,1,1
SACACA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,9,10
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,1,1
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,2,3
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,6,1,7
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,0,1
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,2,1,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,2,3,5
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,7,8
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,5,31,36
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,7,5,12
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,2,0,2
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,1,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,2,4,6
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,2,3
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,6,8,14
SAN PEDRO DE QUEMES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,1,1
SAN PEDRO(PND),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,1,1
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,2,2
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,0,1
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,3,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,229,154,383
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,5,2,7
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,3,3,6
SANTIAGO DE CALLAPA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,100,100
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,2,0,2
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,3,0,3
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,7,0,7
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,2,3
SORATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,2,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,18,1,19
TACACOMA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,4,4
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,0,1
TAPACARI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,2,2
TARATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,0,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,18,6,24
TEOPONTE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,2,2
TIPUANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,2,2
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,11,6,17
TOCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,1,1
TOMAVE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,1,2
TORO TORO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,7,16,23
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,17,35,52
TUPIZA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,3,0,3
UNCIA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,2,2
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,0,1
UYUNI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,7,0,7
VIACHA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,5,5,10
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,2,2
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,3,5,8
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,12,6,18
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,0,1
VILLAZON,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,1,1,2
VINTO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,10,0,10
WARNES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,29,22,51
YACUIBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,8,4,12
YOTALA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-05-01,0,1,1
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,4,4
ANTEQUERA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,0,1
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,4,4
ARBIETO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,4,4,8
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,5,1,6
ATOCHA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,2,0,2
AYATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,3,0,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,1,1
BAURES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,2,0,2
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,3,3
BETANZOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,11,7,18
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,1,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,2,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,0,1
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,0,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,1,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,0,1
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,0,1
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,4,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,0,1
CHUMA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,1,1
CLIZA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,2,0,2
COBIJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,7,0,7
COCAPATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,5,5
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,152,30,182
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,4,0,4
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,3,0,3
CORIPATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,1,2
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,4,4
COTOCA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,5,0,5
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,2,1,3
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,300,300
CUEVO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,1,1
CURVA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,230,230
EL ALTO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,49,40,89
EL TORNO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,2,1,3
EL VILLAR,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,0,1
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,9,0,9
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,4,4
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,2,10,12
HUACARETA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,0,1
ICHOCA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,1,1
ICLA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,0,1
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,2,3,5
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,3,3
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,2,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,6,4,10
LA PAZ,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,59,6,65
LAS CARRERAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,0,1
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,14,15
MACHACAMARCA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,0,1
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,1,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,3,0,3
MIZQUE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,3,3
MONTERO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,19,0,19
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,5,5
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,1,1
OCURI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,5,5
ORURO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,17,0,17
PAILON,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,5,16,21
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,3,0,3
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,1,1
POCOATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,2,2
PORONGO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,3,4
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,9,0,9
PORVENIR,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,2,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,22,10,32
PUCARANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,3,3,6
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,0,1
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,1,1
PUERTO SILES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,2,2
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,5,1,6
PUNATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,5,0,5
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,12,43,55
RAVELO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,3,3
REYES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,2,0,2
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,0,1
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,5,5
SACABA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,20,2,22
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,2,2
SACACA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,12,12
SAN AGUSTIN,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,4,0,4
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,8,0,8
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,2,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,4,18,22
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,3,4
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,1,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,4,0,4
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,3,9,12
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,5,3,8
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,0,1
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,1,2
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,1,2
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,2,0,2
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,1,1
SAN PEDRO DE QUEMES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,3,3
SAN PEDRO(PND),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,4,4
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,3,0,3
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,4,0,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,208,45,253
