,group,variable,month,TOTAL 19.9 SRP DOSIS ÚNICA CANTIDAD,TOTAL 19.9 SRP DOSIS ÚNICA CANTIDAD,TOTALES
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,6,6
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,5,5,10
PUNA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,1,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,3,1,4
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,11,30,41
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,4,1,5
ROBORE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,1,1
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,7,6,13
SACACA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,0,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,1,1
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,1,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,5,0,5
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,4,4,8
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,1,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,2,2,4
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,7,8
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,3,36,39
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,6,5,11
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,2,4,6
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,3,3,6
SAN PEDRO DE QUEMES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,1,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,3,3
SAN PEDRO(PND),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,1,1
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,2,2
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,0,1
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,3,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,223,130,353
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,4,2,6
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,3,7,10
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,0,1
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,0,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,3,0,3
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,8,3,11
SORATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,20,2,22
TACACOMA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,5,5
TAPACARI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,2,2
TARACO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,0,1
TARATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,0,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,6,2,8
TIPUANI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,10,5,15
TOMAVE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,1,2
TORO TORO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,17,16,33
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,18,25,43
TUPIZA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,0,1
UNCIA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,3,3
VIACHA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,4,5
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,3,1,4
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,8,1,9
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,5,6
VINTO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,3,0,3
WARNES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,25,17,42
YACUIBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,5,4,9
YOCALLA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,4,4
YOTALA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,1,1
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,3,3
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,4,4
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,3,1,4
ATOCHA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,0,1
AYATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,3,0,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,3,3
BAURES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,2,0,2
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,2,2
BERMEJO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,3,3
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,0,1
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,1,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,1,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,0,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,1,2
CARANAVI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,0,1
CARAPARI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,0,1
CHUMA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,2,1,3
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,1,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,4,0,4
COCAPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,40,17,57
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,3,0,3
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,2,0,2
COLOMI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,0,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,4,6,10
CUEVO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,49,28,77
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,2,3
EL VILLAR,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,0,1
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,7,0,7
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,3,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,15,16
HUACARETA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,4,0,4
ICHOCA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,1,1
ICLA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,0,1
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,1,1
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,0,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,3,3
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,6,4,10
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,39,3,42
LAS CARRERAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,0,1
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,0,1
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,1,1
MAIRANA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,2,0,2
MINEROS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,3,0,3
MIZQUE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,3,3
MONTERO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,11,0,11
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,1,1
OCURI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,3,3
ORURO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,17,1,18
PAILON,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,4,6,10
PALCA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,1,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,1,1
PORONGO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,2,3
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,5,0,5
POTOSI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,21,3,24
PUCARANI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,1,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,0,1
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,1,1
PUERTO SILES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,2,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,3,1,4
PUNA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,10,8,18
PUNATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,6,21,27
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,4,0,4
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,4,4
SACABA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,8,2,10
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,2,2
SAN AGUSTIN,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,0,1
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,3,6,9
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,2,0,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,4,0,4
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,3,13,16
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,6,3,9
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,1,2
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,1,1
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,0,1
SAN PEDRO DE QUEMES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,3,3
SAN PEDRO(PND),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,3,3
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,3,0,3
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,4,0,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,172,60,232
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,2,7,9
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,1,1
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,0,1
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,0,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,2,1,3
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,5,0,5
SORATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,4,4
SUCRE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,10,1,11
TAPACARI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,2,0,2
TARATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,2,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,17,5,22
TEOPONTE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,0,1
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,4,4,8
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,5,2,7
TOMAVE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,1,1
TORO TORO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,6,6
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,3,4
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,13,38,51
UNCIA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,1,2
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,1,1
UYUNI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,1,1
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,0,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,8,1,9
VILA VILA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,1,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,2,3
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,0,4,4
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,8,6,14
VILLAZON,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,5,1,6
WARNES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,10,2,12
YACUIBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-06-01,10,0,10
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,0,5,5
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,0,1
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,0,2,2
ANZALDO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,0,3,3
ARBIETO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,10,0,10
ATOCHA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,0,2,2
BERMEJO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,7,10,17
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,0,1
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,0,1,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,3,2,5
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,1,2
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,2,0,2
CATACORA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,0,1
CHAQUI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,0,1
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,0,3,3
CHARAÑA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,3,0,3
CHUMA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,11,4,15
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,3,0,3
COBIJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,6,4,10
COCAPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,58,8,66
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,2,3
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,1,2
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,3,0,3
CORIPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,2,0,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,11,8,19
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,59,65,124
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,0,1
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,1,2
EL VILLAR,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,0,2,2
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,7,0,7
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,0,4,4
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,3,2,5
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,3,1,4
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,1,2
HUACARETA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,8,11,19
ICLA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,2,5,7
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,0,1,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,2,3
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,4,4,8
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,5,0,5
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,13,2,15
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,61,14,75
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,0,6,6
LORETO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,0,1,1
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,0,2,2
MAPIRI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,0,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,0,1
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,23,1,24
OCURI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,0,31,31
OKINAWA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,1,2
ORURO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,25,1,26
PAILON,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,2,15,17
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,0,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,0,1
PATACAMAYA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,0,3,3
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,0,1
POCOATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,0,1
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,0,1
POROMA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,0,1
PORONGO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,0,2,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,17,11,28
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,4,0,4
PUNATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,0,2,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,10,26,36
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,9,9,18
ROBORE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,2,1,3
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,1,2
SACABA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,12,5,17
SACACA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,0,5,5
SAIPINA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,0,1,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,0,1,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,0,3,3
SAN ANDRES DE MACHACA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,7,1,8
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,4,6,10
