,group,variable,month,TOTAL 19.1 DPT 1RA DOSIS CANTIDAD,TOTAL 19.1 DPT 1RA DOSIS CANTIDAD,TOTALES
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,10,62,72
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,1,0,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,2,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,3,2,5
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,7,23,30
RAVELO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,4,8,12
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,25,0,25
SACABA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,10,1,11
SAN AGUSTIN,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,1,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,8,10,18
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,4,4
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,1,1
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,1,2,3
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,29,33,62
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,13,13
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,7,29,36
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,13,9,22
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,5,5
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,12,114,126
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,4,18,22
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,95,52,147
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,5,5
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,1,8,9
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,3,3
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,2,2
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,3,2,5
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,8,7,15
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,6,1,7
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,2,2,4
SORACACHI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,13,2,15
TACACOMA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,1,3,4
TAPACARI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,9,6,15
TARIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,3,2,5
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,6,3,9
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,2,2
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,1,1,2
TOLEDO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,11,11
TOMINA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,3,3
TORO TORO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,12,1,13
TUPIZA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,1,0,1
UMALA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,1,6,7
UNCIA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,1,5,6
URUBICHA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,18,18
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,4,0,4
VIACHA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,42,163,205
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,2,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,8,1,9
WARNES,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,1,1,2
YAMPARAEZ,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,1,0,1
YAPACANI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,6,3,9
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,1,2
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,0,1
APOLO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,1,1
ARBIETO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,1,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,11,3,14
ATOCHA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,0,1
AYATA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,3,0,3
AYO AYO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,5,5
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,2,6,8
BELEN DE URMIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,1,2
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,5,0,5
CABEZAS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,3,3
CAJUATA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,0,1
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,9,3,12
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,12,1,13
CARAPARI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,2,0,2
CHAQUI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,2,2
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,4,12,16
CHIMORE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,7,3,10
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,3,4
COBIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,2,0,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,86,1,87
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,0,1
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,14,14
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,2,2
CORIPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,2,2
CUEVO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,2,3
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,26,13,39
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,5,5
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,0,1
EXALTACION,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,2,0,2
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,1,1
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,3,3
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,3,6,9
GUANAY,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,3,6,9
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,6,6
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,6,7
HUATAJATA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,0,1
ICHOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,3,4
ICLA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,0,1
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,2,0,2
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,3,0,3
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,2,0,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,35,9,44
LAJA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,0,1
LICOMA PAMPA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,4,0,4
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,14,15
LORETO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,2,0,2
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,2,2
MECAPACA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,2,0,2
MOCOMOCO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,2,2
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,1,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,57,2,59
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,5,5
OCURI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,36,36
PADILLA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,1,1
PAILON,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,4,8,12
PALCA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,3,4
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,3,0,3
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,1,1
PAPEL PAMPA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,10,7,17
PASORAPA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,3,0,3
PATACAMAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,17,1,18
POCOATA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,3,3
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,5,6,11
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,4,1,5
POTOSI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,5,7,12
PUERTO ACOSTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,4,4
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,2,10,12
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,0,1
PUNA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,7,10,17
QUIME,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,1,1
RAVELO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,3,3
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,43,117,160
ROBORE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,3,0,3
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,15,4,19
SAN AGUSTIN,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,0,1
SAN ANDRES DE MACHACA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,1,1
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,2,2
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,3,4
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,29,1,30
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,0,1
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,6,7,13
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,3,4
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,5,3,8
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,11,8,19
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,1,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,7,22,29
SAN PABLO DE LIPEZ,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,44,45
SAN PEDRO(PND),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,1,1
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,86,21,107
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,1,2
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,2,1,3
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,2,0,2
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,2,2
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,2,2,4
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,27,11,38
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,13,1,14
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,3,3,6
SORACACHI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,1,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,6,2,8
TAPACARI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,7,8,15
TARIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,2,1,3
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,4,4,8
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,3,2,5
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,2,0,2
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,1,1
TOMAVE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,6,6
TORO TORO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,5,5
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,7,26,33
UMALA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,3,2,5
UNCIA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,2,0,2
VIACHA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,9,2,11
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,5,5
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,5,0,5
VINTO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,16,1,17
WARNES,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,0,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,1,0,1
YAPACANI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,13,1,14
YUNGUYO DE LITORAL,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-06-01,0,1,1
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,2,0,2
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,1,1,2
ALALAY,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,1,5,6
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,3,0,3
ATOCHA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,0,3,3
AYATA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,5,13,18
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,0,1,1
BERMEJO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,1,0,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,28,32,60
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,0,3,3
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,1,1,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,6,0,6
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,3,0,3
CARANAVI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,21,0,21
CATACORA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,1,1,2
CHACARILLA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,1,0,1
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,3,0,3
CHUMA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,1,4,5
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,114,4,118
COLOMI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,2,1,3
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,12,3,15
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,0,2,2
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,1,4,5
CUEVO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,2,1,3
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,2,0,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,35,33,68
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,0,1,1
EUCALIPTUS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,5,0,5
EXALTACION,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,2,0,2
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,8,11,19
GUANAY,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,4,4,8
HUACARETA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,2,0,2
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,2,0,2
HUATAJATA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,1,0,1
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,0,11,11
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,0,3,3
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,2,3,5
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,2,0,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,128,17,145
LURIBAY,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,0,1,1
MALLA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,0,1,1
MECAPACA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,0,5,5
MINEROS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,2,0,2
MIZQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,1,1,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,33,4,37
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,0,1,1
OCURI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,0,2,2
OKINAWA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,1,0,1
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,1,1,2
ORURO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,2,1,3
PAILON,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,3,3,6
PALCA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,47,0,47
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,1,0,1
PAPEL PAMPA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,8,3,11
PATACAMAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,13,11,24
PAZÑA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,2,0,2
POCOATA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,0,5,5
PORONGO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,1,1,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,13,1,14
PUERTO ACOSTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,2,0,2
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,1,0,1
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-07-01,2,1,3
