,group,variable,month,TOTAL 19.8 ANTIPOLIOMIELÍTICA 4TA DOSIS CANTIDAD,TOTAL 19.8 ANTIPOLIOMIELÍTICA 4TA DOSIS CANTIDAD,TOTALES
TARABUCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,0,1,1
TARATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,2,9,11
TARIJA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,40,27,67
TARVITA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,2,2,4
TEOPONTE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,4,0,4
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,2,0,2
TIPUANI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,12,12,24
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,16,16,32
TOCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,4,2,6
TOLATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,2,3,5
TOMAVE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,0,1,1
TOMINA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,0,1,1
TORO TORO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,0,1,1
TRIGAL,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,57,14,71
TUPIZA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,12,2,14
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,3,2,5
URUBICHA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,3,0,3
UYUNI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,0,3,3
VACAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,3,6,9
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,2,0,2
VIACHA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,8,0,8
VILA VILA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,0,1,1
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,3,16,19
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,4,5,9
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,9,4,13
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,39,9,48
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,5,0,5
VILLAZON,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,18,13,31
VINTO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,38,16,54
WARNES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,57,15,72
YACUIBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,30,41,71
YAMPARAEZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,0,1,1
YOTALA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,5,4,9
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-07-01,4,1,5
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,9,13,22
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,13,7,20
AIQUILE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,4,5,9
ALALAY,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,0,1
ALCALA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,2,3
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,0,1
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,2,1,3
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,2,1,3
ANTEQUERA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,2,1,3
ANZALDO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,0,4,4
ARANI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,5,0,5
ARBIETO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,2,7,9
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,10,2,12
ATOCHA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,2,3
AYATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,4,6,10
AZURDUY,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,6,3,9
BATALLAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,27,9,36
BAURES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,2,0,2
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,3,4
BERMEJO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,4,32,36
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,3,3,6
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,0,2,2
BOLPEBRA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,0,3,3
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,2,1,3
CABEZAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,4,23,27
CAIROMA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,5,6,11
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,4,2,6
CAJUATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,0,1,1
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,4,2,6
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,7,0,7
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,7,13,20
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,2,3
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,4,2,6
CARANAVI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,2,4,6
CARAPARI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,3,4
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,16,4,20
CHAQUI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,1,2
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,17,19,36
CHIMORE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,4,0,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,11,5,16
CHUMA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,0,26,26
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,4,4,8
CLIZA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,3,6,9
COBIJA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,30,3,33
COCAPATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,2,12,14
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,227,145,372
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,25,8,33
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,12,1,13
COLOMI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,6,2,8
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,5,6,11
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,3,4,7
COMARAPA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,5,0,5
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,7,11,18
COPACABANA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,3,3,6
CORIPATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,0,1
CORQUE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,2,0,2
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,4,25,29
COTOCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,21,24,45
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,15,6,21
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,6,0,6
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,1,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,216,717,933
EL CHORO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,0,1,1
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,13,12,25
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,0,2,2
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,13,0,13
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,1,2
ESCOMA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,3,0,3
EUCALIPTUS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,1,2
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,6,0,6
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,5,6
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,2,3
GUANAY,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,25,35,60
GUAQUI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,14,8,22
HUACARETA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,4,12,16
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,10,9,19
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,8,0,8
HUARINA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,3,6,9
HUATAJATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,5,1,6
ICHOCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,0,3,3
ICLA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,4,5,9
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,7,6,13
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,0,1,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,5,6
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,3,0,3
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,15,5,20
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,37,1,38
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,250,26,276
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,0,1
LAJA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,3,0,3
LICOMA PAMPA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,3,0,3
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,5,13,18
LORETO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,5,0,5
MACHACAMARCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,0,1
MACHARETI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,3,0,3
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,9,3,12
MAPIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,21,1,22
MECAPACA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,2,13,15
MINEROS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,12,0,12
MIZQUE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,9,23,32
MOCOMOCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,11,25,36
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,6,1,7
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,2,0,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,63,5,68
MORO MORO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,0,1,1
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,6,7,13
OKINAWA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,8,1,9
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,3,4
ORURO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,79,14,93
PADCAYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,4,1,5
PADILLA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,1,2
PAILON,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,3,9,12
PALCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,1,2
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,52,48,100
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,3,0,3
PASORAPA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,1,2
PAZÑA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,2,0,2
POCONA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,10,9,19
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,3,0,3
POOPO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,12,0,12
POROMA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,8,9
PORONGO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,9,1,10
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,35,5,40
PORVENIR,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,0,8,8
POSTRER VALLE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,1,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,70,71,141
PRESTO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,10,8,18
PUCARANI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,29,44,73
PUERTO ACOSTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,4,5
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,3,3,6
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,2,1,3
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,10,3,13
PUNA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,3,7,10
PUNATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,5,5,10
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,26,49,75
QUIME,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,0,1
QUIRUSILLAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,0,1
REYES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,2,1,3
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,23,8,31
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,10,7,17
SACABA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,45,13,58
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,0,1
SACACA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,8,4,12
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,4,3,7
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,7,2,9
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,4,9,13
SAN ANDRES DE MACHACA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,0,2,2
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,0,1,1
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,8,1,9
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,21,29,50
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,6,4,10
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,4,0,4
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,30,4,34
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,0,2,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,9,4,13
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,18,6,24
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,2,1,3
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,14,1,15
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,23,9,32
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,1,2
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,43,4,47
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,1,2
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,2,0,2
SAN PEDRO(PND),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,0,1,1
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,0,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,7,0,7
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,12,2,14
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,754,135,889
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,6,2,8
SANTIAGO DE CALLAPA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,4,4,8
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,0,1,1
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,1,0,1
SENA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,19,0,19
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,4,4,8
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,2,2,4
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,15,22,37
SORACACHI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,0,1,1
SORATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,5,12,17
SUCRE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,178,34,212
TACACHI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,0,4,4
TACACOMA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,2,0,2
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,6,7,13
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,2,2,4
TARABUCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,2,2,4
TARACO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,4,3,7
TARATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,2,0,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,27,15,42
TARVITA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,0,1,1
TEOPONTE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-08-01,10,6,16
