,group,variable,month,TOTAL 19.3 DPT 3RA DOSIS CANTIDAD,TOTAL 19.3 DPT 3RA DOSIS CANTIDAD,TOTALES
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,1,1,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,11,0,11
PUNATA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,1,1,2
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,0,2,2
SABAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,0,1,1
SACABA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,1,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,2,1,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,2,0,2
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,12,0,12
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,31,53,84
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,1,0,1
SENA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,4,1,5
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,2,27,29
SORATA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,0,2,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,7,0,7
TARIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,2,0,2
UMALA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,3,0,3
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,3,0,3
VINTO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,3,0,3
YACUIBA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,1,0,1
YAPACANI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,0,2,2
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,1,1,2
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,2,1,3
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,0,1,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,1,1,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,0,2,2
COCAPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,5,2,7
CORIPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,8,20,28
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,0,2,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,3,2,5
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,1,6,7
LORETO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,3,0,3
POTOSI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,1,2,3
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,17,0,17
PUNA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,0,6,6
PUNATA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,2,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,6,22,28
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,2,4,6
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,49,37,86
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,2,0,2
SORATA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,0,2,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,0,3,3
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,0,1,1
TARABUCO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,0,2,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,0,2,2
TODOS SANTOS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,3,6,9
UYUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,1,0,1
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,5,1,6
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,4,1,5
WARNES,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,3,0,3
YAPACANI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-11-01,0,3,3
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,1,2,3
AYO AYO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,0,3,3
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,0,1,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,1,0,1
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,2,1,3
COCAPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,10,9,19
COLOMI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,1,0,1
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,2,0,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,18,14,32
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,2,0,2
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,1,5,6
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,0,1,1
HUACARETA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,1,2,3
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,0,1,1
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,3,1,4
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,0,7,7
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,1,19,20
MINEROS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,2,0,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,7,1,8
OCURI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,0,2,2
ORURO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,4,4,8
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,0,2,2
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,1,0,1
POCOATA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,0,5,5
POOPO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,5,0,5
PORCO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,0,2,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,5,5,10
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,1,1,2
REYES,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,0,1,1
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,0,3,3
SACABA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,1,1,2
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,0,1,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,1,0,1
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,5,0,5
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,1,0,1
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,30,13,43
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,1,0,1
SENA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,2,0,2
SORATA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,0,2,2
TOMAVE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,0,1,1
UMALA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,1,5,6
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,2,0,2
VILLAZON,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,1,0,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,0,1,1
YAPACANI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-12-01,6,0,6
