municipality,group,variable,month,Partos atendidos por personal de salud,TOTAL
TIAWANACU,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,3,3
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,19,19
TIQUIPAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,2,2
TIRAQUE (CBBA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,2,2
TITO YUPANQUI (PARQUIPUJIO),atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,1,1
TOCO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,1,1
TOLATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,2,2
TOLEDO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,5,5
TOMAVE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,5,5
TOMINA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,6,6
TORO TORO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,8,8
TOTORA(CBBA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,1,1
TOTORA(ORR),atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,3,3
TRINIDAD,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,2,2
TUPIZA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,19,19
TURCO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,2,2
UMALA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,2,2
UNCIA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,16,16
UYUNI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,3,3
VACAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,1,1
VIACHA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,7,7
VILA VILA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,2,2
VILLA MONTES,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,1,1
VILLA SERRANO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,4,4
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,6,6
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,3,3
VILLAZON,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,3,3
VINTO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,1,1
VITICHI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,5,5
WALDO BALLIVIAN,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,4,4
WARNES,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,2,2
YACO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,5,5
YACUIBA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,1,1
YANACACHI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,1,1
YAPACANI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,1,1
YOCALLA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,4,4
YUNCHARA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-06-01,3,3
ACACIO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
ACHACACHI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,27,27
AIQUILE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,6,6
ALALAY,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
ALCALA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
ANCORAIMES,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,4,4
ANDAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
ANZALDO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,5,5
APOLO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,7,7
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,4,4
ARANI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
ARBIETO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,12,12
ATOCHA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
AUCAPATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
AYATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,17,17
AZURDUY,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,19,19
BATALLAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,7,7
BAURES,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
BELEN DE ANDAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
BELEN DE URMIRI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
BELLA FLOR,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
BETANZOS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,19,19
BOLIVAR,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,7,7
CAIROMA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,8,8
"CAIZA ""D""",atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
CAJUATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
CALACOTO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
CALAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,12,12
CAMARGO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
CAMIRI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
CAPINOTA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,4,4
CAQUIAVIRI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,7,7
CARACOLLO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,7,7
CARANAVI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,18,18
CARAPARI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
CARIPUYO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,14,14
CHAQUI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,9,9
CHARAGUA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,11,11
CHARAÑA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
CHAYANTA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,7,7
CHIMORE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
CHIPAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
CHUMA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,7,7
CLIZA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
COCHABAMBA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,20,20
COLLANA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
COLOMI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,18,18
COLQUENCHA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,5,5
COLQUIRI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,13,13
COMANCHE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
COMARAPA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
COMBAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
CONCEPCION,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
COPACABANA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
CORIPATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,5,5
CORO CORO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,5,5
COROICO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
CORQUE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,4,4
COTAGAITA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,18,18
CUATRO CAÑADAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,4,4
CUEVO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
CULPINA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,18,18
CURAHUARA DE CARANGAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
CURVA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
EL ALTO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,14,14
EL CHORO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
EL PUENTE(TJA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
EL TORNO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
EL VILLAR,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
ENTRE RIOS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,9,9
ENTRE RIOS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
EUCALIPTUS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
EUREKA (SANTOS MERCADO),atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
EXALTACION,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
FILADELFIA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,4,4
GENERAL SAAVEDRA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,8,8
GUAQUI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,4,4
GUTIERREZ,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,7,7
HUACARETA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,8,8
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
HUANUNI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,4,4
HUAYLLAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
ICHOCA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
ICLA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
INCAHUASI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,24,24
INGAVI (HUMAITA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
INQUISIVI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,7,7
JESUS DE MACHACA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,5,5
LA ASUNTA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,9,9
LA GUARDIA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
LA PAZ,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
LA RIVERA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
LAGUNILLAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
LAJA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,9,9
LAS CARRERAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
LLICA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
LORETO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
LURIBAY,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,7,7
MACHARETI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,4,4
MAGDALENA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,4,4
MALLA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
MAPIRI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
MECAPACA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
MINEROS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
MIZQUE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,7,7
MOCOMOCO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,7,7
MOJINETE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
MOJOCOYA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,7,7
MOROCHATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,29,29
OCURI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,20,20
OMEREQUE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
ORURO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,5,5
PADCAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,10,10
PADILLA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,5,5
PAILON,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,9,9
PAMPA AULLAGAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
PAMPA GRANDE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
PAPEL PAMPA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,6,6
PASORAPA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
PATACAMAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,5,5
PAZÑA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,5,5
PELECHUCO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,8,8
POCOATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,15,15
POJO (CBBA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
PORCO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
POROMA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,10,10
PORVENIR,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
POSTRER VALLE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
POTOSI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
PRESTO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,4,4
PUCARANI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,23,23
PUERTO ACOSTA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,14,14
PUERTO CARABUCO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
PUERTO GONZALO MORENO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
PUERTO PEREZ,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
PUERTO VILLARROEL,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,5,5
PUNA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,26,26
PUNATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
QUIABAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
QUILLACOLLO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
QUIME,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,12,12
REYES,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,5,5
RIBERALTA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
ROBORE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
RURRENABAQUE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
SABAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
SACABA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,8,8
SACABAMBA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
SACACA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,4,4
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,7,7
SAN AGUSTIN,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,5,5
SAN ANDRES,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
SAN ANDRES DE MACHACA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
SAN BORJA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
SAN BUENA VENTURA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,9,9
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,6,6
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
SAN JAVIER(BNI),atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
SAN JUAN DE YAPACANI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
SAN JULIAN,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,6,6
SAN LORENZO(PND),atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,7,7
SAN LORENZO(TJA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,7,7
SAN LUCAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,32,32
SAN MATIAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
SAN PABLO DE LIPEZ,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
SAN PEDRO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,4,4
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
SAN PEDRO DE TIQUINA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,5,5
SAN PEDRO(PND),atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
SAN RAFAEL,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
SANTA ANA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
SANTA ROSA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
SANTA ROSA DEL SARA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
SANTIAGO DE HUARI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
SANTIAGO DE MACHACA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
SANTIVAÑES,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
SANTUARIO DE QUILLACAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,5,5
SAPAHAQUI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
SENA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
SICA SICA (VILLA AROMA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,14,14
SICAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
SIPE SIPE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
SOPACHUY,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
SORACACHI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,6,6
SORATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,5,5
SUCRE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,11,11
TACACHI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
TACOBAMBA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
TACOPAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
TAHUA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
TAPACARI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,29,29
TARABUCO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,14,14
TARACO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
TARATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
TARIJA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
TARVITA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,15,15
TEOPONTE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
TIAWANACU,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,26,26
TIQUIPAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,6,6
TITO YUPANQUI (PARQUIPUJIO),atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
TOLEDO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
TOMAVE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,8,8
TOMINA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,6,6
TORO TORO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,9,9
TOTORA(CBBA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,9,9
TOTORA(ORR),atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,4,4
TRINIDAD,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
TUPIZA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,11,11
UMALA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
UNCIA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,22,22
UYUNI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
VACAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,9,9
VIACHA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,5,5
VILA VILA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,4,4
VILLA MONTES,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
VILLA SERRANO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,7,7
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,8,8
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
VILLAZON,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,4,4
VINTO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
VITICHI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,11,11
WALDO BALLIVIAN,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,2,2
YACO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,7,7
YACUIBA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
YANACACHI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
YAPACANI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
YOCALLA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,1,1
YUNCHARA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,9,9
ZUDAÑEZ,atencion de partos en domicilio,partos atendidos por personal de salud,2005-07-01,3,3
ACACIO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-08-01,1,1
ACHACACHI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-08-01,29,29
AIQUILE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-08-01,3,3
ALCALA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-08-01,1,1
ANCORAIMES,atencion de partos en domicilio,partos atendidos por personal de salud,2005-08-01,9,9
ANDAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-08-01,3,3
ANTEQUERA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-08-01,1,1
ANZALDO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-08-01,5,5
APOLO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-08-01,6,6
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-08-01,6,6
ARANI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-08-01,6,6
ARBIETO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-08-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-08-01,3,3
ATOCHA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-08-01,1,1
AUCAPATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-08-01,5,5
AYATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-08-01,2,2
AYO AYO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-08-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-08-01,11,11
AZURDUY,atencion de partos en domicilio,partos atendidos por personal de salud,2005-08-01,13,13
BATALLAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-08-01,10,10
BAURES,atencion de partos en domicilio,partos atendidos por personal de salud,2005-08-01,2,2
BELEN DE ANDAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-08-01,1,1
BELEN DE URMIRI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-08-01,3,3
BELLA FLOR,atencion de partos en domicilio,partos atendidos por personal de salud,2005-08-01,1,1
BETANZOS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-08-01,14,14
BOLIVAR,atencion de partos en domicilio,partos atendidos por personal de salud,2005-08-01,6,6
BOYUIBE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-08-01,1,1
BUENA VISTA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-08-01,1,1
CAIROMA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-08-01,3,3
"CAIZA ""D""",atencion de partos en domicilio,partos atendidos por personal de salud,2005-08-01,2,2
