municipality,group,variable,month,Pacientes contrarreferidos al establecimiento,TOTAL
INCAHUASI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,6,6
JESUS DE MACHACA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1,1
LA ASUNTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,4,4
LA GUARDIA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,42,42
LA PAZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,2398,2398
LAGUNILLAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,11,11
LAJA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1,1
LAS CARRERAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1,1
MACHACAMARCA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,2,2
MACHARETI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,3,3
MAIRANA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,6,6
MINEROS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,2,2
MIZQUE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,2,2
MOCOMOCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1,1
MOJOCOYA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,2,2
MONTEAGUDO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,2,2
MONTERO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,203,203
OCURI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,5,5
ORURO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1067,1067
PADCAYA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,6,6
PAILON,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1,1
PAZÑA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,2,2
POCOATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,2,2
POOPO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,12,12
POROMA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,2,2
PORTACHUELO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,3,3
POTOSI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,177,177
PRESTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,5,5
PUERTO GONZALO MORENO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,3,3
PUERTO PEREZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1,1
PUERTO RICO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1,1
PUERTO SUAREZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,2,2
PUERTO VILLARROEL,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,9,9
PUNATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,21,21
QUILLACOLLO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,68,68
QUIME,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1,1
QUIRUSILLAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,2,2
RAVELO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1,1
RIBERALTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,30,30
ROBORE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,3,3
RURRENABAQUE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,6,6
SACABA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,17,17
SALINAS DE GARCI MENDOZA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,2,2
SAMAIPATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,5,5
SAN BUENA VENTURA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,25,25
SAN CARLOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,17,17
SAN IGNACIO DE VELASCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,3,3
SAN JAVIER(STC),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1,1
SAN JUAN DE YAPACANI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,2,2
SAN LORENZO(PND),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1,1
SAN LORENZO(TJA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,9,9
SAN LUCAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,18,18
SAN MIGUEL DE VELASCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,5,5
SAN PEDRO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,2,2
SANTA CRUZ DE LA SIERRA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1690,1690
SANTA ROSA DEL SARA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,3,3
SENA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1,1
SHINAOTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,18,18
SOPACHUY,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,4,4
SORACACHI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,2,2
SUCRE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,41,41
TACOPAYA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1,1
TARABUCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,4,4
TARIJA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,82,82
TARVITA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,2,2
TIAHUANACU,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,4,4
TOLEDO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1,1
TOMINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,4,4
TRINIDAD,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,493,493
TUPIZA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,291,291
URIONDO (A. CONCEPCION),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,8,8
URUBICHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,4,4
VIACHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,6,6
VILA VILA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1,1
VILLA CHARCAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1,1
VILLA MONTES,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,11,11
VILLA NUEVA (LOMA ALTA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,2,2
VILLA SERRANO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,3,3
VILLA TUNARI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,8,8
VILLAZON,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,8,8
VINTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1,1
WALDO BALLIVIAN,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1,1
WARNES,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,320,320
YACUIBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,24,24
YAMPARAEZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1,1
YAPACANI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,2,2
ZUDAÑEZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,6,6
ACHACACHI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,2,2
ALCALA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,7,7
ALTO BENI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
ANTEQUERA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,2,2
ASCENCION DE GUARAYOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,20,20
ATOCHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,5,5
AYATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
BELLA FLOR,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
BERMEJO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,89,89
BETANZOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,2,2
BUENA VISTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,2,2
"CAIZA ""D""",referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,2,2
CAJUATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,2,2
CALAMARCA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
CAMARGO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,2,2
CAMATAQUI (C. VILLA ABECIA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,8,8
CAMIRI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,9,9
CAPINOTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,6,6
CARANAVI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,6,6
CARAPARI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
CARIPUYO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
CARMEN RIVERO TORREZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,6,6
CHALLAPATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,11,11
CHARAGUA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,2,2
CHIMORE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
CHULUMANI (V. DE LA LIBERTAD),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,2,2
CKOCHAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,6,6
COBIJA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,55,55
COCAPATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
COCHABAMBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,523,523
COLCAPIRHUA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
COLPA BELGICA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
COLQUIRI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,9,9
COMARAPA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,2,2
CONCEPCION,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,3,3
CORIPATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,12,12
CORO CORO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
COROICO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,6,6
COTAGAITA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,4,4
COTOCA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,255,255
CUEVO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
CULPINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,3,3
EL ALTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,946,946
EL CHORO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
EL PUENTE(STC),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,4,4
EL PUENTE(TJA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,4,4
EL TORNO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,48,48
EL VILLAR,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,2,2
ENTRE RIOS TRJ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,3,3
ENTRE RIOS CBBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,6,6
FERNANDEZ ALONSO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,6,6
GENERAL SAAVEDRA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,11,11
GUAYARAMERIN,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,150,150
GUTIERREZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,7,7
HUANUNI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,3,3
HUATAJATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
INCAHUASI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,9,9
INQUISIVI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
JESUS DE MACHACA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
LA GUARDIA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,47,47
LA PAZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,2181,2181
LAGUNILLAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,8,8
LAS CARRERAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,3,3
LICOMA PAMPA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
LLALLAGUA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
MAIRANA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,2,2
MINEROS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,2,2
MOJOCOYA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,5,5
MONTEAGUDO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,7,7
MONTERO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,250,250
MORO MORO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
OCURI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,6,6
OKINAWA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,2,2
ORURO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1243,1243
PADCAYA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,2,2
PADILLA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,2,2
PAILON,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,2,2
PALOS BLANCOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
PAZÑA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,2,2
POCOATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,2,2
POCONA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
POOPO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,7,7
POROMA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,10,10
PORTACHUELO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,2,2
PORVENIR,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
POTOSI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,202,202
PRESTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,3,3
PUCARANI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
PUERTO GONZALO MORENO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,3,3
PUERTO RICO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
PUERTO VILLARROEL,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,4,4
PUNATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,10,10
QUILLACOLLO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,53,53
QUIRUSILLAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
RAVELO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,4,4
RIBERALTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,19,19
ROBORE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
RURRENABAQUE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,2,2
SACABA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,23,23
SAIPINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,13,13
SAMAIPATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,3,3
SAN BUENA VENTURA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
SAN CARLOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,17,17
SAN JAVIER(STC),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,2,2
SAN JUAN DE YAPACANI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
SAN JULIAN,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,3,3
SAN LORENZO(PND),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,2,2
SAN LORENZO(TJA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,10,10
SAN LUCAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,23,23
SAN MIGUEL DE VELASCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,4,4
SAN PEDRO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,3,3
SAN PEDRO DE MACHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
SAN PEDRO DE QUEMES,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1187,1187
SANTUARIO DE QUILLACAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
SENA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,5,5
SHINAOTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,25,25
SOPACHUY,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,2,2
SORACACHI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,4,4
SORATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
SUCRE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,54,54
TARABUCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,5,5
TARACO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
TARIJA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,80,80
TARVITA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
TOLEDO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,3,3
TOMINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,5,5
TOTORA(ORR),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
TRIGAL,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
TRINIDAD,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,412,412
TUPIZA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,50,50
URIONDO (A. CONCEPCION),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,6,6
URUBICHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,4,4
UYUNI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
VIACHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,3,3
VILLA MONTES,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,14,14
VILLA SERRANO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,3,3
VILLA TUNARI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,4,4
VILLAZON,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,8,8
VINTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,3,3
VITICHI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
WARNES,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,2,2
YACUIBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,25,25
YAMPARAEZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
YANACACHI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,1,1
ZUDAÑEZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-06-01,6,6
ACHACACHI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,2,2
AIQUILE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
ALCALA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,6,6
ANDAMARCA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,3,3
ANTEQUERA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,4,4
ARAMPAMPA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
ARBIETO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,4,4
ASCENCION DE GUARAYOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,24,24
ATOCHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,3,3
AZURDUY,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
BELLA FLOR,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
BERMEJO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,146,146
BETANZOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,4,4
BOYUIBE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
BUENA VISTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,6,6
CABEZAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
"CAIZA ""D""",referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,2,2
CALAMARCA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
CAMATAQUI (C. VILLA ABECIA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,6,6
CAMIRI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,20,20
CAPINOTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,5,5
CARACOLLO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
CARANAVI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,4,4
CARAPARI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,3,3
CARMEN RIVERO TORREZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,6,6
CHALLAPATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,27,27
CHARAGUA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
CHULUMANI (V. DE LA LIBERTAD),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,3,3
COBIJA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,85,85
COCHABAMBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,951,951
COLCAPIRHUA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
"COLCHA ""K""",referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
COLLANA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
COLPA BELGICA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
COMARAPA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,4,4
CONCEPCION,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,3,3
COPACABANA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
CORIPATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,8,8
COROICO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,4,4
COTAGAITA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,9,9
COTOCA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,277,277
CUATRO CAÑADAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,4,4
CUEVO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
CULPINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,10,10
EL ALTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,822,822
EL CHORO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
EL PUENTE(STC),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,12,12
EL PUENTE(TJA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,2,2
EL TORNO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,37,37
ENTRE RIOS TRJ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,4,4
