,group,variable,month,TOTAL 4.3 REPETIDAS TOTAL 4.3 REPETIDAS,TOTAL 4.3 REPETIDAS TOTAL 4.3 REPETIDAS,TOTALES
MONTERO,consultas prenatales, repetidas,2014-06-01,967,1,968
MORO MORO,consultas prenatales, repetidas,2014-06-01,6,5,11
MOROCHATA,consultas prenatales, repetidas,2014-06-01,37,9,46
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales, repetidas,2014-06-01,23,0,23
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales, repetidas,2014-06-01,12,1,13
OCURI,consultas prenatales, repetidas,2014-06-01,56,21,77
OKINAWA,consultas prenatales, repetidas,2014-06-01,101,0,101
OMEREQUE,consultas prenatales, repetidas,2014-06-01,24,3,27
ORURO,consultas prenatales, repetidas,2014-06-01,2936,0,2936
PADCAYA,consultas prenatales, repetidas,2014-06-01,108,6,114
PADILLA,consultas prenatales, repetidas,2014-06-01,57,7,64
PAILON,consultas prenatales, repetidas,2014-06-01,161,1,162
PALCA,consultas prenatales, repetidas,2014-06-01,97,3,100
PALOS BLANCOS,consultas prenatales, repetidas,2014-06-01,235,0,235
PAMPA AULLAGAS,consultas prenatales, repetidas,2014-06-01,19,2,21
PAMPA GRANDE,consultas prenatales, repetidas,2014-06-01,49,0,49
PAPEL PAMPA,consultas prenatales, repetidas,2014-06-01,16,4,20
PASORAPA,consultas prenatales, repetidas,2014-06-01,8,1,9
PATACAMAYA,consultas prenatales, repetidas,2014-06-01,174,1,175
PAZÑA,consultas prenatales, repetidas,2014-06-01,28,4,32
PELECHUCO,consultas prenatales, repetidas,2014-06-01,31,1,32
POCOATA,consultas prenatales, repetidas,2014-06-01,77,62,139
POCONA,consultas prenatales, repetidas,2014-06-01,53,2,55
POJO (CBBA),consultas prenatales, repetidas,2014-06-01,67,0,67
POOPO,consultas prenatales, repetidas,2014-06-01,24,0,24
PORCO,consultas prenatales, repetidas,2014-06-01,90,2,92
POROMA,consultas prenatales, repetidas,2014-06-01,57,32,89
PORONGO,consultas prenatales, repetidas,2014-06-01,37,2,39
PORTACHUELO,consultas prenatales, repetidas,2014-06-01,209,4,213
PORVENIR,consultas prenatales, repetidas,2014-06-01,36,2,38
POSTRER VALLE,consultas prenatales, repetidas,2014-06-01,4,1,5
POTOSI,consultas prenatales, repetidas,2014-06-01,1881,4,1885
PRESTO,consultas prenatales, repetidas,2014-06-01,35,19,54
PUCARA,consultas prenatales, repetidas,2014-06-01,2,0,2
PUCARANI,consultas prenatales, repetidas,2014-06-01,136,11,147
PUERTO ACOSTA,consultas prenatales, repetidas,2014-06-01,24,10,34
PUERTO CARABUCO,consultas prenatales, repetidas,2014-06-01,26,7,33
PUERTO GONZALO MORENO,consultas prenatales, repetidas,2014-06-01,35,3,38
PUERTO PEREZ,consultas prenatales, repetidas,2014-06-01,17,5,22
PUERTO QUIJARRO,consultas prenatales, repetidas,2014-06-01,64,0,64
PUERTO RICO,consultas prenatales, repetidas,2014-06-01,64,0,64
PUERTO SILES,consultas prenatales, repetidas,2014-06-01,3,0,3
PUERTO SUAREZ,consultas prenatales, repetidas,2014-06-01,142,1,143
PUERTO VILLARROEL,consultas prenatales, repetidas,2014-06-01,588,0,588
PUNA,consultas prenatales, repetidas,2014-06-01,71,16,87
PUNATA,consultas prenatales, repetidas,2014-06-01,276,3,279
QUIABAYA,consultas prenatales, repetidas,2014-06-01,26,0,26
QUILLACOLLO,consultas prenatales, repetidas,2014-06-01,1072,54,1126
QUIME,consultas prenatales, repetidas,2014-06-01,67,0,67
QUIRUSILLAS,consultas prenatales, repetidas,2014-06-01,9,0,9
RAVELO,consultas prenatales, repetidas,2014-06-01,67,23,90
REYES,consultas prenatales, repetidas,2014-06-01,81,23,104
RIBERALTA,consultas prenatales, repetidas,2014-06-01,989,34,1023
ROBORE,consultas prenatales, repetidas,2014-06-01,137,0,137
RURRENABAQUE,consultas prenatales, repetidas,2014-06-01,112,0,112
SABAYA,consultas prenatales, repetidas,2014-06-01,6,2,8
SACABA,consultas prenatales, repetidas,2014-06-01,1229,1,1230
SACABAMBA,consultas prenatales, repetidas,2014-06-01,19,2,21
SACACA,consultas prenatales, repetidas,2014-06-01,68,10,78
SAIPINA,consultas prenatales, repetidas,2014-06-01,62,2,64
SALINAS DE GARCI MENDOZA,consultas prenatales, repetidas,2014-06-01,51,24,75
SAMAIPATA,consultas prenatales, repetidas,2014-06-01,77,2,79
SAN AGUSTIN,consultas prenatales, repetidas,2014-06-01,8,0,8
SAN ANDRES,consultas prenatales, repetidas,2014-06-01,33,6,39
SAN ANDRES DE MACHACA,consultas prenatales, repetidas,2014-06-01,5,4,9
SAN ANTONIO DE ESMORUCO,consultas prenatales, repetidas,2014-06-01,9,1,10
SAN ANTONIO DE LOMERIO,consultas prenatales, repetidas,2014-06-01,19,24,43
SAN BENITO,consultas prenatales, repetidas,2014-06-01,80,0,80
SAN BORJA,consultas prenatales, repetidas,2014-06-01,254,12,266
SAN BUENA VENTURA,consultas prenatales, repetidas,2014-06-01,91,1,92
SAN CARLOS,consultas prenatales, repetidas,2014-06-01,142,0,142
SAN IGNACIO,consultas prenatales, repetidas,2014-06-01,188,1,189
SAN IGNACIO DE VELASCO,consultas prenatales, repetidas,2014-06-01,290,22,312
SAN JAVIER(BNI),consultas prenatales, repetidas,2014-06-01,16,1,17
SAN JAVIER(STC),consultas prenatales, repetidas,2014-06-01,102,0,102
SAN JOAQUIN,consultas prenatales, repetidas,2014-06-01,10,6,16
SAN JOSE DE CHIQUITOS,consultas prenatales, repetidas,2014-06-01,154,0,154
SAN JUAN DE YAPACANI,consultas prenatales, repetidas,2014-06-01,44,1,45
SAN JULIAN,consultas prenatales, repetidas,2014-06-01,376,7,383
SAN LORENZO(PND),consultas prenatales, repetidas,2014-06-01,7,8,15
SAN LORENZO(TJA),consultas prenatales, repetidas,2014-06-01,131,12,143
SAN LUCAS,consultas prenatales, repetidas,2014-06-01,160,56,216
SAN MATIAS,consultas prenatales, repetidas,2014-06-01,85,3,88
SAN MIGUEL DE VELASCO,consultas prenatales, repetidas,2014-06-01,80,9,89
SAN PABLO DE LIPEZ,consultas prenatales, repetidas,2014-06-01,19,1,20
SAN PEDRO,consultas prenatales, repetidas,2014-06-01,115,0,115
SAN PEDRO DE BUENA VISTA,consultas prenatales, repetidas,2014-06-01,42,54,96
SAN PEDRO DE CURAHUARA,consultas prenatales, repetidas,2014-06-01,8,5,13
SAN PEDRO DE QUEMES,consultas prenatales, repetidas,2014-06-01,7,0,7
SAN PEDRO DE TIQUINA,consultas prenatales, repetidas,2014-06-01,24,0,24
SAN PEDRO(PND),consultas prenatales, repetidas,2014-06-01,1,4,5
SAN RAFAEL,consultas prenatales, repetidas,2014-06-01,43,2,45
SAN RAMON BENI,consultas prenatales, repetidas,2014-06-01,34,0,34
SAN RAMON SCZ,consultas prenatales, repetidas,2014-06-01,74,0,74
SANTA ANA,consultas prenatales, repetidas,2014-06-01,227,0,227
SANTA CRUZ DE LA SIERRA,consultas prenatales, repetidas,2014-06-01,10718,14,10732
SANTA ROSA,consultas prenatales, repetidas,2014-06-01,43,0,43
SANTA ROSA DEL SARA,consultas prenatales, repetidas,2014-06-01,95,0,95
SANTIAGO DE CALLAPA,consultas prenatales, repetidas,2014-06-01,5,6,11
SANTIAGO DE HUARI,consultas prenatales, repetidas,2014-06-01,76,4,80
SANTIAGO DE HUATA,consultas prenatales, repetidas,2014-06-01,23,0,23
SANTIAGO DE MACHACA,consultas prenatales, repetidas,2014-06-01,22,0,22
SANTIVAÑES,consultas prenatales, repetidas,2014-06-01,37,0,37
SANTUARIO DE QUILLACAS,consultas prenatales, repetidas,2014-06-01,11,3,14
SAPAHAQUI,consultas prenatales, repetidas,2014-06-01,36,4,40
SENA,consultas prenatales, repetidas,2014-06-01,31,3,34
SHINAOTA,consultas prenatales, repetidas,2014-06-01,299,0,299
SICA SICA (VILLA AROMA),consultas prenatales, repetidas,2014-06-01,81,0,81
SICAYA,consultas prenatales, repetidas,2014-06-01,19,0,19
SIPE SIPE,consultas prenatales, repetidas,2014-06-01,451,1,452
SOPACHUY,consultas prenatales, repetidas,2014-06-01,50,10,60
SORACACHI,consultas prenatales, repetidas,2014-06-01,37,8,45
SORATA,consultas prenatales, repetidas,2014-06-01,75,11,86
SUCRE,consultas prenatales, repetidas,2014-06-01,3293,18,3311
TACACHI,consultas prenatales, repetidas,2014-06-01,2,2,4
TACACOMA,consultas prenatales, repetidas,2014-06-01,31,2,33
TACOBAMBA,consultas prenatales, repetidas,2014-06-01,32,17,49
TACOPAYA,consultas prenatales, repetidas,2014-06-01,29,6,35
TAHUA,consultas prenatales, repetidas,2014-06-01,4,1,5
TAPACARI,consultas prenatales, repetidas,2014-06-01,111,13,124
TARABUCO,consultas prenatales, repetidas,2014-06-01,79,25,104
TARACO,consultas prenatales, repetidas,2014-06-01,19,3,22
TARATA,consultas prenatales, repetidas,2014-06-01,66,2,68
TARIJA,consultas prenatales, repetidas,2014-06-01,1936,31,1967
TARVITA,consultas prenatales, repetidas,2014-06-01,66,17,83
TEOPONTE,consultas prenatales, repetidas,2014-06-01,36,4,40
TIAWANACU,consultas prenatales, repetidas,2014-06-01,74,0,74
TINGUIPAYA,consultas prenatales, repetidas,2014-06-01,46,28,74
TIPUANI,consultas prenatales, repetidas,2014-06-01,75,0,75
TIQUIPAYA,consultas prenatales, repetidas,2014-06-01,580,7,587
TIRAQUE (CBBA),consultas prenatales, repetidas,2014-06-01,136,2,138
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales, repetidas,2014-06-01,7,0,7
TOCO,consultas prenatales, repetidas,2014-06-01,42,0,42
TOLATA,consultas prenatales, repetidas,2014-06-01,44,0,44
TOLEDO,consultas prenatales, repetidas,2014-06-01,16,8,24
TOMAVE,consultas prenatales, repetidas,2014-06-01,27,14,41
TOMINA,consultas prenatales, repetidas,2014-06-01,64,8,72
TORO TORO,consultas prenatales, repetidas,2014-06-01,30,9,39
TOTORA(CBBA),consultas prenatales, repetidas,2014-06-01,161,2,163
TOTORA(ORR),consultas prenatales, repetidas,2014-06-01,9,2,11
TRIGAL,consultas prenatales, repetidas,2014-06-01,5,0,5
TRINIDAD,consultas prenatales, repetidas,2014-06-01,961,0,961
TUPIZA,consultas prenatales, repetidas,2014-06-01,375,0,375
TURCO,consultas prenatales, repetidas,2014-06-01,21,1,22
UMALA,consultas prenatales, repetidas,2014-06-01,17,13,30
UNCIA,consultas prenatales, repetidas,2014-06-01,97,6,103
URIONDO (A. CONCEPCION),consultas prenatales, repetidas,2014-06-01,81,1,82
URUBICHA,consultas prenatales, repetidas,2014-06-01,32,0,32
UYUNI,consultas prenatales, repetidas,2014-06-01,285,9,294
VACAS,consultas prenatales, repetidas,2014-06-01,48,2,50
VALLEGRANDE,consultas prenatales, repetidas,2014-06-01,115,1,116
VIACHA,consultas prenatales, repetidas,2014-06-01,421,1,422
VILA VILA,consultas prenatales, repetidas,2014-06-01,9,0,9
VILLA CHARCAS,consultas prenatales, repetidas,2014-06-01,85,39,124
VILLA MONTES,consultas prenatales, repetidas,2014-06-01,346,11,357
VILLA NUEVA (LOMA ALTA),consultas prenatales, repetidas,2014-06-01,12,1,13
VILLA RIVERO,consultas prenatales, repetidas,2014-06-01,71,1,72
VILLA SERRANO,consultas prenatales, repetidas,2014-06-01,56,21,77
VILLA TUNARI,consultas prenatales, repetidas,2014-06-01,668,4,672
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales, repetidas,2014-06-01,51,5,56
VILLAZON,consultas prenatales, repetidas,2014-06-01,340,14,354
VINTO,consultas prenatales, repetidas,2014-06-01,267,0,267
VITICHI,consultas prenatales, repetidas,2014-06-01,60,2,62
WALDO BALLIVIAN,consultas prenatales, repetidas,2014-06-01,10,0,10
WARNES,consultas prenatales, repetidas,2014-06-01,663,1,664
YACO,consultas prenatales, repetidas,2014-06-01,12,7,19
YACUIBA,consultas prenatales, repetidas,2014-06-01,517,2,519
YAMPARAEZ,consultas prenatales, repetidas,2014-06-01,28,10,38
YANACACHI,consultas prenatales, repetidas,2014-06-01,39,0,39
YAPACANI,consultas prenatales, repetidas,2014-06-01,396,1,397
YOCALLA,consultas prenatales, repetidas,2014-06-01,35,0,35
YOTALA,consultas prenatales, repetidas,2014-06-01,53,2,55
YUNCHARA,consultas prenatales, repetidas,2014-06-01,11,26,37
ZUDAÑEZ,consultas prenatales, repetidas,2014-06-01,51,8,59
ACACIO,consultas prenatales, repetidas,2014-07-01,30,1,31
ACHACACHI,consultas prenatales, repetidas,2014-07-01,264,5,269
ACHOCALLA,consultas prenatales, repetidas,2014-07-01,59,31,90
AIQUILE,consultas prenatales, repetidas,2014-07-01,190,3,193
ALALAY,consultas prenatales, repetidas,2014-07-01,4,2,6
ALCALA,consultas prenatales, repetidas,2014-07-01,26,1,27
ALTO BENI,consultas prenatales, repetidas,2014-07-01,40,0,40
ANCORAIMES,consultas prenatales, repetidas,2014-07-01,34,6,40
ANDAMARCA,consultas prenatales, repetidas,2014-07-01,13,3,16
ANTEQUERA,consultas prenatales, repetidas,2014-07-01,11,6,17
ANZALDO,consultas prenatales, repetidas,2014-07-01,21,2,23
APOLO,consultas prenatales, repetidas,2014-07-01,119,8,127
ARAMPAMPA,consultas prenatales, repetidas,2014-07-01,12,11,23
ARANI,consultas prenatales, repetidas,2014-07-01,100,2,102
ARBIETO,consultas prenatales, repetidas,2014-07-01,118,4,122
ARQUE,consultas prenatales, repetidas,2014-07-01,40,0,40
ASCENCION DE GUARAYOS,consultas prenatales, repetidas,2014-07-01,294,0,294
ATOCHA,consultas prenatales, repetidas,2014-07-01,71,1,72
AUCAPATA,consultas prenatales, repetidas,2014-07-01,23,8,31
AYATA,consultas prenatales, repetidas,2014-07-01,23,1,24
AYO AYO,consultas prenatales, repetidas,2014-07-01,37,0,37
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales, repetidas,2014-07-01,206,4,210
AZURDUY,consultas prenatales, repetidas,2014-07-01,42,23,65
BATALLAS,consultas prenatales, repetidas,2014-07-01,60,7,67
BAURES,consultas prenatales, repetidas,2014-07-01,30,1,31
BELEN DE ANDAMARCA,consultas prenatales, repetidas,2014-07-01,5,0,5
BELEN DE URMIRI,consultas prenatales, repetidas,2014-07-01,3,2,5
BELLA FLOR,consultas prenatales, repetidas,2014-07-01,20,4,24
BERMEJO,consultas prenatales, repetidas,2014-07-01,308,3,311
BETANZOS,consultas prenatales, repetidas,2014-07-01,137,23,160
BOLIVAR,consultas prenatales, repetidas,2014-07-01,13,4,17
BOLPEBRA,consultas prenatales, repetidas,2014-07-01,6,4,10
BOYUIBE,consultas prenatales, repetidas,2014-07-01,15,2,17
BUENA VISTA,consultas prenatales, repetidas,2014-07-01,71,0,71
CABEZAS,consultas prenatales, repetidas,2014-07-01,125,0,125
CAIROMA,consultas prenatales, repetidas,2014-07-01,48,5,53
"CAIZA ""D""",consultas prenatales, repetidas,2014-07-01,54,3,57
CAJUATA,consultas prenatales, repetidas,2014-07-01,83,0,83
CALACOTO,consultas prenatales, repetidas,2014-07-01,9,5,14
CALAMARCA,consultas prenatales, repetidas,2014-07-01,51,4,55
CAMARGO,consultas prenatales, repetidas,2014-07-01,98,8,106
CAMATAQUI (C. VILLA ABECIA),consultas prenatales, repetidas,2014-07-01,11,1,12
CAMIRI,consultas prenatales, repetidas,2014-07-01,189,4,193
CAPINOTA,consultas prenatales, repetidas,2014-07-01,175,4,179
CAQUIAVIRI,consultas prenatales, repetidas,2014-07-01,19,6,25
CARACOLLO,consultas prenatales, repetidas,2014-07-01,149,2,151
CARANAVI,consultas prenatales, repetidas,2014-07-01,431,15,446
CARAPARI,consultas prenatales, repetidas,2014-07-01,91,5,96
CARIPUYO,consultas prenatales, repetidas,2014-07-01,25,18,43
CARMEN RIVERO TORREZ,consultas prenatales, repetidas,2014-07-01,38,0,38
CATACORA,consultas prenatales, repetidas,2014-07-01,4,1,5
CHACARILLA,consultas prenatales, repetidas,2014-07-01,0,1,1
CHALLAPATA,consultas prenatales, repetidas,2014-07-01,258,18,276
CHAQUI,consultas prenatales, repetidas,2014-07-01,26,3,29
CHARAGUA,consultas prenatales, repetidas,2014-07-01,198,10,208
CHARAÑA,consultas prenatales, repetidas,2014-07-01,2,1,3
CHAYANTA,consultas prenatales, repetidas,2014-07-01,60,11,71
CHIMORE,consultas prenatales, repetidas,2014-07-01,120,3,123
CHIPAYA,consultas prenatales, repetidas,2014-07-01,8,0,8
CHOQUE COTA,consultas prenatales, repetidas,2014-07-01,2,0,2
CHUA COCANI,consultas prenatales, repetidas,2014-07-01,8,0,8
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales, repetidas,2014-07-01,137,3,140
CHUMA,consultas prenatales, repetidas,2014-07-01,15,4,19
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales, repetidas,2014-07-01,50,1,51
CKOCHAS,consultas prenatales, repetidas,2014-07-01,66,8,74
CLIZA,consultas prenatales, repetidas,2014-07-01,258,3,261
COBIJA,consultas prenatales, repetidas,2014-07-01,789,3,792
COCAPATA,consultas prenatales, repetidas,2014-07-01,32,24,56
COCHABAMBA,consultas prenatales, repetidas,2014-07-01,7385,7,7392
COIPASA,consultas prenatales, repetidas,2014-07-01,8,0,8
COLCAPIRHUA,consultas prenatales, repetidas,2014-07-01,384,1,385
"COLCHA ""K""",consultas prenatales, repetidas,2014-07-01,73,3,76
COLLANA,consultas prenatales, repetidas,2014-07-01,15,2,17
COLOMI,consultas prenatales, repetidas,2014-07-01,150,4,154
COLPA BELGICA,consultas prenatales, repetidas,2014-07-01,39,0,39
COLQUECHACA,consultas prenatales, repetidas,2014-07-01,117,53,170
COLQUENCHA,consultas prenatales, repetidas,2014-07-01,58,0,58
COLQUIRI,consultas prenatales, repetidas,2014-07-01,74,11,85
COMANCHE,consultas prenatales, repetidas,2014-07-01,11,0,11
COMARAPA,consultas prenatales, repetidas,2014-07-01,150,0,150
COMBAYA,consultas prenatales, repetidas,2014-07-01,8,0,8
CONCEPCION,consultas prenatales, repetidas,2014-07-01,167,3,170
COPACABANA,consultas prenatales, repetidas,2014-07-01,62,6,68
CORIPATA,consultas prenatales, repetidas,2014-07-01,114,0,114
CORO CORO,consultas prenatales, repetidas,2014-07-01,23,6,29
COROICO,consultas prenatales, repetidas,2014-07-01,124,1,125
CORQUE,consultas prenatales, repetidas,2014-07-01,24,6,30
COTAGAITA,consultas prenatales, repetidas,2014-07-01,106,26,132
COTOCA,consultas prenatales, repetidas,2014-07-01,435,0,435
CRUZ DE MACHACAMARCA,consultas prenatales, repetidas,2014-07-01,2,0,2
CUATRO CAÑADAS,consultas prenatales, repetidas,2014-07-01,168,0,168
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales, repetidas,2014-07-01,1,2,3
CUEVO,consultas prenatales, repetidas,2014-07-01,13,3,16
CULPINA,consultas prenatales, repetidas,2014-07-01,94,4,98
CURAHUARA DE CARANGAS,consultas prenatales, repetidas,2014-07-01,34,0,34
CURVA,consultas prenatales, repetidas,2014-07-01,7,3,10
DESAGUADERO,consultas prenatales, repetidas,2014-07-01,35,0,35
EL ALTO,consultas prenatales, repetidas,2014-07-01,6841,375,7216
EL CHORO,consultas prenatales, repetidas,2014-07-01,13,11,24
EL PUENTE(STC),consultas prenatales, repetidas,2014-07-01,58,0,58
EL PUENTE(TJA),consultas prenatales, repetidas,2014-07-01,71,12,83
EL TORNO,consultas prenatales, repetidas,2014-07-01,471,1,472
EL VILLAR,consultas prenatales, repetidas,2014-07-01,16,7,23
ENTRE RIOS TRJ,consultas prenatales, repetidas,2014-07-01,188,8,196
ENTRE RIOS CBBA,consultas prenatales, repetidas,2014-07-01,238,0,238
ESCARA,consultas prenatales, repetidas,2014-07-01,2,0,2
ESCOMA,consultas prenatales, repetidas,2014-07-01,41,0,41
EUCALIPTUS,consultas prenatales, repetidas,2014-07-01,38,1,39
EUREKA (SANTOS MERCADO),consultas prenatales, repetidas,2014-07-01,2,3,5
EXALTACION,consultas prenatales, repetidas,2014-07-01,4,2,6
FERNANDEZ ALONSO,consultas prenatales, repetidas,2014-07-01,78,1,79
FILADELFIA,consultas prenatales, repetidas,2014-07-01,29,2,31
GENERAL SAAVEDRA,consultas prenatales, repetidas,2014-07-01,83,0,83
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales, repetidas,2014-07-01,22,10,32
GUANAY,consultas prenatales, repetidas,2014-07-01,80,10,90
GUAQUI,consultas prenatales, repetidas,2014-07-01,18,2,20
GUAYARAMERIN,consultas prenatales, repetidas,2014-07-01,501,1,502
GUTIERREZ,consultas prenatales, repetidas,2014-07-01,72,3,75
HUACARETA,consultas prenatales, repetidas,2014-07-01,44,7,51
HUACAYA (VILLA DE HUACAYA),consultas prenatales, repetidas,2014-07-01,23,3,26
HUACHACALLA,consultas prenatales, repetidas,2014-07-01,9,0,9
HUANUNI,consultas prenatales, repetidas,2014-07-01,218,0,218
HUARACAJE,consultas prenatales, repetidas,2014-07-01,16,0,16
HUARINA,consultas prenatales, repetidas,2014-07-01,27,1,28
HUATAJATA,consultas prenatales, repetidas,2014-07-01,15,0,15
HUAYLLAMARCA,consultas prenatales, repetidas,2014-07-01,7,0,7
HUMANATA,consultas prenatales, repetidas,2014-07-01,2,4,6
ICHOCA,consultas prenatales, repetidas,2014-07-01,12,2,14
ICLA,consultas prenatales, repetidas,2014-07-01,41,16,57
INCAHUASI,consultas prenatales, repetidas,2014-07-01,49,26,75
INGAVI (HUMAITA),consultas prenatales, repetidas,2014-07-01,4,3,7
INQUISIVI,consultas prenatales, repetidas,2014-07-01,26,20,46
IRUPANA (VILLA DE LANZA),consultas prenatales, repetidas,2014-07-01,84,0,84
IXIAMAS,consultas prenatales, repetidas,2014-07-01,46,1,47
JESUS DE MACHACA,consultas prenatales, repetidas,2014-07-01,72,2,74
LA ASUNTA,consultas prenatales, repetidas,2014-07-01,367,0,367
LA GUARDIA,consultas prenatales, repetidas,2014-07-01,588,0,588
LA PAZ,consultas prenatales, repetidas,2014-07-01,7411,1,7412
LAGUNILLAS,consultas prenatales, repetidas,2014-07-01,38,3,41
LAJA,consultas prenatales, repetidas,2014-07-01,47,8,55
LAS CARRERAS,consultas prenatales, repetidas,2014-07-01,33,4,37
LICOMA PAMPA,consultas prenatales, repetidas,2014-07-01,0,16,16
LLALLAGUA,consultas prenatales, repetidas,2014-07-01,354,5,359
LLICA,consultas prenatales, repetidas,2014-07-01,23,0,23
LORETO,consultas prenatales, repetidas,2014-07-01,5,0,5
LURIBAY,consultas prenatales, repetidas,2014-07-01,24,2,26
MACHACAMARCA,consultas prenatales, repetidas,2014-07-01,13,0,13
MACHARETI,consultas prenatales, repetidas,2014-07-01,55,0,55
MAGDALENA,consultas prenatales, repetidas,2014-07-01,96,1,97
MAIRANA,consultas prenatales, repetidas,2014-07-01,108,0,108
MALLA,consultas prenatales, repetidas,2014-07-01,3,3,6
MAPIRI,consultas prenatales, repetidas,2014-07-01,117,1,118
MECAPACA,consultas prenatales, repetidas,2014-07-01,45,7,52
MINEROS,consultas prenatales, repetidas,2014-07-01,170,1,171
MIZQUE,consultas prenatales, repetidas,2014-07-01,179,1,180
MOCOMOCO,consultas prenatales, repetidas,2014-07-01,35,10,45
MOJINETE,consultas prenatales, repetidas,2014-07-01,4,2,6
MOJOCOYA,consultas prenatales, repetidas,2014-07-01,34,7,41
MONTEAGUDO,consultas prenatales, repetidas,2014-07-01,242,16,258
MONTERO,consultas prenatales, repetidas,2014-07-01,848,0,848
MORO MORO,consultas prenatales, repetidas,2014-07-01,8,4,12
MOROCHATA,consultas prenatales, repetidas,2014-07-01,36,20,56
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales, repetidas,2014-07-01,15,0,15
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales, repetidas,2014-07-01,7,0,7
OCURI,consultas prenatales, repetidas,2014-07-01,54,26,80
OKINAWA,consultas prenatales, repetidas,2014-07-01,113,1,114
OMEREQUE,consultas prenatales, repetidas,2014-07-01,20,1,21
ORURO,consultas prenatales, repetidas,2014-07-01,3023,0,3023
PADCAYA,consultas prenatales, repetidas,2014-07-01,129,4,133
PADILLA,consultas prenatales, repetidas,2014-07-01,64,7,71
PAILON,consultas prenatales, repetidas,2014-07-01,136,9,145
PALCA,consultas prenatales, repetidas,2014-07-01,103,5,108
PALOS BLANCOS,consultas prenatales, repetidas,2014-07-01,258,4,262
PAMPA AULLAGAS,consultas prenatales, repetidas,2014-07-01,21,1,22
PAMPA GRANDE,consultas prenatales, repetidas,2014-07-01,60,9,69
PAPEL PAMPA,consultas prenatales, repetidas,2014-07-01,21,3,24
PASORAPA,consultas prenatales, repetidas,2014-07-01,6,4,10
PATACAMAYA,consultas prenatales, repetidas,2014-07-01,191,1,192
PAZÑA,consultas prenatales, repetidas,2014-07-01,32,5,37
PELECHUCO,consultas prenatales, repetidas,2014-07-01,26,0,26
POCOATA,consultas prenatales, repetidas,2014-07-01,56,54,110
POCONA,consultas prenatales, repetidas,2014-07-01,52,2,54
POJO (CBBA),consultas prenatales, repetidas,2014-07-01,75,0,75
POOPO,consultas prenatales, repetidas,2014-07-01,68,0,68
PORCO,consultas prenatales, repetidas,2014-07-01,97,4,101
POROMA,consultas prenatales, repetidas,2014-07-01,59,23,82
PORONGO,consultas prenatales, repetidas,2014-07-01,38,2,40
PORTACHUELO,consultas prenatales, repetidas,2014-07-01,274,0,274
PORVENIR,consultas prenatales, repetidas,2014-07-01,50,0,50
POSTRER VALLE,consultas prenatales, repetidas,2014-07-01,3,0,3
POTOSI,consultas prenatales, repetidas,2014-07-01,1944,39,1983
PRESTO,consultas prenatales, repetidas,2014-07-01,44,16,60
PUCARA,consultas prenatales, repetidas,2014-07-01,2,0,2
PUCARANI,consultas prenatales, repetidas,2014-07-01,117,9,126
PUERTO ACOSTA,consultas prenatales, repetidas,2014-07-01,31,6,37
PUERTO CARABUCO,consultas prenatales, repetidas,2014-07-01,27,12,39
PUERTO GONZALO MORENO,consultas prenatales, repetidas,2014-07-01,56,2,58
PUERTO PEREZ,consultas prenatales, repetidas,2014-07-01,17,5,22
PUERTO QUIJARRO,consultas prenatales, repetidas,2014-07-01,46,0,46
PUERTO RICO,consultas prenatales, repetidas,2014-07-01,56,4,60
PUERTO SILES,consultas prenatales, repetidas,2014-07-01,2,0,2
PUERTO SUAREZ,consultas prenatales, repetidas,2014-07-01,132,0,132
PUERTO VILLARROEL,consultas prenatales, repetidas,2014-07-01,608,5,613
PUNA,consultas prenatales, repetidas,2014-07-01,99,10,109
PUNATA,consultas prenatales, repetidas,2014-07-01,258,1,259
QUIABAYA,consultas prenatales, repetidas,2014-07-01,13,0,13
QUILLACOLLO,consultas prenatales, repetidas,2014-07-01,1081,70,1151
QUIME,consultas prenatales, repetidas,2014-07-01,58,0,58
QUIRUSILLAS,consultas prenatales, repetidas,2014-07-01,9,0,9
RAVELO,consultas prenatales, repetidas,2014-07-01,27,64,91
REYES,consultas prenatales, repetidas,2014-07-01,82,10,92
RIBERALTA,consultas prenatales, repetidas,2014-07-01,1318,1,1319
ROBORE,consultas prenatales, repetidas,2014-07-01,102,0,102
RURRENABAQUE,consultas prenatales, repetidas,2014-07-01,167,1,168
SABAYA,consultas prenatales, repetidas,2014-07-01,5,1,6
SACABA,consultas prenatales, repetidas,2014-07-01,1141,0,1141
SACABAMBA,consultas prenatales, repetidas,2014-07-01,17,0,17
SACACA,consultas prenatales, repetidas,2014-07-01,89,7,96
SAIPINA,consultas prenatales, repetidas,2014-07-01,60,0,60
SALINAS DE GARCI MENDOZA,consultas prenatales, repetidas,2014-07-01,48,26,74
SAMAIPATA,consultas prenatales, repetidas,2014-07-01,65,0,65
