,group,variable,month,MENORES DE 5 AÑOS NUEVA,MENORES DE 5 AÑOS NUEVA,MENORES DE 5 AÑOS REPETIDAS,MENORES DE 5 AÑOS REPETIDAS,TOTALES,TOTALES,TOTALES
SAN LORENZO(TJA),consulta externa,menores de 5 anos,2008-07-01,430,390,10,7,440,397,837
SAN LUCAS,consulta externa,menores de 5 anos,2008-07-01,1191,1119,13,23,1204,1142,2346
SAN MATIAS,consulta externa,menores de 5 anos,2008-07-01,319,287,7,9,326,296,622
SAN MIGUEL DE VELASCO,consulta externa,menores de 5 anos,2008-07-01,219,238,21,25,240,263,503
SAN PABLO DE LIPEZ,consulta externa,menores de 5 anos,2008-07-01,90,89,18,2,108,91,199
SAN PEDRO,consulta externa,menores de 5 anos,2008-07-01,627,631,32,25,659,656,1315
SAN PEDRO DE BUENA VISTA,consulta externa,menores de 5 anos,2008-07-01,742,658,1,0,743,658,1401
SAN PEDRO DE CURAHUARA,consulta externa,menores de 5 anos,2008-07-01,56,59,0,0,56,59,115
SAN PEDRO DE QUEMES,consulta externa,menores de 5 anos,2008-07-01,10,12,0,1,10,13,23
SAN PEDRO DE TIQUINA,consulta externa,menores de 5 anos,2008-07-01,17,20,7,3,24,23,47
SAN PEDRO(PND),consulta externa,menores de 5 anos,2008-07-01,30,30,1,2,31,32,63
SAN RAFAEL,consulta externa,menores de 5 anos,2008-07-01,181,165,24,8,205,173,378
SAN RAMON,consulta externa,menores de 5 anos,2008-07-01,186,188,44,51,230,239,469
SAN RAMON,consulta externa,menores de 5 anos,2008-07-01,115,119,59,47,174,166,340
SANTA ANA,consulta externa,menores de 5 anos,2008-07-01,189,182,25,16,214,198,412
SANTA CRUZ DE LA SIERRA,consulta externa,menores de 5 anos,2008-07-01,19795,17405,3435,3010,23230,20415,43645
SANTA ROSA,consulta externa,menores de 5 anos,2008-07-01,228,250,0,2,228,252,480
SANTA ROSA DEL SARA,consulta externa,menores de 5 anos,2008-07-01,484,496,13,19,497,515,1012
SANTIAGO DE CALLAPA,consulta externa,menores de 5 anos,2008-07-01,41,57,0,1,41,58,99
SANTIAGO DE HUARI,consulta externa,menores de 5 anos,2008-07-01,161,156,11,3,172,159,331
SANTIAGO DE MACHACA,consulta externa,menores de 5 anos,2008-07-01,22,20,0,0,22,20,42
SANTIVAÑES,consulta externa,menores de 5 anos,2008-07-01,49,56,0,1,49,57,106
SANTUARIO DE QUILLACAS,consulta externa,menores de 5 anos,2008-07-01,34,34,1,0,35,34,69
SAPAHAQUI,consulta externa,menores de 5 anos,2008-07-01,65,77,1,3,66,80,146
SENA,consulta externa,menores de 5 anos,2008-07-01,67,49,8,4,75,53,128
SICA SICA (VILLA AROMA),consulta externa,menores de 5 anos,2008-07-01,192,148,1,1,193,149,342
SICAYA,consulta externa,menores de 5 anos,2008-07-01,32,36,2,1,34,37,71
SIPE SIPE,consulta externa,menores de 5 anos,2008-07-01,282,230,113,91,395,321,716
SOPACHUY,consulta externa,menores de 5 anos,2008-07-01,240,232,0,5,240,237,477
SORACACHI,consulta externa,menores de 5 anos,2008-07-01,147,126,2,1,149,127,276
SORATA,consulta externa,menores de 5 anos,2008-07-01,215,215,1,0,216,215,431
SUCRE,consulta externa,menores de 5 anos,2008-07-01,6663,6293,1125,994,7788,7287,15075
TACACHI,consulta externa,menores de 5 anos,2008-07-01,9,11,6,3,15,14,29
TACACOMA,consulta externa,menores de 5 anos,2008-07-01,72,310,19,18,91,328,419
TACOBAMBA,consulta externa,menores de 5 anos,2008-07-01,99,109,8,2,107,111,218
TACOPAYA,consulta externa,menores de 5 anos,2008-07-01,104,103,1,3,105,106,211
TAHUA,consulta externa,menores de 5 anos,2008-07-01,32,43,2,0,34,43,77
TAPACARI,consulta externa,menores de 5 anos,2008-07-01,586,542,44,27,630,569,1199
TARABUCO,consulta externa,menores de 5 anos,2008-07-01,743,727,43,35,786,762,1548
TARACO,consulta externa,menores de 5 anos,2008-07-01,48,24,1,2,49,26,75
TARATA,consulta externa,menores de 5 anos,2008-07-01,64,47,20,19,84,66,150
TARIJA,consulta externa,menores de 5 anos,2008-07-01,5760,4403,757,818,6517,5221,11738
TARVITA,consulta externa,menores de 5 anos,2008-07-01,721,693,47,44,768,737,1505
TEOPONTE,consulta externa,menores de 5 anos,2008-07-01,162,189,9,7,171,196,367
TIAWANACU,consulta externa,menores de 5 anos,2008-07-01,96,70,6,7,102,77,179
TINGUIPAYA,consulta externa,menores de 5 anos,2008-07-01,387,320,6,3,393,323,716
TIPUANI,consulta externa,menores de 5 anos,2008-07-01,129,119,5,9,134,128,262
TIQUIPAYA,consulta externa,menores de 5 anos,2008-07-01,656,590,313,237,969,827,1796
TIRAQUE (CBBA),consulta externa,menores de 5 anos,2008-07-01,689,387,261,69,950,456,1406
TITO YUPANQUI (PARQUIPUJIO),consulta externa,menores de 5 anos,2008-07-01,15,12,0,0,15,12,27
TOCO,consulta externa,menores de 5 anos,2008-07-01,99,77,3,3,102,80,182
TODOS SANTOS,consulta externa,menores de 5 anos,2008-07-01,4,1,0,0,4,1,5
TOLATA,consulta externa,menores de 5 anos,2008-07-01,46,37,4,5,50,42,92
TOLEDO,consulta externa,menores de 5 anos,2008-07-01,89,84,6,6,95,90,185
TOMAVE,consulta externa,menores de 5 anos,2008-07-01,210,180,5,4,215,184,399
TOMINA,consulta externa,menores de 5 anos,2008-07-01,344,329,5,1,349,330,679
TORO TORO,consulta externa,menores de 5 anos,2008-07-01,277,261,9,10,286,271,557
TOTORA(CBBA),consulta externa,menores de 5 anos,2008-07-01,185,167,6,11,191,178,369
TOTORA(ORR),consulta externa,menores de 5 anos,2008-07-01,59,67,1,0,60,67,127
TRIGAL,consulta externa,menores de 5 anos,2008-07-01,27,35,1,1,28,36,64
TRINIDAD,consulta externa,menores de 5 anos,2008-07-01,2411,7950,231,269,2642,8219,10861
TUPIZA,consulta externa,menores de 5 anos,2008-07-01,916,781,45,22,961,803,1764
TURCO,consulta externa,menores de 5 anos,2008-07-01,80,82,0,0,80,82,162
UMALA,consulta externa,menores de 5 anos,2008-07-01,48,59,0,1,48,60,108
UNCIA,consulta externa,menores de 5 anos,2008-07-01,581,535,17,23,598,558,1156
URIONDO (A. CONCEPCION),consulta externa,menores de 5 anos,2008-07-01,518,525,13,21,531,546,1077
URUBICHA,consulta externa,menores de 5 anos,2008-07-01,167,193,8,9,175,202,377
UYUNI,consulta externa,menores de 5 anos,2008-07-01,289,299,43,20,332,319,651
VACAS,consulta externa,menores de 5 anos,2008-07-01,89,71,8,8,97,79,176
VALLEGRANDE,consulta externa,menores de 5 anos,2008-07-01,178,157,51,38,229,195,424
VIACHA,consulta externa,menores de 5 anos,2008-07-01,520,492,75,70,595,562,1157
VILA VILA,consulta externa,menores de 5 anos,2008-07-01,98,75,1,2,99,77,176
VILLA MONTES,consulta externa,menores de 5 anos,2008-07-01,509,442,38,16,547,458,1005
VILLA NUEVA (LOMA ALTA),consulta externa,menores de 5 anos,2008-07-01,47,52,11,4,58,56,114
VILLA RIVERO,consulta externa,menores de 5 anos,2008-07-01,71,79,6,4,77,83,160
VILLA SERRANO,consulta externa,menores de 5 anos,2008-07-01,292,269,2,2,294,271,565
VILLA TUNARI,consulta externa,menores de 5 anos,2008-07-01,1676,1609,146,122,1822,1731,3553
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,menores de 5 anos,2008-07-01,228,177,8,7,236,184,420
VILLAZON,consulta externa,menores de 5 anos,2008-07-01,889,825,77,89,966,914,1880
VINTO,consulta externa,menores de 5 anos,2008-07-01,381,286,190,161,571,447,1018
VITICHI,consulta externa,menores de 5 anos,2008-07-01,178,177,11,9,189,186,375
WALDO BALLIVIAN,consulta externa,menores de 5 anos,2008-07-01,36,46,1,0,37,46,83
WARNES,consulta externa,menores de 5 anos,2008-07-01,1579,1528,114,114,1693,1642,3335
YACO,consulta externa,menores de 5 anos,2008-07-01,103,98,5,4,108,102,210
YACUIBA,consulta externa,menores de 5 anos,2008-07-01,1960,1810,133,104,2093,1914,4007
YAMPARAEZ,consulta externa,menores de 5 anos,2008-07-01,141,146,14,10,155,156,311
YANACACHI,consulta externa,menores de 5 anos,2008-07-01,45,59,0,1,45,60,105
YAPACANI,consulta externa,menores de 5 anos,2008-07-01,776,659,36,25,812,684,1496
YOCALLA,consulta externa,menores de 5 anos,2008-07-01,135,130,5,10,140,140,280
YOTALA,consulta externa,menores de 5 anos,2008-07-01,215,207,19,24,234,231,465
YUNCHARA,consulta externa,menores de 5 anos,2008-07-01,157,133,6,8,163,141,304
ZUDAÑEZ,consulta externa,menores de 5 anos,2008-07-01,370,363,6,5,376,368,744
ACACIO,consulta externa,menores de 5 anos,2008-08-01,139,123,1,2,140,125,265
ACHACACHI,consulta externa,menores de 5 anos,2008-08-01,393,305,13,16,406,321,727
ACHOCALLA,consulta externa,menores de 5 anos,2008-08-01,68,73,3,4,71,77,148
AIQUILE,consulta externa,menores de 5 anos,2008-08-01,457,417,5,3,462,420,882
ALALAY,consulta externa,menores de 5 anos,2008-08-01,28,21,0,2,28,23,51
ALCALA,consulta externa,menores de 5 anos,2008-08-01,139,166,4,1,143,167,310
ANCORAIMES,consulta externa,menores de 5 anos,2008-08-01,167,195,8,7,175,202,377
ANDAMARCA,consulta externa,menores de 5 anos,2008-08-01,106,80,7,6,113,86,199
ANTEQUERA,consulta externa,menores de 5 anos,2008-08-01,55,39,4,2,59,41,100
ANZALDO,consulta externa,menores de 5 anos,2008-08-01,78,87,15,12,93,99,192
APOLO,consulta externa,menores de 5 anos,2008-08-01,441,404,10,12,451,416,867
ARAMPAMPA,consulta externa,menores de 5 anos,2008-08-01,124,115,1,0,125,115,240
ARANI,consulta externa,menores de 5 anos,2008-08-01,101,82,12,12,113,94,207
ARBIETO,consulta externa,menores de 5 anos,2008-08-01,188,178,37,26,225,204,429
ARQUE,consulta externa,menores de 5 anos,2008-08-01,248,210,2,3,250,213,463
ASCENCION DE GUARAYOS,consulta externa,menores de 5 anos,2008-08-01,504,459,84,69,588,528,1116
ATOCHA,consulta externa,menores de 5 anos,2008-08-01,285,329,42,38,327,367,694
AUCAPATA,consulta externa,menores de 5 anos,2008-08-01,96,81,4,5,100,86,186
AYATA,consulta externa,menores de 5 anos,2008-08-01,186,154,6,4,192,158,350
AYO AYO,consulta externa,menores de 5 anos,2008-08-01,86,66,4,0,90,66,156
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,menores de 5 anos,2008-08-01,448,413,12,30,460,443,903
AZURDUY,consulta externa,menores de 5 anos,2008-08-01,447,455,1,2,448,457,905
BATALLAS,consulta externa,menores de 5 anos,2008-08-01,118,87,0,7,118,94,212
BAURES,consulta externa,menores de 5 anos,2008-08-01,129,111,6,1,135,112,247
BELEN DE ANDAMARCA,consulta externa,menores de 5 anos,2008-08-01,8,14,1,1,9,15,24
BELEN DE URMIRI,consulta externa,menores de 5 anos,2008-08-01,40,55,2,3,42,58,100
BELLA FLOR,consulta externa,menores de 5 anos,2008-08-01,59,35,0,0,59,35,94
BERMEJO,consulta externa,menores de 5 anos,2008-08-01,1019,992,36,38,1055,1030,2085
BETANZOS,consulta externa,menores de 5 anos,2008-08-01,699,569,21,11,720,580,1300
BOLIVAR,consulta externa,menores de 5 anos,2008-08-01,171,164,0,1,171,165,336
BOLPEBRA,consulta externa,menores de 5 anos,2008-08-01,44,38,0,2,44,40,84
BOYUIBE,consulta externa,menores de 5 anos,2008-08-01,116,103,3,0,119,103,222
BUENA VISTA,consulta externa,menores de 5 anos,2008-08-01,220,249,47,39,267,288,555
CABEZAS,consulta externa,menores de 5 anos,2008-08-01,521,459,32,20,553,479,1032
CAIROMA,consulta externa,menores de 5 anos,2008-08-01,221,206,4,2,225,208,433
"CAIZA ""D""",consulta externa,menores de 5 anos,2008-08-01,161,145,17,6,178,151,329
CAJUATA,consulta externa,menores de 5 anos,2008-08-01,223,193,10,6,233,199,432
CALACOTO,consulta externa,menores de 5 anos,2008-08-01,60,59,1,1,61,60,121
CALAMARCA,consulta externa,menores de 5 anos,2008-08-01,172,153,2,5,174,158,332
CAMARGO,consulta externa,menores de 5 anos,2008-08-01,408,375,9,7,417,382,799
CAMATAQUI (C. VILLA ABECIA),consulta externa,menores de 5 anos,2008-08-01,123,104,12,10,135,114,249
CAMIRI,consulta externa,menores de 5 anos,2008-08-01,881,855,69,69,950,924,1874
CAPINOTA,consulta externa,menores de 5 anos,2008-08-01,409,330,62,49,471,379,850
CAQUIAVIRI,consulta externa,menores de 5 anos,2008-08-01,75,97,0,1,75,98,173
CARACOLLO,consulta externa,menores de 5 anos,2008-08-01,232,205,5,1,237,206,443
CARANAVI,consulta externa,menores de 5 anos,2008-08-01,1297,1208,18,19,1315,1227,2542
CARANGAS,consulta externa,menores de 5 anos,2008-08-01,6,4,2,0,8,4,12
CARAPARI,consulta externa,menores de 5 anos,2008-08-01,298,252,1,1,299,253,552
CARIPUYO,consulta externa,menores de 5 anos,2008-08-01,167,171,2,0,169,171,340
CARMEN RIVERO TORREZ,consulta externa,menores de 5 anos,2008-08-01,55,62,2,3,57,65,122
CATACORA,consulta externa,menores de 5 anos,2008-08-01,29,26,0,0,29,26,55
CHACARILLA,consulta externa,menores de 5 anos,2008-08-01,6,6,0,0,6,6,12
CHALLAPATA,consulta externa,menores de 5 anos,2008-08-01,459,429,3,8,462,437,899
CHAQUI,consulta externa,menores de 5 anos,2008-08-01,122,77,6,2,128,79,207
CHARAGUA,consulta externa,menores de 5 anos,2008-08-01,898,819,31,26,929,845,1774
CHARAÑA,consulta externa,menores de 5 anos,2008-08-01,35,46,5,4,40,50,90
CHAYANTA,consulta externa,menores de 5 anos,2008-08-01,463,431,1,0,464,431,895
CHIMORE,consulta externa,menores de 5 anos,2008-08-01,560,506,15,10,575,516,1091
CHIPAYA,consulta externa,menores de 5 anos,2008-08-01,27,28,0,0,27,28,55
CHOQUE COTA,consulta externa,menores de 5 anos,2008-08-01,27,18,1,1,28,19,47
CHULUMANI (V. DE LA LIBERTAD),consulta externa,menores de 5 anos,2008-08-01,259,181,16,17,275,198,473
CHUMA,consulta externa,menores de 5 anos,2008-08-01,130,111,0,0,130,111,241
CLIZA,consulta externa,menores de 5 anos,2008-08-01,252,237,74,87,326,324,650
COBIJA,consulta externa,menores de 5 anos,2008-08-01,1000,929,118,111,1118,1040,2158
COCHABAMBA,consulta externa,menores de 5 anos,2008-08-01,8354,7992,3090,3121,11444,11113,22557
COIPASA,consulta externa,menores de 5 anos,2008-08-01,15,15,2,2,17,17,34
COLCAPIRHUA,consulta externa,menores de 5 anos,2008-08-01,313,193,419,317,732,510,1242
"COLCHA ""K""",consulta externa,menores de 5 anos,2008-08-01,153,141,5,5,158,146,304
COLLANA,consulta externa,menores de 5 anos,2008-08-01,15,16,3,0,18,16,34
COLOMI,consulta externa,menores de 5 anos,2008-08-01,243,215,35,21,278,236,514
COLPA BELGICA,consulta externa,menores de 5 anos,2008-08-01,162,140,38,28,200,168,368
COLQUECHACA,consulta externa,menores de 5 anos,2008-08-01,697,632,2,2,699,634,1333
COLQUENCHA,consulta externa,menores de 5 anos,2008-08-01,112,125,9,2,121,127,248
COLQUIRI,consulta externa,menores de 5 anos,2008-08-01,297,263,30,25,327,288,615
COMANCHE,consulta externa,menores de 5 anos,2008-08-01,36,20,0,0,36,20,56
COMARAPA,consulta externa,menores de 5 anos,2008-08-01,391,350,40,36,431,386,817
COMBAYA,consulta externa,menores de 5 anos,2008-08-01,43,27,2,3,45,30,75
CONCEPCION,consulta externa,menores de 5 anos,2008-08-01,156,129,6,1,162,130,292
COPACABANA,consulta externa,menores de 5 anos,2008-08-01,132,105,3,1,135,106,241
CORIPATA,consulta externa,menores de 5 anos,2008-08-01,269,272,13,6,282,278,560
CORO CORO,consulta externa,menores de 5 anos,2008-08-01,103,110,6,1,109,111,220
COROICO,consulta externa,menores de 5 anos,2008-08-01,220,231,58,54,278,285,563
CORQUE,consulta externa,menores de 5 anos,2008-08-01,154,150,18,17,172,167,339
COTAGAITA,consulta externa,menores de 5 anos,2008-08-01,491,485,15,11,506,496,1002
COTOCA,consulta externa,menores de 5 anos,2008-08-01,736,661,44,46,780,707,1487
CUATRO CAÑADAS,consulta externa,menores de 5 anos,2008-08-01,414,482,32,35,446,517,963
CUCHUMUELA (V. G. VILLARROEL),consulta externa,menores de 5 anos,2008-08-01,32,21,0,4,32,25,57
CUEVO,consulta externa,menores de 5 anos,2008-08-01,87,102,5,4,92,106,198
CULPINA,consulta externa,menores de 5 anos,2008-08-01,508,459,8,7,516,466,982
CURAHUARA DE CARANGAS,consulta externa,menores de 5 anos,2008-08-01,108,80,3,5,111,85,196
CURVA,consulta externa,menores de 5 anos,2008-08-01,72,59,3,4,75,63,138
DESAGUADERO,consulta externa,menores de 5 anos,2008-08-01,35,45,0,1,35,46,81
EL ALTO,consulta externa,menores de 5 anos,2008-08-01,10282,9628,2193,2184,12475,11812,24287
EL CHORO,consulta externa,menores de 5 anos,2008-08-01,88,66,3,3,91,69,160
EL PUENTE(STC),consulta externa,menores de 5 anos,2008-08-01,385,379,11,9,396,388,784
EL PUENTE(TJA),consulta externa,menores de 5 anos,2008-08-01,250,252,11,5,261,257,518
EL TORNO,consulta externa,menores de 5 anos,2008-08-01,988,910,33,39,1021,949,1970
EL VILLAR,consulta externa,menores de 5 anos,2008-08-01,187,138,4,2,191,140,331
ENTRE RIOS,consulta externa,menores de 5 anos,2008-08-01,486,460,29,38,515,498,1013
ENTRE RIOS,consulta externa,menores de 5 anos,2008-08-01,526,481,12,15,538,496,1034
ESCARA,consulta externa,menores de 5 anos,2008-08-01,3,2,1,0,4,2,6
ESMERALDA,consulta externa,menores de 5 anos,2008-08-01,2,2,0,0,2,2,4
EUCALIPTUS,consulta externa,menores de 5 anos,2008-08-01,130,116,5,6,135,122,257
EUREKA (SANTOS MERCADO),consulta externa,menores de 5 anos,2008-08-01,13,18,1,1,14,19,33
EXALTACION,consulta externa,menores de 5 anos,2008-08-01,54,55,5,10,59,65,124
FERNANDEZ ALONSO,consulta externa,menores de 5 anos,2008-08-01,523,382,21,12,544,394,938
FILADELFIA,consulta externa,menores de 5 anos,2008-08-01,91,75,1,1,92,76,168
GENERAL SAAVEDRA,consulta externa,menores de 5 anos,2008-08-01,519,517,33,22,552,539,1091
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,menores de 5 anos,2008-08-01,203,185,5,3,208,188,396
GUANAY,consulta externa,menores de 5 anos,2008-08-01,219,198,2,7,221,205,426
GUAQUI,consulta externa,menores de 5 anos,2008-08-01,42,52,5,6,47,58,105
GUAYARAMERIN,consulta externa,menores de 5 anos,2008-08-01,1314,1234,69,65,1383,1299,2682
GUTIERREZ,consulta externa,menores de 5 anos,2008-08-01,446,430,8,6,454,436,890
HUACARETA,consulta externa,menores de 5 anos,2008-08-01,209,228,13,16,222,244,466
HUACAYA (VILLA DE HUACAYA),consulta externa,menores de 5 anos,2008-08-01,113,129,0,0,113,129,242
HUACHACALLA,consulta externa,menores de 5 anos,2008-08-01,23,16,1,4,24,20,44
HUANUNI,consulta externa,menores de 5 anos,2008-08-01,340,343,93,89,433,432,865
HUARACAJE,consulta externa,menores de 5 anos,2008-08-01,117,116,1,1,118,117,235
HUAYLLAMARCA,consulta externa,menores de 5 anos,2008-08-01,58,57,1,2,59,59,118
ICHOCA,consulta externa,menores de 5 anos,2008-08-01,46,51,1,1,47,52,99
ICLA,consulta externa,menores de 5 anos,2008-08-01,477,454,1,11,478,465,943
INCAHUASI,consulta externa,menores de 5 anos,2008-08-01,772,869,12,3,784,872,1656
INGAVI (HUMAITA),consulta externa,menores de 5 anos,2008-08-01,43,24,3,1,46,25,71
INQUISIVI,consulta externa,menores de 5 anos,2008-08-01,2045,103,2,1,2047,104,2151
IRUPANA (VILLA DE LANZA),consulta externa,menores de 5 anos,2008-08-01,294,314,5,1,299,315,614
IXIAMAS,consulta externa,menores de 5 anos,2008-08-01,332,296,10,15,342,311,653
JESUS DE MACHACA,consulta externa,menores de 5 anos,2008-08-01,205,212,3,1,208,213,421
LA ASUNTA,consulta externa,menores de 5 anos,2008-08-01,827,1107,19,11,846,1118,1964
LA GUARDIA,consulta externa,menores de 5 anos,2008-08-01,1448,1301,110,75,1558,1376,2934
LA PAZ,consulta externa,menores de 5 anos,2008-08-01,13472,12459,3575,3575,17047,16034,33081
LA RIVERA,consulta externa,menores de 5 anos,2008-08-01,9,4,0,0,9,4,13
LAGUNILLAS,consulta externa,menores de 5 anos,2008-08-01,284,245,6,5,290,250,540
LAJA,consulta externa,menores de 5 anos,2008-08-01,103,96,14,12,117,108,225
LAS CARRERAS,consulta externa,menores de 5 anos,2008-08-01,84,84,5,4,89,88,177
LICOMA PAMPA,consulta externa,menores de 5 anos,2008-08-01,21,30,2,3,23,33,56
LLALLAGUA,consulta externa,menores de 5 anos,2008-08-01,704,591,8,12,712,603,1315
LLICA,consulta externa,menores de 5 anos,2008-08-01,64,60,1,1,65,61,126
LORETO,consulta externa,menores de 5 anos,2008-08-01,161,177,3,3,164,180,344
LURIBAY,consulta externa,menores de 5 anos,2008-08-01,110,105,7,8,117,113,230
MACHACAMARCA,consulta externa,menores de 5 anos,2008-08-01,49,47,2,3,51,50,101
MACHARETI,consulta externa,menores de 5 anos,2008-08-01,281,219,18,16,299,235,534
MAGDALENA,consulta externa,menores de 5 anos,2008-08-01,252,241,10,29,262,270,532
MAIRANA,consulta externa,menores de 5 anos,2008-08-01,139,134,5,6,144,140,284
MALLA,consulta externa,menores de 5 anos,2008-08-01,65,50,2,0,67,50,117
MAPIRI,consulta externa,menores de 5 anos,2008-08-01,286,243,11,8,297,251,548
MECAPACA,consulta externa,menores de 5 anos,2008-08-01,90,105,10,6,100,111,211
MINEROS,consulta externa,menores de 5 anos,2008-08-01,410,311,8,5,418,316,734
MIZQUE,consulta externa,menores de 5 anos,2008-08-01,373,342,36,25,409,367,776
MOCOMOCO,consulta externa,menores de 5 anos,2008-08-01,157,128,5,3,162,131,293
MOJINETE,consulta externa,menores de 5 anos,2008-08-01,27,34,3,4,30,38,68
MOJOCOYA,consulta externa,menores de 5 anos,2008-08-01,190,194,5,10,195,204,399
MONTEAGUDO,consulta externa,menores de 5 anos,2008-08-01,694,623,68,63,762,686,1448
MONTERO,consulta externa,menores de 5 anos,2008-08-01,2539,2298,284,282,2823,2580,5403
MORO MORO,consulta externa,menores de 5 anos,2008-08-01,30,29,1,0,31,29,60
MOROCHATA,consulta externa,menores de 5 anos,2008-08-01,274,306,99,106,373,412,785
NAZACARA DE PACAJES,consulta externa,menores de 5 anos,2008-08-01,4,12,0,2,4,14,18
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,menores de 5 anos,2008-08-01,22,38,0,0,22,38,60
OCURI,consulta externa,menores de 5 anos,2008-08-01,482,403,44,33,526,436,962
OKINAWA,consulta externa,menores de 5 anos,2008-08-01,300,406,3,7,303,413,716
OMEREQUE,consulta externa,menores de 5 anos,2008-08-01,164,179,7,5,171,184,355
ORURO,consulta externa,menores de 5 anos,2008-08-01,4668,4040,726,550,5394,4590,9984
PADCAYA,consulta externa,menores de 5 anos,2008-08-01,484,474,16,28,500,502,1002
PADILLA,consulta externa,menores de 5 anos,2008-08-01,276,292,16,12,292,304,596
PAILON,consulta externa,menores de 5 anos,2008-08-01,444,436,8,13,452,449,901
PALCA,consulta externa,menores de 5 anos,2008-08-01,132,99,0,1,132,100,232
PALOS BLANCOS,consulta externa,menores de 5 anos,2008-08-01,691,619,21,14,712,633,1345
PAMPA AULLAGAS,consulta externa,menores de 5 anos,2008-08-01,66,52,4,2,70,54,124
PAMPA GRANDE,consulta externa,menores de 5 anos,2008-08-01,99,105,2,1,101,106,207
PAPEL PAMPA,consulta externa,menores de 5 anos,2008-08-01,62,360,3,0,65,360,425
PASORAPA,consulta externa,menores de 5 anos,2008-08-01,77,50,9,3,86,53,139
PATACAMAYA,consulta externa,menores de 5 anos,2008-08-01,250,216,1,2,251,218,469
PAZÑA,consulta externa,menores de 5 anos,2008-08-01,109,92,3,6,112,98,210
PELECHUCO,consulta externa,menores de 5 anos,2008-08-01,137,113,2,2,139,115,254
POCOATA,consulta externa,menores de 5 anos,2008-08-01,460,449,8,10,468,459,927
POCONA,consulta externa,menores de 5 anos,2008-08-01,206,214,10,7,216,221,437
POJO (CBBA),consulta externa,menores de 5 anos,2008-08-01,206,163,21,10,227,173,400
POOPO,consulta externa,menores de 5 anos,2008-08-01,69,79,4,2,73,81,154
PORCO,consulta externa,menores de 5 anos,2008-08-01,119,154,6,4,125,158,283
POROMA,consulta externa,menores de 5 anos,2008-08-01,528,522,13,14,541,536,1077
PORONGO,consulta externa,menores de 5 anos,2008-08-01,180,183,32,55,212,238,450
PORTACHUELO,consulta externa,menores de 5 anos,2008-08-01,491,490,46,54,537,544,1081
PORVENIR,consulta externa,menores de 5 anos,2008-08-01,151,126,17,20,168,146,314
POSTRER VALLE,consulta externa,menores de 5 anos,2008-08-01,34,41,2,0,36,41,77
POTOSI,consulta externa,menores de 5 anos,2008-08-01,3277,2895,393,359,3670,3254,6924
PRESTO,consulta externa,menores de 5 anos,2008-08-01,409,320,1,2,410,322,732
PUCARA,consulta externa,menores de 5 anos,2008-08-01,24,26,0,1,24,27,51
PUCARANI,consulta externa,menores de 5 anos,2008-08-01,187,159,3,3,190,162,352
PUERTO ACOSTA,consulta externa,menores de 5 anos,2008-08-01,163,139,1,1,164,140,304
PUERTO CARABUCO,consulta externa,menores de 5 anos,2008-08-01,151,113,5,6,156,119,275
PUERTO GONZALO MORENO,consulta externa,menores de 5 anos,2008-08-01,125,139,0,1,125,140,265
PUERTO PEREZ,consulta externa,menores de 5 anos,2008-08-01,34,41,2,1,36,42,78
PUERTO QUIJARRO,consulta externa,menores de 5 anos,2008-08-01,177,129,14,18,191,147,338
PUERTO RICO,consulta externa,menores de 5 anos,2008-08-01,275,240,3,3,278,243,521
PUERTO SILES,consulta externa,menores de 5 anos,2008-08-01,43,35,14,7,57,42,99
PUERTO SUAREZ,consulta externa,menores de 5 anos,2008-08-01,268,281,28,15,296,296,592
PUERTO VILLARROEL,consulta externa,menores de 5 anos,2008-08-01,1380,1228,94,73,1474,1301,2775
PUNA,consulta externa,menores de 5 anos,2008-08-01,787,722,16,13,803,735,1538
PUNATA,consulta externa,menores de 5 anos,2008-08-01,399,350,37,43,436,393,829
QUIABAYA,consulta externa,menores de 5 anos,2008-08-01,38,29,0,0,38,29,67
QUILLACOLLO,consulta externa,menores de 5 anos,2008-08-01,694,635,421,349,1115,984,2099
QUIME,consulta externa,menores de 5 anos,2008-08-01,113,110,1,2,114,112,226
QUIRUSILLAS,consulta externa,menores de 5 anos,2008-08-01,45,42,1,0,46,42,88
RAVELO,consulta externa,menores de 5 anos,2008-08-01,529,505,4,3,533,508,1041
REYES,consulta externa,menores de 5 anos,2008-08-01,259,239,22,19,281,258,539
RIBERALTA,consulta externa,menores de 5 anos,2008-08-01,3019,2752,600,502,3619,3254,6873
ROBORE,consulta externa,menores de 5 anos,2008-08-01,377,328,10,14,387,342,729
RURRENABAQUE,consulta externa,menores de 5 anos,2008-08-01,322,303,21,22,343,325,668
SABAYA,consulta externa,menores de 5 anos,2008-08-01,42,38,2,1,44,39,83
SACABA,consulta externa,menores de 5 anos,2008-08-01,1075,968,173,157,1248,1125,2373
SACABAMBA,consulta externa,menores de 5 anos,2008-08-01,90,72,3,2,93,74,167
SACACA,consulta externa,menores de 5 anos,2008-08-01,650,582,5,7,655,589,1244
SAIPINA,consulta externa,menores de 5 anos,2008-08-01,91,87,8,5,99,92,191
SALINAS DE GARCI MENDOZA,consulta externa,menores de 5 anos,2008-08-01,217,184,0,2,217,186,403
