,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVA,PERSONAS DE 60 AÑOS Y MÁS NUEVA,PERSONAS DE 60 AÑOS Y MÁS REPETIDAS,PERSONAS DE 60 AÑOS Y MÁS REPETIDAS,TOTALES,TOTALES,TOTALES
VILLA NUEVA (LOMA ALTA),consulta externa,personas de 60 anos y mas,2008-07-01,4,5,0,1,4,6,10
VILLA RIVERO,consulta externa,personas de 60 anos y mas,2008-07-01,6,20,2,4,8,24,32
VILLA SERRANO,consulta externa,personas de 60 anos y mas,2008-07-01,71,124,1,2,72,126,198
VILLA TUNARI,consulta externa,personas de 60 anos y mas,2008-07-01,99,96,29,14,128,110,238
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,personas de 60 anos y mas,2008-07-01,86,129,0,2,86,131,217
VILLAZON,consulta externa,personas de 60 anos y mas,2008-07-01,133,209,48,55,181,264,445
VINTO,consulta externa,personas de 60 anos y mas,2008-07-01,59,92,26,36,85,128,213
VITICHI,consulta externa,personas de 60 anos y mas,2008-07-01,75,122,1,8,76,130,206
WALDO BALLIVIAN,consulta externa,personas de 60 anos y mas,2008-07-01,11,10,5,2,16,12,28
WARNES,consulta externa,personas de 60 anos y mas,2008-07-01,237,231,207,160,444,391,835
YACO,consulta externa,personas de 60 anos y mas,2008-07-01,50,42,4,3,54,45,99
YACUIBA,consulta externa,personas de 60 anos y mas,2008-07-01,601,791,271,384,872,1175,2047
YAMPARAEZ,consulta externa,personas de 60 anos y mas,2008-07-01,66,98,5,11,71,109,180
YANACACHI,consulta externa,personas de 60 anos y mas,2008-07-01,22,13,0,2,22,15,37
YAPACANI,consulta externa,personas de 60 anos y mas,2008-07-01,220,196,38,38,258,234,492
YOCALLA,consulta externa,personas de 60 anos y mas,2008-07-01,72,116,3,7,75,123,198
YOTALA,consulta externa,personas de 60 anos y mas,2008-07-01,35,73,8,19,43,92,135
YUNCHARA,consulta externa,personas de 60 anos y mas,2008-07-01,14,13,1,1,15,14,29
ZUDAÑEZ,consulta externa,personas de 60 anos y mas,2008-07-01,138,155,5,5,143,160,303
ACACIO,consulta externa,personas de 60 anos y mas,2008-08-01,30,31,4,0,34,31,65
ACHACACHI,consulta externa,personas de 60 anos y mas,2008-08-01,339,372,80,61,419,433,852
ACHOCALLA,consulta externa,personas de 60 anos y mas,2008-08-01,11,10,4,1,15,11,26
AIQUILE,consulta externa,personas de 60 anos y mas,2008-08-01,125,152,38,39,163,191,354
ALALAY,consulta externa,personas de 60 anos y mas,2008-08-01,2,6,0,0,2,6,8
ALCALA,consulta externa,personas de 60 anos y mas,2008-08-01,40,55,1,1,41,56,97
ANCORAIMES,consulta externa,personas de 60 anos y mas,2008-08-01,66,93,12,31,78,124,202
ANDAMARCA,consulta externa,personas de 60 anos y mas,2008-08-01,30,44,3,7,33,51,84
ANTEQUERA,consulta externa,personas de 60 anos y mas,2008-08-01,9,8,0,0,9,8,17
ANZALDO,consulta externa,personas de 60 anos y mas,2008-08-01,24,21,0,6,24,27,51
APOLO,consulta externa,personas de 60 anos y mas,2008-08-01,63,63,9,9,72,72,144
ARAMPAMPA,consulta externa,personas de 60 anos y mas,2008-08-01,17,24,1,0,18,24,42
ARANI,consulta externa,personas de 60 anos y mas,2008-08-01,7,20,3,1,10,21,31
ARBIETO,consulta externa,personas de 60 anos y mas,2008-08-01,35,70,12,14,47,84,131
ARQUE,consulta externa,personas de 60 anos y mas,2008-08-01,7,15,0,1,7,16,23
ASCENCION DE GUARAYOS,consulta externa,personas de 60 anos y mas,2008-08-01,49,50,32,36,81,86,167
ATOCHA,consulta externa,personas de 60 anos y mas,2008-08-01,79,100,30,33,109,133,242
AUCAPATA,consulta externa,personas de 60 anos y mas,2008-08-01,29,26,2,2,31,28,59
AYATA,consulta externa,personas de 60 anos y mas,2008-08-01,34,47,2,5,36,52,88
AYO AYO,consulta externa,personas de 60 anos y mas,2008-08-01,23,37,0,1,23,38,61
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 60 anos y mas,2008-08-01,74,103,2,11,76,114,190
AZURDUY,consulta externa,personas de 60 anos y mas,2008-08-01,67,79,0,1,67,80,147
BATALLAS,consulta externa,personas de 60 anos y mas,2008-08-01,71,52,2,2,73,54,127
BAURES,consulta externa,personas de 60 anos y mas,2008-08-01,10,11,5,8,15,19,34
BELEN DE ANDAMARCA,consulta externa,personas de 60 anos y mas,2008-08-01,17,17,3,0,20,17,37
BELEN DE URMIRI,consulta externa,personas de 60 anos y mas,2008-08-01,19,20,2,2,21,22,43
BELLA FLOR,consulta externa,personas de 60 anos y mas,2008-08-01,5,16,0,0,5,16,21
BERMEJO,consulta externa,personas de 60 anos y mas,2008-08-01,307,282,49,52,356,334,690
BETANZOS,consulta externa,personas de 60 anos y mas,2008-08-01,252,357,66,103,318,460,778
BOLIVAR,consulta externa,personas de 60 anos y mas,2008-08-01,13,21,1,0,14,21,35
BOLPEBRA,consulta externa,personas de 60 anos y mas,2008-08-01,6,1,1,1,7,2,9
BOYUIBE,consulta externa,personas de 60 anos y mas,2008-08-01,20,34,7,4,27,38,65
BUENA VISTA,consulta externa,personas de 60 anos y mas,2008-08-01,84,60,12,8,96,68,164
CABEZAS,consulta externa,personas de 60 anos y mas,2008-08-01,38,47,0,0,38,47,85
CAIROMA,consulta externa,personas de 60 anos y mas,2008-08-01,66,54,16,3,82,57,139
"CAIZA ""D""",consulta externa,personas de 60 anos y mas,2008-08-01,105,203,20,34,125,237,362
CAJUATA,consulta externa,personas de 60 anos y mas,2008-08-01,63,44,3,0,66,44,110
CALACOTO,consulta externa,personas de 60 anos y mas,2008-08-01,41,65,3,1,44,66,110
CALAMARCA,consulta externa,personas de 60 anos y mas,2008-08-01,26,33,6,2,32,35,67
CAMARGO,consulta externa,personas de 60 anos y mas,2008-08-01,158,262,11,24,169,286,455
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 60 anos y mas,2008-08-01,76,106,24,21,100,127,227
CAMIRI,consulta externa,personas de 60 anos y mas,2008-08-01,698,936,113,157,811,1093,1904
CAPINOTA,consulta externa,personas de 60 anos y mas,2008-08-01,50,47,29,33,79,80,159
CAQUIAVIRI,consulta externa,personas de 60 anos y mas,2008-08-01,44,50,4,1,48,51,99
CARACOLLO,consulta externa,personas de 60 anos y mas,2008-08-01,77,57,10,11,87,68,155
CARANAVI,consulta externa,personas de 60 anos y mas,2008-08-01,362,200,22,14,384,214,598
CARANGAS,consulta externa,personas de 60 anos y mas,2008-08-01,1,5,0,0,1,5,6
CARAPARI,consulta externa,personas de 60 anos y mas,2008-08-01,28,22,0,0,28,22,50
CARIPUYO,consulta externa,personas de 60 anos y mas,2008-08-01,9,24,0,0,9,24,33
CARMEN RIVERO TORREZ,consulta externa,personas de 60 anos y mas,2008-08-01,9,10,1,1,10,11,21
CATACORA,consulta externa,personas de 60 anos y mas,2008-08-01,8,13,7,5,15,18,33
CHACARILLA,consulta externa,personas de 60 anos y mas,2008-08-01,5,6,2,4,7,10,17
CHALLAPATA,consulta externa,personas de 60 anos y mas,2008-08-01,212,235,34,35,246,270,516
CHAQUI,consulta externa,personas de 60 anos y mas,2008-08-01,56,68,1,6,57,74,131
CHARAGUA,consulta externa,personas de 60 anos y mas,2008-08-01,67,78,8,1,75,79,154
CHARAÑA,consulta externa,personas de 60 anos y mas,2008-08-01,18,17,1,1,19,18,37
CHAYANTA,consulta externa,personas de 60 anos y mas,2008-08-01,19,47,0,0,19,47,66
CHIMORE,consulta externa,personas de 60 anos y mas,2008-08-01,54,31,1,2,55,33,88
CHIPAYA,consulta externa,personas de 60 anos y mas,2008-08-01,4,2,0,0,4,2,6
CHOQUE COTA,consulta externa,personas de 60 anos y mas,2008-08-01,26,40,0,4,26,44,70
CHULUMANI (V. DE LA LIBERTAD),consulta externa,personas de 60 anos y mas,2008-08-01,78,74,45,20,123,94,217
CHUMA,consulta externa,personas de 60 anos y mas,2008-08-01,70,93,3,3,73,96,169
CLIZA,consulta externa,personas de 60 anos y mas,2008-08-01,46,85,14,12,60,97,157
COBIJA,consulta externa,personas de 60 anos y mas,2008-08-01,267,242,192,98,459,340,799
COCHABAMBA,consulta externa,personas de 60 anos y mas,2008-08-01,4712,5730,5699,7326,10411,13056,23467
COIPASA,consulta externa,personas de 60 anos y mas,2008-08-01,4,1,0,3,4,4,8
COLCAPIRHUA,consulta externa,personas de 60 anos y mas,2008-08-01,101,53,160,73,261,126,387
"COLCHA ""K""",consulta externa,personas de 60 anos y mas,2008-08-01,90,112,10,3,100,115,215
COLLANA,consulta externa,personas de 60 anos y mas,2008-08-01,13,18,9,6,22,24,46
COLOMI,consulta externa,personas de 60 anos y mas,2008-08-01,11,13,3,2,14,15,29
COLPA BELGICA,consulta externa,personas de 60 anos y mas,2008-08-01,97,59,43,50,140,109,249
COLQUECHACA,consulta externa,personas de 60 anos y mas,2008-08-01,73,93,0,0,73,93,166
COLQUENCHA,consulta externa,personas de 60 anos y mas,2008-08-01,48,80,12,9,60,89,149
COLQUIRI,consulta externa,personas de 60 anos y mas,2008-08-01,64,64,3,0,67,64,131
COMANCHE,consulta externa,personas de 60 anos y mas,2008-08-01,24,25,2,4,26,29,55
COMARAPA,consulta externa,personas de 60 anos y mas,2008-08-01,96,135,14,27,110,162,272
COMBAYA,consulta externa,personas de 60 anos y mas,2008-08-01,28,20,5,4,33,24,57
CONCEPCION,consulta externa,personas de 60 anos y mas,2008-08-01,73,41,6,12,79,53,132
COPACABANA,consulta externa,personas de 60 anos y mas,2008-08-01,37,54,1,3,38,57,95
CORIPATA,consulta externa,personas de 60 anos y mas,2008-08-01,46,40,8,7,54,47,101
CORO CORO,consulta externa,personas de 60 anos y mas,2008-08-01,47,31,1,4,48,35,83
COROICO,consulta externa,personas de 60 anos y mas,2008-08-01,114,84,80,88,194,172,366
CORQUE,consulta externa,personas de 60 anos y mas,2008-08-01,73,78,3,9,76,87,163
COTAGAITA,consulta externa,personas de 60 anos y mas,2008-08-01,257,413,11,15,268,428,696
COTOCA,consulta externa,personas de 60 anos y mas,2008-08-01,124,147,13,23,137,170,307
CUATRO CAÑADAS,consulta externa,personas de 60 anos y mas,2008-08-01,34,38,7,3,41,41,82
CUCHUMUELA (V. G. VILLARROEL),consulta externa,personas de 60 anos y mas,2008-08-01,6,4,1,2,7,6,13
CUEVO,consulta externa,personas de 60 anos y mas,2008-08-01,27,42,8,18,35,60,95
CULPINA,consulta externa,personas de 60 anos y mas,2008-08-01,106,165,0,1,106,166,272
CURAHUARA DE CARANGAS,consulta externa,personas de 60 anos y mas,2008-08-01,46,27,5,0,51,27,78
CURVA,consulta externa,personas de 60 anos y mas,2008-08-01,10,9,1,0,11,9,20
DESAGUADERO,consulta externa,personas de 60 anos y mas,2008-08-01,14,20,1,2,15,22,37
EL ALTO,consulta externa,personas de 60 anos y mas,2008-08-01,1603,1767,1121,1245,2724,3012,5736
EL CHORO,consulta externa,personas de 60 anos y mas,2008-08-01,44,36,6,6,50,42,92
EL PUENTE(STC),consulta externa,personas de 60 anos y mas,2008-08-01,39,42,0,1,39,43,82
EL PUENTE(TJA),consulta externa,personas de 60 anos y mas,2008-08-01,39,87,2,0,41,87,128
EL TORNO,consulta externa,personas de 60 anos y mas,2008-08-01,294,293,139,133,433,426,859
EL VILLAR,consulta externa,personas de 60 anos y mas,2008-08-01,45,75,1,0,46,75,121
ENTRE RIOS,consulta externa,personas de 60 anos y mas,2008-08-01,25,25,5,3,30,28,58
ENTRE RIOS,consulta externa,personas de 60 anos y mas,2008-08-01,93,109,5,10,98,119,217
ESCARA,consulta externa,personas de 60 anos y mas,2008-08-01,3,2,0,0,3,2,5
ESMERALDA,consulta externa,personas de 60 anos y mas,2008-08-01,5,8,0,0,5,8,13
EUCALIPTUS,consulta externa,personas de 60 anos y mas,2008-08-01,39,25,1,1,40,26,66
EUREKA (SANTOS MERCADO),consulta externa,personas de 60 anos y mas,2008-08-01,3,2,0,0,3,2,5
EXALTACION,consulta externa,personas de 60 anos y mas,2008-08-01,7,10,2,1,9,11,20
FERNANDEZ ALONSO,consulta externa,personas de 60 anos y mas,2008-08-01,55,49,12,1,67,50,117
FILADELFIA,consulta externa,personas de 60 anos y mas,2008-08-01,13,11,0,1,13,12,25
GENERAL SAAVEDRA,consulta externa,personas de 60 anos y mas,2008-08-01,52,31,0,2,52,33,85
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,personas de 60 anos y mas,2008-08-01,36,66,2,3,38,69,107
GUANAY,consulta externa,personas de 60 anos y mas,2008-08-01,71,53,30,12,101,65,166
GUAQUI,consulta externa,personas de 60 anos y mas,2008-08-01,31,31,2,0,33,31,64
GUAYARAMERIN,consulta externa,personas de 60 anos y mas,2008-08-01,353,427,103,120,456,547,1003
GUTIERREZ,consulta externa,personas de 60 anos y mas,2008-08-01,76,133,1,3,77,136,213
HUACARETA,consulta externa,personas de 60 anos y mas,2008-08-01,40,93,10,15,50,108,158
HUACAYA (VILLA DE HUACAYA),consulta externa,personas de 60 anos y mas,2008-08-01,23,67,0,0,23,67,90
HUACHACALLA,consulta externa,personas de 60 anos y mas,2008-08-01,62,48,18,16,80,64,144
HUANUNI,consulta externa,personas de 60 anos y mas,2008-08-01,162,165,108,118,270,283,553
HUARACAJE,consulta externa,personas de 60 anos y mas,2008-08-01,12,11,3,1,15,12,27
HUAYLLAMARCA,consulta externa,personas de 60 anos y mas,2008-08-01,21,25,0,1,21,26,47
ICHOCA,consulta externa,personas de 60 anos y mas,2008-08-01,23,24,1,1,24,25,49
ICLA,consulta externa,personas de 60 anos y mas,2008-08-01,37,63,1,4,38,67,105
INCAHUASI,consulta externa,personas de 60 anos y mas,2008-08-01,79,198,2,2,81,200,281
INGAVI (HUMAITA),consulta externa,personas de 60 anos y mas,2008-08-01,2,4,0,0,2,4,6
INQUISIVI,consulta externa,personas de 60 anos y mas,2008-08-01,33,26,1,0,34,26,60
IRUPANA (VILLA DE LANZA),consulta externa,personas de 60 anos y mas,2008-08-01,113,98,8,24,121,122,243
IXIAMAS,consulta externa,personas de 60 anos y mas,2008-08-01,19,8,3,0,22,8,30
JESUS DE MACHACA,consulta externa,personas de 60 anos y mas,2008-08-01,185,214,49,61,234,275,509
LA ASUNTA,consulta externa,personas de 60 anos y mas,2008-08-01,46,29,8,8,54,37,91
LA GUARDIA,consulta externa,personas de 60 anos y mas,2008-08-01,84,89,22,14,106,103,209
LA PAZ,consulta externa,personas de 60 anos y mas,2008-08-01,8726,10698,9414,12088,18140,22786,40926
LA RIVERA,consulta externa,personas de 60 anos y mas,2008-08-01,2,2,0,0,2,2,4
LAGUNILLAS,consulta externa,personas de 60 anos y mas,2008-08-01,30,65,4,1,34,66,100
LAJA,consulta externa,personas de 60 anos y mas,2008-08-01,36,39,4,2,40,41,81
LAS CARRERAS,consulta externa,personas de 60 anos y mas,2008-08-01,38,58,5,5,43,63,106
LICOMA PAMPA,consulta externa,personas de 60 anos y mas,2008-08-01,23,20,2,1,25,21,46
LLALLAGUA,consulta externa,personas de 60 anos y mas,2008-08-01,41,51,0,0,41,51,92
LLICA,consulta externa,personas de 60 anos y mas,2008-08-01,45,44,4,4,49,48,97
LORETO,consulta externa,personas de 60 anos y mas,2008-08-01,17,20,0,0,17,20,37
LURIBAY,consulta externa,personas de 60 anos y mas,2008-08-01,102,104,8,6,110,110,220
MACHACAMARCA,consulta externa,personas de 60 anos y mas,2008-08-01,40,42,22,36,62,78,140
MACHARETI,consulta externa,personas de 60 anos y mas,2008-08-01,55,60,8,5,63,65,128
MAGDALENA,consulta externa,personas de 60 anos y mas,2008-08-01,25,17,57,96,82,113,195
MAIRANA,consulta externa,personas de 60 anos y mas,2008-08-01,52,89,0,1,52,90,142
MALLA,consulta externa,personas de 60 anos y mas,2008-08-01,7,11,0,0,7,11,18
MAPIRI,consulta externa,personas de 60 anos y mas,2008-08-01,40,37,3,1,43,38,81
MECAPACA,consulta externa,personas de 60 anos y mas,2008-08-01,42,28,13,4,55,32,87
MINEROS,consulta externa,personas de 60 anos y mas,2008-08-01,18,10,0,0,18,10,28
MIZQUE,consulta externa,personas de 60 anos y mas,2008-08-01,41,50,2,4,43,54,97
MOCOMOCO,consulta externa,personas de 60 anos y mas,2008-08-01,80,78,9,9,89,87,176
MOJINETE,consulta externa,personas de 60 anos y mas,2008-08-01,2,9,0,0,2,9,11
MOJOCOYA,consulta externa,personas de 60 anos y mas,2008-08-01,44,79,4,7,48,86,134
MONTEAGUDO,consulta externa,personas de 60 anos y mas,2008-08-01,153,297,39,56,192,353,545
MONTERO,consulta externa,personas de 60 anos y mas,2008-08-01,527,707,466,595,993,1302,2295
MORO MORO,consulta externa,personas de 60 anos y mas,2008-08-01,25,30,2,5,27,35,62
MOROCHATA,consulta externa,personas de 60 anos y mas,2008-08-01,61,59,1,5,62,64,126
NAZACARA DE PACAJES,consulta externa,personas de 60 anos y mas,2008-08-01,10,11,1,0,11,11,22
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,personas de 60 anos y mas,2008-08-01,6,4,0,0,6,4,10
OCURI,consulta externa,personas de 60 anos y mas,2008-08-01,42,39,4,5,46,44,90
OKINAWA,consulta externa,personas de 60 anos y mas,2008-08-01,70,86,1,2,71,88,159
OMEREQUE,consulta externa,personas de 60 anos y mas,2008-08-01,24,42,5,5,29,47,76
ORURO,consulta externa,personas de 60 anos y mas,2008-08-01,3251,3443,1842,1920,5093,5363,10456
PADCAYA,consulta externa,personas de 60 anos y mas,2008-08-01,64,94,1,2,65,96,161
PADILLA,consulta externa,personas de 60 anos y mas,2008-08-01,164,272,11,26,175,298,473
PAILON,consulta externa,personas de 60 anos y mas,2008-08-01,26,30,0,1,26,31,57
PALCA,consulta externa,personas de 60 anos y mas,2008-08-01,44,37,9,4,53,41,94
PALOS BLANCOS,consulta externa,personas de 60 anos y mas,2008-08-01,146,106,17,14,163,120,283
PAMPA AULLAGAS,consulta externa,personas de 60 anos y mas,2008-08-01,16,8,0,0,16,8,24
PAMPA GRANDE,consulta externa,personas de 60 anos y mas,2008-08-01,14,34,2,1,16,35,51
PAPEL PAMPA,consulta externa,personas de 60 anos y mas,2008-08-01,41,60,0,3,41,63,104
PASORAPA,consulta externa,personas de 60 anos y mas,2008-08-01,26,28,0,1,26,29,55
PATACAMAYA,consulta externa,personas de 60 anos y mas,2008-08-01,56,44,1,2,57,46,103
PAZÑA,consulta externa,personas de 60 anos y mas,2008-08-01,34,46,17,10,51,56,107
PELECHUCO,consulta externa,personas de 60 anos y mas,2008-08-01,19,34,0,0,19,34,53
POCOATA,consulta externa,personas de 60 anos y mas,2008-08-01,66,90,2,4,68,94,162
POCONA,consulta externa,personas de 60 anos y mas,2008-08-01,28,74,0,2,28,76,104
POJO (CBBA),consulta externa,personas de 60 anos y mas,2008-08-01,14,20,0,0,14,20,34
POOPO,consulta externa,personas de 60 anos y mas,2008-08-01,60,53,19,4,79,57,136
PORCO,consulta externa,personas de 60 anos y mas,2008-08-01,9,30,1,3,10,33,43
POROMA,consulta externa,personas de 60 anos y mas,2008-08-01,84,147,5,3,89,150,239
PORONGO,consulta externa,personas de 60 anos y mas,2008-08-01,36,36,3,0,39,36,75
PORTACHUELO,consulta externa,personas de 60 anos y mas,2008-08-01,118,120,85,57,203,177,380
PORVENIR,consulta externa,personas de 60 anos y mas,2008-08-01,15,6,0,3,15,9,24
POSTRER VALLE,consulta externa,personas de 60 anos y mas,2008-08-01,23,41,0,2,23,43,66
POTOSI,consulta externa,personas de 60 anos y mas,2008-08-01,2324,2297,916,1225,3240,3522,6762
PRESTO,consulta externa,personas de 60 anos y mas,2008-08-01,51,71,2,1,53,72,125
PUCARA,consulta externa,personas de 60 anos y mas,2008-08-01,22,45,2,3,24,48,72
PUCARANI,consulta externa,personas de 60 anos y mas,2008-08-01,52,49,2,7,54,56,110
PUERTO ACOSTA,consulta externa,personas de 60 anos y mas,2008-08-01,154,122,26,18,180,140,320
PUERTO CARABUCO,consulta externa,personas de 60 anos y mas,2008-08-01,55,51,5,5,60,56,116
PUERTO GONZALO MORENO,consulta externa,personas de 60 anos y mas,2008-08-01,26,13,1,0,27,13,40
PUERTO PEREZ,consulta externa,personas de 60 anos y mas,2008-08-01,26,21,4,1,30,22,52
PUERTO QUIJARRO,consulta externa,personas de 60 anos y mas,2008-08-01,77,91,21,16,98,107,205
PUERTO RICO,consulta externa,personas de 60 anos y mas,2008-08-01,16,9,0,1,16,10,26
PUERTO SILES,consulta externa,personas de 60 anos y mas,2008-08-01,8,2,0,0,8,2,10
PUERTO SUAREZ,consulta externa,personas de 60 anos y mas,2008-08-01,129,126,6,13,135,139,274
PUERTO VILLARROEL,consulta externa,personas de 60 anos y mas,2008-08-01,49,72,4,8,53,80,133
PUNA,consulta externa,personas de 60 anos y mas,2008-08-01,202,349,12,9,214,358,572
PUNATA,consulta externa,personas de 60 anos y mas,2008-08-01,160,314,56,82,216,396,612
QUIABAYA,consulta externa,personas de 60 anos y mas,2008-08-01,12,8,2,1,14,9,23
QUILLACOLLO,consulta externa,personas de 60 anos y mas,2008-08-01,447,590,304,468,751,1058,1809
QUIME,consulta externa,personas de 60 anos y mas,2008-08-01,30,17,1,1,31,18,49
QUIRUSILLAS,consulta externa,personas de 60 anos y mas,2008-08-01,30,25,1,2,31,27,58
RAVELO,consulta externa,personas de 60 anos y mas,2008-08-01,68,127,0,0,68,127,195
REYES,consulta externa,personas de 60 anos y mas,2008-08-01,95,91,42,43,137,134,271
RIBERALTA,consulta externa,personas de 60 anos y mas,2008-08-01,709,761,142,196,851,957,1808
ROBORE,consulta externa,personas de 60 anos y mas,2008-08-01,119,320,68,130,187,450,637
RURRENABAQUE,consulta externa,personas de 60 anos y mas,2008-08-01,69,56,49,42,118,98,216
SABAYA,consulta externa,personas de 60 anos y mas,2008-08-01,38,52,0,4,38,56,94
SACABA,consulta externa,personas de 60 anos y mas,2008-08-01,192,277,127,163,319,440,759
SACABAMBA,consulta externa,personas de 60 anos y mas,2008-08-01,30,49,0,3,30,52,82
SACACA,consulta externa,personas de 60 anos y mas,2008-08-01,54,107,0,0,54,107,161
SAIPINA,consulta externa,personas de 60 anos y mas,2008-08-01,4,4,0,0,4,4,8
SALINAS DE GARCI MENDOZA,consulta externa,personas de 60 anos y mas,2008-08-01,49,63,6,2,55,65,120
SAMAIPATA,consulta externa,personas de 60 anos y mas,2008-08-01,66,62,1,2,67,64,131
SAN AGUSTIN,consulta externa,personas de 60 anos y mas,2008-08-01,12,24,0,1,12,25,37
SAN ANDRES,consulta externa,personas de 60 anos y mas,2008-08-01,16,16,2,2,18,18,36
SAN ANDRES DE MACHACA,consulta externa,personas de 60 anos y mas,2008-08-01,111,161,10,5,121,166,287
SAN ANTONIO DE ESMORUCO,consulta externa,personas de 60 anos y mas,2008-08-01,5,12,0,5,5,17,22
SAN ANTONIO DE LOMERIO,consulta externa,personas de 60 anos y mas,2008-08-01,33,50,0,0,33,50,83
SAN BENITO,consulta externa,personas de 60 anos y mas,2008-08-01,26,39,6,12,32,51,83
SAN BORJA,consulta externa,personas de 60 anos y mas,2008-08-01,118,112,97,89,215,201,416
SAN BUENA VENTURA,consulta externa,personas de 60 anos y mas,2008-08-01,53,47,7,4,60,51,111
SAN CARLOS,consulta externa,personas de 60 anos y mas,2008-08-01,116,99,9,10,125,109,234
SAN IGNACIO,consulta externa,personas de 60 anos y mas,2008-08-01,146,164,39,41,185,205,390
SAN IGNACIO DE VELASCO,consulta externa,personas de 60 anos y mas,2008-08-01,252,282,36,36,288,318,606
SAN JAVIER(BNI),consulta externa,personas de 60 anos y mas,2008-08-01,3,1,0,0,3,1,4
SAN JAVIER(STC),consulta externa,personas de 60 anos y mas,2008-08-01,28,50,3,7,31,57,88
SAN JOAQUIN,consulta externa,personas de 60 anos y mas,2008-08-01,179,188,169,117,348,305,653
SAN JOSE DE CHIQUITOS,consulta externa,personas de 60 anos y mas,2008-08-01,94,117,10,18,104,135,239
SAN JUAN DE YAPACANI,consulta externa,personas de 60 anos y mas,2008-08-01,37,23,22,12,59,35,94
SAN JULIAN,consulta externa,personas de 60 anos y mas,2008-08-01,91,113,5,3,96,116,212
SAN LORENZO(PND),consulta externa,personas de 60 anos y mas,2008-08-01,10,21,0,0,10,21,31
SAN LORENZO(TJA),consulta externa,personas de 60 anos y mas,2008-08-01,42,61,2,7,44,68,112
SAN LUCAS,consulta externa,personas de 60 anos y mas,2008-08-01,175,377,34,41,209,418,627
SAN MATIAS,consulta externa,personas de 60 anos y mas,2008-08-01,35,40,0,0,35,40,75
SAN MIGUEL DE VELASCO,consulta externa,personas de 60 anos y mas,2008-08-01,49,57,58,100,107,157,264
SAN PABLO DE LIPEZ,consulta externa,personas de 60 anos y mas,2008-08-01,24,26,5,3,29,29,58
SAN PEDRO,consulta externa,personas de 60 anos y mas,2008-08-01,110,72,12,7,122,79,201
SAN PEDRO DE BUENA VISTA,consulta externa,personas de 60 anos y mas,2008-08-01,49,81,0,1,49,82,131
SAN PEDRO DE CURAHUARA,consulta externa,personas de 60 anos y mas,2008-08-01,36,36,7,5,43,41,84
SAN PEDRO DE QUEMES,consulta externa,personas de 60 anos y mas,2008-08-01,8,4,1,0,9,4,13
SAN PEDRO DE TIQUINA,consulta externa,personas de 60 anos y mas,2008-08-01,65,72,4,6,69,78,147
SAN PEDRO(PND),consulta externa,personas de 60 anos y mas,2008-08-01,9,10,1,0,10,10,20
SAN RAFAEL,consulta externa,personas de 60 anos y mas,2008-08-01,11,15,2,2,13,17,30
SAN RAMON,consulta externa,personas de 60 anos y mas,2008-08-01,12,9,6,3,18,12,30
SAN RAMON,consulta externa,personas de 60 anos y mas,2008-08-01,8,4,0,0,8,4,12
SANTA ANA,consulta externa,personas de 60 anos y mas,2008-08-01,142,146,32,56,174,202,376
SANTA CRUZ DE LA SIERRA,consulta externa,personas de 60 anos y mas,2008-08-01,2914,4160,1173,1814,4087,5974,10061
SANTA ROSA,consulta externa,personas de 60 anos y mas,2008-08-01,89,80,7,7,96,87,183
SANTA ROSA DEL SARA,consulta externa,personas de 60 anos y mas,2008-08-01,50,50,2,1,52,51,103
SANTIAGO DE CALLAPA,consulta externa,personas de 60 anos y mas,2008-08-01,18,10,0,6,18,16,34
SANTIAGO DE HUARI,consulta externa,personas de 60 anos y mas,2008-08-01,111,125,12,8,123,133,256
SANTIAGO DE MACHACA,consulta externa,personas de 60 anos y mas,2008-08-01,8,19,0,0,8,19,27
SANTIVAÑES,consulta externa,personas de 60 anos y mas,2008-08-01,24,47,3,6,27,53,80
SANTUARIO DE QUILLACAS,consulta externa,personas de 60 anos y mas,2008-08-01,5,11,0,0,5,11,16
SAPAHAQUI,consulta externa,personas de 60 anos y mas,2008-08-01,48,40,3,1,51,41,92
SENA,consulta externa,personas de 60 anos y mas,2008-08-01,3,4,0,0,3,4,7
SICA SICA (VILLA AROMA),consulta externa,personas de 60 anos y mas,2008-08-01,56,73,2,3,58,76,134
SICAYA,consulta externa,personas de 60 anos y mas,2008-08-01,10,19,1,5,11,24,35
SIPE SIPE,consulta externa,personas de 60 anos y mas,2008-08-01,25,52,2,10,27,62,89
SOPACHUY,consulta externa,personas de 60 anos y mas,2008-08-01,54,105,0,0,54,105,159
SORACACHI,consulta externa,personas de 60 anos y mas,2008-08-01,17,28,3,10,20,38,58
SORATA,consulta externa,personas de 60 anos y mas,2008-08-01,92,79,7,1,99,80,179
SUCRE,consulta externa,personas de 60 anos y mas,2008-08-01,2546,3340,1399,1290,3945,4630,8575
TACACHI,consulta externa,personas de 60 anos y mas,2008-08-01,0,10,3,2,3,12,15
TACACOMA,consulta externa,personas de 60 anos y mas,2008-08-01,25,30,2,0,27,30,57
