,group,variable,month,1. NRO DE NEONATOS (MENOR DE 7 DIAS) A LOS QUE SE LES HA REALIZADO TAMIZAJE NEONATAL TEMPRANO CANTIDAD,1. NRO DE NEONATOS (MENOR DE 7 DIAS) A LOS QUE SE LES HA REALIZADO TAMIZAJE NEONATAL TEMPRANO CANTIDAD,TOTALES,TOTALES,TOTALES
FERNANDEZ ALONSO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,0,1,0,1
GENERAL SAAVEDRA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,5,6,5,6,11
GRAL. J.J. PEREZ (CHARAZANI),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,2,1,2,1,3
HUACARETA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,2,1,2,1,3
HUACAYA (VILLA DE HUACAYA),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,2,1,2,3
HUANUNI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,9,6,9,6,15
ICHOCA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,0,1,0,1,1
ICLA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,4,1,4,1,5
INCAHUASI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,7,6,7,6,13
INQUISIVI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,0,7,0,7,7
JESUS DE MACHACA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,0,1,0,1
LA GUARDIA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,39,42,39,42,81
LA PAZ,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,54,63,54,63,117
LAJA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,2,2,2,2,4
LAS CARRERAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,0,2,0,2,2
MACHARETI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,2,2,2,2,4
MAGDALENA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,4,5,4,5,9
MAIRANA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,5,10,5,10,15
MINEROS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,5,8,5,8,13
MOCOMOCO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,3,0,3,0,3
MOJOCOYA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,2,1,2,3
MONTEAGUDO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,10,17,10,17,27
MONTERO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,24,20,24,20,44
ORURO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,39,31,39,31,70
PADILLA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,2,6,2,6,8
PAILON,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,1,1,1,2
PAPEL PAMPA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,0,1,0,1,1
PATACAMAYA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,3,4,3,4,7
PELECHUCO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,3,0,3,0,3
POROMA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,7,8,7,8,15
PORONGO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,2,1,2,1,3
PORTACHUELO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,3,3,3,3,6
PRESTO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,0,1,0,1
PUERTO ACOSTA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,0,1,0,1
PUERTO QUIJARRO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,7,12,7,12,19
PUERTO VILLARROEL,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,0,1,0,1
RIBERALTA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,36,30,36,30,66
ROBORE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,11,6,11,6,17
SACABA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,50,54,50,54,104
SAIPINA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,3,1,3,1,4
SAN BORJA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,3,2,3,2,5
SAN IGNACIO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,3,3,3,3,6
SAN IGNACIO DE VELASCO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,53,47,53,47,100
SAN JAVIER(STC),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,12,9,12,9,21
SAN JUAN DE YAPACANI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,2,2,2,2,4
SAN LUCAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,5,12,5,12,17
SAN MATIAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,12,5,12,5,17
SAN PEDRO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,3,1,3,4
SANTA CRUZ DE LA SIERRA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,224,236,224,236,460
SANTA ROSA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,4,7,4,7,11
SANTA ROSA DEL SARA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,0,1,0,1,1
SAPAHAQUI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,0,1,0,1
SOPACHUY,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,4,1,4,5
SUCRE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,151,163,151,163,314
TARABUCO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,4,5,4,5,9
TARIJA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,71,76,71,76,147
TARVITA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,5,6,5,6,11
TOMINA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,0,1,0,1
TOTORA(CBBA),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,3,2,3,2,5
URUBICHA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,2,3,2,3,5
VALLEGRANDE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,5,3,5,3,8
VILLA CHARCAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,6,5,6,5,11
VILLA SERRANO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,3,0,3,0,3
VILLA TUNARI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,1,1,1,2
VILLA VACA GUZMAN (MUYUPAMPA),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,3,4,3,4,7
WARNES,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,38,46,38,46,84
YAMPARAEZ,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,2,1,2,1,3
YOTALA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,2,2,2,2,4
ZUDAÑEZ,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,0,1,0,1,1
AIQUILE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,10,8,10,8,18
ALCALA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,3,1,3,1,4
ANCORAIMES,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,2,1,2,3
APOLO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,2,1,2,1,3
ASCENCION DE GUARAYOS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,21,9,21,9,30
AYATA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,5,1,5,1,6
AZURDUY,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,7,5,7,5,12
BOYUIBE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,2,0,2,0,2
CABEZAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,5,5,5,5,10
CAJUATA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,0,2,0,2,2
CAMARGO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,3,7,3,7,10
CARMEN RIVERO TORREZ,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,2,3,2,3,5
CHARAGUA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,4,9,4,9,13
COCHABAMBA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,65,68,65,68,133
COLQUIRI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,3,1,3,4
COMARAPA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,8,10,8,10,18
CONCEPCION,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,13,7,13,7,20
COROICO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,5,2,5,2,7
COTOCA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,32,33,32,33,65
CUATRO CAÑADAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,12,4,12,4,16
CULPINA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,7,7,7,7,14
CURVA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,1,1,1,2
EL ALTO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,286,264,286,264,550
EL PUENTE(STC),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,3,2,3,2,5
EL VILLAR,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,1,1,1,2
ESCOMA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,0,1,0,1,1
FERNANDEZ ALONSO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,7,6,7,6,13
GENERAL SAAVEDRA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,5,4,5,4,9
GRAL. J.J. PEREZ (CHARAZANI),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,6,1,6,1,7
HUACARETA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,2,6,2,6,8
HUACAYA (VILLA DE HUACAYA),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,0,1,0,1,1
HUANUNI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,6,3,6,3,9
ICLA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,2,4,2,4,6
INCAHUASI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,8,3,8,3,11
INQUISIVI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,4,2,4,2,6
IRUPANA (VILLA DE LANZA),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,0,1,0,1
LA ASUNTA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,0,1,0,1
LA GUARDIA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,32,34,32,34,66
LA PAZ,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,56,61,56,61,117
LAGUNILLAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,0,1,0,1
LAJA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,7,6,7,6,13
LAS CARRERAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,0,1,0,1
LURIBAY,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,0,1,0,1
MACHARETI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,2,2,2,2,4
MAGDALENA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,2,3,2,3,5
MAIRANA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,7,4,7,4,11
MINEROS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,5,4,5,4,9
MOCOMOCO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,1,1,1,2
MOJOCOYA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,2,0,2,0,2
MONTEAGUDO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,14,9,14,9,23
MONTERO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,13,30,13,30,43
OMEREQUE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,0,1,0,1
ORURO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,34,40,34,40,74
PADILLA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,8,3,8,3,11
PAILON,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,3,1,3,4
PATACAMAYA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,4,3,4,3,7
POROMA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,11,5,11,5,16
PORONGO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,0,2,0,2,2
PORTACHUELO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,3,1,3,1,4
POTOSI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,0,1,0,1,1
PRESTO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,4,3,4,3,7
PUERTO ACOSTA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,2,1,2,3
QUIME,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,0,1,0,1
RIBERALTA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,32,27,32,27,59
ROBORE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,3,3,3,3,6
SACABA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,62,56,62,56,118
SAIPINA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,2,1,2,3
SAN IGNACIO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,3,3,3,3,6
SAN JAVIER(STC),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,9,7,9,7,16
SAN JUAN DE YAPACANI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,3,1,3,1,4
SAN JULIAN,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,29,21,29,21,50
SAN LUCAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,6,6,6,6,12
SAN MATIAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,6,6,6,6,12
SAN PEDRO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,4,2,4,2,6
SANTA CRUZ DE LA SIERRA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,181,196,181,196,377
SANTA ROSA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,2,3,2,3,5
SANTIAGO DE HUATA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,2,1,2,1,3
SAPAHAQUI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,1,1,1,2
SOPACHUY,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,3,0,3,0,3
SUCRE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,136,138,136,138,274
TACOPAYA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,2,1,2,3
TARABUCO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,3,4,3,4,7
TARVITA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,6,1,6,1,7
TOMINA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,0,1,0,1
TOTORA(CBBA),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,2,1,2,3
URUBICHA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,1,1,1,2
VALLEGRANDE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,2,6,2,6,8
VILLA CHARCAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,5,10,5,10,15
VILLA SERRANO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,2,1,2,1,3
VILLA TUNARI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,1,1,1,2
VILLA VACA GUZMAN (MUYUPAMPA),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,3,0,3,0,3
WALDO BALLIVIAN,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,0,1,0,1,1
WARNES,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,42,55,42,55,97
YACUIBA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,4,5,4,5,9
YAMPARAEZ,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,0,1,0,1
YOTALA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,2,0,2,0,2
ZUDAÑEZ,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,2,2,2,2,4
AIQUILE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,9,7,9,7,16
APOLO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,1,1,1,2
ASCENCION DE GUARAYOS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,10,16,10,16,26
AYATA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,6,1,6,7
AZURDUY,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,4,3,4,3,7
CABEZAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,2,10,2,10,12
