,group,variable,month,2. NRO DE NEONATOS (DE 7 A 28 DÍAS) A LOS QUE SE LES HA REALIZADO TAMIZAJE NEONATAL TEMPRANO CANTIDAD,2. NRO DE NEONATOS (DE 7 A 28 DÍAS) A LOS QUE SE LES HA REALIZADO TAMIZAJE NEONATAL TEMPRANO CANTIDAD,TOTALES,TOTALES,TOTALES
COMBAYA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,0,1,0,1
COTOCA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,2,1,2,1,3
EL ALTO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,41,47,41,47,88
FERNANDEZ ALONSO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,2,1,2,3
GENERAL SAAVEDRA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,3,1,3,1,4
HUATAJATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,0,1,0,1
ICHOCA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,0,2,0,2,2
ICLA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,0,1,0,1,1
INQUISIVI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,6,1,6,7
JESUS DE MACHACA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,0,1,0,1,1
LA GUARDIA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,5,2,5,2,7
LA PAZ,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,76,94,76,94,170
LAJA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,6,4,6,4,10
MACHARETI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,2,1,2,3
MALLA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,0,1,0,1
MINEROS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,4,1,4,1,5
MOCOMOCO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,3,0,3,0,3
MONTERO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,5,7,5,7,12
ORURO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,1,1,1,2
PAILON,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,0,1,0,1
PATACAMAYA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,5,5,5,5,10
PELECHUCO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,1,1,1,2
PORTACHUELO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,2,1,2,3
PRESTO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,0,2,0,2,2
PUERTO ACOSTA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,2,1,2,1,3
PUERTO PEREZ,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,0,1,0,1
QUIABAYA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,0,1,0,1,1
RIBERALTA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,3,2,3,2,5
ROBORE,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,3,1,3,4
SAN IGNACIO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,3,5,3,5,8
SAN JAVIER(STC),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,6,7,6,7,13
SAN JUAN DE YAPACANI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,0,1,0,1,1
SAN LUCAS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,6,3,6,3,9
SANTA CRUZ DE LA SIERRA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,30,36,30,36,66
SAPAHAQUI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,2,4,2,4,6
SORATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,2,3,2,3,5
SUCRE,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,18,11,18,11,29
TOTORA(CBBA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,3,1,3,1,4
UMALA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,1,1,1,2
WARNES,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,0,1,0,1
AYATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,1,1,1,2
CALAMARCA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,2,2,2,2,4
CHUMA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,1,1,1,2
COBIJA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,1,1,1,2
COCHABAMBA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,5,2,5,2,7
COLQUIRI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,0,1,0,1
COPACABANA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,0,1,0,1,1
COTOCA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,2,1,2,1,3
CUATRO CAÑADAS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,0,1,0,1,1
EL ALTO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,123,87,123,87,210
ESCOMA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,2,0,2,0,2
FERNANDEZ ALONSO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,0,1,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,3,3,3,3,6
HUANUNI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,0,1,0,1
INQUISIVI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,5,5,5,5,10
IRUPANA (VILLA DE LANZA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,0,1,0,1
JESUS DE MACHACA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,0,1,0,1
LA GUARDIA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,3,8,3,8,11
LA PAZ,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,83,83,83,83,166
LAJA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,3,2,3,2,5
MACHARETI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,1,1,1,2
MINEROS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,2,0,2,0,2
MOCOMOCO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,3,4,3,4,7
MONTERO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,6,3,6,3,9
ORURO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,2,0,2,0,2
PAPEL PAMPA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,1,1,1,2
PATACAMAYA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,7,3,7,3,10
PELECHUCO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,1,1,1,2
PRESTO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,1,1,1,2
PUERTO ACOSTA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,1,1,1,2
PUERTO CARABUCO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,0,1,0,1,1
PUERTO GONZALO MORENO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,0,7,0,7,7
QUIABAYA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,0,2,0,2,2
QUIME,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,3,1,3,4
RIBERALTA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,6,4,6,4,10
ROBORE,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,0,2,0,2,2
SAN IGNACIO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,3,4,3,4,7
SAN LUCAS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,3,8,3,8,11
SANTA CRUZ DE LA SIERRA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,45,37,45,37,82
SANTIAGO DE HUATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,3,1,3,1,4
SAPAHAQUI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,3,3,3,3,6
SORATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,3,3,3,3,6
SUCRE,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,10,11,10,11,21
TACACOMA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,0,1,0,1,1
TACOPAYA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,0,1,0,1,1
TARABUCO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,1,1,1,2
TARVITA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,1,1,1,2
TOTORA(CBBA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,6,2,6,2,8
VILLA CHARCAS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,2,2,2,2,4
VILLA VACA GUZMAN (MUYUPAMPA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,0,1,0,1,1
WALDO BALLIVIAN,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,3,1,3,1,4
WARNES,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,3,2,3,2,5
ZUDAÑEZ,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,0,1,0,1,1
ANCORAIMES,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,0,1,0,1,1
AYATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,5,1,5,1,6
BERMEJO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,2,2,2,2,4
CAJUATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,1,1,1,1,2
CALAMARCA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,2,3,2,3,5
CHUMA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,2,2,2,2,4
COCHABAMBA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,13,11,13,11,24
COLLANA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,0,1,0,1,1
COLQUIRI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,0,2,0,2,2
CONCEPCION,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,1,1,1,1,2
COTOCA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,4,4,4,4,8
EL ALTO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,66,38,66,38,104
ESCOMA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,1,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,6,0,6,0,6
HUACARETA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,1,0,1,0,1
ICHOCA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,1,1,1,1,2
ICLA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,1,0,1,0,1
INCAHUASI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,0,2,0,2,2
INQUISIVI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,3,6,3,6,9
JESUS DE MACHACA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,2,0,2,0,2
LA GUARDIA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,8,5,8,5,13
LA PAZ,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,61,67,61,67,128
LAJA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,5,4,5,4,9
LICOMA PAMPA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,2,0,2,0,2
MACHARETI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,2,1,2,1,3
MINEROS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,1,0,1,0,1
MIZQUE,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,11,10,11,10,21
MONTERO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,11,8,11,8,19
ORURO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,0,2,0,2,2
PAPEL PAMPA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,0,2,0,2,2
PATACAMAYA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,5,4,5,4,9
PELECHUCO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,2,2,2,2,4
PORTACHUELO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,0,1,0,1,1
PRESTO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,1,1,1,1,2
PUERTO ACOSTA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,2,0,2,0,2
QUIABAYA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,1,0,1,0,1
RIBERALTA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,5,6,5,6,11
SAN IGNACIO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,6,4,6,4,10
SAN JUAN DE YAPACANI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,0,1,0,1,1
SAN LUCAS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,3,3,3,3,6
SAN PEDRO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,60,50,60,50,110
SANTIAGO DE HUATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,0,2,0,2,2
SAPAHAQUI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,2,1,2,1,3
SORATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,2,0,2,0,2
SUCRE,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,13,15,13,15,28
TACACOMA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,2,2,2,2,4
TARABUCO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,1,1,1,1,2
TARVITA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,1,0,1,0,1
TOTORA(CBBA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,1,0,1,0,1
UMALA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,1,0,1,0,1
URIONDO (A. CONCEPCION),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,0,1,0,1,1
WARNES,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,1,1,1,1,2
YANACACHI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,1,1,1,1,2
AUCAPATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,1,1,1,1,2
AYATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,2,2,2,2,4
AYO AYO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,3,1,3,1,4
CALAMARCA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,1,2,1,2,3
CHUMA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,3,4,3,4,7
COCHABAMBA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,5,5,5,5,10
COLQUIRI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,4,0,4,0,4
COMBAYA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,1,1,1,1,2
COTOCA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,1,1,1,1,2
CUATRO CAÑADAS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,1,1,1,1,2
EL ALTO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,29,35,29,35,64
EL PUENTE(STC),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,1,1,1,1,2
FERNANDEZ ALONSO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,0,1,0,1,1
GENERAL SAAVEDRA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,0,2,0,2,2
GRAL. J.J. PEREZ (CHARAZANI),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,1,1,1,1,2
HUACARETA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,0,1,0,1,1
HUATAJATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,1,0,1,0,1
ICLA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,0,1,0,1,1
INCAHUASI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,0,1,0,1,1
INQUISIVI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,1,2,1,2,3
IRUPANA (VILLA DE LANZA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,0,1,0,1,1
