,group,variable,month,VACUNACIONES FIEBRE AMARILLA,VACUNACIONES FIEBRE AMARILLA,VACUNACIONES FIEBRE AMARILLA,VACUNACIONES FIEBRE AMARILLA,TOTALES,TOTALES,TOTALES
LURIBAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,5,12,0,0,5,12,17
MACHACAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,8,1,0,0,8,1,9
MACHARETI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,10,11,0,0,10,11,21
MAGDALENA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,8,11,0,0,8,11,19
MAIRANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,11,4,0,0,11,4,15
MALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,0,2,0,0,0,2,2
MAPIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,7,26,0,0,7,26,33
MECAPACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,4,5,0,0,4,5,9
MINEROS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,40,3,0,0,40,3,43
MIZQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,22,48,0,0,22,48,70
MOCOMOCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,0,29,0,0,0,29,29
MOJOCOYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,3,3,0,0,3,3,6
MONTEAGUDO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,34,21,0,0,34,21,55
MONTERO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,146,65,0,0,146,65,211
MORO MORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,2,0,0,0,2,0,2
MOROCHATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,13,33,0,0,13,33,46
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,3,3,0,0,3,3,6
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,0,1,0,0,0,1,1
OCURI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,13,43,0,0,13,43,56
OKINAWA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,15,5,0,0,15,5,20
OMEREQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,3,20,0,0,3,20,23
ORURO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,362,17,0,0,362,17,379
PADCAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,16,22,0,0,16,22,38
PADILLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,6,12,0,0,6,12,18
PAILON,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,32,12,0,0,32,12,44
PALCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,1,12,0,0,1,12,13
PALOS BLANCOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,31,13,0,0,31,13,44
PAMPA AULLAGAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,0,1,0,0,0,1,1
PAMPA GRANDE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,3,5,0,0,3,5,8
PAPEL PAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,0,1,0,0,0,1,1
PASORAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,1,4,0,0,1,4,5
PATACAMAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,5,3,0,0,5,3,8
PAZÑA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,3,8,0,0,3,8,11
PELECHUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,1,1,0,0,1,1,2
POCOATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,12,58,0,0,12,58,70
POCONA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,3,15,0,0,3,15,18
POJO (CBBA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,7,24,0,0,7,24,31
POOPO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,8,0,0,0,8,0,8
PORCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,14,0,0,0,14,0,14
POROMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,22,54,0,0,22,54,76
PORONGO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,11,6,0,0,11,6,17
PORTACHUELO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,25,5,0,0,25,5,30
PORVENIR,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,4,27,0,0,4,27,31
POSTRER VALLE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,7,0,0,0,7,0,7
POTOSI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,257,130,0,0,257,130,387
PRESTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,5,8,0,0,5,8,13
PUCARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,1,1,0,0,1,1,2
PUCARANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,4,53,0,0,4,53,57
PUERTO ACOSTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,6,44,0,0,6,44,50
PUERTO CARABUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,7,33,0,0,7,33,40
PUERTO GONZALO MORENO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,0,3,0,0,0,3,3
PUERTO PEREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,2,1,0,0,2,1,3
PUERTO QUIJARRO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,13,24,0,0,13,24,37
PUERTO RICO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,6,9,0,0,6,9,15
PUERTO SILES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,10,0,0,0,10,0,10
PUERTO SUAREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,27,7,0,0,27,7,34
PUERTO VILLARROEL,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,95,85,0,0,95,85,180
PUNA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,21,34,0,0,21,34,55
PUNATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,33,10,0,0,33,10,43
QUIABAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,2,18,0,0,2,18,20
QUILLACOLLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,162,81,0,0,162,81,243
QUIME,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,1,22,0,0,1,22,23
QUIRUSILLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,0,1,0,0,0,1,1
RAVELO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,15,23,0,0,15,23,38
REYES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,6,12,0,0,6,12,18
RIBERALTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,232,53,0,0,232,53,285
ROBORE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,20,5,0,0,20,5,25
RURRENABAQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,22,9,0,0,22,9,31
SABAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,2,4,0,0,2,4,6
SACABA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,138,128,0,0,138,128,266
SACABAMBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,1,9,0,0,1,9,10
SACACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,8,15,0,0,8,15,23
SAIPINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,14,6,0,0,14,6,20
SALINAS DE GARCI MENDOZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,5,12,0,0,5,12,17
SAMAIPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,6,11,0,0,6,11,17
SAN ANDRES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,8,29,0,0,8,29,37
SAN ANDRES DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,0,2,0,0,0,2,2
SAN ANTONIO DE ESMORUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,4,0,0,0,4,0,4
SAN ANTONIO DE LOMERIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,4,5,0,0,4,5,9
SAN BENITO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,5,3,0,0,5,3,8
SAN BORJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,57,89,0,0,57,89,146
SAN BUENA VENTURA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,10,9,0,0,10,9,19
SAN CARLOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,41,22,0,0,41,22,63
SAN IGNACIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,23,15,0,0,23,15,38
SAN IGNACIO DE VELASCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,96,32,0,0,96,32,128
SAN JAVIER(BNI),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,1,10,0,0,1,10,11
SAN JAVIER(STC),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,20,3,0,0,20,3,23
SAN JOAQUIN,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,0,2,0,0,0,2,2
SAN JOSE DE CHIQUITOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,25,17,0,0,25,17,42
SAN JUAN DE YAPACANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,13,12,0,0,13,12,25
SAN JULIAN,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,33,65,0,0,33,65,98
SAN LORENZO(PND),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,6,28,0,0,6,28,34
SAN LORENZO(TJA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,7,17,0,0,7,17,24
SAN LUCAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,35,47,0,0,35,47,82
SAN MATIAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,30,22,0,0,30,22,52
SAN MIGUEL DE VELASCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,13,6,0,0,13,6,19
SAN PABLO DE LIPEZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,1,3,0,0,1,3,4
SAN PEDRO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,37,2,0,0,37,2,39
SAN PEDRO DE BUENA VISTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,26,70,0,0,26,70,96
SAN PEDRO DE CURAHUARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,1,2,0,0,1,2,3
SAN PEDRO DE QUEMES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,0,2,0,0,0,2,2
SAN PEDRO DE TIQUINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,1,2,0,0,1,2,3
SAN PEDRO(PND),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,1,9,0,0,1,9,10
SAN RAFAEL,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,12,2,0,0,12,2,14
SAN RAMON,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,8,0,0,0,8,0,8
SAN RAMON,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,5,4,0,0,5,4,9
SANTA ANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,22,7,0,0,22,7,29
SANTA CRUZ DE LA SIERRA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,2172,319,0,0,2172,319,2491
SANTA ROSA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,14,6,0,0,14,6,20
SANTA ROSA DEL SARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,17,7,0,0,17,7,24
SANTIAGO DE CALLAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,0,2,0,0,0,2,2
SANTIAGO DE HUARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,2,4,0,0,2,4,6
SANTIAGO DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,0,3,0,0,0,3,3
SANTIVAÑES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,6,6,0,0,6,6,12
SANTUARIO DE QUILLACAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,3,2,0,0,3,2,5
SAPAHAQUI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,1,23,0,0,1,23,24
SENA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,3,1,0,0,3,1,4
SICA SICA (VILLA AROMA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,2,15,0,0,2,15,17
SICAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,2,4,0,0,2,4,6
SIPE SIPE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,19,21,0,0,19,21,40
SOPACHUY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,7,11,0,0,7,11,18
SORACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,8,23,0,0,8,23,31
SORATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,11,17,0,0,11,17,28
SUCRE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,429,157,0,0,429,157,586
TACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,1,0,0,0,1,0,1
TACACOMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,2,8,0,0,2,8,10
TACOBAMBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,0,7,0,0,0,7,7
TACOPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,0,9,0,0,0,9,9
TAPACARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,19,43,0,0,19,43,62
TARABUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,23,29,0,0,23,29,52
TARACO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,0,7,0,0,0,7,7
TARATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,9,4,0,0,9,4,13
TARIJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,327,72,0,0,327,72,399
TARVITA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,26,9,0,0,26,9,35
TEOPONTE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,4,9,0,0,4,9,13
TIAWANACU,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,5,19,0,0,5,19,24
TINGUIPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,2,46,0,0,2,46,48
TIPUANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,27,4,0,0,27,4,31
TIQUIPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,60,12,0,0,60,12,72
TIRAQUE (CBBA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,60,32,0,0,60,32,92
TOCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,4,5,0,0,4,5,9
TOLATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,4,5,0,0,4,5,9
TOLEDO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,5,3,0,0,5,3,8
TOMAVE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,1,15,0,0,1,15,16
TOMINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,17,8,0,0,17,8,25
TORO TORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,5,22,0,0,5,22,27
TOTORA(CBBA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,12,10,0,0,12,10,22
TOTORA(ORR),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,4,7,0,0,4,7,11
TRIGAL,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,2,0,0,0,2,0,2
TRINIDAD,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,147,11,0,0,147,11,158
TUPIZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,46,30,0,0,46,30,76
TURCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,6,6,0,0,6,6,12
UMALA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,0,25,0,0,0,25,25
UNCIA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,17,40,0,0,17,40,57
URIONDO (A. CONCEPCION),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,6,13,0,0,6,13,19
URUBICHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,20,0,0,0,20,0,20
UYUNI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,21,13,0,0,21,13,34
VACAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,1,20,0,0,1,20,21
VALLEGRANDE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,19,1,0,0,19,1,20
VIACHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,57,51,0,0,57,51,108
VILA VILA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,6,11,0,0,6,11,17
VILLA MONTES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,43,41,0,0,43,41,84
VILLA NUEVA (LOMA ALTA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,1,1,0,0,1,1,2
VILLA RIVERO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,0,9,0,0,0,9,9
VILLA SERRANO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,15,5,0,0,15,5,20
VILLA TUNARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,84,52,0,0,84,52,136
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,5,10,0,0,5,10,15
VILLAZON,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,62,22,0,0,62,22,84
VINTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,48,24,0,0,48,24,72
VITICHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,2,6,0,0,2,6,8
WALDO BALLIVIAN,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,1,3,0,0,1,3,4
WARNES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,119,47,0,0,119,47,166
YACO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,9,7,0,0,9,7,16
YACUIBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,111,28,0,0,111,28,139
YAMPARAEZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,11,2,0,0,11,2,13
YANACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,1,0,0,0,1,0,1
YAPACANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,51,58,0,0,51,58,109
YOCALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,3,11,0,0,3,11,14
YOTALA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,13,7,0,0,13,7,20
YUNCHARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,5,11,0,0,5,11,16
ZUDAÑEZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-07-01,4,13,0,0,4,13,17
ACACIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-08-01,6,2,0,0,6,2,8
ACHACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-08-01,23,108,0,0,23,108,131
ACHOCALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-08-01,5,25,0,0,5,25,30
AIQUILE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-08-01,40,26,0,0,40,26,66
ALALAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-08-01,2,5,0,0,2,5,7
ALCALA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-08-01,1,3,0,0,1,3,4
ANCORAIMES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-08-01,5,27,0,0,5,27,32
ANDAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-08-01,4,6,0,0,4,6,10
ANTEQUERA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-08-01,8,5,0,0,8,5,13
ANZALDO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-08-01,7,13,0,0,7,13,20
APOLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-08-01,23,36,0,0,23,36,59
ARAMPAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-08-01,1,15,0,0,1,15,16
ARANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-08-01,7,11,0,0,7,11,18
ARBIETO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-08-01,5,18,0,0,5,18,23
ARQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-08-01,9,6,0,0,9,6,15
ASCENCION DE GUARAYOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-08-01,69,1,0,0,69,1,70
ATOCHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-08-01,9,8,0,0,9,8,17
AUCAPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-08-01,2,9,0,0,2,9,11
AYATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-08-01,10,12,0,0,10,12,22
AYO AYO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-08-01,0,6,0,0,0,6,6
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-08-01,20,56,0,0,20,56,76
AZURDUY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-08-01,7,19,0,0,7,19,26
BATALLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-08-01,23,25,0,0,23,25,48
BAURES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-08-01,7,4,0,0,7,4,11
BELEN DE ANDAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-08-01,1,0,0,0,1,0,1
BELEN DE URMIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-08-01,3,3,0,0,3,3,6
BELLA FLOR,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-08-01,0,5,0,0,0,5,5
BERMEJO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-08-01,61,24,0,0,61,24,85
