,group,variable,month,ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,TOTALES
VITICHI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,0,1
WARNES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,66,16,82
YACUIBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,35,99,134
YAMPARAEZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,0,6,6
YOTALA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,6,35,41
YUNCHARA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,2,22,24
ZUDAÑEZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,0,2,2
ACHACACHI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,1,1,2
AIQUILE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,13,3,16
ALALAY,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,2,2
ALCALA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,2,14,16
ANTEQUERA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,4,4,8
ANZALDO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,10,10
ARANI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,1,1
ARBIETO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,17,17
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,96,0,96
ATOCHA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,5,17,22
AZURDUY,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,1,4,5
BATALLAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,1,1
BAURES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,8,0,8
BELLA FLOR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,13,13
BERMEJO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,18,40,58
BOLIVAR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,2,0,2
BOLPEBRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,9,9
BUENA VISTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,2,2
"CAIZA ""D""",vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,1,0,1
CAMARGO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,8,10,18
CAQUIAVIRI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,2,2
CARACOLLO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,3,11,14
CARANAVI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,3,34,37
CARAPARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,5,5
CHALLAPATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,1,1
CHAQUI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,2,6,8
CHARAGUA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,21,21
CHARAÑA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,2,0,2
CHIMORE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,9,14,23
CHOQUE COTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,1,1
CKOCHAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,9,8,17
CLIZA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,16,23,39
COBIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,13,32,45
COCAPATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,10,10
COCHABAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,95,104,199
COLCAPIRHUA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,1,0,1
"COLCHA ""K""",vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,5,1,6
COLOMI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,4,5,9
COPACABANA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,11,11
CORQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,1,1
COTAGAITA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,8,22,30
COTOCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,7,17,24
CUEVO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,1,1
EL ALTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,65,333,398
EL CHORO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,5,5
EL PUENTE(STC),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,9,64,73
EL TORNO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,85,129,214
EL VILLAR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,12,4,16
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,12,11,23
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,18,26,44
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,7,22,29
FILADELFIA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,1,1
GUAYARAMERIN,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,10,32,42
GUTIERREZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,1,1
HUACARETA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,6,8,14
HUANUNI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,4,11,15
HUARACAJE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,6,0,6
HUAYLLAMARCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,2,0,2
ICLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,5,4,9
INCAHUASI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,2,1,3
IXIAMAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,2,2,4
JESUS DE MACHACA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,1,1,2
LA GUARDIA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,37,154,191
LA PAZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,51,25,76
LAGUNILLAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,13,13
LAS CARRERAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,7,1,8
LORETO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,1,0,1
MACHACAMARCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,2,2
MACHARETI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,2,0,2
MAIRANA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,3,0,3
MINEROS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,99,105,204
MIZQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,7,14,21
MOJOCOYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,5,2,7
MONTEAGUDO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,24,4,28
MONTERO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,75,29,104
MOROCHATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,1,1
OKINAWA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,7,54,61
OMEREQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,5,5
ORURO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,60,364,424
PADCAYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,13,13
PADILLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,4,3,7
PAILON,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,10,60,70
PALOS BLANCOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,1,0,1
PAMPA AULLAGAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,1,0,1
PAMPA GRANDE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,16,16,32
PAZÑA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,2,8,10
POCONA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,4,11,15
POJO (CBBA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,3,4,7
POROMA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,7,13,20
PORONGO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,1,40,41
PORTACHUELO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,8,0,8
POSTRER VALLE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,2,0,2
POTOSI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,78,74,152
PRESTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,5,5
PUERTO GONZALO MORENO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,2,2
PUERTO PEREZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,1,0,1
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,2,24,26
PUERTO RICO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,35,35
PUERTO SUAREZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,5,10,15
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,32,123,155
PUNA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,8,41,49
PUNATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,4,0,4
QUILLACOLLO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,11,22,33
QUIRUSILLAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,2,0,2
REYES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,5,0,5
RIBERALTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,9,21,30
ROBORE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,5,5,10
RURRENABAQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,8,0,8
SACABA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,47,65,112
SACACA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,4,26,30
SALINAS DE GARCI MENDOZA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,2,9,11
SAN ANDRES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,3,1,4
SAN ANTONIO DE LOMERIO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,11,28,39
SAN BENITO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,3,6,9
SAN BORJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,21,57,78
SAN CARLOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,19,62,81
SAN IGNACIO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,3,6,9
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,31,0,31
SAN JAVIER(BNI),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,3,0,3
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,1,74,75
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,2,5,7
SAN LUCAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,11,14,25
SAN MATIAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,1,0,1
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,8,9,17
SAN PEDRO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,5,0,5
SAN PEDRO DE BUENA VISTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,6,33,39
SAN PEDRO DE TIQUINA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,1,1
SAN RAMON BENI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,1,8,9
SANTA ANA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,3,1,4
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,267,513,780
SANTA ROSA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,2,2,4
SANTA ROSA DEL SARA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,10,73,83
SANTIAGO DE HUATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,1,6,7
SANTUARIO DE QUILLACAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,1,0,1
SHINAOTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,1,0,1
SICA SICA (VILLA AROMA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,1,1
SORACACHI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,3,3
SORATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,1,1
SUCRE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,57,95,152
TACOBAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,4,4,8
TAPACARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,3,3,6
TARABUCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,28,39,67
TARIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,55,25,80
TARVITA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,7,19,26
TIQUIPAYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,30,0,30
TIRAQUE (CBBA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,1,1
TOCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,1,1,2
TOLATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,8,2,10
TOMINA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,1,6,7
TORO TORO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,11,0,11
TOTORA(CBBA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,11,14,25
TOTORA(ORR),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,16,16,32
TRIGAL,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,1,5,6
TRINIDAD,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,8,15,23
TUPIZA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,2,4,6
URIONDO (A. CONCEPCION),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,5,13,18
URUBICHA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,4,20,24
UYUNI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,2,1,3
VACAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,1,22,23
VALLEGRANDE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,8,11,19
VILA VILA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,3,3
VILLA CHARCAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,7,1,8
VILLA MONTES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,19,8,27
VILLA RIVERO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,2,0,2
VILLA SERRANO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,3,0,3
VILLA TUNARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,12,39,51
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,2,3,5
VILLAZON,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,31,2,33
VITICHI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,2,2,4
WARNES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,52,135,187
YACUIBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,25,14,39
YAMPARAEZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,1,3,4
YOTALA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,10,5,15
YUNCHARA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,3,9,12
ZUDAÑEZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-05-01,0,1,1
ACACIO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,2,0,2
AIQUILE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,5,11,16
ALALAY,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,0,1,1
ALCALA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,0,5,5
ANTEQUERA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,2,0,2
ANZALDO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,1,1,2
ARBIETO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,4,12,16
ARQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,5,6,11
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,22,0,22
ATOCHA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,1,5,6
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,0,2,2
AZURDUY,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,6,6,12
BATALLAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,2,1,3
BAURES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,3,0,3
BELLA FLOR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,0,3,3
BERMEJO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,22,22,44
BOLPEBRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,2,0,2
BOYUIBE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,2,1,3
"CAIZA ""D""",vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,1,0,1
CAMARGO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,3,2,5
CAMATAQUI (C. VILLA ABECIA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,1,1,2
CAPINOTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,0,4,4
CAQUIAVIRI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,0,2,2
CARACOLLO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,0,1,1
CARAPARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,7,1,8
CHALLAPATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,1,1,2
CHARAGUA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,0,1,1
CHARAÑA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,0,4,4
CHIMORE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,8,10,18
CHOQUE COTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,1,0,1
CHUMA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,0,6,6
CKOCHAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,25,20,45
CLIZA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,9,18,27
COBIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,20,20,40
COCAPATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,1,3,4
COCHABAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,109,60,169
COLCAPIRHUA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,1,0,1
"COLCHA ""K""",vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,9,6,15
COLOMI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,7,4,11
COLQUIRI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,0,2,2
COPACABANA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,0,6,6
CORQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,4,3,7
COTAGAITA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,7,19,26
COTOCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,2,0,2
CUEVO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,0,1,1
EL ALTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,60,51,111
EL PUENTE(STC),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,17,0,17
EL TORNO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,40,2,42
EL VILLAR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,2,1,3
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,10,36,46
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,15,5,20
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,8,4,12
FILADELFIA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,1,4,5
GUAYARAMERIN,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,20,32,52
HUACARETA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,3,2,5
HUACAYA (VILLA DE HUACAYA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,1,2,3
HUANUNI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,7,15,22
HUARACAJE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,4,0,4
ICLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,0,10,10
INCAHUASI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,3,0,3
INGAVI (HUMAITA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,0,3,3
INQUISIVI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,0,1,1
IXIAMAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,1,0,1
JESUS DE MACHACA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,1,1,2
LA GUARDIA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,21,14,35
LA PAZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,57,18,75
LAGUNILLAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,3,10,13
LLALLAGUA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,0,2,2
LORETO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,0,1,1
MACHACAMARCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,1,0,1
MACHARETI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,7,3,10
MAGDALENA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,8,5,13
MAIRANA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,0,1,1
MINEROS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,13,0,13
MIZQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,1,5,6
MOJOCOYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-06-01,0,2,2
