,group,variable,month,TOTAL 1613 PERSONAS CON DISCAPACIDAD CANTIDAD,TOTAL 1613 PERSONAS CON DISCAPACIDAD CANTIDAD,TOTALES
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,0.0,1.0,1.0
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,8.0,15.0,23.0
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,2.0,1.0,3.0
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,2.0,0.0,2.0
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,1.0,0.0,1.0
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,7.0,1.0,8.0
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,0.0,1.0,1.0
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,1.0,1.0,2.0
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,0.0,1.0,1.0
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,3.0,5.0,8.0
CHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,1.0,1.0,2.0
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,2.0,0.0,2.0
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,12.0,19.0,31.0
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,2.0,3.0,5.0
CUEVO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,0.0,1.0,1.0
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,14.0,5.0,19.0
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,1.0,1.0,2.0
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,1.0,1.0,2.0
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,0.0,1.0,1.0
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,1.0,0.0,1.0
IXIAMAS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,1.0,0.0,1.0
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,5.0,14.0,19.0
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,1.0,0.0,1.0
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,10.0,11.0,21.0
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,1.0,1.0,2.0
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,9.0,15.0,24.0
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,1.0,0.0,1.0
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,4.0,4.0,8.0
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,0.0,1.0,1.0
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,0.0,1.0,1.0
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,0.0,3.0,3.0
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,8.0,9.0,17.0
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,1.0,1.0,2.0
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,0.0,2.0,2.0
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,2.0,2.0,4.0
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,2.0,1.0,3.0
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,1.0,0.0,1.0
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,3.0,0.0,3.0
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,1.0,1.0,2.0
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,1.0,0.0,1.0
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,154.0,15.0,169.0
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,0.0,1.0,1.0
SANTIAGO DE CALLAPA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,1.0,1.0,2.0
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,5.0,3.0,8.0
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,1.0,1.0,2.0
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,0.0,1.0,1.0
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,39.0,10.0,49.0
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,8.0,6.0,14.0
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,1.0,0.0,1.0
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,9.0,6.0,15.0
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,17.0,12.0,29.0
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,24.0,25.0,49.0
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,1.0,0.0,1.0
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,2.0,3.0,5.0
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,1.0,0.0,1.0
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,2.0,0.0,2.0
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,0.0,1.0,1.0
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,0.0,1.0,1.0
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,0.0,1.0,1.0
