,group,variable,month,TOTAL 16.5 DIABETES MELLITUS I - II CANTIDAD,TOTAL 16.5 DIABETES MELLITUS I - II CANTIDAD,TOTALES
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,3.0,9.0,12.0
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,2.0,2.0
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,1.0,1.0
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,3.0,3.0
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,1.0,3.0,4.0
BELEN DE ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,1.0,1.0
BELLA FLOR,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,1.0,1.0
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,32.0,55.0,87.0
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,14.0,14.0
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,6.0,6.0
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,1.0,1.0
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,3.0,3.0
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,4.0,12.0,16.0
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,33.0,52.0,85.0
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,2.0,5.0,7.0
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,2.0,8.0,10.0
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,3.0,1.0,4.0
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,3.0,9.0,12.0
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,1.0,3.0,4.0
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,1.0,0.0,1.0
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,2.0,4.0,6.0
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,26.0,44.0,70.0
COCAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,1.0,1.0
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,382.0,469.0,851.0
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,16.0,18.0,34.0
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,4.0,4.0
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,1.0,1.0
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,2.0,3.0,5.0
COMBAYA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,1.0,0.0,1.0
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,1.0,2.0,3.0
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,1.0,3.0,4.0
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,1.0,1.0
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,2.0,7.0,9.0
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,3.0,6.0,9.0
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,7.0,8.0,15.0
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,91.0,174.0,265.0
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,1.0,2.0,3.0
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,64.0,106.0,170.0
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,1.0,9.0,10.0
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,1.0,1.0
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,1.0,1.0,2.0
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,8.0,7.0,15.0
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,1.0,0.0,1.0
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,10.0,20.0,30.0
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,2.0,2.0
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,2.0,4.0,6.0
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,1.0,1.0
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,7.0,10.0,17.0
HUARINA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,1.0,1.0
HUATAJATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,1.0,1.0,2.0
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,2.0,2.0,4.0
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,1.0,0.0,1.0
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,2.0,12.0,14.0
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,29.0,32.0,61.0
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,227.0,401.0,628.0
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,5.0,5.0
LAS CARRERAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,2.0,2.0
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,6.0,8.0,14.0
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,5.0,11.0,16.0
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,7.0,8.0,15.0
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,4.0,4.0,8.0
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,1.0,0.0,1.0
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,1.0,0.0,1.0
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,3.0,3.0
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,2.0,1.0,3.0
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,5.0,6.0,11.0
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,57.0,132.0,189.0
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,1.0,1.0
OKINAWA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,3.0,9.0,12.0
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,2.0,1.0,3.0
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,64.0,108.0,172.0
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,2.0,4.0,6.0
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,4.0,3.0,7.0
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,2.0,2.0
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,1.0,1.0
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,11.0,17.0,28.0
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,15.0,18.0,33.0
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,1.0,0.0,1.0
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,3.0,3.0
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,64.0,87.0,151.0
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,1.0,1.0
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,1.0,1.0
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,1.0,0.0,1.0
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,1.0,0.0,1.0
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,16.0,14.0,30.0
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,9.0,23.0,32.0
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,6.0,4.0,10.0
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,1.0,0.0,1.0
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,6.0,8.0,14.0
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,10.0,13.0,23.0
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,9.0,4.0,13.0
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,45.0,73.0,118.0
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,39.0,35.0,74.0
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,2.0,2.0
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,2.0,2.0
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,28.0,23.0,51.0
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,1.0,0.0,1.0
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,1.0,1.0,2.0
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,2.0,0.0,2.0
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,1.0,2.0,3.0
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,1.0,1.0,2.0
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,23.0,20.0,43.0
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,1.0,1.0
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,3.0,12.0,15.0
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,8.0,8.0
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,20.0,34.0,54.0
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,2.0,2.0
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,9.0,28.0,37.0
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,2.0,1.0,3.0
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,2.0,3.0,5.0
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,5.0,7.0,12.0
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,4.0,0.0,4.0
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,2.0,13.0,15.0
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,3.0,8.0,11.0
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,1.0,0.0,1.0
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,2.0,4.0,6.0
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,2.0,8.0,10.0
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,819.0,1457.0,2276.0
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,7.0,30.0,37.0
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,5.0,5.0
SANTIAGO DE HUATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,2.0,2.0
SENA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,1.0,0.0,1.0
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,1.0,1.0,2.0
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,1.0,5.0,6.0
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,2.0,2.0
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,28.0,61.0,89.0
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,3.0,0.0,3.0
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,2.0,3.0,5.0
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,103.0,92.0,195.0
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,1.0,5.0,6.0
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,1.0,3.0,4.0
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,1.0,1.0
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,1.0,0.0,1.0
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,212.0,452.0,664.0
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,1.0,2.0,3.0
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,1.0,1.0
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,23.0,40.0,63.0
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,1.0,6.0,7.0
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,38.0,62.0,100.0
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,14.0,20.0,34.0
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,1.0,1.0
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,2.0,4.0,6.0
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,1.0,1.0
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,7.0,9.0,16.0
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,70.0,101.0,171.0
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,10.0,19.0,29.0
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,51.0,120.0,171.0
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,18.0,29.0,47.0
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,2.0,2.0
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,5.0,3.0,8.0
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,1.0,1.0
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,4.0,3.0,7.0
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,2.0,1.0,3.0
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,1.0,1.0,2.0
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,8.0,6.0,14.0
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,2.0,2.0
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,1.0,3.0,4.0
BELLA FLOR,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,1.0,2.0,3.0
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,38.0,37.0,75.0
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,1.0,19.0,20.0
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,4.0,4.0
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,9.0,0.0,9.0
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,8.0,11.0,19.0
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,4.0,4.0
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,4.0,11.0,15.0
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,42.0,67.0,109.0
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,3.0,2.0,5.0
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,1.0,1.0,2.0
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,1.0,3.0,4.0
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,2.0,5.0,7.0
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,1.0,2.0,3.0
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,2.0,11.0,13.0
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,4.0,0.0,4.0
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,2.0,8.0,10.0
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,20.0,43.0,63.0
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,330.0,445.0,775.0
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,3.0,3.0
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,1.0,0.0,1.0
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,1.0,0.0,1.0
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,3.0,11.0,14.0
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,2.0,5.0,7.0
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,2.0,2.0,4.0
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,3.0,7.0,10.0
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,5.0,5.0
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,5.0,9.0,14.0
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,2.0,10.0,12.0
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,4.0,4.0
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,115.0,161.0,276.0
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,5.0,5.0
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,89.0,109.0,198.0
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,3.0,18.0,21.0
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,1.0,1.0
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,3.0,1.0,4.0
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,8.0,11.0,19.0
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,2.0,2.0
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,13.0,18.0,31.0
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,1.0,1.0
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,3.0,5.0,8.0
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,8.0,15.0,23.0
HUATAJATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,2.0,2.0
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,1.0,1.0,2.0
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,2.0,9.0,11.0
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,23.0,35.0,58.0
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,226.0,380.0,606.0
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,4.0,4.0
LAS CARRERAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,1.0,1.0,2.0
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,1.0,10.0,11.0
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,2.0,6.0,8.0
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,3.0,10.0,13.0
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,3.0,3.0
