,group,variable,month,TOTAL 16.2 REUMÁTICAS CANTIDAD,TOTAL 16.2 REUMÁTICAS CANTIDAD,TOTALES
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,1,4,5
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,19,13,32
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,207,737,944
LA RIVERA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,0,1,1
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,1,5,6
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,7,9,16
LAS CARRERAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,6,10,16
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,5,4,9
LLICA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,5,4,9
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,1,2,3
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,1,1,2
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,4,5,9
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,11,20,31
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,1,4,5
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,12,18,30
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,38,66,104
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,5,19,24
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,1,4,5
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,1,0,1
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,1,1,2
OKINAWA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,0,1,1
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,0,3,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,105,209,314
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,2,0,2
PAPEL PAMPA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,2,1,3
PASORAPA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,1,3,4
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,4,0,4
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,1,10,11
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,4,8,12
POJO (CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,3,3,6
PORCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,1,2,3
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,0,3,3
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,2,6,8
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,1,3,4
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,62,87,149
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,0,2,2
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,11,20,31
PUERTO ACOSTA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,5,8,13
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,5,8,13
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,3,4,7
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,3,8,11
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,10,19,29
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,3,2,5
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,17,42,59
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,4,12,16
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,12,24,36
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,2,1,3
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,1,3,4
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,8,8,16
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,22,19,41
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,6,7,13
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,10,20,30
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,11,15,26
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,1,1,2
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,1,3,4
SALINAS DE GARCI MENDOZA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,4,2,6
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,3,2,5
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,19,11,30
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,9,19,28
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,1,3,4
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,10,12,22
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,3,3,6
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,3,12,15
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,5,9,14
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,15,21,36
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,11,14,25
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,4,2,6
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,25,50,75
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,0,1,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,5,4,9
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,3,2,5
SAN PEDRO DE TIQUINA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,1,0,1
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,2,2,4
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,2,3,5
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,4,8,12
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,436,735,1171
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,5,10,15
SANTIAGO DE CALLAPA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,13,22,35
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,1,6,7
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,3,4,7
SANTUARIO DE QUILLACAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,2,2,4
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,41,42,83
SENA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,3,5,8
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,46,41,87
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,4,4,8
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,10,37,47
SORACACHI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,1,3,4
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,65,105,170
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,2,2,4
TACOBAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,0,2,2
TACOPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,2,3,5
TAHUA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,0,2,2
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,13,21,34
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,30,47,77
TARACO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,1,9,10
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,1,6,7
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,32,68,100
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,21,38,59
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,8,14,22
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,3,6,9
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,1,8,9
TODOS SANTOS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,0,1,1
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,2,1,3
TOMAVE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,26,21,47
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,1,3,4
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,2,1,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,16,60,76
UMALA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,5,3,8
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,7,11,18
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,1,0,1
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,6,12,18
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,2,0,2
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,3,5,8
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,63,105,168
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,1,0,1
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,0,2,2
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,2,2,4
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,2,0,2
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,2,4,6
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,1,5,6
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,10,1,11
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,3,6,9
WALDO BALLIVIAN,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,0,1,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,25,12,37
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,5,7,12
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,14,21,35
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,0,3,3
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-06-01,7,8,15
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,6,9,15
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,3,5,8
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,7,8,15
ALTO BENI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,0,1,1
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,7,7,14
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,4,0,4
ANTEQUERA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,0,1,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,4,8,12
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,8,12,20
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,10,7,17
AYATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,1,5,6
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,10,3,13
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,38,64,102
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,6,11,17
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,6,9,15
BELLA FLOR,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,34,41,75
BOLIVAR,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,2,1,3
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,9,11,20
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,0,7,7
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,33,31,64
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,39,57,96
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,6,8,14
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,1,1,2
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,3,4,7
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,3,3,6
CATACORA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,2,2,4
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,1,11,12
CHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,9,8,17
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,3,7,10
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,5,10,15
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,0,2,2
CHUQUIHUTA AYLLU JUCUMANI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,2,6,8
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,1,1,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,16,42,58
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,151,342,493
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,1,0,1
"COLCHA ""K""","enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,3,1,4
COLLANA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,2,5,7
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,5,13,18
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,0,1,1
COLQUENCHA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,11,21,32
COLQUIRI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,5,3,8
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,11,30,41
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,5,2,7
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,26,16,42
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,1,1,2
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,4,7,11
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,2,1,3
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,11,22,33
CURAHUARA DE CARANGAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,3,2,5
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,8,6,14
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,183,333,516
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,8,7,15
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,3,2,5
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,28,56,84
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,1,1,2
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,2,3,5
ESMERALDA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,12,14,26
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,1,1,2
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,14,9,23
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,10,13,23
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,2,11,13
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,4,6,10
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,1,1,2
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,4,5,9
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,36,28,64
HUARINA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,8,11,19
HUATAJATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,1,1,2
HUAYLLAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,7,12,19
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,3,9,12
ICHOCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,10,4,14
INQUISIVI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,3,4,7
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,9,18,27
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,210,768,978
LA RIVERA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,0,2,2
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,8,21,29
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,7,10,17
LLICA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,5,5,10
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,2,1,3
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,13,19,32
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,1,1,2
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,1,9,10
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,2,1,3
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,0,1,1
MOCOMOCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,2,3,5
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,13,31,44
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,10,20,30
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,4,2,6
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,4,17,21
NUEVO MANOA (NUEVA ESPERANZA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,2,1,3
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,0,2,2
OKINAWA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,1,0,1
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,1,3,4
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,99,187,286
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,4,0,4
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,1,0,1
PAPEL PAMPA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,7,5,12
PASORAPA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,5,5,10
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,2,4,6
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,0,6,6
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,17,10,27
PORCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,0,2,2
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,4,4,8
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,5,3,8
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,2,2,4
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,76,101,177
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,5,5,10
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,21,35,56
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,4,8,12
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,19,35,54
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,2,4,6
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,12,24,36
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,1,0,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,19,30,49
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,9,22,31
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,8,30,38
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,10,5,15
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,0,2,2
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,4,2,6
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,21,8,29
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,16,13,29
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,2,6,8
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,2,2,4
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,10,11,21
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,1,5,6
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,4,2,6
SALINAS DE GARCI MENDOZA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,1,4,5
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,2,1,3
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,2,1,3
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,4,9,13
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,2,9,11
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-07-01,34,31,65
