,group,variable,month,L 17.1 BCG,L 17.1 BCG,TOTALES
COLCAPIRHUA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,98,1,99
"COLCHA ""K""",vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,10,4,14
COLLANA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,2,1,3
COLOMI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,28,11,39
COLPA BELGICA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,3,2,5
COLQUECHACA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,9,48,57
COLQUENCHA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,0,5,5
COLQUIRI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,5,36,41
COMANCHE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,0,5,5
COMARAPA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,22,8,30
COMBAYA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,0,2,2
CONCEPCION,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,40,0,40
COPACABANA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,14,6,20
CORIPATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,8,10,18
CORO CORO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,1,5,6
COROICO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,23,5,28
CORQUE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,5,4,9
COTAGAITA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,18,9,27
COTOCA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,82,6,88
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,17,16,33
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,1,0,1
CUEVO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,0,2,2
CULPINA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,28,8,36
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,7,0,7
CURVA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,4,2,6
DESAGUADERO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,8,8,16
EL ALTO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,1692,62,1754
EL CHORO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,4,4,8
EL PUENTE(STC),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,19,1,20
EL PUENTE(TJA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,3,8,11
EL TORNO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,88,1,89
EL VILLAR,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,2,1,3
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,24,10,34
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,53,0,53
ESCOMA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,5,2,7
EUCALIPTUS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,15,1,16
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,1,1,2
EXALTACION,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,4,7,11
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,7,1,8
FILADELFIA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,1,6,7
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,19,21,40
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,1,20,21
GUANAY,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,19,8,27
GUAQUI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,2,4,6
GUAYARAMERIN,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,115,2,117
GUTIERREZ,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,10,18,28
HUACARETA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,6,5,11
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,7,3,10
HUANUNI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,55,1,56
HUARACAJE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,4,0,4
HUARINA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,3,7,10
HUAYLLAMARCA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,2,3,5
HUMANATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,0,9,9
ICHOCA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,2,2,4
ICLA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,6,4,10
INCAHUASI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,14,6,20
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,0,3,3
INQUISIVI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,9,8,17
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,6,4,10
IXIAMAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,19,0,19
JESUS DE MACHACA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,6,13,19
LA ASUNTA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,72,1,73
LA GUARDIA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,98,1,99
LA PAZ,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,1635,3,1638
LAGUNILLAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,3,1,4
LAJA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,14,6,20
LAS CARRERAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,3,1,4
LICOMA PAMPA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,2,0,2
LLALLAGUA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,36,71,107
LLICA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,5,1,6
LORETO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,0,1,1
LURIBAY,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,3,5,8
MACHACAMARCA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,6,3,9
MACHARETI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,12,2,14
MAGDALENA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,6,14,20
MAIRANA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,20,0,20
MALLA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,0,2,2
MAPIRI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,28,0,28
MECAPACA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,10,6,16
MINEROS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,42,1,43
MIZQUE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,29,38,67
MOCOMOCO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,17,8,25
MOJOCOYA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,5,2,7
MONTEAGUDO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,48,4,52
MONTERO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,356,0,356
MORO MORO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,4,0,4
MOROCHATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,3,13,16
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,2,1,3
OCURI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,6,29,35
OKINAWA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,12,3,15
OMEREQUE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,8,0,8
ORURO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,712,6,718
PADCAYA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,14,3,17
PADILLA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,17,1,18
PAILON,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,32,16,48
PALCA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,11,19,30
PALOS BLANCOS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,24,11,35
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,2,4,6
PAMPA GRANDE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,7,0,7
PAPEL PAMPA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,0,3,3
PASORAPA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,0,1,1
PATACAMAYA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,51,5,56
PAZÑA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,3,3,6
PELECHUCO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,1,0,1
POCOATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,6,50,56
POCONA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,9,12,21
POJO (CBBA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,15,9,24
POOPO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,9,2,11
PORCO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,22,2,24
POROMA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,9,16,25
PORONGO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,7,9,16
PORTACHUELO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,45,0,45
PORVENIR,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,2,4,6
POTOSI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,497,14,511
PRESTO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,5,9,14
PUCARANI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,20,24,44
PUERTO ACOSTA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,4,24,28
PUERTO CARABUCO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,5,12,17
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,5,2,7
PUERTO PEREZ,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,3,4,7
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,14,7,21
PUERTO RICO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,15,7,22
PUERTO SILES,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,5,1,6
PUERTO SUAREZ,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,33,5,38
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,90,4,94
PUNA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,20,14,34
PUNATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,72,0,72
QUIABAYA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,0,8,8
QUILLACOLLO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,225,5,230
QUIME,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,2,9,11
QUIRUSILLAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,2,0,2
RAVELO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,4,24,28
REYES,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,26,9,35
RIBERALTA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,263,5,268
ROBORE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,23,6,29
RURRENABAQUE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,31,2,33
SABAYA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,0,3,3
SACABA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,258,7,265
SACABAMBA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,5,4,9
SACACA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,28,31,59
SAIPINA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,0,4,4
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,10,10,20
SAMAIPATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,9,4,13
SAN ANDRES,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,20,2,22
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,3,0,3
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,0,3,3
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,7,6,13
SAN BENITO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,5,4,9
SAN BORJA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,73,20,93
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,18,10,28
SAN CARLOS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,33,6,39
SAN IGNACIO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,55,10,65
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,91,15,106
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,2,8,10
SAN JAVIER(STC),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,31,0,31
SAN JOAQUIN,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,6,8,14
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,36,0,36
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,9,3,12
SAN JULIAN,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,100,22,122
SAN LORENZO(PND),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,8,7,15
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,15,4,19
SAN LUCAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,22,40,62
SAN MATIAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,19,6,25
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,12,4,16
SAN PEDRO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,21,0,21
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,54,34,88
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,0,7,7
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,3,4,7
SAN PEDRO(PND),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,2,6,8
SAN RAFAEL,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,8,2,10
SAN RAMON BENI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,6,8,14
SAN RAMON SCZ,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,17,0,17
SANTA ANA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,37,0,37
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,2149,104,2253
SANTA ROSA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,19,7,26
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,18,1,19
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,0,8,8
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,8,8,16
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,3,8,11
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,0,1,1
SANTIVAÑES,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,1,3,4
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,2,4,6
SAPAHAQUI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,2,5,7
SENA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,1,6,7
SHINAOTA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,51,0,51
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,20,22,42
SICAYA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,1,3,4
SIPE SIPE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,56,0,56
SOPACHUY,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,3,5,8
SORACACHI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,4,8,12
SORATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,23,11,34
SUCRE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,596,4,600
TACACHI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,2,0,2
TACACOMA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,12,5,17
TACOBAMBA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,11,17,28
TACOPAYA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,9,8,17
TAHUA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,4,1,5
TAPACARI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,33,24,57
TARABUCO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,20,6,26
TARACO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,3,4,7
TARATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,8,2,10
TARIJA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,408,4,412
TARVITA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,19,8,27
TEOPONTE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,7,5,12
TIAWANACU,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,14,4,18
TINGUIPAYA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,24,24,48
TIPUANI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,12,6,18
TIQUIPAYA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,109,10,119
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,24,9,33
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,1,0,1
TOCO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,1,4,5
TOLATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,3,0,3
TOLEDO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,3,2,5
TOMAVE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,6,6,12
TOMINA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,8,4,12
TORO TORO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,7,11,18
TOTORA(CBBA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,22,12,34
TOTORA(ORR),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,7,0,7
TRIGAL,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,1,0,1
TRINIDAD,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,302,2,304
TUPIZA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,85,14,99
TURCO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,2,0,2
UMALA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,0,12,12
UNCIA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,34,6,40
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,6,1,7
URUBICHA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,10,0,10
UYUNI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,59,10,69
VACAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,5,8,13
VALLEGRANDE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,44,2,46
VIACHA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,82,8,90
VILA VILA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,1,3,4
VILLA CHARCAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,10,8,18
VILLA MONTES,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,65,3,68
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,0,4,4
VILLA RIVERO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,3,7,10
VILLA SERRANO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,6,8,14
VILLA TUNARI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,171,22,193
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,8,0,8
VILLAZON,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,62,1,63
VINTO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,106,2,108
VITICHI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,3,8,11
WARNES,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,144,2,146
YACO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,6,6,12
YACUIBA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,193,12,205
YAMPARAEZ,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,9,0,9
YANACACHI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,3,0,3
YAPACANI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,92,10,102
YOCALLA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,7,2,9
YOTALA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,8,2,10
YUNCHARA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,1,5,6
ZUDAÑEZ,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-07-01,6,3,9
ACACIO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,10,4,14
ACHACACHI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,46,45,91
ACHOCALLA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,12,11,23
AIQUILE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,46,7,53
ALALAY,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,1,5,6
ALCALA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,3,0,3
ALTO BENI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,10,2,12
ANCORAIMES,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,13,9,22
ANDAMARCA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,0,4,4
ANTEQUERA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,5,0,5
ANZALDO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,6,13,19
APOLO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,9,28,37
ARAMPAMPA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,2,6,8
ARANI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,19,1,20
ARBIETO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,11,12,23
ARQUE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,21,9,30
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,54,0,54
ATOCHA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,11,4,15
AUCAPATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,2,10,12
AYATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,6,9,15
AYO AYO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,8,13,21
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,15,35,50
AZURDUY,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,25,12,37
BATALLAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,13,12,25
BAURES,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,14,0,14
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,3,0,3
BELEN DE URMIRI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,0,3,3
BELLA FLOR,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,0,9,9
BERMEJO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,72,2,74
BETANZOS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,21,38,59
BOLIVAR,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,0,7,7
BOLPEBRA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,0,1,1
BOYUIBE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,4,1,5
BUENA VISTA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,13,5,18
CABEZAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,29,49,78
CAIROMA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,5,6,11
"CAIZA ""D""",vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,6,5,11
CAJUATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,23,5,28
CALACOTO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-08-01,0,10,10
