,group,variable,month,L 17.3 PENTAVALENTE 2DA. DOSIS,L 17.3 PENTAVALENTE 2DA. DOSIS,TOTALES
MOJOCOYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,7,5,12
MONTEAGUDO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,29,6,35
MONTERO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,277,16,293
MORO MORO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,3,0,3
MOROCHATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,5,18,23
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,7,4,11
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,0,3,3
OCURI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,6,18,24
OKINAWA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,24,4,28
OMEREQUE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,3,8,11
ORURO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,633,17,650
PADCAYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,22,6,28
PADILLA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,11,5,16
PAILON,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,53,30,83
PALCA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,16,23,39
PALOS BLANCOS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,41,7,48
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,5,0,5
PAMPA GRANDE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,14,1,15
PAPEL PAMPA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,3,5,8
PASORAPA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,3,2,5
PATACAMAYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,27,9,36
PAZÑA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,10,3,13
PELECHUCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,9,4,13
POCOATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,8,40,48
POCONA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,13,9,22
POJO (CBBA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,18,6,24
POOPO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,5,5,10
PORCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,22,9,31
POROMA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,9,21,30
PORONGO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,13,4,17
PORTACHUELO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,37,4,41
PORVENIR,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,22,2,24
POSTRER VALLE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,3,1,4
POTOSI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,502,25,527
PRESTO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,3,3,6
PUCARA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,3,2,5
PUCARANI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,27,24,51
PUERTO ACOSTA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,3,17,20
PUERTO CARABUCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,17,16,33
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,11,5,16
PUERTO PEREZ,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,4,3,7
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,30,16,46
PUERTO RICO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,16,4,20
PUERTO SILES,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,4,0,4
PUERTO SUAREZ,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,47,19,66
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,114,10,124
PUNA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,22,22,44
PUNATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,46,0,46
QUIABAYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,5,0,5
QUILLACOLLO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,236,7,243
QUIME,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,3,15,18
QUIRUSILLAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,1,0,1
RAVELO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,16,26,42
REYES,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,22,11,33
RIBERALTA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,367,47,414
ROBORE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,28,8,36
RURRENABAQUE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,33,8,41
SABAYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,4,0,4
SACABA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,218,31,249
SACABAMBA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,7,3,10
SACACA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,26,24,50
SAIPINA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,8,11,19
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,13,9,22
SAMAIPATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,15,2,17
SAN AGUSTIN,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,1,0,1
SAN ANDRES,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,24,10,34
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,2,4,6
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,1,1,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,5,6,11
SAN BENITO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,23,3,26
SAN BORJA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,88,13,101
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,19,12,31
SAN CARLOS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,64,7,71
SAN IGNACIO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,56,19,75
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,119,42,161
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,9,6,15
SAN JAVIER(STC),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,58,3,61
SAN JOAQUIN,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,11,1,12
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,34,3,37
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,21,7,28
SAN JULIAN,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,98,34,132
SAN LORENZO(PND),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,9,12,21
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,31,11,42
SAN LUCAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,25,31,56
SAN MATIAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,36,18,54
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,36,8,44
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,2,0,2
SAN PEDRO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,35,0,35
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,36,47,83
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,6,3,9
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,2,5,7
SAN PEDRO(PND),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,0,7,7
SAN RAFAEL,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,7,3,10
SAN RAMON BENI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,5,6,11
SAN RAMON SCZ,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,18,1,19
SANTA ANA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,24,6,30
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,3520,70,3590
SANTA ROSA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,33,12,45
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,29,8,37
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,2,4,6
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,8,12,20
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,2,9,11
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,4,2,6
SANTIVAÑES,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,12,2,14
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,3,2,5
SAPAHAQUI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,5,10,15
SENA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,11,0,11
SHINAOTA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,60,5,65
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,17,17,34
SICAYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,6,2,8
SIPE SIPE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,68,6,74
SOPACHUY,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,0,5,5
SORACACHI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,10,14,24
SORATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,17,12,29
SUCRE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,560,15,575
TACACHI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,1,0,1
TACACOMA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,5,5,10
TACOBAMBA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,9,11,20
TACOPAYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,13,3,16
TAHUA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,2,1,3
TAPACARI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,15,17,32
TARABUCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,20,17,37
TARACO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,3,1,4
TARATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,14,6,20
TARIJA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,400,29,429
TARVITA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,11,13,24
TEOPONTE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,14,8,22
TIAWANACU,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,16,6,22
TINGUIPAYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,32,19,51
TIPUANI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,12,6,18
TIQUIPAYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,91,18,109
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,26,21,47
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,1,0,1
TOCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,2,8,10
TOLATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,12,1,13
TOLEDO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,2,0,2
TOMAVE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,15,6,21
TOMINA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,9,8,17
TORO TORO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,7,24,31
TOTORA(CBBA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,33,9,42
TOTORA(ORR),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,4,1,5
TRIGAL,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,0,1,1
TRINIDAD,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,259,20,279
TUPIZA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,77,18,95
TURCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,2,1,3
UMALA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,6,8,14
UNCIA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,39,5,44
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,11,3,14
URUBICHA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,8,8,16
UYUNI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,66,4,70
VACAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,7,8,15
VALLEGRANDE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,25,1,26
VIACHA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,97,8,105
VILA VILA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,3,8,11
VILLA CHARCAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,23,8,31
VILLA MONTES,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,69,9,78
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,2,3,5
VILLA RIVERO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,8,6,14
VILLA SERRANO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,10,5,15
VILLA TUNARI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,135,26,161
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,11,4,15
VILLAZON,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,64,12,76
VINTO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,67,4,71
VITICHI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,11,10,21
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,2,1,3
WARNES,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,201,26,227
YACO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,3,10,13
YACUIBA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,176,14,190
YAMPARAEZ,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,6,3,9
YANACACHI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,4,0,4
YAPACANI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,95,15,110
YOCALLA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,9,10,19
YOTALA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,8,7,15
YUNCHARA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,1,3,4
ZUDAÑEZ,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-07-01,4,8,12
ACACIO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,8,1,9
ACHACACHI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,49,27,76
ACHOCALLA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,14,21,35
AIQUILE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,29,20,49
ALALAY,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,2,0,2
ALCALA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,6,1,7
ALTO BENI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,21,5,26
ANCORAIMES,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,15,6,21
ANDAMARCA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,3,4,7
ANTEQUERA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,8,0,8
ANZALDO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,10,13,23
APOLO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,29,25,54
ARAMPAMPA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,2,6,8
ARANI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,18,1,19
ARBIETO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,8,14,22
ARQUE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,18,7,25
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,62,0,62
ATOCHA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,20,7,27
AUCAPATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,3,7,10
AYATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,4,10,14
AYO AYO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,10,1,11
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,26,30,56
AZURDUY,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,14,15,29
BATALLAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,17,15,32
BAURES,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,14,5,19
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,1,1,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,1,1,2
BELLA FLOR,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,0,11,11
BERMEJO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,56,46,102
BETANZOS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,32,20,52
BOLIVAR,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,10,2,12
BOLPEBRA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,1,2,3
BOYUIBE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,6,2,8
BUENA VISTA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,23,12,35
CABEZAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,37,41,78
CAIROMA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,4,5,9
"CAIZA ""D""",vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,6,8,14
CAJUATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,21,4,25
CALACOTO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,4,7,11
CALAMARCA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,10,6,16
CAMARGO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,25,2,27
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,3,1,4
CAMIRI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,71,9,80
CAPINOTA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,36,0,36
CAQUIAVIRI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,2,7,9
CARACOLLO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,13,21,34
CARANAVI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,80,19,99
CARAPARI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,22,5,27
CARIPUYO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,2,19,21
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,17,5,22
CATACORA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,1,0,1
CHACARILLA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,47,24,71
CHAQUI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,7,8,15
CHARAGUA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,36,79,115
CHARAÑA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,3,1,4
CHAYANTA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,11,20,31
CHIMORE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,36,8,44
CHIPAYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,1,0,1
CHOQUE COTA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,2,2,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,24,6,30
CHUMA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,13,5,18
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,3,1,4
CKOCHAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,18,16,34
CLIZA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,22,4,26
COBIJA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-08-01,118,22,140
