,group,variable,month,L 17.4 PENTAVALENTE 3RA. DOSIS,L 17.4 PENTAVALENTE 3RA. DOSIS,TOTALES
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,4,0,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,2,2,4
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,4,5,9
SAN BENITO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,12,2,14
SAN BORJA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,85,11,96
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,16,6,22
SAN CARLOS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,69,7,76
SAN IGNACIO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,41,25,66
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,112,34,146
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,5,1,6
SAN JAVIER(STC),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,50,0,50
SAN JOAQUIN,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,10,0,10
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,39,0,39
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,16,5,21
SAN JULIAN,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,64,33,97
SAN LORENZO(PND),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,3,8,11
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,40,13,53
SAN LUCAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,31,37,68
SAN MATIAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,32,14,46
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,13,11,24
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,1,0,1
SAN PEDRO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,31,0,31
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,37,25,62
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,8,2,10
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,4,3,7
SAN PEDRO(PND),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,1,2,3
SAN RAFAEL,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,9,7,16
SAN RAMON BENI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,8,10,18
SAN RAMON SCZ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,14,0,14
SANTA ANA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,14,10,24
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,2809,55,2864
SANTA ROSA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,31,7,38
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,25,7,32
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,4,9,13
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,11,12,23
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,0,9,9
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,5,0,5
SANTIVAÑES,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,5,2,7
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,1,1,2
SAPAHAQUI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,8,7,15
SENA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,9,1,10
SHINAOTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,38,5,43
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,15,17,32
SICAYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,5,0,5
SIPE SIPE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,69,5,74
SOPACHUY,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,5,8,13
SORACACHI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,11,20,31
SORATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,13,12,25
SUCRE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,544,31,575
TACACHI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,1,0,1
TACACOMA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,4,2,6
TACOBAMBA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,10,10,20
TACOPAYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,11,8,19
TAHUA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,1,1,2
TAPACARI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,31,27,58
TARABUCO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,17,23,40
TARACO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,2,1,3
TARATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,14,0,14
TARIJA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,363,32,395
TARVITA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,10,9,19
TEOPONTE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,17,11,28
TIAWANACU,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,14,3,17
TINGUIPAYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,22,26,48
TIPUANI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,14,6,20
TIQUIPAYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,81,11,92
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,20,24,44
TOCO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,6,4,10
TOLATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,8,7,15
TOLEDO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,6,1,7
TOMAVE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,9,5,14
TOMINA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,5,12,17
TORO TORO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,6,23,29
TOTORA(CBBA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,30,14,44
TOTORA(ORR),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,6,1,7
TRIGAL,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,1,2,3
TRINIDAD,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,208,25,233
TUPIZA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,86,18,104
TURCO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,3,0,3
UMALA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,6,7,13
UNCIA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,32,7,39
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,16,2,18
URUBICHA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,10,4,14
UYUNI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,53,6,59
VACAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,4,8,12
VALLEGRANDE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,30,4,34
VIACHA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,103,13,116
VILA VILA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,1,5,6
VILLA CHARCAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,20,10,30
VILLA MONTES,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,68,13,81
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,0,1,1
VILLA RIVERO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,8,5,13
VILLA SERRANO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,8,5,13
VILLA TUNARI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,131,21,152
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,15,3,18
VILLAZON,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,83,25,108
VINTO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,96,3,99
VITICHI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,10,7,17
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,1,0,1
WARNES,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,213,27,240
YACO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,2,8,10
YACUIBA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,150,10,160
YAMPARAEZ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,4,0,4
YANACACHI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,4,1,5
YAPACANI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,76,24,100
YOCALLA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,12,17,29
YOTALA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,6,5,11
YUNCHARA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,4,6,10
ZUDAÑEZ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-07-01,5,11,16
ACACIO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,2,0,2
ACHACACHI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,46,33,79
ACHOCALLA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,10,17,27
AIQUILE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,28,15,43
ALALAY,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,1,6,7
ALTO BENI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,17,2,19
ANCORAIMES,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,14,4,18
ANDAMARCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,1,2,3
ANTEQUERA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,4,3,7
ANZALDO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,8,10,18
APOLO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,13,17,30
ARAMPAMPA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,3,10,13
ARANI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,10,1,11
ARBIETO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,12,6,18
ARQUE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,20,11,31
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,95,0,95
ATOCHA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,19,7,26
AUCAPATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,3,4,7
AYATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,7,6,13
AYO AYO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,8,7,15
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,23,16,39
AZURDUY,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,16,10,26
BATALLAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,16,11,27
BAURES,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,10,7,17
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,2,1,3
BELEN DE URMIRI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,2,4,6
BELLA FLOR,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,0,9,9
BERMEJO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,46,27,73
BETANZOS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,30,20,50
BOLIVAR,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,5,4,9
BOLPEBRA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,2,1,3
BOYUIBE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,12,2,14
BUENA VISTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,25,8,33
CABEZAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,21,44,65
CAIROMA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,10,10,20
"CAIZA ""D""",vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,15,9,24
CAJUATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,13,3,16
CALACOTO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,3,2,5
CALAMARCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,14,8,22
CAMARGO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,15,6,21
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,5,3,8
CAMIRI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,71,9,80
CAPINOTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,43,2,45
CAQUIAVIRI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,8,6,14
CARACOLLO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,16,18,34
CARANAVI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,76,27,103
CARAPARI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,24,4,28
CARIPUYO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,3,19,22
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,9,6,15
CATACORA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,0,1,1
CHACARILLA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,2,1,3
CHALLAPATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,42,14,56
CHAQUI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,11,5,16
CHARAGUA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,26,88,114
CHARAÑA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,1,0,1
CHAYANTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,11,16,27
CHIMORE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,34,8,42
CHIPAYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,2,1,3
CHOQUE COTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,24,13,37
CHUMA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,8,2,10
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,3,0,3
CKOCHAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,25,13,38
CLIZA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,31,4,35
COBIJA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,107,14,121
COCAPATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,13,15,28
COCHABAMBA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,1258,10,1268
COIPASA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,0,1,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,107,1,108
"COLCHA ""K""",vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,28,4,32
COLLANA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,4,0,4
COLOMI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,35,16,51
COLPA BELGICA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,11,2,13
COLQUECHACA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,29,55,84
COLQUENCHA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,19,0,19
COLQUIRI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,13,34,47
COMANCHE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,2,2,4
COMARAPA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,22,15,37
COMBAYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,0,5,5
CONCEPCION,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,39,17,56
COPACABANA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,9,12,21
CORIPATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,24,2,26
CORO CORO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,5,10,15
COROICO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,22,7,29
CORQUE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,7,2,9
COTAGAITA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,17,12,29
COTOCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,182,11,193
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,48,10,58
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,4,1,5
CUEVO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,5,3,8
CULPINA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,18,14,32
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,5,2,7
CURVA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,1,7,8
DESAGUADERO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,10,4,14
EL ALTO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,1414,100,1514
EL CHORO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,5,6,11
EL PUENTE(STC),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,24,6,30
EL PUENTE(TJA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,12,12,24
EL TORNO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,116,3,119
EL VILLAR,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,1,1,2
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,30,17,47
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,68,14,82
ESCOMA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,3,5,8
ESMERALDA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,1,2,3
EUCALIPTUS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,7,0,7
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,0,1,1
EXALTACION,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,2,0,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,21,10,31
FILADELFIA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,8,9,17
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,29,36,65
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,6,15,21
GUANAY,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,15,7,22
GUAQUI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,3,5,8
GUAYARAMERIN,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,79,28,107
GUTIERREZ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,27,14,41
HUACARETA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,10,3,13
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,44,9,53
HUARACAJE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,12,0,12
HUARINA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,6,3,9
HUAYLLAMARCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,3,0,3
HUMANATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,4,6,10
ICHOCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,3,5,8
ICLA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,3,5,8
INCAHUASI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,11,10,21
INQUISIVI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,7,12,19
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,11,8,19
IXIAMAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,9,1,10
JESUS DE MACHACA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,11,4,15
LA ASUNTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-08-01,66,17,83
