,group,variable,month,L 17.5 (O.P.V.) ANTIPOLIOMIELÍTICA 1RA DOSIS,L 17.5 (O.P.V.) ANTIPOLIOMIELÍTICA 1RA DOSIS,TOTALES
CORQUE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,4,7,11
COTAGAITA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,20,35,55
COTOCA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,150,13,163
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,62,36,98
CUEVO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,6,6,12
CULPINA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,17,16,33
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,8,1,9
CURVA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,3,4,7
DESAGUADERO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,8,6,14
EL ALTO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,1825,36,1861
EL CHORO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,5,6,11
EL PUENTE(STC),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,23,2,25
EL PUENTE(TJA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,12,3,15
EL TORNO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,99,4,103
EL VILLAR,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,7,1,8
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,26,28,54
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,75,6,81
ESCOMA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,13,0,13
ESMERALDA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,1,0,1
EUCALIPTUS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,8,2,10
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,4,4,8
EXALTACION,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,2,0,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,26,1,27
FILADELFIA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,13,15,28
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,38,6,44
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,6,11,17
GUANAY,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,25,5,30
GUAQUI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,3,4,7
GUAYARAMERIN,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,131,25,156
GUTIERREZ,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,26,15,41
HUACARETA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,10,3,13
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,4,4,8
HUANUNI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,50,4,54
HUARACAJE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,10,0,10
HUARINA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,4,6,10
HUAYLLAMARCA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,3,0,3
HUMANATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,0,4,4
ICHOCA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,2,2,4
ICLA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,6,7,13
INCAHUASI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,15,13,28
INQUISIVI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,5,12,17
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,7,13,20
IXIAMAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,21,1,22
JESUS DE MACHACA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,16,1,17
LA ASUNTA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,79,19,98
LA GUARDIA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,204,1,205
LA PAZ,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,1339,15,1354
LA RIVERA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,0,1,1
LAGUNILLAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,11,2,13
LAJA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,14,7,21
LAS CARRERAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,3,2,5
LICOMA PAMPA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,1,4,5
LLALLAGUA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,34,40,74
LLICA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,11,1,12
LORETO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,5,22,27
LURIBAY,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,4,6,10
MACHACAMARCA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,2,5,7
MACHARETI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,15,3,18
MAGDALENA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,21,14,35
MAIRANA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,30,2,32
MALLA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,0,3,3
MAPIRI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,41,0,41
MECAPACA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,17,7,24
MINEROS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,61,3,64
MIZQUE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,40,16,56
MOCOMOCO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,16,13,29
MOJOCOYA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,6,6,12
MONTEAGUDO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,42,5,47
MONTERO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,262,3,265
MORO MORO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,4,0,4
MOROCHATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,11,24,35
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,4,5,9
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,2,2,4
OCURI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,14,26,40
OKINAWA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,26,3,29
OMEREQUE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,4,8,12
ORURO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,660,2,662
PADCAYA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,24,14,38
PADILLA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,15,3,18
PAILON,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,54,112,166
PALCA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,23,13,36
PALOS BLANCOS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,48,14,62
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,2,0,2
PAMPA GRANDE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,15,0,15
PAPEL PAMPA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,4,3,7
PASORAPA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,3,0,3
PATACAMAYA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,20,6,26
PAZÑA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,8,3,11
PELECHUCO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,1,6,7
POCOATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,7,34,41
POCONA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,10,11,21
POJO (CBBA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,21,6,27
POOPO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,8,2,10
PORCO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,22,3,25
POROMA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,15,19,34
PORONGO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,14,7,21
PORTACHUELO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,53,0,53
PORVENIR,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,16,0,16
POSTRER VALLE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,4,3,7
POTOSI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,521,39,560
PRESTO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,4,7,11
PUCARA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,1,3,4
PUCARANI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,35,14,49
PUERTO ACOSTA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,4,27,31
PUERTO CARABUCO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,6,14,20
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,8,7,15
PUERTO PEREZ,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,2,5,7
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,34,6,40
PUERTO RICO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,17,6,23
PUERTO SILES,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,1,0,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,53,8,61
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,128,20,148
PUNA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,39,16,55
PUNATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,43,0,43
QUIABAYA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,11,3,14
QUILLACOLLO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,206,7,213
QUIME,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,5,2,7
RAVELO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,22,25,47
REYES,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,26,29,55
RIBERALTA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,370,51,421
ROBORE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,44,6,50
RURRENABAQUE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,41,2,43
SABAYA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,4,0,4
SACABA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,251,28,279
SACABAMBA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,7,3,10
SACACA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,35,48,83
SAIPINA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,11,6,17
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,6,8,14
SAMAIPATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,9,2,11
SAN ANDRES,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,35,15,50
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,1,3,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,6,0,6
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,10,3,13
SAN BENITO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,19,0,19
SAN BORJA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,96,20,116
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,11,3,14
SAN CARLOS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,58,0,58
SAN IGNACIO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,58,10,68
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,135,52,187
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,2,1,3
SAN JAVIER(STC),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,43,1,44
SAN JOAQUIN,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,11,4,15
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,53,12,65
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,27,1,28
SAN JULIAN,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,103,28,131
SAN LORENZO(PND),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,19,10,29
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,26,16,42
SAN LUCAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,27,30,57
SAN MATIAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,31,8,39
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,35,11,46
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,6,0,6
SAN PEDRO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,28,0,28
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,39,50,89
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,2,3,5
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,2,5,7
SAN PEDRO(PND),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,2,5,7
SAN RAFAEL,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,7,2,9
SAN RAMON BENI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,3,4,7
SAN RAMON SCZ,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,23,0,23
SANTA ANA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,35,1,36
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,3429,73,3502
SANTA ROSA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,25,5,30
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,45,6,51
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,1,7,8
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,10,4,14
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,10,8,18
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,3,0,3
SANTIVAÑES,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,9,0,9
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,4,3,7
SAPAHAQUI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,14,7,21
SENA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,16,10,26
SHINAOTA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,53,4,57
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,11,19,30
SICAYA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,3,6,9
SIPE SIPE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,71,5,76
SOPACHUY,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,4,10,14
SORACACHI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,3,12,15
SORATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,24,21,45
SUCRE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,569,17,586
TACACHI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,1,0,1
TACACOMA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,19,12,31
TACOBAMBA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,8,4,12
TACOPAYA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,10,5,15
TAHUA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,0,2,2
TAPACARI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,22,24,46
TARABUCO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,15,10,25
TARACO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,4,5,9
TARATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,20,3,23
TARIJA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,363,31,394
TARVITA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,10,16,26
TEOPONTE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,18,12,30
TIAWANACU,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,19,5,24
TINGUIPAYA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,37,22,59
TIPUANI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,18,8,26
TIQUIPAYA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,88,34,122
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,36,9,45
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,2,1,3
TOCO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,6,3,9
TOLATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,9,2,11
TOLEDO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,4,0,4
TOMAVE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,13,20,33
