,group,variable,month,L 17.8 ANTIROTAVIRICA 1RA. DOSIS,L 17.8 ANTIROTAVIRICA 1RA. DOSIS,TOTALES
BOLIVAR,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,3,4,7
BOLPEBRA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,0,2,2
BOYUIBE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,4,1,5
BUENA VISTA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,15,9,24
CABEZAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,32,35,67
CAIROMA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,9,4,13
"CAIZA ""D""",vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,0,11,11
CAJUATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,10,4,14
CALACOTO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,3,7,10
CALAMARCA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,13,6,19
CAMARGO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,24,3,27
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,4,0,4
CAMIRI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,79,4,83
CAPINOTA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,41,3,44
CAQUIAVIRI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,3,5,8
CARACOLLO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,21,9,30
CARANAVI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,65,41,106
CARAPARI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,16,6,22
CARIPUYO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,1,17,18
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,11,10,21
CATACORA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,1,1,2
CHALLAPATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,46,15,61
CHAQUI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,7,8,15
CHARAGUA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,28,80,108
CHARAÑA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,1,0,1
CHAYANTA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,12,12,24
CHIMORE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,31,11,42
CHIPAYA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,3,0,3
CHOQUE COTA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,2,3,5
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,21,4,25
CHUMA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,8,3,11
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,9,9,18
CKOCHAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,32,15,47
CLIZA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,31,2,33
COBIJA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,126,8,134
COCAPATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,8,16,24
COCHABAMBA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,1368,2,1370
COLCAPIRHUA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,96,0,96
"COLCHA ""K""",vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,23,1,24
COLLANA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,3,1,4
COLOMI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,17,3,20
COLPA BELGICA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,10,9,19
COLQUECHACA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,24,58,82
COLQUENCHA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,13,0,13
COLQUIRI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,13,32,45
COMANCHE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,5,2,7
COMARAPA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,29,10,39
COMBAYA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,0,5,5
CONCEPCION,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,58,11,69
COPACABANA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,12,7,19
CORIPATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,14,3,17
CORO CORO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,10,9,19
COROICO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,24,6,30
CORQUE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,4,5,9
COTAGAITA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,20,20,40
COTOCA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,136,12,148
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,65,35,100
CUEVO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,6,6,12
CULPINA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,14,10,24
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,8,0,8
CURVA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,3,4,7
DESAGUADERO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,8,6,14
EL ALTO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,1537,18,1555
EL CHORO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,5,6,11
EL PUENTE(STC),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,22,2,24
EL PUENTE(TJA),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,15,3,18
EL TORNO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,98,4,102
EL VILLAR,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,7,1,8
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,26,25,51
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,74,5,79
ESCOMA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,12,0,12
ESMERALDA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,1,0,1
EUCALIPTUS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,8,2,10
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,3,4,7
EXALTACION,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,2,0,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,25,1,26
FILADELFIA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,9,14,23
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,36,5,41
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,4,11,15
GUANAY,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,25,5,30
GUAQUI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,3,4,7
GUAYARAMERIN,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,111,21,132
GUTIERREZ,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,28,12,40
HUACARETA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,10,2,12
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,4,4,8
HUANUNI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,47,3,50
HUARACAJE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,10,0,10
HUARINA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,4,6,10
HUAYLLAMARCA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,2,0,2
HUMANATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,0,4,4
ICHOCA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,2,2,4
ICLA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,6,7,13
INCAHUASI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,15,12,27
INQUISIVI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,5,11,16
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,8,12,20
IXIAMAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,21,1,22
JESUS DE MACHACA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,16,1,17
LA ASUNTA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,67,12,79
LA GUARDIA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,187,0,187
LA PAZ,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,1300,14,1314
LA RIVERA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,0,1,1
LAGUNILLAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,11,2,13
LAJA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,13,7,20
LAS CARRERAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,3,2,5
LICOMA PAMPA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,1,4,5
LLALLAGUA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,40,47,87
LLICA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,11,1,12
LORETO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,1,11,12
LURIBAY,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,4,6,10
MACHACAMARCA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,2,5,7
MACHARETI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,15,3,18
MAGDALENA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,21,14,35
MAIRANA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,24,1,25
MALLA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,0,3,3
MAPIRI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,41,0,41
MECAPACA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,17,6,23
MINEROS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,59,3,62
MIZQUE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,40,14,54
MOCOMOCO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,16,13,29
MOJOCOYA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,5,6,11
MONTEAGUDO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,41,4,45
MONTERO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,270,1,271
MORO MORO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,5,0,5
MOROCHATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,10,23,33
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,4,5,9
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,2,2,4
OCURI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,14,27,41
OKINAWA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,25,3,28
OMEREQUE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,4,8,12
ORURO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,587,2,589
PADCAYA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,24,14,38
PADILLA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,15,3,18
PAILON,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,48,44,92
PALCA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,20,13,33
PALOS BLANCOS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,47,14,61
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,2,0,2
PAMPA GRANDE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,14,0,14
PAPEL PAMPA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,4,3,7
PASORAPA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,3,0,3
PATACAMAYA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,25,6,31
PAZÑA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,7,2,9
PELECHUCO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,11,12,23
POCOATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,7,28,35
POCONA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,13,11,24
POJO (CBBA),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,21,6,27
POOPO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,7,2,9
PORCO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,17,3,20
POROMA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,14,17,31
PORONGO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,14,7,21
PORTACHUELO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,47,0,47
PORVENIR,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,14,0,14
POSTRER VALLE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,4,3,7
POTOSI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,585,36,621
PRESTO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,4,7,11
PUCARA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,1,1,2
PUCARANI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,35,11,46
PUERTO ACOSTA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,4,22,26
PUERTO CARABUCO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,6,14,20
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,8,7,15
PUERTO PEREZ,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,0,5,5
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,34,6,40
PUERTO RICO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,16,3,19
PUERTO SILES,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,1,0,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,46,6,52
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,125,18,143
PUNA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,33,14,47
PUNATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,43,0,43
QUIABAYA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,11,3,14
QUILLACOLLO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,202,6,208
QUIME,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,5,2,7
RAVELO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,22,25,47
REYES,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,24,29,53
RIBERALTA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,253,42,295
ROBORE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,45,5,50
RURRENABAQUE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,40,2,42
SABAYA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,4,0,4
SACABA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,230,28,258
SACABAMBA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,7,3,10
SACACA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,30,36,66
SAIPINA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,11,6,17
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,6,8,14
SAMAIPATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,9,3,12
SAN ANDRES,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,30,15,45
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,1,3,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,6,0,6
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,10,3,13
SAN BENITO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,19,0,19
SAN BORJA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,84,11,95
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,10,3,13
SAN CARLOS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,57,0,57
SAN IGNACIO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,49,6,55
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,120,41,161
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,1,1,2
SAN JAVIER(STC),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,43,1,44
SAN JOAQUIN,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,12,4,16
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,38,12,50
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,25,1,26
SAN JULIAN,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,104,29,133
SAN LORENZO(PND),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,10,10,20
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,21,16,37
SAN LUCAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,30,29,59
SAN MATIAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,33,8,41
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,31,9,40
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,4,0,4
SAN PEDRO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,28,0,28
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,37,48,85
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,2,3,5
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,2,5,7
SAN PEDRO(PND),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,1,1,2
SAN RAFAEL,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,6,2,8
SAN RAMON BENI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,3,3,6
SAN RAMON SCZ,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,23,0,23
SANTA ANA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,34,0,34
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,3077,52,3129
SANTA ROSA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,22,3,25
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,47,5,52
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,1,6,7
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,9,4,13
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,10,8,18
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,3,0,3
SANTIVAÑES,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,9,0,9
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,4,3,7
SAPAHAQUI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,13,7,20
SENA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,9,10,19
SHINAOTA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,49,3,52
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,11,19,30
SICAYA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,3,6,9
SIPE SIPE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,70,3,73
SOPACHUY,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,4,10,14
SORACACHI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,3,12,15
SORATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,21,19,40
SUCRE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-06-01,551,15,566
