,group,variable,month,L 23.9 Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,L 23.9 Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES
NUEVO MANOA (NUEVA ESPERANZA),tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,1,0,1
ORURO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,6,1,7
PAILON,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,1,1,2
PORCO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,0,1,1
POTOSI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,3,0,3
PUERTO QUIJARRO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,0,2,2
QUILLACOLLO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,1,2,3
RIBERALTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,6,2,8
RURRENABAQUE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,1,0,1
SACABA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,4,2,6
SALINAS DE GARCI MENDOZA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,1,0,1
SAN BORJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,1,2,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,2,0,2
SAN JULIAN,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,2,1,3
SAN LUCAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,2,0,2
SAN PEDRO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,1,1,2
SAN RAFAEL,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,57,55,112
SANTA ROSA DEL SARA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,2,0,2
SHINAOTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,2,1,3
SIPE SIPE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,1,0,1
SORATA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,1,0,1
SUCRE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,7,1,8
TARIJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,2,1,3
TEOPONTE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,1,1,2
TIPUANI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,0,1,1
TIQUIPAYA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,0,1,1
TOCO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,0,1,1
TOMINA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,1,1,2
TRINIDAD,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,5,1,6
UNCIA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,0,1,1
VILLA MONTES,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,2,2,4
VILLA TUNARI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,1,2,3
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,2,0,2
VILLAZON,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,0,1,1
VITICHI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,1,0,1
WARNES,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,0,4,4
YACUIBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,2,5,7
YAPACANI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,1,1,2
YOTALA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,1,0,1
APOLO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,1,2
BERMEJO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,3,1,4
BUENA VISTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,2,0,2
CABEZAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,0,1,1
CAMARGO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,0,1,1
CAMIRI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,0,1,1
CARACOLLO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,0,1
CARANAVI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,1,2
CARAPARI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,1,2
CHIMORE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,2,2,4
CHUMA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,0,1,1
COBIJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,1,2
COCHABAMBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,3,5,8
COMARAPA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,0,1
COROICO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,0,1
COTAGAITA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,0,1,1
COTOCA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,3,1,4
CUATRO CAÑADAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,1,2
EL ALTO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,7,7,14
EL TORNO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,4,2,6
ENTRE RIOS TRJ,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,3,1,4
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,0,1,1
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,0,1,1
HUANUNI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,0,1
INCAHUASI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,1,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,0,1
LA ASUNTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,0,2,2
LA GUARDIA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,5,2,7
LA PAZ,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,7,2,9
LLALLAGUA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,4,1,5
MALLA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,0,1
MIZQUE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,3,1,4
MONTERO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,8,1,9
ORURO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,4,1,5
PALOS BLANCOS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,0,1,1
POTOSI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,0,2,2
PRESTO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,0,1
PUCARANI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,4,3,7
PUNATA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,2,1,3
RAVELO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,0,1
RIBERALTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,0,1,1
SACABA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,8,0,8
SACACA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,2,0,2
SAN ANDRES,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,1,2
SAN BORJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,0,1
SAN CARLOS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,0,2,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,0,1,1
SAN JAVIER(BNI),tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,3,4
SAN LUCAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,0,1
SAN MATIAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,2,0,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,0,1
SAN PEDRO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,51,25,76
SORACACHI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,0,1
SORATA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,0,1
SUCRE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,5,3,8
TACOBAMBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,0,1
TARIJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,3,4
TIPUANI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,0,1
TRINIDAD,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,2,2,4
VILLA MONTES,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,1,2
VILLA NUEVA (LOMA ALTA),tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,1,2
WARNES,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,0,1
YACUIBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,5,5,10
YAMPARAEZ,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,0,1
YAPACANI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,4,2,6
ZUDAÑEZ,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-09-01,1,0,1
ACHACACHI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,2,0,2
ALTO BENI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,1,0,1
ARBIETO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,2,2,4
AYO AYO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,1,1,2
BETANZOS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,1,0,1
BUENA VISTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,1,1,2
CABEZAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,1,2,3
CAMARGO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,3,0,3
CAMIRI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,1,0,1
CARANAVI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,3,2,5
CARAPARI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,0,2,2
CHIMORE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,1,0,1
CHUMA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,1,0,1
CLIZA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,0,1,1
COCHABAMBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,15,6,21
COLCAPIRHUA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,1,0,1
COROICO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,1,1,2
COTOCA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,3,1,4
CUATRO CAÑADAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,2,0,2
CULPINA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,1,2,3
EL ALTO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,11,9,20
EL PUENTE(STC),tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,0,1,1
EL TORNO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,3,0,3
ENTRE RIOS TRJ,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,0,4,4
GENERAL SAAVEDRA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,1,1,2
LA GUARDIA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,4,1,5
LA PAZ,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,4,5,9
LLALLAGUA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,1,0,1
MAPIRI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,0,1,1
MONTERO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,7,8,15
OMEREQUE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,1,0,1
ORURO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,4,1,5
PAMPA GRANDE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,0,1,1
POJO (CBBA),tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,1,0,1
PORVENIR,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,1,0,1
PRESTO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,5,3,8
QUILLACOLLO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,4,2,6
REYES,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,0,1,1
RIBERALTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,1,1,2
ROBORE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,3,0,3
RURRENABAQUE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,1,0,1
SACABA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,2,1,3
SACACA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,0,1,1
SAN BORJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,3,0,3
SAN CARLOS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,2,2,4
SAN JULIAN,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,0,1,1
SAN LORENZO(TJA),tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,1,0,1
SAN LUCAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,2,0,2
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,0,1,1
SAN PEDRO(PND),tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,62,39,101
SIPE SIPE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,0,1,1
SORATA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,1,0,1
SUCRE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,6,3,9
TARABUCO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,1,0,1
TARIJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,0,1,1
TIPUANI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,2,0,2
TOLATA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,0,1,1
TOTORA(CBBA),tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,0,1,1
TRINIDAD,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,3,1,4
TUPIZA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,2,0,2
UNCIA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,1,0,1
VILLA SERRANO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,3,2,5
VILLAZON,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,0,1,1
WARNES,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,5,1,6
YACUIBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,3,2,5
YAPACANI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,2,2,4
YOTALA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-10-01,0,1,1
ACHACACHI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,0,1
ALTO BENI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,0,1
AZURDUY,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,0,1
BERMEJO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,2,1,3
CAMARGO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,0,1
CAMIRI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,0,1
CAPINOTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,0,1
CARACOLLO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,0,1
CARANAVI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,10,2,12
CHALLAPATA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,1,2
CHARAGUA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,0,1,1
CHAYANTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,2,0,2
CHIMORE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,0,1
COBIJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,1,2
COCHABAMBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,12,4,16
COLCAPIRHUA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,0,1
COLPA BELGICA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,0,1,1
CORIPATA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,0,1
COTOCA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,9,7,16
CUATRO CAÑADAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,1,2
EL ALTO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,10,9,19
EL TORNO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,8,6,14
ENTRE RIOS TRJ,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,4,2,6
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,1,2
GUANAY,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,0,1
HUANUNI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,2,3
INCAHUASI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,0,1,1
LA ASUNTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,2,3
LA GUARDIA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,14,6,20
LA PAZ,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,9,5,14
LLALLAGUA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,2,3
MAIRANA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,0,1
MAPIRI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,2,0,2
MONTERO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,10,3,13
ORURO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,2,1,3
PADILLA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,0,1,1
PAILON,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,1,2
PALOS BLANCOS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,0,1
POROMA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,0,1
PORONGO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,2,2,4
PUERTO VILLARROEL,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,4,2,6
QUILLACOLLO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,4,0,4
REYES,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,0,1
SACABA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,4,0,4
SAN BENITO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,2,0,2
SAN JOAQUIN,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,2,0,2
SAN JULIAN,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,3,7,10
SAN LUCAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,2,0,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,0,1,1
